00:00:28:08 00:00:31:05 愿神祝福你们
00:25:58:23 00:26:00:14 每一个水龙头
00:26:01:00 00:26:02:10 每一个把手都要不同款式
00:26:02:21 00:26:06:02 每一片砖也要不同，有什么需要呢？
00:26:06:13 00:26:09:04 需要多样化的是富艺术感的事物
00:26:09:17 00:26:12:15 需要不同的是纱丽，因为它很富美感
00:26:13:01 00:26:14:19 至于衬衫的针线，完全
00:26:15:04 00:26:16:06 没有艺术可言
00:26:16:16 00:26:19:03 所以富艺术感的事物可以不同
00:26:19:14 00:26:21:10 但任何世俗的就没有此需要
00:26:21:21 00:26:23:21 对于机器，为何
00:26:24:06 00:26:25:11 你要有不同，你会变疯
00:26:25:22 00:26:28:04 你走进店子里，有二十种不同的物品
00:26:28:14 00:26:31:08 你不知道该买哪一件，全都是由机器制造的
00:26:31:18 00:26:33:01 这个好，那个也好
00:26:33:11 00:26:35:15 接着另一个人走进来，他说︰「不好。」
00:26:36:00 00:26:37:12 你感到受伤害
00:26:37:21 00:26:41:13 若你要拥有世俗的物品，只需拥有小量就可以了
00:26:41:23 00:26:45:15 这样你便不会有太多头痛
00:26:46:00 00:26:48:13 所以最佳避免这些问题的方法是
00:26:48:22 00:26:51:06 运用你新的生命能量感知
00:26:51:15 00:26:53:05 那么你便可以节省精力
00:26:53:15 00:26:55:09 必须节省精力
00:26:55:22 00:26:59:07 若你不放注意力在
00:26:59:17 00:27:03:14 不是你行事作风的事物上，不去你不该去的地方
00:27:03:23 00:27:06:13 便能节省精力。只看生命能量。若我购物
00:27:06:24 00:27:09:05 我现在购物是为了好几个原因，你也知道
00:27:09:16 00:27:11:23 其一是把我的生命能量放在那里
00:27:12:08 00:27:16:03 其二是把生命能量
00:27:16:12 00:27:17:18 放在市场的人
00:27:18:02 00:27:19:22 其三是看着一切
00:27:20:06 00:27:21:24 那么我的注意力便能放在他们身上
00:27:22:10 00:27:25:05 其四是买一点东西给人
00:27:25:17 00:27:29:01 若你喜欢某些物品，只是因它有生命能量
00:27:29:10 00:27:32:08 不知怎的我便买下它
00:27:33:20 00:27:35:17 因为要把它送给别人
00:27:36:04 00:27:38:02 又或它迟些才有用
00:27:38:12 00:27:42:03 我只是把它买下，拥有它，很方便随意的就把它买下
00:27:43:17 00:27:45:24 你就是要采取这种态度
00:27:46:10 00:27:48:16 相反，若你只是不停的︰
00:27:49:02 00:27:51:16 「我喜欢这个，我不喜欢那个。」关于你的妻子
00:27:52:02 00:27:55:15 你的工作，你的一切，你都会不肯定
00:27:55:24 00:27:57:00 这些日子，美国人对
00:27:57:09 00:27:59:22 他们的工作的态度是很稀奇古怪
00:28:00:07 00:28:01:12 我要说有关这些事情
00:28:01:21 00:28:02:24 因为你们要面对这个问题
00:28:03:09 00:28:05:05 今天他们做一些工作︰「我不喜欢我的工作
00:28:05:15 00:28:07:06 我不喜欢我的老板。」另一份工作
00:28:07:18 00:28:09:11 他们转换了工作，
00:28:09:21 00:28:11:06 接着第三份工作，又转换了工作
00:28:11:14 00:28:13:15 他们喜欢改变，常常都是这样
00:28:14:00 00:28:15:20 真是要发疯了。我告诉你
00:28:16:05 00:28:18:00 转换你的妻子，你的房子
00:28:18:09 00:28:20:23 你的一切，为什么？
00:28:21:09 00:28:25:06 最好只有一个妻子
00:28:25:17 00:28:28:20 最好一生中至多只转换两份工作
00:28:29:08 00:28:33:15 最好至多搬三次屋
00:28:34:00 00:28:35:20 多于这些次数你便会头痛
00:28:36:04 00:28:38:03 是说对我而言，因为我丈夫的品性，我曾经
00:28:38:11 00:28:41:22 转换过四十所房子
00:28:43:23 00:28:48:07 但我不同，因为我就是那种
00:28:48:16 00:28:51:06 绝对不会因任何转变而受困扰的人
00:28:51:17 00:28:54:00 但你却不同，所以不要浪费精力
00:28:54:11 00:28:56:10 要明白这些是很重要的
00:28:56:22 00:29:00:16 不要不停的转换工作，这是很重要的
00:29:01:09 00:29:03:11 我告诉，因为这也是一种时尚
00:29:03:24 00:29:05:23 我告诉你有关德格的事情，他常常转工
00:29:06:09 00:29:08:00 每一次他出现财政问题
00:29:08:10 00:29:12:10 都是因为转了工。有天我告诉他︰
00:29:12:20 00:29:15:02 「德格，若你转这份工…」
00:29:15:10 00:29:16:23 因为我感到生命能量妥当---
00:29:17:11 00:29:18:14 若你转这份工
00:29:18:24 00:29:20:13 你不用再来见我
00:29:21:00 00:29:24:12 今天他拥有房子，拥有车子
00:29:24:22 00:29:28:17 银行有存款，他做得很好
00:29:31:24 00:29:34:15 所以这也是我要头痛的事情︰
00:29:35:00 00:29:39:05 母亲，我没有工作，没有钱，我该怎办？
00:29:39:18 00:29:43:09 每一次有人到印度，他们都会说︰
00:29:43:20 00:29:46:02 母亲，我没钱，很抱歉我不能付你钱
00:29:46:12 00:29:48:05 好吧，不要紧
00:29:48:15 00:29:51:14 最少…这次最少有五个人
00:29:52:00 00:29:54:09 之前我想是有二十个人
00:29:54:21 00:29:56:17 每一次都发生这种事
00:29:57:04 00:30:00:02 所以现在我们要明白，我们要有工作
00:30:00:11 00:30:02:01 我们要是个值得人尊重的人
00:30:02:14 00:30:04:05 要有恰当的学历
00:30:04:16 00:30:06:21 若有可能，要取得一点学历
00:30:07:07 00:30:09:03 你们都是聪明人
00:30:09:15 00:30:11:15 你们都能取得学历
00:30:12:02 00:30:14:16 你们在社会里要受人尊重
00:30:15:02 00:30:17:01 不然，他们会想，这个母亲
00:30:17:11 00:30:20:13 是乞丐的母亲
00:30:22:11 00:30:26:03 所以你要在你的工作，你的房子里稳定巩固自己
00:30:26:15 00:30:31:00 要稳定巩固自己，要学懂不要改变
00:30:36:01 00:30:40:18 改变令你不稳定，你明白吗？
00:30:41:05 00:30:42:15 改变不是问题
00:30:42:24 00:30:45:02 我会克服它
00:30:45:15 00:30:49:12 若有需要，若这是行不通的
00:30:49:23 00:30:51:22 我们便要改变
00:30:52:08 00:30:54:12 这适用于一切
00:30:55:01 00:30:59:05 现在，导师搜购只是改变
00:30:59:17 00:31:03:02 你有越多导师，我便越头痛
00:31:03:13 00:31:05:22 若你只有一个导师，一个可怕的导师
00:31:06:08 00:31:07:21 还可以，我很容易把你洁净
00:31:08:07 00:31:10:20 但若你有二十个导师，我该怎么办？
00:31:11:07 00:31:13:16 一个常搜购导师的家伙
00:31:14:01 00:31:15:20 我不能明白他的个性
00:31:16:07 00:31:17:20 我说︰「你怎么了？」
00:31:18:05 00:31:20:20 每一个问题，你把问题说出，问题就在这里
00:31:21:08 00:31:22:17 我说︰「这是个怎样的家伙？」
00:31:23:01 00:31:24:03 所以我说︰「好吧，把所有
00:31:24:13 00:31:25:19 你到过的导师的名字写下
00:31:26:04 00:31:30:08 他写满整整三张纸，底面都满满的
00:31:31:01 00:31:33:03 我说︰「很抱歉，先生，我帮不了你。」
00:31:33:14 00:31:34:21 他说︰「母亲，你要帮我
00:31:35:05 00:31:36:23 因为这是即时的问题
00:31:37:08 00:31:39:03 我说︰「什么是即时的问题？」
00:31:39:14 00:31:41:18 我现在要变成女人
00:31:42:05 00:31:45:00 我说︰「吓？」
00:31:45:11 00:31:48:22 医生说我要变成女人
00:31:49:15 00:31:51:23 我说︰「这的确是即时的问题。」
00:31:52:09 00:31:56:02 我说︰「我只能做到这样，你需要大量的洁净。」
00:31:56:16 00:31:58:17 他有时看来像哈奴曼
00:31:59:02 00:32:00:14 有时像个疯子
00:32:00:24 00:32:02:03 但常常什么都像
00:32:02:12 00:32:04:22 因为有很多导师在他身上运作
00:32:05:08 00:32:09:00 他最终把自己洁净
00:32:09:09 00:32:11:06 他的问题便解决了
00:32:11:17 00:32:13:19 即使是现在，我也不会说他是个霎哈嘉瑜伽士
00:32:14:03 00:32:16:17 虽然他很博学，懂梵文
00:32:16:24 00:32:18:02 因为他曾经到过很多导师那里
00:32:18:10 00:32:21:16 各种类型的导师他都到过
00:32:22:06 00:32:26:00 就是因为要改变︰「有什么错？」
00:32:26:21 00:32:30:21 一旦你来到霎哈嘉瑜伽，便要停止
00:32:31:14 00:32:34:10 停止一切
00:32:34:23 00:32:38:00 我要强调的第二点是
00:32:38:13 00:32:41:01 一旦你来霎哈嘉瑜伽
00:32:41:13 00:32:44:09 把你的焦点先放在我身上，放在霎哈嘉瑜伽上
00:32:44:21 00:32:45:19 然后才放在其他事物上
00:32:46:04 00:32:47:16 就像基督徒，当他们来霎哈嘉瑜伽
00:32:48:02 00:32:50:03 他们不能接受格涅沙
00:32:50:16 00:32:54:14 印度人来霎哈嘉瑜伽，则不能接受基督
00:32:55:00 00:32:58:20 穆斯林来霎哈嘉瑜伽，不能接受崇拜
00:32:59:09 00:33:01:21 每个人都背负着某些担子来
00:33:02:07 00:33:05:10 所以最好还是把担子放在我的莲足下，就这样
00:33:05:21 00:33:08:15 现在你透过我的棱镜去看他们
00:33:09:03 00:33:13:04 透过我…最好以这种方式去理解
00:33:13:15 00:33:16:00 那些以这种方式理解我的人
00:33:16:13 00:33:19:10 就能以完美的方式去理解霎哈嘉瑜伽
00:33:19:21 00:33:22:11 对过往没有狂热，
00:33:22:22 00:33:24:15 对霎哈嘉瑜伽也没有
00:33:24:24 00:33:28:07 所以他们与母亲的理解是一样的
00:33:28:17 00:33:31:04 不会贴附着
00:33:31:14 00:33:33:05 任何一种事物
00:33:33:17 00:33:36:17 这不代表若你称呼我
00:33:37:02 00:33:39:16 为女神迦利，便是侮辱我
00:33:40:02 00:33:43:09 又或你称呼我为玛塔吉‧涅玛拉‧德维，便是抬举我
00:33:43:19 00:33:45:21 全都在这里
00:33:46:09 00:33:49:09 你们要明白，这全都
00:33:50:03 00:33:53:04 与我们的区分有关
00:33:53:15 00:33:56:19 神没有这种区分
00:33:57:13 00:34:00:05 他脑海里没有美国
00:34:00:17 00:34:02:24 没有任何区分
00:34:03:11 00:34:06:18 我们是否只是像这样︰「现在我只是我的喉轮。」
00:34:07:05 00:34:08:08 我们会否像这样存在？
00:34:08:18 00:34:10:21 或「我只是我的鼻子。」我们会否这样？
00:34:11:08 00:34:12:22 我们是拥有整个身体
00:34:13:10 00:34:17:13 所以神是…虽然他有鼻子，有耳朵
00:34:18:00 00:34:20:09 他有一切，但是他是神
00:34:20:20 00:34:23:01 他不是只有鼻子，分裂的
00:34:23:13 00:34:25:10 他的存在不会像分裂出来的美国
00:34:25:20 00:34:28:09 他是整体的
00:34:28:21 00:34:34:02 一切都与整体有关
00:34:34:22 00:34:37:10 当这样的事情发生在我们身上
00:34:37:21 00:34:41:01 就是我们现在与整体，原初的存在体连上
00:34:41:14 00:34:43:07 我们不应
00:34:43:17 00:34:44:22 因为我们的制约而
00:34:45:09 00:34:47:17 把自己本土化
00:34:48:06 00:34:49:19 不应把自己局限于本土的特质
00:34:50:01 00:34:51:22 我们应该是流动的
00:34:52:10 00:34:55:13 我发觉很难要天主教徒
00:34:55:24 00:35:00:00 以同样的虔敬去敬拜格涅沙
00:35:00:12 00:35:01:14 因为他们受制约所限
00:35:02:00 00:35:03:18 所以要试着把基督放下一会儿
00:35:04:03 00:35:05:10 完全把基督放下
00:35:05:23 00:35:09:08 来霎哈嘉瑜伽，那么你便能对他有恰当的见解
00:35:09:21 00:35:11:15 因为问题在于
00:35:12:02 00:35:17:09 除非你往自己内里看
00:35:17:18 00:35:20:01 一切途径道路都走向同一目标
00:35:20:14 00:35:22:21 全都是一样的，完全没有任何分别
00:35:23:07 00:35:24:17 先要向内
00:35:25:00 00:35:26:19 放弃一切，进入内在
00:35:27:04 00:35:29:11 你便会知道一切都是一样的
00:35:29:23 00:35:31:16 这是很重要
00:35:32:03 00:35:34:08 一旦你看到这样
00:35:34:19 00:35:38:01 这是那么漂亮美丽，你毫不复杂
00:35:38:13 00:35:42:06 不属于任何特别的教派
00:35:42:18 00:35:45:03 特别的导师，或特别的东西
00:35:45:14 00:35:49:10 你可以看看，即使所谓的宗教也像教派
00:35:49:18 00:35:51:15 它们像教派，它们有制约
00:35:52:01 00:35:54:02 只会为你带来制约
00:35:54:10 00:35:55:14 和幻象
00:35:55:23 00:35:57:04 我们不要活在幻象里
00:35:57:13 00:35:58:15 要活在实相里
00:35:58:24 00:36:02:19 实相就是所有这些精粹都是一体
00:36:03:06 00:36:05:08 你要进入它们内里
00:36:05:19 00:36:09:12 这样我们才能看到，它们都是一体
00:36:10:00 00:36:13:20 我感到对像美国那样的国家也是很重要的
00:36:14:04 00:36:17:07 因为有太多分歧
00:36:17:17 00:36:21:02 太多分歧，我也感到很惊讶
00:36:21:12 00:36:23:13 任何你能说出的事物都能在美国找到
00:36:23:23 00:36:26:15 几天前我发展了一种叫摩门教的东西
00:36:27:04 00:36:30:06 摩门或某种摩门
00:36:30:19 00:36:32:12 只要说出它的名字，就能在美国找到
00:36:32:21 00:36:36:18 我不知道这些不同种类的东西怎会在这里聚集
00:36:37:04 00:36:40:05 每一种导师，我是说你都能在这里找到
00:36:40:13 00:36:41:20 我从未听过这样多名称
00:36:42:05 00:36:44:17 每一次我来这里，也会发现有新的导师出现
00:36:45:03 00:36:48:14 为什么这些事物能在美国昌盛
00:36:48:22 00:36:50:03 像蘑菇一样，你明白吗？
00:36:50:13 00:36:53:08 蘑菇般在生长，这是…它是否腐坏的东西？
00:36:53:19 00:36:56:16 只有蘑菇生长为菌类
00:36:57:07 00:37:01:19 它是否在腐蚀这个国家？发生了什么？为什么？
00:37:02:08 00:37:04:15 就是人类的脑袋思维
00:37:05:03 00:37:08:19 这里的人类脑袋常常想要新事物
00:37:09:04 00:37:11:14 供应便应运而生
00:37:12:01 00:37:14:03 他们因此变得不稳定
00:37:14:15 00:37:17:22 美国人的品性最大的问题
00:37:18:09 00:37:20:20 是他们很不稳定
00:37:22:19 00:37:25:06 你问他们︰「你好吗？」他们会说…
00:37:26:02 00:37:27:02 以你喜欢的方式去理解
00:37:27:12 00:37:30:13 他们从不会说︰「你好吗？」…
00:37:31:14 00:37:32:23 你对此有何理解？
00:37:33:07 00:37:35:10 我是说印度人就不能理解
00:37:35:22 00:37:37:22 若有人这样说，一个印度人，你明白
00:37:38:06 00:37:39:02 若你问他︰「你好吗？」
00:37:39:12 00:37:42:19 他却像这样回答，他们会说︰「你疯了吗？」
00:37:46:04 00:37:48:22 若你问他们︰「你明白吗？」
00:37:49:07 00:37:51:12 我很混乱
00:37:52:00 00:37:53:11 印度人从不说这种话︰
00:37:53:20 00:37:55:19 「我很混乱。」他确信︰
00:37:56:06 00:37:58:09 「我很混乱」代表你是疯子或是什么？
00:37:58:21 00:38:02:20 为什么你会混乱？你脑袋出问题了？
00:38:04:11 00:38:06:11 所有这些想法
00:38:06:24 00:38:09:14 都令你不稳定
00:38:10:01 00:38:12:07 无聊、虚假肤浅
00:38:12:19 00:38:15:16 你真的被虚假表面的东西
00:38:16:04 00:38:17:19 轰炸着，我能看到
00:38:18:06 00:38:21:04 从每一处，你看，媒体，这个那个
00:38:21:13 00:38:23:04 都是虚假肤浅
00:38:23:14 00:38:27:05 它真的杀掉人类内在的胚芽种子
00:38:27:17 00:38:28:20 你想与它一起生活
00:38:29:06 00:38:31:13 那么你便想以这种方式思考
00:38:32:10 00:38:35:20 你真的失去真我，与自己的一切联系也失去了
00:38:36:03 00:38:38:14 在这种情况下，我们要知道一个
00:38:38:22 00:38:40:13 漂亮的事实
00:38:40:23 00:38:44:10 就是很多求道者在这个国家出生
00:38:44:20 00:38:48:20 我最先探访的国家就是美国
00:38:50:02 00:38:53:03 我肯定圣地亚哥是它最先开展的地方
00:38:53:11 00:38:56:02 我感到…
00:38:56:18 00:38:59:07 (马拉地语)
00:39:02:09 00:39:04:19 所以这个地方很重要，我很高兴
00:39:05:03 00:39:08:02 你们安排这个美妙的崇拜
00:39:08:12 00:39:09:24 我们要做这个崇拜
00:39:10:10 00:39:15:11 我可以肯定我们会有时间
00:39:16:01 00:39:19:15 特别美好的时光会来临
00:39:20:04 00:39:25:18 一方面美国会进化
00:39:26:04 00:39:28:14 另一方面，墨西哥
00:39:29:01 00:39:31:23 都能从圣地亚哥成就到
00:39:32:09 00:39:35:21 这是美好的一天，你请求作这个崇拜
00:39:36:08 00:39:37:20 我很高兴
00:39:38:06 00:39:40:02 今天是女神的日子
00:39:40:12 00:39:45:05 (马拉地语)—trayodashi
00:39:49:04 00:39:52:03 Trayodashi是最好的，第十三天
00:39:52:15 00:39:57:13 (马拉地语)
00:40:09:16 00:40:13:12 看看生命能量，你不需要任何崇拜
00:40:20:02 00:40:22:18 没有需要作崇拜，真的，今天生命能量是那么多
00:40:23:03 00:40:24:09 所以今天是个了不起的日子
00:40:24:17 00:40:26:23 很高兴他请求在这里作崇拜
00:40:27:12 00:40:32:02 所以从现在开始…若你有
00:40:32:15 00:40:35:18 任何问题，任何问题
00:40:36:04 00:40:38:07 要让我知道
00:40:38:20 00:40:40:18 有一件事，霎哈嘉瑜伽士
00:40:41:02 00:40:44:07 不应是个严肃的人，此其一
00:40:45:22 00:40:48:14 霎哈嘉瑜伽士没有必要严肃
00:40:49:02 00:40:51:12 你要常微笑，大笑，享受一切
00:40:51:23 00:40:54:11 若他是严肃的，就不是霎哈嘉瑜伽士
00:40:54:21 00:40:57:03 我不能保持严肃多于五分钟
00:40:57:11 00:40:58:19 最多五分钟
00:40:59:04 00:41:02:00 即使我要责骂人，我也要
00:41:02:11 00:41:04:20 准备好才来叫骂
00:41:05:05 00:41:07:21 五分钟后，若我不走开
00:41:08:09 00:41:10:04 你会发觉我再次笑
00:41:10:16 00:41:12:23 不能…全都是笑话
00:41:18:07 00:41:21:10 所以没有人要严肃，此其一
00:41:21:21 00:41:22:24 没有人要严肃
00:41:23:08 00:41:25:07 你要常微笑，做个快乐人
00:41:25:18 00:41:28:05 因为你内在有喜乐，有什么？
00:41:28:16 00:41:33:11 只要想︰「我很悲惨，我很悲惨。」你要明白
00:41:35:03 00:41:36:23 这是法式的
00:41:37:10 00:41:39:17 法式的。当我首次到法国，他们告诉我︰
00:41:40:02 00:41:45:19 「母亲，你看来太开心。」对法国人而言
00:41:46:09 00:41:47:10 我说︰「我该怎么办？」
00:41:47:20 00:41:49:10 回答︰「你看不看到，他们都是非常…
00:41:49:19 00:41:52:02 他们都认为自己是很痛苦不幸的人，诸如此类
00:41:52:15 00:41:54:08 我因此说︰「好吧。」我说︰
00:41:54:16 00:41:56:12 现在你看，你们全都是悲惨世界(les miserables)
00:41:56:23 00:41:59:18 你也知道维克多‧雨果(Victor Hugo)写了「悲惨世界」
00:42:00:04 00:42:02:03 我说︰「好吧，你是悲惨世界
00:42:02:12 00:42:04:20 我却是个完全不悲惨的人
00:42:05:07 00:42:07:24 无论如何
00:42:08:10 00:42:12:20 若每三幢房子有一所酒吧
00:42:13:06 00:42:15:13 每十幢房子有一个妓女
00:42:16:02 00:42:19:10 你会是很不幸，什么会发生？
00:42:20:03 00:42:21:03 我是说你便深陷其中。」就是这样
00:42:21:13 00:42:24:02 即使瑜伽士马哈赞也告诉我︰
00:42:24:15 00:42:27:14 母亲，我们想找张你一脸严肃的照片
00:42:27:22 00:42:29:06 但却很难找到
00:42:29:17 00:42:33:00 我们想把你严肃的样子的照片摆放出来
00:42:33:13 00:42:36:00 最终他找到一帧
00:42:36:12 00:42:37:22 我很可怕的照片
00:42:38:10 00:42:41:01 当他告诉我︰「这是张好照片
00:42:41:11 00:42:44:17 你看来很平静安祥。」这样、那样的描述
00:42:45:01 00:42:47:21 当我看到那照片，我说︰「照片很可怕。」
00:42:48:10 00:42:50:01 他说︰「真的吗？」
00:42:50:10 00:42:53:00 我说︰「好吧，让我告诉你是谁拍下的。」
00:42:53:10 00:42:56:18 他说︰「谁？」我告诉他一个名字，他很震惊
00:42:57:05 00:42:59:15 我说︰「就是这个女士给你的
00:43:00:00 00:43:01:19 你知道她现在在哪里
00:43:02:07 00:43:06:04 他对我告诉他的名字很震惊，「珍妮」
00:43:09:10 00:43:12:10 我说︰「你就是寄这张照片到美国。」
00:43:12:20 00:43:15:16 我知道美国人会受这张照片吸引
00:43:15:23 00:43:18:23 因为他们都是悲伤不幸
00:43:19:10 00:43:21:17 但受这张照片
00:43:22:01 00:43:24:19 吸引的人会很快离开
00:43:25:06 00:43:28:17 他们不会贴附着…你不明白这一点
00:43:29:05 00:43:30:18 他们不是那种会贴附的类型
00:43:31:01 00:43:32:13 就像在苏格兰，我到哪里
00:43:32:23 00:43:36:00 我看到有张照片，令我很震惊
00:43:36:11 00:43:39:05 我们到饭店用餐
00:43:39:13 00:43:41:22 我看到我的照片，我说︰「是谁拍下的？」
00:43:42:07 00:43:44:16 他们说︰「其中一个澳洲人。」
00:43:45:02 00:43:47:16 我说︰「是谁弄来的？
00:43:48:04 00:43:50:23 因为照片不好，很差
00:43:51:12 00:43:56:19 他们说︰「这是某人很突然的拍下。」
00:43:57:04 00:43:58:08 我说︰「我告诉你们这个人的名字。」
00:43:58:18 00:44:02:00 我告诉他们谁拍下的，希拉里
00:44:02:20 00:44:05:01 他们都很惊叹
00:44:05:14 00:44:07:21 我说︰「这张照片不好。」
00:44:08:06 00:44:10:13 但他们却把它放在每一处。我说︰「算了吧。」
00:44:11:00 00:44:14:18 很多人来我的讲座，各式各样滑稽可笑的人
00:44:15:04 00:44:17:07 有些只有一只眼睛，有些只有一只鼻子
00:44:17:15 00:44:21:16 有些有某些不妥当，全都有缺憾︰
00:44:22:01 00:44:25:10 「天啊！」我说︰「就是因为这张照片。」
00:44:25:24 00:44:29:05 没有一个再回来
00:44:29:20 00:44:31:08 最少有五、
00:44:31:17 00:44:34:13 六百人来讲座，就像这样，你看
00:44:34:23 00:44:37:18 (马拉地语)
00:44:38:12 00:44:42:17 没有一个回来
00:44:43:07 00:44:47:11 全是亡灵(bhoots)，被亡灵吸引，我能看到
00:44:47:19 00:44:51:09 他们是被我的照片驱走的
00:44:53:06 00:44:57:08 那个为我照相的人
00:44:57:22 00:45:02:12 也反映在相片中
00:45:03:07 00:45:06:16 你必定曾经看过雷拍的照片都很好
00:45:07:03 00:45:08:16 我不知道这里那张照片是雷拍的
00:45:09:01 00:45:11:06 雷拍的照片通常都是很好的
00:45:11:17 00:45:14:08 这次的雷，他有个很滑稽可笑的妻子
00:45:14:20 00:45:16:18 他到印度去，有印度人告诉我︰
00:45:17:05 00:45:19:09 母亲，我不知道雷是怎会这样堕落
00:45:19:17 00:45:20:13 这样是不会发生在印度
00:45:20:22 00:45:22:24 一旦他们成为霎哈嘉瑜伽士，便会改善
00:45:23:10 00:45:26:18 但这个家伙却刚好相反，现在该怎么办？
00:45:27:06 00:45:29:05 他们说︰「母亲，他在走下坡，该怎办？」
00:45:29:15 00:45:32:19 我说︰「必定是有些不妥，该怎办？」
00:45:33:07 00:45:35:00 当我回来，你明白
00:45:35:09 00:45:37:02 雷带来了三四张我的照片
00:45:37:10 00:45:39:04 当他向人展示这些照片，每个人都很惊讶
00:45:39:14 00:45:42:12 这些不是母亲的照片
00:45:43:02 00:45:47:01 他要把它们拿回，就是这样
00:45:47:10 00:45:49:23 同一个雷，怕下这样漂亮的照片的雷
00:45:50:09 00:45:53:01 今天却拍下这种可怕的照片
00:45:53:12 00:45:57:14 你做的一切，你的一切成就
00:45:58:01 00:45:59:12 你都能分辨出来
00:45:59:24 00:46:05:04 你忽然变得极优雅，你也可以说
00:46:05:15 00:46:08:05 很巧妙地，一旦你是个好的霎哈嘉瑜伽士
00:46:08:14 00:46:11:17 一切都正常的流动
00:46:12:03 00:46:14:23 你可以分辨出来。以很简单的方式
00:46:15:10 00:46:20:24 这个人也能令人喜悦，令人舒服
00:46:22:24 00:46:26:23 在这方面我已经向你们说了
00:46:27:07 00:46:31:09 很多我想说的话，在完结前
00:46:31:18 00:46:35:22 我要说因为喉轮，你已经变成sakshi
00:46:36:07 00:46:38:14 即旁观者。你要变成旁观者
00:46:39:02 00:46:41:23 要成为旁观者，你必须毫不执着
00:46:42:09 00:46:45:07 这并不表示你要以很少钱生活
00:46:45:18 00:46:48:18 而是要尝试不执着
00:46:49:04 00:46:53:00 感谢天，这次来自美国的霎哈嘉瑜伽士的体验
00:46:53:12 00:46:55:01 并不那么坏
00:46:55:11 00:46:56:17 他们都是很好的人
00:46:57:02 00:46:59:24 他们能好好的调节自己，自得其乐
00:47:00:09 00:47:01:16 这很好
00:47:02:00 00:47:07:16 我希望更多更多的人会来，也能自得其乐
00:47:08:02 00:47:10:21 你们也知道，有新的讲座举行
00:47:11:06 00:47:14:09 最好告诉我们你来不来
00:47:14:20 00:47:16:19 但不要在最后一刻才改变主意
00:47:17:06 00:47:21:21 这样会为我们、为每个人带来问题
00:47:22:09 00:47:25:13 所以请不要改变主意，若你不来，不要紧
00:47:25:24 00:47:28:15 你要订一个限期，到时才决定
00:47:28:24 00:47:31:15 但不要改变主意。你看只有美国人才会这样
00:47:32:01 00:47:34:12 其他人不会
00:47:34:22 00:47:36:00 我告诉你︰
00:47:36:09 00:47:38:20 现在不要再这样了，让更多美国人有机会来
00:47:39:04 00:47:41:14 我们要给他们多些机会，所以不要来，你会不来
00:47:41:24 00:47:44:24 可怜的家伙，他们来了十天、五天
00:47:45:13 00:47:48:24 因为我们没法为他们安排
00:47:49:23 00:47:51:19 所以你不要改变主意
00:47:52:08 00:47:55:17 若你来，你能决定
00:47:56:04 00:47:58:00 来与不来
00:47:58:11 00:48:02:02 若你不来，只要说︰「对，我们不来。」
00:48:02:11 00:48:05:09 又或若你来，只要说︰
00:48:05:18 00:48:07:22 「对，我们来。」你就是要这样
00:48:08:09 00:48:11:20 最少这样，不要改变
00:48:13:01 00:48:16:20 所以我再次要求你们按照你们本来的计划程序行事
00:48:17:06 00:48:20:13 因为这真的会把事情弄糟
00:48:21:00 00:48:24:07 现在我们是随着上天的韵律工作
00:48:24:20 00:48:27:08 所以我们没权干扰这韵律
00:48:29:09 00:48:32:01 你或许是美国人，但你也知道，在霎哈嘉瑜伽
00:48:32:13 00:48:34:24 美国人并非被安置在很高的位置
00:48:35:13 00:48:37:01 你知道得很清楚
00:48:37:13 00:48:40:11 我们视意大利人就好得多
00:48:40:24 00:48:45:23 他们喜欢霎哈嘉瑜伽就像鱼喜欢水
00:48:47:05 00:48:50:13 所以美国人要多努力
00:48:51:00 00:48:56:02 他们要多做一点以适应这调节
00:48:58:03 00:49:02:06 该怎么办？这样伟大的国家，那么多求道者
00:49:02:18 00:49:05:06 但他们已被摧毁，我该怎办？
00:49:05:18 00:49:06:19 尽我的力量
00:49:07:04 00:49:09:13 你们全都要帮忙，亦要明白个中的困难
00:49:09:24 00:49:12:05 你要对新来者仁慈友善，要看到
00:49:12:17 00:49:15:17 自己把他们弄妥
00:49:16:18 00:49:22:19 从圣地亚哥，我们想到我们的升进
00:49:23:06 00:49:26:15 从这个角落，我们会照亮
00:49:27:01 00:49:30:05 整个美国
00:49:30:15 00:49:33:17 为了务实的原因，我已经决定
00:49:34:03 00:49:37:11 华医生主管
00:49:37:22 00:49:43:15 东面
00:49:44:04 00:49:46:21 (马拉地语)…
00:49:47:12 00:49:50:09 西面
00:49:50:19 00:49:53:11 对我们，纽约已是西方
00:49:53:23 00:49:57:09 好吧，东面是…纽约
00:49:57:20 00:50:00:21 由他来管
00:50:01:07 00:50:04:01 因为那里是…就像两个国家，两个国家
00:50:04:11 00:50:05:18 两个，不同类型的事情
00:50:06:06 00:50:07:24 就是这样去管理
00:50:08:14 00:50:12:23 金钱的问题，你要取得他同意
00:50:13:07 00:50:14:10 才能处理金钱
00:50:14:21 00:50:18:10 所以我告诉他我是怎么做的
00:50:18:20 00:50:22:03 钱是以注册的名称
00:50:22:14 00:50:24:19 存放在银行里，又或无论是怎样的途径
00:50:25:06 00:50:30:24 他们保管支票簿，但是要我才能签署
00:50:31:22 00:50:34:01 你保管支票簿而只有他才能签署
00:50:34:10 00:50:36:16 那么他便知道你怎样用钱
