00:00:02:08 00:00:06:07 全世界都充滿着熱忱
00:33:16:15 00:33:20:08 它不會因為有人拿走石頭而有所改變
00:33:21:01 00:33:23:03 你必須明白
00:33:23:03 00:33:26:09 在許可的情況下要不斷提昇靈量
00:33:26:15 00:33:29:20 嘗試把注意力每時每刻都放到靈量上
00:33:30:01 00:33:31:11 看看哪裏出問題
00:33:31:11 00:33:33:20 把問題清理，完完全全的把它清理掉
00:33:33:20 00:33:35:20 找出問題所在
00:33:35:20 00:33:37:14 不斷提昇靈量
00:33:37:20 00:33:40:04 直到你感到靈量
00:33:40:04 00:33:43:22 在你腦囟順暢的流通
00:33:44:03 00:33:46:06 那麽你的心便能擴展
00:33:46:18 00:33:49:22 你可以說這是一個機械的過程
00:33:50:06 00:33:52:03 就算只要這樣做就可以了,人們也不肯去做。
00:33:52:12 00:33:55:01 若你有這樣做，你的心扉便會打開
00:33:55:01 00:33:56:12 你自會說
00:33:56:12 00:34:00:05 母親，我的心像亞洲那樣大。
00:34:01:07 00:34:03:15 你便看到心的奇蹟
00:34:03:15 00:34:06:21 它怎樣散發能量
00:34:07:16 00:34:10:05 你變得這麼慈悲，這麼活力充沛
00:34:10:12 00:34:13:19 那麽美麗，對霎哈嘉瑜伽這麼誠懇
00:34:16:10 00:34:20:07 請你們為這崇拜敞開你們的心扉
00:34:20:13 00:34:22:13 你是既歡騰又高興
00:34:22:13 00:34:24:16 你的心必定已經打開
00:34:24:23 00:34:26:03 因為我看到霎哈嘉瑜伽士
00:34:26:09 00:34:28:01 對我很寛容
00:34:28:08 00:34:30:19 但對自己卻不是這樣
00:34:31:14 00:34:33:11 他們會為我做任何事
00:34:33:19 00:34:35:20 但卻不為自己做甚麽
00:34:36:13 00:34:39:09 他們從早到晚佈置會堂
00:34:39:09 00:34:40:14 做所有的事
00:34:40:14 00:34:42:08 為我送來我也不知曉是從哪裏來
00:34:42:08 00:34:44:06 的花朵
00:34:44:06 00:34:46:09 但若我告訴他們：「請為自己靜坐吧！」
00:34:46:09 00:34:47:23 他們卻不靜坐
00:34:49:22 00:34:52:12 或是，「為自己做點事」，他們也不會這樣做
00:34:54:13 00:34:56:14 情形就是這樣
00:34:57:03 00:35:00:08 所以，與其浪費精力
00:35:00:08 00:35:01:19 佈置這些那些
00:35:01:19 00:35:04:11 你應該裝飾你的內在
00:35:04:22 00:35:07:20 以真誠，想想你美好的一面
00:35:08:02 00:35:12:03 你是有能力，絕對有能力的人
00:35:12:12 00:35:16:16 你可以運用想像力
00:35:18:05 00:35:20:08 運用聰明才智，還有理性
00:35:20:08 00:35:22:03 任何你擁有的
00:35:23:05 00:35:27:08 找出你的路 。我再說一次
00:35:27:22 00:35:30:13 要保持心胸寛大
00:35:33:14 00:35:35:14 這是今天我的生日
00:35:35:14 00:35:38:19 給予全世界的訊息
00:35:38:19 00:35:42:03 因為我感到全世界
00:35:42:03 00:35:45:02 今天像一個巨大的心在跳動
00:35:46:00 00:35:49:05 我接過最後的來電才來
00:35:54:17 00:35:59:13 來電從各地而來，花朵像微雨般灑下
00:35:59:22 00:36:01:22 他們都在說漂亮的話
00:36:01:22 00:36:03:03 萬事俱備
00:36:03:03 00:36:06:00 我沉醉在內
00:36:07:02 00:36:09:09 只能沉醉，對我來說實在太多了
00:36:09:16 00:36:11:17 這些從孩子
00:36:12:00 00:36:14:19 從女士
00:36:14:19 00:36:17:00 從男士而來的美好的東西
00:36:17:00 00:36:20:20 我很驚嘆在今天我的生日
00:36:20:20 00:36:24:17 他們能這麼享受
00:36:27:20 00:36:28:20 同樣
00:36:28:20 00:36:32:24 請把每一天當作是你的生日
00:36:33:24 00:36:36:22 你要時常提昇靈量
00:36:37:05 00:36:41:11 保持你的靈量越來越高
00:36:41:17 00:36:43:05 你越開懷
00:36:43:11 00:36:45:17 越多條像線般的靈量便會昇起
00:36:46:03 00:36:50:17 你的心也越能敞開
00:36:51:00 00:36:54:05 心會被喚醒，它會變得更有力量
00:36:54:14 00:36:57:14 以一個敞開、巨大的和有力量的心
00:36:57:24 00:36:59:19 你可以控制時常帶給你
00:37:00:00 00:37:02:08 奇怪想法的腦袋
00:37:03:16 00:37:06:05 我希望這樣可以在今年發生
00:37:07:03 00:37:11:11 人們要儘量有
00:37:11:19 00:37:14:03 寛容的心
00:37:14:17 00:37:16:24 寛容的心不代表愚蠢
00:37:17:05 00:37:18:10 並不是這樣
00:37:18:16 00:37:23:20 寛容的心是可以把我放進去
00:37:27:03 00:37:29:19 我的身體是頗大的
00:37:31:01 00:37:33:03 所以你要有一個很大的心
00:37:33:03 00:37:35:11 才能讓我住進去
00:37:35:19 00:37:37:08 就是這種很大的心
00:37:37:20 00:37:39:19 你們全都要有這樣大的心
00:37:40:01 00:37:44:09 若你能做到，所有事都會成就得很好
00:37:44:17 00:37:46:17 說到交托
00:37:47:04 00:37:49:09 你要知道怎樣交托順服
00:37:49:23 00:37:53:19 你要知道怎樣去保留仍有未交托的
00:37:54:01 00:37:56:22 你交托的方式是
00:37:58:11 00:38:04:22 把你的心扉完全敞開
00:38:05:05 00:38:06:17 把我放進去
00:38:07:00 00:38:09:11 請你把花兒留給自己
00:38:10:00 00:38:13:11 直到你能完全
00:38:13:17 00:38:19:08 控制自己才送給我
00:38:21:00 00:38:23:16 你的情緒
00:38:23:16 00:38:26:00 你的感覺，要像花兒
00:38:26:14 00:38:28:12 那樣為自己保留
00:38:28:12 00:38:32:05 這是你的心同一個海洋的一部分
00:38:33:01 00:38:37:08 當你準備好
00:38:37:08 00:38:39:11 一切都能做到
00:38:39:11 00:38:41:20 若全屋已經準備好
00:38:42:01 00:38:45:06 請把花兒、情感
00:38:45:06 00:38:49:06 美好的、美麗的東西帶來，並滋養它們
00:38:49:20 00:38:50:17 我們要學習，我想
00:38:50:17 00:38:54:03 必定有一些書籍教人
00:38:54:09 00:38:56:17 如何對別人說好話
00:38:58:00 00:39:00:22 我們要找一些這類的書籍
00:39:00:22 00:39:02:13 或寫一些該怎樣說
00:39:02:13 00:39:04:20 好東西的書籍
00:39:04:20 00:39:07:05 怎樣照顧別人
00:39:07:05 00:39:12:23 怎樣讓人感受我們的愛
00:39:13:11 00:39:14:20 怎樣去表達愛
00:39:15:06 00:39:16:09 這是可行的
00:39:16:09 00:39:19:05 這些書真的能幫助人去明白
00:39:19:05 00:39:21:08 說這些話是美好的
00:39:21:08 00:39:23:17 當你向別人說些美好的話
00:39:24:05 00:39:28:23 那種美妙的感覺會回來。就如我曾告訴你
00:39:29:05 00:39:32:03 像波浪拍打岸邊後再回來
00:39:32:09 00:39:34:19 你感到很快樂
00:39:35:02 00:39:37:19 請你繼續說些美好的
00:39:39:09 00:39:41:00 令人喜悅的話
00:39:42:02 00:39:44:02 別人會很欣賞你
00:39:44:02 00:39:45:22 若你誠懇的說
00:39:45:22 00:39:49:06 不取笑別人
00:39:49:06 00:39:52:08 不是為說話而說話
00:39:52:08 00:39:54:11 又或說些偽善的話，像「謝謝，謝謝，謝謝」
00:39:54:11 00:39:57:03 而是真心話，
00:39:57:23 00:39:59:13 你會很驚訝
00:39:59:13 00:40:02:09 那人的心會打開
00:40:02:09 00:40:07:02 而美麗的情感花兒會
00:40:07:02 00:40:08:22 從他的心流向你
00:40:10:05 00:40:13:11 一方面你要擴展你的心
00:40:13:17 00:40:18:05 另一方面，你要保存和保護
00:40:18:11 00:40:22:09 所有你內在美麗、美好、嬌弱的感覺
00:40:22:16 00:40:24:06 每一處都吸收一點
00:40:24:06 00:40:27:05 在合適的時候把它們傾倒出來
00:40:27:05 00:40:29:03 這是一種藝術
00:40:30:17 00:40:33:17 像這些花兒先在花園中
00:40:34:02 00:40:35:09 栽種
00:40:35:09 00:40:37:14 它們在合適的時候被帶來
00:40:37:14 00:40:39:16 它們會因能在合適的時候
00:40:39:16 00:40:42:00 被使用而感到更光榮
00:40:42:06 00:40:46:05 這就是我們真心與自己相處的方法
00:40:46:13 00:40:49:13 因為人類是很柔弱
00:40:50:20 00:40:52:20 很美麗的
00:40:53:11 00:40:57:00 要令他更美麗，你要說些美麗的話
00:40:57:10 00:41:00:07 舌頭不是用來說刻薄的話
00:41:00:15 00:41:02:07 不是取笑別人
00:41:03:06 00:41:04:10 捉弄別人
00:41:04:10 00:41:06:10 而是用來說
00:41:06:10 00:41:08:01 一些美麗的話
00:41:08:09 00:41:12:12 令別人也能吸收這些美麗
00:41:14:20 00:41:17:13 當我聽到人說一些美好的事時
00:41:17:20 00:41:21:02 這些事會時常縈迴在我腦海裏。我說：
00:41:21:02 00:41:24:06 我甚麼時候可以對別人說這些？
00:41:25:02 00:41:26:13 請你想一想
00:41:26:13 00:41:28:13 這是很好的句子
00:41:28:13 00:41:31:03 他們這樣說是很可愛的
00:41:31:03 00:41:34:05 好吧，我可以在哪裡用上這些話呢？
00:41:35:13 00:41:37:05 當我走入店舖
00:41:37:14 00:41:38:24 看見一些東西：「呀！這件物品很好
00:41:38:24 00:41:42:11 它很適合某人，把它買下吧
00:41:42:17 00:41:43:24 同樣
00:41:43:24 00:41:46:13 若你有這種美好的感覺
00:41:46:21 00:41:50:24 美好的感情，美好的東西
00:41:50:24 00:41:52:11 你會怎樣做？
00:41:52:11 00:41:54:19 你收集它們，所有這些
00:41:54:19 00:41:58:11 把它們保存，在適當的時候，合適的場合
00:41:58:11 00:41:59:19 運用它們
00:42:00:00 00:42:03:08 這是格涅沙的智慧
00:42:05:00 00:42:07:21 純真的人是最真誠
00:42:09:14 00:42:10:22 最天真的
00:42:11:07 00:42:13:02 聰明和狡猾的人
00:42:13:02 00:42:17:08 不能真誠，因為他們享受自己的狡猾
00:42:17:08 00:42:21:13 他們享受他們認為的「聰敏」
00:42:21:13 00:42:23:05 他們不能真誠
00:42:23:11 00:42:27:19 簡單
00:42:30:03 00:42:32:00 有愛心
00:42:32:08 00:42:35:22 重視愛的人才可以
00:42:37:00 00:42:43:11 真誠地說美好的話
00:42:44:13 00:42:48:24 今天我有很多話要對你說
00:42:50:14 00:42:58:19 要說我對這個在澳洲的生日的感受
00:43:00:00 00:43:02:14 但我告訴你，這是不能用言語來表達
00:43:02:22 00:43:05:22 因為---你看，澳洲是個遙遠的國家
00:43:06:07 00:43:09:08 能有這麽多人濟濟一堂
00:43:09:19 00:43:12:08 唱「Agata Swagata (歡迎母親的歌)」
00:43:13:05 00:43:17:07 是令人難以置信的
00:43:17:24 00:43:19:13 因為我沒有付你任何錢
00:43:19:13 00:43:21:13 你也沒有付我任何錢
00:43:21:13 00:43:24:10 你沒有責任說這些話
00:43:26:13 00:43:28:16 你們不單這樣做了
00:43:28:16 00:43:30:21 還很享受
00:43:32:19 00:43:34:02 這是很偉大的
00:43:34:02 00:43:36:10 你在享受，就是如此
00:43:36:16 00:43:38:12 當你的心很寛大
00:43:38:19 00:43:41:08 無論你為別人做些甚麽，你也會享受
00:43:41:18 00:43:43:05 你享受做好事
00:43:43:05 00:43:45:04 享受說好話
00:43:45:15 00:43:50:05 因此我們要選擇最美麗的話來說
00:43:50:15 00:43:53:24 選擇彼此都能
00:43:54:08 00:43:57:19 表達的情感來表達
00:43:57:19 00:43:59:13 從今天開始
00:43:59:13 00:44:01:20 我要說：
00:44:02:05 00:44:07:09 從1990年開始,我們要時常
00:44:07:15 00:44:10:13 對大家說些美麗的說話
00:44:10:21 00:44:12:24 讓耳朵張開
00:44:12:24 00:44:16:04 讓眼睛張開，只要有機會
00:44:16:15 00:44:18:23 只要聽到這些美好的事物
00:44:19:04 00:44:21:21 把它收入你的腦海中，並要運用它
00:44:22:18 00:44:25:20 今天很令我着迷
00:44:26:10 00:44:28:24 對我來說這是太多了,真的
00:44:29:06 00:44:32:06 要相信
00:44:32:06 00:44:35:21 在澳洲這個遙遠的地方
00:44:35:21 00:44:37:21 有這麼多霎哈嘉瑜伽士
00:44:38:06 00:44:40:12 現在這是你們的責任
00:44:40:18 00:44:45:23 你們的責任是要對霎哈嘉瑜伽真誠
00:44:46:06 00:44:49:03 若你真誠的做任何事
00:44:49:09 00:44:52:01 你便不會想及我之前
00:44:52:07 00:44:53:24 聽過的荒謬的爭論
00:44:54:07 00:44:55:15 你只會想
00:44:55:15 00:44:59:10 我們愛母親，我們已經在一起，要在一起
00:44:59:16 00:45:01:10 要彼此相愛
00:45:01:10 00:45:05:01 每時每刻都要互相說美好的話
00:45:05:07 00:45:07:10 那麽，愛便會增長
00:45:10:02 00:45:14:08 任何其他的，任何人
00:45:14:18 00:45:20:12 想說壞話，想破壞
00:45:20:19 00:45:25:04 想傷害人的心，都是在做邪惡的事情
00:45:25:04 00:45:26:10 這是罪
00:45:26:18 00:45:29:13 傷害聖人的心是最大的罪
00:45:29:13 00:45:31:09 他們會因此受懲罰
00:45:32:16 00:45:35:18 現在你們都是聖人和智者
00:45:36:01 00:45:38:10 你們要互相尊重
00:45:38:20 00:45:39:21 還要
00:45:40:02 00:45:47:16 享受你的真誠
00:45:47:16 00:45:48:20 就是這樣
00:45:48:20 00:45:51:03 我想說的是，要享受你的真誠
00:45:51:03 00:45:53:19 當你的腦袋出現愚蠢念頭時
00:45:54:00 00:45:55:06 丟掉它們吧
00:45:55:06 00:45:57:22 我到處都聽到很多爭論
00:45:57:22 00:46:00:06 我想：「這是甚麼？他們是霎哈嘉瑜伽士
00:46:00:06 00:46:02:16 還是在街上的普通人？
00:46:03:16 00:46:06:15 這正在發生，然後小朋友，這樣發生，那…
00:46:06:23 00:46:09:12 關於孩子，我已經告訴你
00:46:09:12 00:46:11:04 送你們的子女到印度
00:46:11:19 00:46:14:04 你們對他們太自私了
00:46:14:24 00:46:17:09 你們知道他們發展得不妥當
00:46:17:18 00:46:19:04 因此送他們到印度吧
00:46:19:18 00:46:21:16 這樣做你才能開放你的心
00:46:21:16 00:46:23:19 因為全世界都是你的親人
00:46:24:01 00:46:25:21 全世界都是你的家庭
00:46:26:04 00:46:28:02 無論你到任何地方
00:46:28:10 00:46:32:09 都會找到愛你的
00:46:32:09 00:46:33:13 關心你的
00:46:33:13 00:46:35:12 會為你做任何事的人
00:46:35:12 00:46:37:02 我是說你要知道在每處
00:46:37:02 00:46:38:20 都有人在
00:46:39:03 00:46:42:09 等着與你見面
00:46:44:05 00:46:45:16 這一刻我在想：
00:46:45:22 00:46:47:13 這些音樂家會去新加坡
00:46:47:13 00:46:50:00 甚麼會發生？他們住在哪裡？」
00:46:50:00 00:46:52:03 這是個大問題，試試這樣那樣吧
00:46:52:03 00:46:56:03 我做了個班丹，突然就接到巴拿的電話
00:46:56:09 00:46:59:12 他告訴我：「完全沒有問題
00:46:59:12 00:47:01:17 我會告訴我媽媽，她會照顧他們。」
00:47:03:14 00:47:05:05 問題就這樣解決了
00:47:05:05 00:47:09:06 任何問題，因你的真誠
00:47:09:06 00:47:11:23 你的問題都能解決。但如果你不真誠
00:47:12:05 00:47:15:16 你只會遇到不真誠的人
00:47:17:10 00:47:21:04 你自降了自己的人格，也降低了別人的人格
00:47:21:13 00:47:23:21 你在霎哈嘉瑜伽不再佔任何席位
00:47:23:21 00:47:27:07 霎哈嘉瑜伽是沒有位置給不真誠的人
00:47:27:13 00:47:29:05 因此，嘗試發展你的真誠
00:47:29:11 00:47:32:13 盡量不斷提昇靈量
00:47:32:22 00:47:34:08 把靈量保持在哪裏
00:47:34:15 00:47:39:12 保持在頂輪上，要看到你的心敞開
00:47:39:12 00:47:40:16 這是最好的方法
00:47:40:16 00:47:43:02 他們都在問我「怎樣打開我們的心？」
00:47:43:08 00:47:47:02 我說：「用鑰匙吧。」現在，我不知如何告訴他們
00:47:47:12 00:47:50:21 「打開你的心」即是提昇靈量
00:47:51:13 00:47:53:02 把靈量維持在梵穴
00:47:53:08 00:47:55:24 直到你的梵穴打開
00:47:56:05 00:48:00:24 不只如此，透過擴大你的心
00:48:00:24 00:48:03:13 對人友善，你有甚麽感覺
00:48:03:13 00:48:05:18 有些人說話不多
00:48:05:24 00:48:10:08 不大與人來往，對人有保留
00:48:10:08 00:48:12:07 他們好像活在空氣中
00:48:12:07 00:48:15:02 這類人必定是有負性能量
00:48:15:02 00:48:17:02 亡靈坐在他們的頭上
00:48:17:02 00:48:20:21 不然，對霎哈嘉瑜伽士來說這是很不自然的行為
00:48:22:02 00:48:26:16 今天我告訴你很多東西，因為我想大家吸收關懷
00:48:26:16 00:48:29:15 愛心、熱情、智慧
00:48:30:07 00:48:34:23 和忍耐這些素質
00:48:34:23 00:48:38:05 若我是你的導師，若我是你的母親
00:48:38:24 00:48:41:15 你必須吸收這些素質
00:48:43:04 00:48:45:05 我對所有的事情都感到憂心
00:48:45:05 00:48:47:04 若有人有麻煩，我會擔心
00:48:47:10 00:48:52:16 我會儘量解決那人的問題
00:48:52:16 00:48:56:09 任何人有問題，我就---問題就會附着我
00:48:57:13 00:49:00:13 直到我把問題解決
00:49:01:12 00:49:04:05 我會坦白的向你說你的孩子
00:49:04:12 00:49:07:09 你的妻子，你的丈夫︰
00:49:07:09 00:49:09:13 這樣不妥，要把它糾正過來
00:49:09:24 00:49:12:08 因為我關心你
00:49:14:02 00:49:19:15 這是對霎哈嘉瑜伽士
00:49:20:01 00:49:25:07 對霎哈嘉瑜伽應有的態度。這樣會大大的強化你
00:49:25:07 00:49:28:07 因為你關心人，別人因此也關心你
00:49:28:13 00:49:31:02 你能否想像我這樣的印度女士
00:49:31:02 00:49:33:18 能得到這麼多人的關心
00:49:35:04 00:49:37:15 他們為甚麼要關心我
00:49:39:10 00:49:41:05 當然，你們是霎哈嘉瑜伽士
00:49:41:05 00:49:44:13 但有些人並不是霎哈嘉瑜伽士，我告訴你
00:49:45:09 00:49:46:22 他們並非霎哈嘉瑜伽士
00:49:46:22 00:49:48:16 我從小就認識他們
00:49:49:00 00:49:51:24 我的親人---他們全都關心我
00:49:51:24 00:49:54:08 只因一個原因，因為我關心他們
00:49:54:20 00:49:56:19 我對他們費心
00:49:57:05 00:50:00:03 任何人告訴我他的問題，問題就在我腦海中
00:50:00:03 00:50:03:00 像郵票般貼在哪兒
00:50:03:22 00:50:05:19 直至問題得到解決
00:50:06:06 00:50:09:16 我會想盡辦法去解決它。
00:50:11:00 00:50:14:13 而我自己卻沒有任何問題
00:50:14:13 00:50:15:08 同樣
00:50:15:08 00:50:17:22 你也不應有自己的問題
00:50:17:22 00:50:20:02 只有你才能處理
00:50:20:17 00:50:24:08 明白嗎？願神祝福你們！
00:50:25:04 00:50:27:12 我希望明年
00:50:27:24 00:50:32:24 你們都能來到我在印度的生日
00:50:32:24 00:50:35:20 我們會安排像這樣的旅遊節目
00:50:35:20 00:50:37:16 或者可以做到
00:50:37:23 00:50:41:09 我們會看看你們來
00:50:41:15 00:50:43:17 這裡的費用可否便宜一點
00:50:43:17 00:50:46:07 我們要處理很多事，事情都可以解決的
