00:00:28:08 00:00:31:05 願神祝福你們
00:25:32:19 00:25:34:16 所以為甚麽，為甚麽要這樣做？有甚麽用呢？
00:25:35:01 00:25:38:04 誰會去看，誰會因此受影響？
00:25:38:13 00:25:43:12 我們不必要的浪費精力在這些事情上
00:25:43:24 00:25:46:02 我不是說你要嚴密管制自己
00:25:46:11 00:25:50:02 完全不是這個意思
00:25:50:10 00:25:52:14 我的意思是任何事情能節省思考的精力，你也要去做
00:25:52:22 00:25:55:16 對細微瑣碎的事情，沒有需要多樣化
00:25:56:01 00:25:58:12 而這個國家，我也曾告訴你
00:25:58:23 00:26:00:14 每一個水龍頭
00:26:01:00 00:26:02:10 每一個把手都要不同款式
00:26:02:21 00:26:06:02 每一片磚也要不同，有甚麽需要呢？
00:26:06:13 00:26:09:04 需要多樣化的是富藝術感的事物
00:26:09:17 00:26:12:15 需要不同的是紗麗，因為它很富美感
00:26:13:01 00:26:14:19 至於襯衫的針線，完全
00:26:15:04 00:26:16:06 沒有藝術可言
00:26:16:16 00:26:19:03 所以富藝術感的事物可以不同
00:26:19:14 00:26:21:10 但任何世俗的就沒有此需要
00:26:21:21 00:26:23:21 對於機器，為何
00:26:24:06 00:26:25:11 你要有不同，你會變瘋
00:26:25:22 00:26:28:04 你走進店子裡，有二十種不同的物品
00:26:28:14 00:26:31:08 你不知道該買那一件，全都是由機器製造的
00:26:31:18 00:26:33:01 這個好，那個也好
00:26:33:11 00:26:35:15 接著另一個人走進來，他說︰「不好。」
00:26:36:00 00:26:37:12 你感到受傷害
00:26:37:21 00:26:41:13 若你要擁有世俗的物品，只需擁有小量就可以了
00:26:41:23 00:26:45:15 這樣你便不會有太多頭痛
00:26:46:00 00:26:48:13 所以最佳避免這些問題的方法是
00:26:48:22 00:26:51:06 運用你新的生命能量感知
00:26:51:15 00:26:53:05 那麽你便可以節省精力
00:26:53:15 00:26:55:09 必須節省精力
00:26:55:22 00:26:59:07 若你不放注意力在
00:26:59:17 00:27:03:14 不是你行事作風的事物上，不去你不該去的地方
00:27:03:23 00:27:06:13 便能節省精力。只看生命能量。若我購物
00:27:06:24 00:27:09:05 我現在購物是為了好幾個原因，你也知道
00:27:09:16 00:27:11:23 其一是把我的生命能量放在那裡
00:27:12:08 00:27:16:03 其二是把生命能量
00:27:16:12 00:27:17:18 放在市場的人
00:27:18:02 00:27:19:22 其三是看著一切
00:27:20:06 00:27:21:24 那麽我的注意力便能放在他們身上
00:27:22:10 00:27:25:05 其四是買一點東西給人
00:27:25:17 00:27:29:01 若你喜歡某些物品，只是因它有生命能量
00:27:29:10 00:27:32:08 不知怎的我便買下它
00:27:33:20 00:27:35:17 因為要把它送給別人
00:27:36:04 00:27:38:02 又或它遲些才有用
00:27:38:12 00:27:42:03 我只是把它買下，擁有它，很方便隨意的就把它買下
00:27:43:17 00:27:45:24 你就是要採取這種態度
00:27:46:10 00:27:48:16 相反，若你只是不停的︰
00:27:49:02 00:27:51:16 「我喜歡這個，我不喜歡那個。」關於你的妻子
00:27:52:02 00:27:55:15 你的工作，你的一切，你都會不肯定
00:27:55:24 00:27:57:00 這些日子，美國人對
00:27:57:09 00:27:59:22 他們的工作的態度是很稀奇古怪
00:28:00:07 00:28:01:12 我要說有關這些事情
00:28:01:21 00:28:02:24 因為你們要面對這個問題
00:28:03:09 00:28:05:05 今天他們做一些工作︰「我不喜歡我的工作
00:28:05:15 00:28:07:06 我不喜歡我的老板。」另一份工作
00:28:07:18 00:28:09:11 他們轉換了工作，
00:28:09:21 00:28:11:06 接著第三份工作，又轉換了工作
00:28:11:14 00:28:13:15 他們喜歡改變，常常都是這樣
00:28:14:00 00:28:15:20 真是要發瘋了。我告訴你
00:28:16:05 00:28:18:00 轉換你的妻子，你的房子
00:28:18:09 00:28:20:23 你的一切，為甚麽？
00:28:21:09 00:28:25:06 最好只有一個妻子
00:28:25:17 00:28:28:20 最好一生中至多只轉換兩份工作
00:28:29:08 00:28:33:15 最好至多搬三次屋
00:28:34:00 00:28:35:20 多於這些次數你便會頭痛
00:28:36:04 00:28:38:03 是說對我而言，因為我丈夫的品性，我曾經
00:28:38:11 00:28:41:22 轉換過四十所房子
00:28:43:23 00:28:48:07 但我不同，因為我就是那種
00:28:48:16 00:28:51:06 絕對不會因任何轉變而受困擾的人
00:28:51:17 00:28:54:00 但你卻不同，所以不要浪費精力
00:28:54:11 00:28:56:10 要明白這些是很重要的
00:28:56:22 00:29:00:16 不要不停的轉換工作，這是很重要的
00:29:01:09 00:29:03:11 我告訴，因為這也是一種時尚
00:29:03:24 00:29:05:23 我告訴你有關德格的事情，他常常轉工
00:29:06:09 00:29:08:00 每一次他出現財政問題
00:29:08:10 00:29:12:10 都是因為轉了工。有天我告訴他︰
00:29:12:20 00:29:15:02 「德格，若你轉這份工…」
00:29:15:10 00:29:16:23 因為我感到生命能量妥當---
00:29:17:11 00:29:18:14 若你轉這份工
00:29:18:24 00:29:20:13 你不用再來見我
00:29:21:00 00:29:24:12 今天他擁有房子，擁有車子
00:29:24:22 00:29:28:17 銀行有存款，他做得很好
00:29:31:24 00:29:34:15 所以這也是我要頭痛的事情︰
00:29:35:00 00:29:39:05 母親，我沒有工作，沒有錢，我該怎辦？
00:29:39:18 00:29:43:09 每一次有人到印度，他們都會說︰
00:29:43:20 00:29:46:02 母親，我沒錢，很抱歉我不能付你錢
00:29:46:12 00:29:48:05 好吧，不要緊
00:29:48:15 00:29:51:14 最少…這次最少有五個人
00:29:52:00 00:29:54:09 之前我想是有二十個人
00:29:54:21 00:29:56:17 每一次都發生這種事
00:29:57:04 00:30:00:02 所以現在我們要明白，我們要有工作
00:30:00:11 00:30:02:01 我們要是個值得人尊重的人
00:30:02:14 00:30:04:05 要有恰當的學歷
00:30:04:16 00:30:06:21 若有可能，要取得一點學歷
00:30:07:07 00:30:09:03 你們都是聰明人
00:30:09:15 00:30:11:15 你們都能取得學歷
00:30:12:02 00:30:14:16 你們在社會裡要受人尊重
00:30:15:02 00:30:17:01 不然，他們會想，這個母親
00:30:17:11 00:30:20:13 是乞丐的母親
00:30:22:11 00:30:26:03 所以你要在你的工作，你的房子裡穩定鞏固自己
00:30:26:15 00:30:31:00 要穩定鞏固自己，要學懂不要改變
00:30:36:01 00:30:40:18 改變令你不穩定，你明白嗎？
00:30:41:05 00:30:42:15 改變不是問題
00:30:42:24 00:30:45:02 我會克服它
00:30:45:15 00:30:49:12 若有需要，若這是行不通的
00:30:49:23 00:30:51:22 我們便要改變
00:30:52:08 00:30:54:12 這適用於一切
00:30:55:01 00:30:59:05 現在，導師搜購只是改變
00:30:59:17 00:31:03:02 你有越多導師，我便越頭痛
00:31:03:13 00:31:05:22 若你只有一個導師，一個可怕的導師
00:31:06:08 00:31:07:21 還可以，我很容易把你潔淨
00:31:08:07 00:31:10:20 但若你有二十個導師，我該怎麽辦？
00:31:11:07 00:31:13:16 一個常搜購導師的傢伙
00:31:14:01 00:31:15:20 我不能明白他的個性
00:31:16:07 00:31:17:20 我說︰「你怎麽了？」
00:31:18:05 00:31:20:20 每一個問題，你把問題說出，問題就在這裡
00:31:21:08 00:31:22:17 我說︰「這是個怎樣的傢伙？」
00:31:23:01 00:31:24:03 所以我說︰「好吧，把所有
00:31:24:13 00:31:25:19 你到過的導師的名字寫下
00:31:26:04 00:31:30:08 他寫滿整整三張紙，底面都滿滿的
00:31:31:01 00:31:33:03 我說︰「很抱歉，先生，我幫不了你。」
00:31:33:14 00:31:34:21 他說︰「母親，你要幫我
00:31:35:05 00:31:36:23 因為這是即時的問題
00:31:37:08 00:31:39:03 我說︰「甚麽是即時的問題？」
00:31:39:14 00:31:41:18 我現在要變成女人
00:31:42:05 00:31:45:00 我說︰「吓？」
00:31:45:11 00:31:48:22 醫生說我要變成女人
00:31:49:15 00:31:51:23 我說︰「這的確是即時的問題。」
00:31:52:09 00:31:56:02 我說︰「我只能做到這樣，你需要大量的潔淨。」
00:31:56:16 00:31:58:17 他有時看來像哈奴曼
00:31:59:02 00:32:00:14 有時像個瘋子
00:32:00:24 00:32:02:03 但常常甚麽都像
00:32:02:12 00:32:04:22 因為有很多導師在他身上運作
00:32:05:08 00:32:09:00 他最終把自己潔淨
00:32:09:09 00:32:11:06 他的問題便解決了
00:32:11:17 00:32:13:19 即使是現在，我也不會說他是個霎哈嘉瑜伽士
00:32:14:03 00:32:16:17 雖然他很博學，懂梵文
00:32:16:24 00:32:18:02 因為他曾經到過很多導師那裡
00:32:18:10 00:32:21:16 各種類型的導師他都到過
00:32:22:06 00:32:26:00 就是因為要改變︰「有甚麽錯？」
00:32:26:21 00:32:30:21 一旦你來到霎哈嘉瑜伽，便要停止
00:32:31:14 00:32:34:10 停止一切
00:32:34:23 00:32:38:00 我要強調的第二點是
00:32:38:13 00:32:41:01 一旦你來霎哈嘉瑜伽
00:32:41:13 00:32:44:09 把你的焦點先放在我身上，放在霎哈嘉瑜伽上
00:32:44:21 00:32:45:19 然後才放在其他事物上
00:32:46:04 00:32:47:16 就像基督徒，當他們來霎哈嘉瑜伽
00:32:48:02 00:32:50:03 他們不能接受格涅沙
00:32:50:16 00:32:54:14 印度人來霎哈嘉瑜伽，則不能接受基督
00:32:55:00 00:32:58:20 穆斯林來霎哈嘉瑜伽，不能接受崇拜
00:32:59:09 00:33:01:21 每個人都背負著某些擔子來
00:33:02:07 00:33:05:10 所以最好還是把擔子放在我的蓮足下，就這樣
00:33:05:21 00:33:08:15 現在你透過我的棱鏡去看他們
00:33:09:03 00:33:13:04 透過我…最好以這種方式去理解
00:33:13:15 00:33:16:00 那些以這種方式理解我的人
00:33:16:13 00:33:19:10 就能以完美的方式去理解霎哈嘉瑜伽
00:33:19:21 00:33:22:11 對過往沒有狂熱，
00:33:22:22 00:33:24:15 對霎哈嘉瑜伽也沒有
00:33:24:24 00:33:28:07 所以他們與母親的理解是一樣的
00:33:28:17 00:33:31:04 不會貼附著
00:33:31:14 00:33:33:05 任何一種事物
00:33:33:17 00:33:36:17 這不代表若你稱呼我
00:33:37:02 00:33:39:16 為女神迦利，便是侮辱我
00:33:40:02 00:33:43:09 又或你稱呼我為瑪塔吉‧涅瑪拉‧德維，便是抬舉我
00:33:43:19 00:33:45:21 全都在這裡
00:33:46:09 00:33:49:09 你們要明白，這全都
00:33:50:03 00:33:53:04 與我們的區分有關
00:33:53:15 00:33:56:19 神沒有這種區分
00:33:57:13 00:34:00:05 祂腦海裡沒有美國
00:34:00:17 00:34:02:24 沒有任何區分
00:34:03:11 00:34:06:18 我們是否只是像這樣︰「現在我只是我的喉輪。」
00:34:07:05 00:34:08:08 我們會否像這樣存在？
00:34:08:18 00:34:10:21 或「我只是我的鼻子。」我們會否這樣？
00:34:11:08 00:34:12:22 我們是擁有整個身體
00:34:13:10 00:34:17:13 所以神是…雖然祂有鼻子，有耳朵
00:34:18:00 00:34:20:09 祂有一切，但是祂是神
00:34:20:20 00:34:23:01 祂不是只有鼻子，分裂的
00:34:23:13 00:34:25:10 祂的存在不會像分裂出來的美國
00:34:25:20 00:34:28:09 祂是整體的
00:34:28:21 00:34:34:02 一切都與整體有關
00:34:34:22 00:34:37:10 當這樣的事情發生在我們身上
00:34:37:21 00:34:41:01 就是我們現在與整體，原初的存在體連上
00:34:41:14 00:34:43:07 我們不應
00:34:43:17 00:34:44:22 因為我們的制約而
00:34:45:09 00:34:47:17 把自己本土化
00:34:48:06 00:34:49:19 不應把自己局限於本土的特質
00:34:50:01 00:34:51:22 我們應該是流動的
00:34:52:10 00:34:55:13 我發覺很難要天主教徒
00:34:55:24 00:35:00:00 以同樣的虔敬去敬拜格涅沙
00:35:00:12 00:35:01:14 因為他們受制約所限
00:35:02:00 00:35:03:18 所以要試著把基督放下一會兒
00:35:04:03 00:35:05:10 完全把基督放下
00:35:05:23 00:35:09:08 來霎哈嘉瑜伽，那麽你便能對祂有恰當的見解
00:35:09:21 00:35:11:15 因為問題在於
00:35:12:02 00:35:17:09 除非你往自己內裡看
00:35:17:18 00:35:20:01 一切途徑道路都走向同一目標
00:35:20:14 00:35:22:21 全都是一樣的，完全沒有任何分別
00:35:23:07 00:35:24:17 先要向內
00:35:25:00 00:35:26:19 放棄一切，進入內在
00:35:27:04 00:35:29:11 你便會知道一切都是一樣的
00:35:29:23 00:35:31:16 這是很重要
00:35:32:03 00:35:34:08 一旦你看到這樣
00:35:34:19 00:35:38:01 這是那麽漂亮美麗，你毫不複雜
00:35:38:13 00:35:42:06 不屬於任何特別的教派
00:35:42:18 00:35:45:03 特別的導師，或特別的東西
00:35:45:14 00:35:49:10 你可以看看，即使所謂的宗教也像教派
00:35:49:18 00:35:51:15 它們像教派，它們有制約
00:35:52:01 00:35:54:02 只會為你帶來制約
00:35:54:10 00:35:55:14 和幻象
00:35:55:23 00:35:57:04 我們不要活在幻象裡
00:35:57:13 00:35:58:15 要活在實相裡
00:35:58:24 00:36:02:19 實相就是所有這些精粹都是一體
00:36:03:06 00:36:05:08 你要進入它們內裡
00:36:05:19 00:36:09:12 這樣我們才能看到，它們都是一體
00:36:10:00 00:36:13:20 我感到對像美國那樣的國家也是很重要的
00:36:14:04 00:36:17:07 因為有太多分歧
00:36:17:17 00:36:21:02 太多分歧，我也感到很驚訝
00:36:21:12 00:36:23:13 任何你能說出的事物都能在美國找到
00:36:23:23 00:36:26:15 幾天前我發展了一種叫摩門教的東西
00:36:27:04 00:36:30:06 摩門或某種摩門
00:36:30:19 00:36:32:12 只要說出它的名字，就能在美國找到
00:36:32:21 00:36:36:18 我不知道這些不同種類的東西怎會在這裡聚集
00:36:37:04 00:36:40:05 每一種導師，我是說你都能在這裡找到
00:36:40:13 00:36:41:20 我從未聽過這樣多名稱
00:36:42:05 00:36:44:17 每一次我來這裡，也會發現有新的導師出現
00:36:45:03 00:36:48:14 為甚麽這些事物能在美國昌盛
00:36:48:22 00:36:50:03 像蘑菇一樣，你明白嗎？
00:36:50:13 00:36:53:08 蘑菇般在生長，這是…它是否腐壞的東西？
00:36:53:19 00:36:56:16 只有蘑菇生長為菌類
00:36:57:07 00:37:01:19 它是否在腐蝕這個國家？發生了甚麽？為甚麽？
00:37:02:08 00:37:04:15 就是人類的腦袋思維
00:37:05:03 00:37:08:19 這裡的人類腦袋常常想要新事物
00:37:09:04 00:37:11:14 供應便應運而生
00:37:12:01 00:37:14:03 他們因此變得不穩定
00:37:14:15 00:37:17:22 美國人的品性最大的問題
00:37:18:09 00:37:20:20 是他們很不穩定
00:37:22:19 00:37:25:06 你問他們︰「你好嗎？」他們會說…
00:37:26:02 00:37:27:02 以你喜歡的方式去理解
00:37:27:12 00:37:30:13 他們從不會說︰「你好嗎？」…
00:37:31:14 00:37:32:23 你對此有何理解？
00:37:33:07 00:37:35:10 我是說印度人就不能理解
00:37:35:22 00:37:37:22 若有人這樣說，一個印度人，你明白
00:37:38:06 00:37:39:02 若你問他︰「你好嗎？」
00:37:39:12 00:37:42:19 他卻像這樣回答，他們會說︰「你瘋了嗎？」
00:37:46:04 00:37:48:22 若你問他們︰「你明白嗎？」
00:37:49:07 00:37:51:12 我很混亂
00:37:52:00 00:37:53:11 印度人從不說這種話︰
00:37:53:20 00:37:55:19 「我很混亂。」他確信︰
00:37:56:06 00:37:58:09 「我很混亂」代表你是瘋子或是甚麽？
00:37:58:21 00:38:02:20 為甚麽你會混亂？你腦袋出問題了？
00:38:04:11 00:38:06:11 所有這些想法
00:38:06:24 00:38:09:14 都令你不穩定
00:38:10:01 00:38:12:07 無聊、虛假膚淺
00:38:12:19 00:38:15:16 你真的被虛假表面的東西
00:38:16:04 00:38:17:19 轟炸著，我能看到
00:38:18:06 00:38:21:04 從每一處，你看，媒體，這個那個
00:38:21:13 00:38:23:04 都是虛假膚淺
00:38:23:14 00:38:27:05 它真的殺掉人類內在的胚芽種子
00:38:27:17 00:38:28:20 你想與它一起生活
00:38:29:06 00:38:31:13 那麽你便想以這種方式思考
00:38:32:10 00:38:35:20 你真的失去真我，與自己的一切聯繫也失去了
00:38:36:03 00:38:38:14 在這種情況下，我們要知道一個
00:38:38:22 00:38:40:13 漂亮的事實
00:38:40:23 00:38:44:10 就是很多求道者在這個國家出生
00:38:44:20 00:38:48:20 我最先探訪的國家就是美國
00:38:50:02 00:38:53:03 我肯定聖地牙哥是它最先開展的地方
00:38:53:11 00:38:56:02 我感到…
00:38:56:18 00:38:59:07 (馬拉地語)
00:39:02:09 00:39:04:19 所以這個地方很重要，我很高興
00:39:05:03 00:39:08:02 你們安排這個美妙的崇拜
00:39:08:12 00:39:09:24 我們要做這個崇拜
00:39:10:10 00:39:15:11 我可以肯定我們會有時間
00:39:16:01 00:39:19:15 特別美好的時光會來臨
00:39:20:04 00:39:25:18 一方面美國會進化
00:39:26:04 00:39:28:14 另一方面，墨西哥
00:39:29:01 00:39:31:23 都能從聖地牙哥成就到
00:39:32:09 00:39:35:21 這是美好的一天，你請求作這個崇拜
00:39:36:08 00:39:37:20 我很高興
00:39:38:06 00:39:40:02 今天是女神的日子
00:39:40:12 00:39:45:05 (馬拉地語)—trayodashi
00:39:49:04 00:39:52:03 Trayodashi是最好的，第十三天
00:39:52:15 00:39:57:13 (馬拉地語)
00:40:09:16 00:40:13:12 看看生命能量，你不需要任何崇拜
00:40:20:02 00:40:22:18 沒有需要作崇拜，真的，今天生命能量是那麽多
00:40:23:03 00:40:24:09 所以今天是個了不起的日子
00:40:24:17 00:40:26:23 很高興他請求在這裡作崇拜
00:40:27:12 00:40:32:02 所以從現在開始…若你有
00:40:32:15 00:40:35:18 任何問題，任何問題
00:40:36:04 00:40:38:07 要讓我知道
00:40:38:20 00:40:40:18 有一件事，霎哈嘉瑜伽士
00:40:41:02 00:40:44:07 不應是個嚴肅的人，此其一
00:40:45:22 00:40:48:14 霎哈嘉瑜伽士沒有必要嚴肅
00:40:49:02 00:40:51:12 你要常微笑，大笑，享受一切
00:40:51:23 00:40:54:11 若他是嚴肅的，就不是霎哈嘉瑜伽士
00:40:54:21 00:40:57:03 我不能保持嚴肅多於五分鐘
00:40:57:11 00:40:58:19 最多五分鐘
00:40:59:04 00:41:02:00 即使我要責罵人，我也要
00:41:02:11 00:41:04:20 準備好才來叫罵
00:41:05:05 00:41:07:21 五分鐘後，若我不走開
00:41:08:09 00:41:10:04 你會發覺我再次笑
00:41:10:16 00:41:12:23 不能…全都是笑話
00:41:18:07 00:41:21:10 所以沒有人要嚴肅，此其一
00:41:21:21 00:41:22:24 沒有人要嚴肅
00:41:23:08 00:41:25:07 你要常微笑，做個快樂人
00:41:25:18 00:41:28:05 因為你內在有喜樂，有甚麽？
00:41:28:16 00:41:33:11 只要想︰「我很悲慘，我很悲慘。」你要明白
00:41:35:03 00:41:36:23 這是法式的
00:41:37:10 00:41:39:17 法式的。當我首次到法國，他們告訴我︰
00:41:40:02 00:41:45:19 「母親，你看來太開心。」對法國人而言
00:41:46:09 00:41:47:10 我說︰「我該怎麽辦？」
00:41:47:20 00:41:49:10 回答︰「你看不看到，他們都是非常…
00:41:49:19 00:41:52:02 他們都認為自己是很痛苦不幸的人，諸如此類
00:41:52:15 00:41:54:08 我因此說︰「好吧。」我說︰
00:41:54:16 00:41:56:12 現在你看，你們全都是悲慘世界(les miserables)
00:41:56:23 00:41:59:18 你也知道維克多‧雨果(Victor Hugo)寫了「悲慘世界」
00:42:00:04 00:42:02:03 我說︰「好吧，你是悲慘世界
00:42:02:12 00:42:04:20 我卻是個完全不悲慘的人
00:42:05:07 00:42:07:24 無論如何
00:42:08:10 00:42:12:20 若每三幢房子有一所酒吧
00:42:13:06 00:42:15:13 每十幢房子有一個妓女
00:42:16:02 00:42:19:10 你會是很不幸，甚麽會發生？
00:42:20:03 00:42:21:03 我是說你便深陷其中。」就是這樣
00:42:21:13 00:42:24:02 即使瑜伽士馬哈讚也告訴我︰
00:42:24:15 00:42:27:14 母親，我們想找張你一臉嚴肅的照片
00:42:27:22 00:42:29:06 但卻很難找到
00:42:29:17 00:42:33:00 我們想把你嚴肅的樣子的照片擺放出來
00:42:33:13 00:42:36:00 最終他找到一幀
00:42:36:12 00:42:37:22 我很可怕的照片
00:42:38:10 00:42:41:01 當他告訴我︰「這是張好照片
00:42:41:11 00:42:44:17 你看來很平靜安祥。」這樣、那樣的描述
00:42:45:01 00:42:47:21 當我看到那照片，我說︰「照片很可怕。」
00:42:48:10 00:42:50:01 他說︰「真的嗎？」
00:42:50:10 00:42:53:00 我說︰「好吧，讓我告訴你是誰拍下的。」
00:42:53:10 00:42:56:18 他說︰「誰？」我告訴他一個名字，他很震驚
00:42:57:05 00:42:59:15 我說︰「就是這個女士給你的
00:43:00:00 00:43:01:19 你知道她現在在哪裡
00:43:02:07 00:43:06:04 他對我告訴他的名字很震驚，「珍妮」
00:43:09:10 00:43:12:10 我說︰「你就是寄這張照片到美國。」
00:43:12:20 00:43:15:16 我知道美國人會受這張照片吸引
00:43:15:23 00:43:18:23 因為他們都是悲傷不幸
00:43:19:10 00:43:21:17 但受這張照片
00:43:22:01 00:43:24:19 吸引的人會很快離開
00:43:25:06 00:43:28:17 他們不會貼附著…你不明白這一點
00:43:29:05 00:43:30:18 他們不是那種會貼附的類型
00:43:31:01 00:43:32:13 就像在蘇格蘭，我到哪裡
00:43:32:23 00:43:36:00 我看到有張照片，令我很震驚
00:43:36:11 00:43:39:05 我們到飯店用餐
00:43:39:13 00:43:41:22 我看到我的照片，我說︰「是誰拍下的？」
00:43:42:07 00:43:44:16 他們說︰「其中一個澳洲人。」
00:43:45:02 00:43:47:16 我說︰「是誰弄來的？
00:43:48:04 00:43:50:23 因為照片不好，很差
00:43:51:12 00:43:56:19 他們說︰「這是某人很突然的拍下。」
00:43:57:04 00:43:58:08 我說︰「我告訴你們這個人的名字。」
00:43:58:18 00:44:02:00 我告訴他們誰拍下的，希拉里
00:44:02:20 00:44:05:01 他們都很驚嘆
00:44:05:14 00:44:07:21 我說︰「這張照片不好。」
00:44:08:06 00:44:10:13 但他們卻把它放在每一處。我說︰「算了吧。」
00:44:11:00 00:44:14:18 很多人來我的講座，各式各樣滑稽可笑的人
00:44:15:04 00:44:17:07 有些只有一只眼睛，有些只有一只鼻子
00:44:17:15 00:44:21:16 有些有某些不妥當，全都有缺憾︰
00:44:22:01 00:44:25:10 「天啊！」我說︰「就是因為這張照片。」
00:44:25:24 00:44:29:05 沒有一個再回來
00:44:29:20 00:44:31:08 最少有五、
00:44:31:17 00:44:34:13 六百人來講座，就像這樣，你看
00:44:34:23 00:44:37:18 (馬拉地語)
00:44:38:12 00:44:42:17 沒有一個回來
00:44:43:07 00:44:47:11 全是亡靈(bhoots)，被亡靈吸引，我能看到
00:44:47:19 00:44:51:09 他們是被我的照片驅走的
00:44:53:06 00:44:57:08 那個為我照相的人
00:44:57:22 00:45:02:12 也反映在相片中
00:45:03:07 00:45:06:16 你必定曾經看過雷拍的照片都很好
00:45:07:03 00:45:08:16 我不知道這裡那張照片是雷拍的
00:45:09:01 00:45:11:06 雷拍的照片通常都是很好的
00:45:11:17 00:45:14:08 這次的雷，他有個很滑稽可笑的妻子
00:45:14:20 00:45:16:18 他到印度去，有印度人告訴我︰
00:45:17:05 00:45:19:09 母親，我不知道雷是怎會這樣墮落
00:45:19:17 00:45:20:13 這樣是不會發生在印度
00:45:20:22 00:45:22:24 一旦他們成為霎哈嘉瑜伽士，便會改善
00:45:23:10 00:45:26:18 但這個傢伙卻剛好相反，現在該怎麽辦？
00:45:27:06 00:45:29:05 他們說︰「母親，他在走下坡，該怎辦？」
00:45:29:15 00:45:32:19 我說︰「必定是有些不妥，該怎辦？」
00:45:33:07 00:45:35:00 當我回來，你明白
00:45:35:09 00:45:37:02 雷帶來了三四張我的照片
00:45:37:10 00:45:39:04 當他向人展示這些照片，每個人都很驚訝
00:45:39:14 00:45:42:12 這些不是母親的照片
00:45:43:02 00:45:47:01 他要把它們拿回，就是這樣
00:45:47:10 00:45:49:23 同一個雷，怕下這樣漂亮的照片的雷
00:45:50:09 00:45:53:01 今天卻拍下這種可怕的照片
00:45:53:12 00:45:57:14 你做的一切，你的一切成就
00:45:58:01 00:45:59:12 你都能分辨出來
00:45:59:24 00:46:05:04 你忽然變得極優雅，你也可以說
00:46:05:15 00:46:08:05 很巧妙地，一旦你是個好的霎哈嘉瑜伽士
00:46:08:14 00:46:11:17 一切都正常的流動
00:46:12:03 00:46:14:23 你可以分辨出來。以很簡單的方式
00:46:15:10 00:46:20:24 這個人也能令人喜悅，令人舒服
00:46:22:24 00:46:26:23 在這方面我已經向你們說了
00:46:27:07 00:46:31:09 很多我想說的話，在完結前
00:46:31:18 00:46:35:22 我要說因為喉輪，你已經變成sakshi
00:46:36:07 00:46:38:14 即旁觀者。你要變成旁觀者
00:46:39:02 00:46:41:23 要成為旁觀者，你必須毫不執著
00:46:42:09 00:46:45:07 這並不表示你要以很小錢生活
00:46:45:18 00:46:48:18 而是要嘗試不執著
00:46:49:04 00:46:53:00 感謝天，這次來自美國的霎哈嘉瑜伽士的體驗
00:46:53:12 00:46:55:01 並不那麽壞
00:46:55:11 00:46:56:17 他們都是很好的人
00:46:57:02 00:46:59:24 他們能好好的調節自己，自得其樂
00:47:00:09 00:47:01:16 這很好
00:47:02:00 00:47:07:16 我希望更多更多的人會來，也能自得其樂
00:47:08:02 00:47:10:21 你們也知道，有新的講座舉行
00:47:11:06 00:47:14:09 最好告訴我們你來不來
00:47:14:20 00:47:16:19 但不要在最後一刻才改變主意
00:47:17:06 00:47:21:21 這樣會為我們、為每個人帶來問題
00:47:22:09 00:47:25:13 所以請不要改變主意，若你不來，不要緊
00:47:25:24 00:47:28:15 你要訂一個限期，到時才決定
00:47:28:24 00:47:31:15 但不要改變主意。你看只有美國人才會這樣
00:47:32:01 00:47:34:12 其他人不會
00:47:34:22 00:47:36:00 我告訴你︰
00:47:36:09 00:47:38:20 現在不要再這樣了，讓更多美國人有機會來
00:47:39:04 00:47:41:14 我們要給他們多些機會，所以不要來，你會不來
00:47:41:24 00:47:44:24 可憐的傢伙，他們來了十天、五天
00:47:45:13 00:47:48:24 因為我們沒法為他們安排
00:47:49:23 00:47:51:19 所以你不要改變主意
00:47:52:08 00:47:55:17 若你來，你能決定
00:47:56:04 00:47:58:00 來與不來
00:47:58:11 00:48:02:02 若你不來，只要說︰「對，我們不來。」
00:48:02:11 00:48:05:09 又或若你來，只要說︰
00:48:05:18 00:48:07:22 「對，我們來。」你就是要這樣
00:48:08:09 00:48:11:20 最少這樣，不要改變
00:48:13:01 00:48:16:20 所以我再次要求你們按照你們本來的計畫程序行事
00:48:17:06 00:48:20:13 因為這真的會把事情弄糟
00:48:21:00 00:48:24:07 現在我們是隨著上天的韻律工作
00:48:24:20 00:48:27:08 所以我們沒權干擾這韻律
00:48:29:09 00:48:32:01 你或許是美國人，但你也知道，在霎哈嘉瑜伽
00:48:32:13 00:48:34:24 美國人並非被安置在很高的位置
00:48:35:13 00:48:37:01 你知道得很清楚
00:48:37:13 00:48:40:11 我們視意大利人就好得多
00:48:40:24 00:48:45:23 他們喜歡霎哈嘉瑜伽就像魚喜歡水
00:48:47:05 00:48:50:13 所以美國人要多努力
00:48:51:00 00:48:56:02 他們要多做一點以適應這調節
00:48:58:03 00:49:02:06 該怎麽辦？這樣偉大的國家，那麽多求道者
00:49:02:18 00:49:05:06 但他們已被摧毀，我該怎辦？
00:49:05:18 00:49:06:19 盡我的力量
00:49:07:04 00:49:09:13 你們全都要幫忙，亦要明白箇中的困難
00:49:09:24 00:49:12:05 你要對新來者仁慈友善，要看到
00:49:12:17 00:49:15:17 自己把他們弄妥
00:49:16:18 00:49:22:19 從聖地牙哥，我們想到我們的昇進
00:49:23:06 00:49:26:15 從這個角落，我們會照亮
00:49:27:01 00:49:30:05 整個美國
