00:00:35:12 00:00:37:22 靈將我們整合 ＂奧地利維也納
00:00:55:04 00:01:05:12 第四次公開講座 1982年9月30日
00:03:30:10 00:03:35:16 我向所有追求真理的人致敬
00:52:33:03 00:52:35:16 你擺脫這種二元性
00:52:36:00 00:52:38:15 而成為喜樂，喜樂是單一的
00:52:38:23 00:52:44:00 因為你成為戲劇的靜觀者
00:52:48:07 00:52:51:03 不再牽涉其中
00:52:56:03 00:52:58:23 就如你在水中
00:53:00:20 00:53:04:11 因為你看到四周的波浪
00:53:05:14 00:53:09:01 所以害怕會被水淹死
00:53:10:10 00:53:14:12 但若你上了船
00:53:16:09 00:53:21:07 穩定了；你安坐在船上
00:53:22:04 00:53:27:02 便會享受相同的波浪
00:53:28:03 00:53:32:03 你們就是要到達這種掌握能力
00:53:34:17 00:53:37:02 我給你另一個粗淺的比喻
00:53:37:10 00:53:41:14 但你不要想得太多
00:53:46:00 00:53:52:00 汽車有制動器和油門
00:53:57:20 00:54:04:09 我們同樣有制動器和油門
00:54:06:11 00:54:12:16 駕駛者儘量平衡兩者
00:54:15:04 00:54:20:14 便會成為專業的司機
00:54:21:20 00:54:25:12 他自動地駕駛
00:54:26:09 00:54:30:22 現在師傅坐在後面 – 即是靈
00:54:33:21 00:54:36:24 這專業的司機成為師傅
00:54:37:06 00:54:42:02 看著內裡的司機在駕駛
00:54:48:19 00:54:52:00 當你以旁觀者的身份看自己
00:54:52:09 00:54:56:23 你便不會牽涉在這笑話中
00:55:00:23 00:55:03:14 你一定見過有些小孩像這樣
00:55:03:21 00:55:06:11 以第三者身份來說話
00:55:09:16 00:55:15:04 例如他們會說：「約翰不會去那裡。」
00:55:16:20 00:55:20:18 今天有很多覺醒的靈在歐洲
00:55:21:02 00:55:26:06 英國和美國出生，所以我們要獲得自覺
00:55:26:21 00:55:31:03 去照顧他們
00:55:38:08 00:55:43:19 有偉大的聖人在這地球出生
00:55:45:20 00:55:51:19 他們說的是能量感知這種另類語言
00:55:54:21 00:55:59:17 若他們遇上問題，會以吸吮相關的手指來表示
00:56:05:10 00:56:09:14 很多聖者想出生
00:56:10:12 00:56:13:17 但他們會避開那些不了解
00:56:13:24 00:56:19:05 不尊重，不愛護孩子的國家
00:56:24:11 00:56:27:23 所有已婚的霎哈嘉瑜伽士都會
00:56:28:05 00:56:34:14 生下偉大的聖者，了不起的人
00:56:37:20 00:56:41:07 我請你們所有人知道
00:56:41:13 00:56:43:18 復活的時候到了
00:56:44:03 00:56:48:02 審判你們的時候到了
00:56:56:21 00:56:59:13 很多人時常問我同一個問題：
00:56:59:21 00:57:02:23 「進食前先清潔自己好嗎 
00:57:03:04 00:57:08:00 我們還未準備好。」
00:57:15:04 00:57:18:19 你不用審判自己
00:57:20:04 00:57:22:07 這些事情你在前世已經做過
00:57:22:16 00:57:26:12 現在不用再做了
00:57:32:03 00:57:35:03 另外，我們要知道，這個宇宙的創造者
00:57:35:11 00:57:37:14 更着緊拯救
00:57:38:02 00:57:41:16 祂的創造
00:57:48:09 00:57:53:04 祂的每一個向度特點都忙於幫助你們
00:57:56:06 00:57:58:20 若祂要拯救祂的創造物
00:58:02:17 00:58:06:11 祂就要拯救人類
00:58:07:09 00:58:10:12 開花結果的時候到了
00:58:10:20 00:58:14:18 很多花朵會成為果實
00:58:18:21 00:58:24:08 霎哈嘉瑜伽遠古已經存在
00:58:29:19 00:58:32:09 那些獲得自覺的人都是自然地得到的
00:58:32:17 00:58:35:11 沒有其他途徑
00:58:39:09 00:58:45:11 就如每一顆種子都是靠這活生生的力量發芽
00:58:48:13 00:58:51:00 生命之樹開始時
00:58:51:07 00:58:53:07 只有一兩朵花朵
00:58:56:02 00:59:00:10 但今天卻有很多很多花朵
00:59:01:10 00:59:05:15 所以這是大規模的事件
00:59:08:04 00:59:11:01 你們很多人曾與我一起到印度
00:59:11:09 00:59:14:06 見過數千人獲得自覺
00:59:21:09 00:59:23:01 因為鄉村的人
00:59:23:13 00:59:27:04 沒有那麼複雜
00:59:29:04 00:59:36:20 這也會在這個地球上很多人身上發生
00:59:38:18 00:59:40:14 一名女訪問員問我：
00:59:40:21 00:59:45:19 「沒有見過你的人怎樣得到自覺？」
00:59:50:14 00:59:53:05 很簡單，我在香港時
00:59:53:15 00:59:57:11 電視台的女老闆叫我站起來
00:59:57:18 01:00:01:21 給人們生命能量
01:00:10:15 01:00:13:24 在這個可怕繁忙的城市，很多人通過
01:00:14:05 01:00:19:17 電視得到自覺
01:00:21:19 01:00:25:00 科學有很多發明，如照相機
01:00:25:15 01:00:32:08 它能拍下有能量的照片
01:00:37:15 01:00:41:12 在今天，有很多方法讓我們能以
01:00:41:20 01:00:44:13 比基督或任何人更快的途徑
01:00:44:20 01:00:48:19 傳揚散播它
01:00:53:10 01:00:59:05 儘管如此，要傳揚它仍是很困難，因為它變得…
01:01:02:07 01:01:06:11 人們喜歡方便型的瑜伽
01:01:10:05 01:01:12:20 若你叫他們倒立，他們很樂意
01:01:16:21 01:01:19:07 但若你只告訴他們：「你要把手放好」
01:01:19:15 01:01:23:07 他們就是不明白
01:01:24:10 01:01:29:12 世上一切重要的事情
01:01:29:20 01:01:33:13 卻都是很簡單
01:01:37:19 01:01:40:24 除了你的進化，你的呼吸，你看東西之外
01:01:41:05 01:01:45:07 一切都是那麼簡單
01:01:49:05 01:01:53:12 因為它很重要，所以它要簡單
01:01:55:01 01:02:00:13 那些要霎哈嘉瑜伽能與他們的思維有很多共通之處的人
01:02:00:23 01:02:06:00 很難接受霎哈嘉瑜伽
01:02:11:12 01:02:14:03 我不是說你要關閉腦袋，又或相反
01:02:14:10 01:02:18:20 完全開放
01:02:19:17 01:02:23:15 要邏輯地得出結論
01:02:26:15 01:02:29:16 並非盲目的
01:02:29:23 01:02:32:15 不是盲目的相信
01:02:33:04 01:02:36:11 一旦你得出邏輯的結論
01:02:36:22 01:02:40:09 你便不能依賴這有限的腦袋
01:02:46:05 01:02:50:08 因為你已經進入無限
01:02:52:19 01:02:58:04 為此我們要放棄這種有限
01:03:00:21 01:03:08:21 一旦你得到開悟，一切都變得合情合理
01:03:10:01 01:03:13:13 你能驗證一切
01:03:15:03 01:03:18:05 它是很簡單，就像我們不能
01:03:18:13 01:03:21:16 與失明人談各種顏色。我們只需說：
01:03:21:23 01:03:26:19 「好吧，張開眼睛，你就能看見。」
01:03:34:01 01:03:39:18 獲得自覺就是那麼簡單
01:03:43:03 01:03:45:15 不危險
01:03:46:15 01:03:48:19 也不會出問題
01:03:49:23 01:03:51:14 願神祝福你們！
01:03:51:23 01:03:54:05 今天是最後一天
01:03:54:14 01:03:59:06 非常感謝你們給我機會
01:03:59:15 01:04:02:21 與你們一起；那麼偉大的求道者
01:04:03:17 01:04:08:07 我明年必定會再來
01:04:22:22 01:04:25:17 即使你今天未獲得自覺
01:04:26:01 01:04:29:18 你們全都會得到它。我們會在這裡開設一個中心
01:04:30:08 01:04:36:09 已有跟進的聚會
01:04:46:01 01:04:49:13 因為是免費的
01:04:49:22 01:04:54:23 你們在維也納和奧地利要自己組織統籌
01:05:01:22 01:05:04:19 你們自己要小心
01:05:06:15 01:05:13:15 你們可以寫下你們的問題寄到倫敦給我
01:05:16:24 01:05:18:22 願神祝福你們！
01:05:19:08 01:05:21:23 今天是最後一天，若有需要
01:05:22:04 01:05:24:22 你們可以花五分鐘時間發問
01:05:25:11 01:05:29:18 但最好還是取得自覺
01:06:01:13 01:06:05:03 你們可以來樓梯前
01:07:49:04 01:07:50:23 我想一些人可以過來
01:07:50:23 01:07:54:19 因為還有人進來
01:08:07:04 01:08:09:04 請來這邊
01:08:11:18 01:08:14:21 不要站在門前，來這邊
01:08:37:13 01:08:40:24 我說過這是你自己的
01:08:41:07 01:08:44:19 是你們的資產
01:08:50:11 01:08:56:04 就像燃點了的燈能點亮另一盞燈
01:09:00:14 01:09:05:03 沒有任何責任
01:09:07:07 01:09:11:03 像我的手指痛，我擦擦它
01:09:11:11 01:09:14:05 我的手指沒有責任
01:09:14:21 01:09:19:24 正如你們不是其他，沒有其他人能代替我
01:09:20:07 01:09:25:16 若我按摩手指，使它舒適一點
01:09:26:05 01:09:31:19 是沒有任何責任，就做吧
01:09:46:12 01:09:52:03 現在，無論我告訴你們什麽，請聆聽我
01:09:52:12 01:09:56:03 與我合作，就是如此
01:10:02:02 01:10:06:08 首先你要知道，你要有愉快的
01:10:07:04 01:10:09:01 性格
01:10:09:09 01:10:13:21 沒什麼值得認真嚴肅或無聊輕挑的去對待
01:10:14:05 01:10:16:18 只要興高采烈，因為你們現在要獲得
01:10:17:02 01:10:21:09 最後的昇進
01:10:38:20 01:10:43:03 現在，雙手很放鬆地向着我
01:10:43:12 01:10:46:23 放在大腿上。但首先
01:10:47:06 01:10:49:05 要脫下鞋子
01:10:49:17 01:10:52:23 因為它們很緊
01:10:53:22 01:10:58:08 令你不能與大地之母有任何接觸聯繫
01:11:22:24 01:11:28:13 若你的頸或腰有東西束得緊
01:11:28:20 01:11:32:19 若有很緊的東西，就要把它放鬆
01:11:32:19 01:11:35:23 即是說你要感到舒適
01:11:43:24 01:11:47:05 又或若有很重的頸鏈之類的
01:11:47:24 01:11:51:05 一些壓在輪穴上的東西
01:11:51:05 01:11:55:00 因為它是精微的東西
01:12:09:04 01:12:13:06 你甚至可以摘下眼鏡 – 會沒問題
01:12:29:23 01:12:31:19 現在每個人都要做
01:12:32:02 01:12:36:21 不想做的人要離開
01:12:42:07 01:12:44:04 大家都閉上眼睛
01:12:44:13 01:12:47:08 若有人保持眼睛張開，會影響生命能量
01:12:47:16 01:12:51:07 因此為各人的利益着想
01:12:51:14 01:12:54:17 我要求你離開
01:13:05:00 01:13:08:00 你要對自己好些
01:13:11:11 01:13:16:06 現在請閉上眼睛
01:13:20:03 01:13:26:15 不要放注意力
01:13:27:07 01:13:31:06 在任何地方，只管放鬆
01:13:43:03 01:13:45:10 完全不用把注意力
01:13:45:20 01:13:47:09 放在任何地方
01:13:47:18 01:13:49:16 只管把注意力完全放鬆
01:13:50:02 01:13:53:20 讓它想，讓它做它喜愛的
01:13:57:19 01:14:01:18 不要有任何壓力 – 現在此刻
01:14:04:06 01:14:08:15 你應該知道你的左手
01:14:09:03 01:14:15:02 是代表願望的力量
01:14:22:00 01:14:26:16 右手是行動的力量
01:14:31:22 01:14:34:23 我們要用右手來行動
01:14:35:09 01:14:41:11 左手向着我，輕微伸展手指
01:14:49:22 01:14:54:10 手十分放鬆
01:15:05:07 01:15:10:01 現在右手，像我說過，我們首先要
01:15:10:09 01:15:14:06 由腦袋拿走這所謂內疚的東西
01:15:14:15 01:15:22:00 所以手要放在頸
01:15:22:12 01:15:25:10 前方的左邊
01:15:38:10 01:15:40:20 但不要張開眼睛，左手保持 
01:15:41:03 01:15:45:16 張開向着我
01:15:48:13 01:15:51:01 在大腿上
01:15:52:04 01:15:54:10 放好後說：
01:15:54:17 01:15:59:09 「母親，我並無內疚感。」
01:16:02:02 01:16:07:12 請重覆說：「母親，我並無內疚感。」
01:16:13:17 01:16:17:04 這是十分重要，因為這是西方國家
01:16:17:11 01:16:21:24 其中一個大問題
01:17:06:12 01:17:12:09 把右手放在心上
01:17:20:16 01:17:21:15 全心
01:17:27:14 01:17:30:12 全意說：
01:17:30:20 01:17:37:08 「母親，我是否一個靈？」
01:17:37:15 01:17:43:07 問三次
01:17:58:04 01:18:02:00 在心上 – 高一點
01:18:02:14 01:18:05:22 心是高一點的，對了
01:18:07:07 01:18:10:01 問三次
01:18:10:16 01:18:14:13 因為你正是靈，只問問題
01:18:39:22 01:18:44:19 請把右手放在
01:18:45:02 01:18:47:22 腹部的左邊
01:18:53:10 01:18:59:01 問：「母親，我是否自己的導師？」
01:19:12:05 01:19:14:23 請說十次。問：
01:19:23:16 01:19:25:21 「我是否自己的導師？」
01:19:26:05 01:19:28:22 若你有跟隨靈性導師之類，有思想制約
01:19:29:06 01:19:30:17 它們會馬上消失
01:19:31:00 01:19:34:23 因為你是自己的導師
01:19:45:00 01:19:48:01 你根本不需要任何導師
01:19:49:18 01:19:54:16 當你成為導師，你完全不需要任何導師
01:19:56:24 01:20:00:19 所有要充滿信心地問
01:20:17:13 01:20:20:24 她叫什麼名字？
01:20:21:20 01:20:24:00 看，這就是負面能量，為什麼需要這樣？
01:20:24:12 01:20:29:06 在這裡，妻子不會被殺
01:20:30:01 01:20:33:04 他們就是這樣作出攻擊，明白嗎？
01:20:33:16 01:20:38:13 走吧。叫你的丈夫要檢點
01:20:39:21 01:20:43:21 你不能打擾，明白嗎。讓她走吧
01:20:44:04 01:20:45:19 就是這樣，他們甚至不文明
01:20:46:01 01:20:51:03 他們不是文明人，怎能獲得自覺？
01:20:51:14 01:20:54:07 十分不文明
01:20:54:16 01:20:56:19 好了，沒關係
01:20:57:02 01:20:59:15 寬恕、寬恕、寬恕
01:21:04:14 01:21:06:20 再把右手
01:21:06:20 01:21:12:16 放在腹部的左邊。說十次：
01:21:12:24 01:21:16:11 「母親，我是自己的導師。」
01:22:24:12 01:22:26:14 請再說：
01:22:27:01 01:22:33:19 「我唯一的願望就是成為靈
01:22:39:19 01:22:45:04 我的純粹願望就是成為靈
01:22:50:02 01:22:58:16 成為自己的存在體，成為真我
01:22:59:10 01:23:03:21 成為絕對
01:23:12:02 01:23:16:10 讓它彰顯吧。」
01:23:46:22 01:23:49:15 把右手再放在心上
01:23:54:23 01:23:57:20 說：「母親，我是一個靈。」
01:23:58:04 01:24:00:13 充滿信心地說你是，相信我
01:24:00:22 01:24:05:03 腳垂直放在大地之母上，垂直
01:24:05:10 01:24:10:13 接觸着大地，你看，不要把腳向前伸
01:24:14:14 01:24:17:13 坐在地上的人沒問題
01:24:17:20 01:24:20:10 他們不用担心
01:24:23:22 01:24:28:07 現在把手放在心上說：
01:24:28:14 01:24:32:02 「母親，我是一個靈。」
01:24:32:10 01:24:36:00 說十二次
01:25:12:18 01:25:14:03 不要感到內疚
01:25:14:14 01:25:18:04 這是你們唯一的障礙
01:25:18:11 01:25:20:06 你們說時全都感到內疚
01:25:20:13 01:25:26:18 要有信心，我是說你們是一個靈
01:25:32:05 01:25:34:20 為什麼要審判自己？
01:25:37:19 01:25:40:21 讓上天審判你
01:25:47:09 01:25:50:03 只管說
01:26:01:07 01:26:04:13 沒有內疚感
01:26:12:17 01:26:14:23 好了，沒有內疚的說：
01:26:15:12 01:26:20:01 「若我犯了任何錯，請原諒我。」
01:26:20:13 01:26:21:16 你可以對神這樣說：
01:26:21:24 01:26:23:18 「神啊，若我犯了任何錯
01:26:24:00 01:26:25:01 請原諒我。」
01:26:25:01 01:26:26:06 沒有內疚感
01:26:26:16 01:26:31:00 我這樣說是為了帶走你的罪疚感
01:26:57:07 01:26:58:14 好了點
01:27:08:08 01:27:12:12 好了點。仍有一點
01:27:14:13 01:27:21:18 現在請再把右手放在左邊肩膀
01:27:22:06 01:27:25:21 接近頸的地方
01:27:29:12 01:27:33:20 再說，請再說十六次：
01:27:34:04 01:27:35:12 「母親，我並無內疚感。」
01:27:35:21 01:27:38:19 請這樣說。
01:27:52:03 01:27:56:07 不要自憐，而是充滿信心
01:28:15:06 01:28:17:04 好了
01:28:52:13 01:28:55:19 現在把右手
01:28:56:06 01:28:59:21 橫放在前額按着它
01:29:05:02 01:29:12:08 用手按着 - 橫向
01:29:17:12 01:29:18:11 說：
01:29:23:03 01:29:28:08 「母親，我寬恕所有人。」
01:30:01:01 01:30:03:03 好多了
01:30:04:18 01:30:09:05 把手放在頭頂，在腦囟
01:30:09:14 01:30:16:17 即你小時軟骨的位置
01:30:26:12 01:30:30:11 感覺頭的
01:30:30:19 01:30:32:10 中部的厚度
01:30:32:17 01:30:38:00 向後，向前，按着它
01:30:44:10 01:30:46:12 你可以用手的底部按着它
01:30:46:22 01:30:51:04 你可以用手的底部按着它
01:31:01:04 01:31:05:15 嘗試按着它，你可以自己做
01:31:07:23 01:31:10:10 用手的底部，用手的底部
01:31:11:17 01:31:14:05 現在，很好
01:31:39:18 01:31:42:04 現在把手放在頭頂，看看
01:31:42:12 01:31:45:20 有沒有涼風出來
01:31:49:00 01:31:54:21 你要說：「母親，我想得到自覺」
01:31:55:11 01:31:58:04 因為我不能干涉你們的自由
01:31:58:12 01:32:01:16 你們要自己要求
01:32:29:07 01:32:33:13 你可以換另一隻手
01:32:34:00 01:32:37:05 把手放在大腿上向着我
01:32:37:13 01:32:41:20 左手在頭上
01:32:50:03 01:32:54:24 上下移動看看有沒有涼風
01:33:09:07 01:33:12:20 你可以換另一隻手去試試
01:33:18:01 01:33:20:13 若這裡有記者
01:33:20:22 01:33:23:23 我請他們先獲得自覺
01:33:24:08 01:33:29:06 否則他們不應發表任何文章
01:33:36:02 01:33:41:05 因為沒有自覺，你是不能明白理解霎哈嘉瑜伽
01:33:43:17 01:33:46:08 霎哈嘉瑜伽並非表面的東西
01:33:49:00 01:33:54:09 你們要得到自覺。否則你會擾亂
01:33:55:16 01:33:59:15 或阻礙…或你可以說，誤導其他
01:34:00:00 01:34:02:19 求道者
01:34:17:21 01:34:22:19 現在好一點。很多人都獲得了。
01:34:54:19 01:34:58:15 現在雙手向着我
01:35:03:00 01:35:07:11 看看有沒有涼風
01:35:09:16 01:35:13:06 從你的手出來，別張開眼睛
01:35:15:23 01:35:20:13 頸保持直
01:36:52:03 01:36:55:00 若你感到涼風，很好
01:36:55:09 01:36:59:13 感覺不到也不要緊
01:36:59:19 01:37:01:12 眼睛請…
01:37:01:19 01:37:06:07 我會告訴你們怎樣提升靈量
01:37:20:24 01:37:23:22 要沒有思維地看着我
01:37:23:22 01:37:25:08 手向着我
