00:05:14:15 00:05:20:10 太初之母崇拜
00:32:20:14 00:32:22:22 注意力才會穩定下來

00:32:23:06 00:32:25:10 而這個自我，也很簡單

00:32:25:19 00:32:29:01 因為你們都崇拜基督。基督也就是

00:32:29:10 00:32:32:16 坐鎮在寬恕輪

00:32:33:00 00:32:34:09 雖然你們都崇拜基督

00:32:34:22 00:32:36:19 卻沒有基督的謙遜

00:32:37:05 00:32:38:13 情況卻是剛剛相反

00:32:38:23 00:32:40:23 同樣的事情發生在每一處

00:32:41:07 00:32:42:20 每一個宗教所傳播的教誨

00:32:43:07 00:32:45:02 人們都反其道而行

00:32:45:13 00:32:47:04 舉印度教為例

00:32:47:18 00:32:49:14 印度哲學說

00:32:49:24 00:32:52:04 每個人身上都住有一個靈

00:32:53:03 00:32:55:08 假如每個人都有一個靈

00:32:55:19 00:32:58:04 那怎麼還會有種性階級制度呢？

00:32:58:15 00:33:02:00 怎會有人比較高，有人比較低？

00:33:02:10 00:33:04:21 回過頭來說，基督說

00:33:05:07 00:33:08:02 你必須原諒，原諒所有人

00:33:08:11 00:33:10:10 必須謙順

00:33:10:20 00:33:12:23 我們卻發現

00:33:13:07 00:33:16:15 在基督徒之間，他們不懂謙順

00:33:17:00 00:33:18:14 他們不知謙順是何物

00:33:18:24 00:33:20:21 男人如此，女人也如此

00:33:21:06 00:33:23:20 男女一天到晚都在吵架

00:33:24:04 00:33:26:03 沒有人是謙順

00:33:26:12 00:33:28:04 和平的

00:33:28:16 00:33:31:21 只是人工虛偽的炫耀

00:33:32:05 00:33:34:00 他們是博愛主義者等等

00:33:34:09 00:33:38:01 但在他們內心實際上

00:33:38:13 00:33:41:05 我找不到任何愛，任何慈悲

00:33:41:16 00:33:43:21 因此，當我們面對實相

00:33:44:04 00:33:47:00 我們必須瞭解自己不能

00:33:47:08 00:33:49:18 只是繼續做人工虛假

00:33:50:05 00:33:52:07 欺騙人的事情

00:33:52:19 00:33:54:11 我們應該真正的成為實相

00:33:54:23 00:33:58:08 一旦你們成為實相，一旦你們真正像那樣時

00:33:58:19 00:34:05:07 也就是你完成了你生在

00:34:05:24 00:34:08:17 這百花怒放時代的任務

00:34:09:07 00:34:12:07 要不然你就會早點出生

00:34:12:19 00:34:15:01 那事情又不一樣了

00:34:15:11 00:34:18:20 你們是特別生在這個時候，也因此覺知

00:34:19:05 00:34:23:10 自己的價值，瞭解自己的本質

00:34:23:20 00:34:26:15 也要努力瞭解要有自尊，做一些作為

00:34:26:23 00:34:30:03 霎哈嘉瑜伽士應做的重要事情

00:34:30:14 00:34:32:10 當然你有工作在做

00:34:32:21 00:34:34:13 也做著其他的事情

00:34:34:24 00:34:37:16 但你會很驚訝，當你在做霎哈嘉瑜伽的工作時

00:34:38:02 00:34:40:11 你會發覺有更多的時間做所有的事情

00:34:40:20 00:34:44:03 你一旦開始做神的工作，神就會做你的工作

00:34:44:13 00:34:46:14 那時你就會驚異

00:34:46:23 00:34:49:20 你是怎麼有更多的時間，把所有的事做得更好

00:34:50:05 00:34:55:00 現在你們回去後，要內省

00:34:55:09 00:34:56:12 自己來驗證

00:34:56:23 00:34:59:23 現在，太初之母已經來了

00:35:00:08 00:35:03:11 我很單純，看來是非常單純

00:35:03:23 00:35:07:08 從我的行為，我是非常、非常的謙虛

00:35:08:03 00:35:10:08 人們都不把我當一回事

00:35:10:23 00:35:12:09 我不會在意，我不想懲罰你們

00:35:12:19 00:35:14:06 不會有任何反應

00:35:14:16 00:35:15:24 但是你們自己會受到懲罰

00:35:16:13 00:35:18:05 你便會成為無用的人

00:35:18:13 00:35:22:06 假如你們不照顧自己，使自己成長

00:35:22:13 00:35:24:14 這是很了不起的發現

00:35:24:24 00:35:28:07 而這個人以前不認識我

00:35:28:15 00:35:31:12 他很有學問，卻很謙虛

00:35:31:24 00:35:33:15 他對我這樣說：

00:35:34:00 00:35:38:15 「想像我坐在宇宙的創造者前面

00:35:38:24 00:35:41:17 而我還是很安好無事。」

00:35:42:00 00:35:44:01 我說：「什麼事會發生？你以為會有什麽發生？」

00:35:44:09 00:35:46:18 他回答：「母親，這是非常大的事，能讓人意識到

00:35:47:00 00:35:48:21 我就坐在你的前面

00:35:49:04 00:35:51:00 而你又是在我前方

00:35:51:08 00:35:54:24 我說：「這樣很好，你對我的出現

00:35:55:08 00:36:01:11 不感到壓力，或不感到受控制支配，我很高興。」

00:36:01:19 00:36:03:14 「不，」他說：「我只是感覺到愛

00:36:03:23 00:36:07:09 感覺到慈悲，就是如此。」

00:36:07:19 00:36:09:04 我們必須知道自己應該有

00:36:09:12 00:36:11:23 愛及慈悲

00:36:12:08 00:36:15:23 慈悲與愛對我們來說也就是

00:36:16:09 00:36:19:05 我們不應傷任何人的心

00:36:19:18 00:36:24:12 說一些傷害人的話是很罪過的事情

00:36:24:24 00:36:26:17 但是偏偏有些人卻以此為樂

00:36:27:03 00:36:28:16 他們自以為很聰明。其實不是這樣

00:36:29:03 00:36:32:13 你們與人交談必須說些

00:36:33:00 00:36:35:15 令人很撫慰的好話

00:36:36:02 00:36:39:06 另一件事，就是一個人的脾氣

00:36:39:17 00:36:41:15 因一些細微瑣碎的小事

00:36:41:24 00:36:43:16 他們就發起脾氣

00:36:44:01 00:36:46:05 必須這樣告訴它

00:36:46:16 00:36:47:23 告訴脾氣︰「你安靜下來

00:36:48:08 00:36:49:16 我不想跟你有任何關連。」

00:36:49:24 00:36:50:23 此其一

00:36:51:11 00:36:54:04 有些人很敏感

00:36:54:14 00:36:57:22 應該說他們是權位導向的人，非常的敏感

00:36:58:08 00:37:00:17 他們有小把戲技倆

00:37:01:00 00:37:02:06 來控制人

00:37:02:18 00:37:04:23 你這樣能賺取什麼？

00:37:05:09 00:37:06:13 能得到什麼？

00:37:06:24 00:37:08:18 這樣做會發生什麼？

00:37:09:02 00:37:13:18 這些世俗的事情，你或許能贏得一些逢迎

00:37:14:01 00:37:17:06 取得某些地位或一些什麽

00:37:17:15 00:37:19:05 但這是什麼？終結來說

00:37:19:15 00:37:21:07 那幫不了你

00:37:21:16 00:37:23:10 最能幫你的是你要

00:37:23:19 00:37:27:05 讓自己成為霎哈嘉瑜伽的完美管道

00:37:27:13 00:37:29:08 成為完美的管道

00:37:29:16 00:37:34:17 你會很驚訝，這樣你是得助最大的

00:37:35:03 00:37:37:17 我要告訴你們，特別是西方人

00:37:38:01 00:37:40:17 你們必須發展謙虛

00:37:41:02 00:37:42:08 那是非常重要的

00:37:42:22 00:37:44:17 我對俄羅斯很驚奇

00:37:45:02 00:37:46:12 他們不僅謙虛

00:37:46:21 00:37:51:23 還是這麼的順服委身，如此的全心全意，真的是不可思議

00:37:52:07 00:37:54:07 他們連看也不敢看我

00:37:54:17 00:37:56:11 我不知道他們是從哪裡得到這個觀念

00:37:56:20 00:38:00:01 這不是發現以後的，甚至以前都是如此

00:38:00:05 00:38:05:03 他們是這麼好，這麼謙虛，充滿愛

00:38:05:17 00:38:07:07 甚至小孩子

00:38:07:16 00:38:09:04 也送我小禮物

00:38:09:15 00:38:11:23 只給我禮物，多麼的甜蜜

00:38:12:07 00:38:15:23 俄國人有這種能力去「成為」

00:38:16:07 00:38:19:16 實在令人驚訝

00:38:20:03 00:38:24:15 我認為在西方國家中，俄羅斯

00:38:24:22 00:38:28:09 在靈性追求上將會達到很高的成就

00:38:28:18 00:38:31:14 也就是說他們會成為最有力量的人

00:38:31:23 00:38:34:10 且讓我們看看你們在自己國家有什麽成就？

00:38:34:18 00:38:36:20 你們將要怎麼行動？

00:38:37:04 00:38:40:09 有許多你們能輕而易舉

00:38:40:18 00:38:42:06 做到的事情

00:38:42:16 00:38:44:21 倘若你們把自己當成上天行事的工具

00:38:45:12 00:38:48:10 你的性情就會改變

00:38:48:19 00:38:51:14 自然界也會改變，你會成為很甜蜜

00:38:51:24 00:38:55:20 受人喜愛歡迎的人

00:38:56:05 00:39:01:06 大家都會說有一個聖人在四處走動

00:39:01:17 00:39:03:23 這就是我要說的話

00:39:04:05 00:39:07:19 不管科學發現什麼，不是為我而發現

00:39:08:04 00:39:09:20 而是為全世界而發現

00:39:10:08 00:39:14:08 我相信一旦它建立鞏固好

00:39:15:19 00:39:18:14 並且向全世界宣佈後

00:39:19:00 00:39:21:23 所有事情對你或對我都會改變

00:39:22:03 00:39:24:15 願神祝福你們
