00:01:46:10 00:01:49:06 我們今天聚集在
00:33:15:18 00:33:17:13 他們也對我極之信任
00:33:17:24 00:33:20:20 那麽對神祇又怎樣？
00:33:21:07 00:33:24:04 你對祂們有信心，祂們便會起作用
00:33:24:14 00:33:25:22 馬上把事情解決
00:33:26:08 00:33:27:14 就如谷道告訴我︰
00:33:27:23 00:33:30:17 母親，他們說這兩天
00:33:31:05 00:33:32:21 雨會下得很大
00:33:33:07 00:33:37:09 我說︰「不要緊，不用擔憂。」雨在哪裡
00:33:38:15 00:33:41:11 消失了
00:33:41:22 00:33:47:11 若你能控制信心，你也能控制一切
00:33:50:02 00:33:54:07 當我們談到信心，你也知道
00:33:55:03 00:34:00:14 是在挑戰這個無所不在全能的力量
00:34:01:17 00:34:06:10 它組織一切，無所不知
00:34:06:23 00:34:09:01 它是那麽聰明，那麽有效率
00:34:09:11 00:34:10:24 除此之外，它愛你們
00:34:11:09 00:34:14:11 因此，你便有了信心
00:34:16:00 00:34:23:03 霎哈嘉瑜伽的復活就是你的信心是堅實穩固的
00:34:24:09 00:34:29:02 這是你要達致的，堅固的信心
00:34:29:17 00:34:31:00 他們不感到那麽壞
00:34:31:10 00:34:34:03 就如我或許沒有遇見他們，就如我或許說︰
00:34:34:12 00:34:37:00 好吧，來吧，這次我未必在這裡
00:34:37:09 00:34:40:11 甚麽也不要緊，你要明白，能否與母親見面
00:34:40:21 00:34:43:09 事情會否發生
00:34:43:21 00:34:47:19 一切都是為著你的好處，你的福祉
00:34:48:06 00:34:49:11 就如你迷了路
00:34:49:20 00:34:53:03 你知道必定是往這裡走
00:34:53:23 00:34:57:16 若你看看基督的一生
00:34:58:01 00:34:59:14 祂被釘上十字架
00:34:59:24 00:35:01:10 要背著十字架
00:35:01:21 00:35:05:09 祂要做這些事情，沒問題，無論是︰
00:35:05:21 00:35:07:19 這是我的命運，我照做
00:35:08:03 00:35:10:16 祂從不抱怨，也從不怨恨
00:35:11:02 00:35:15:01 祂不想別人分擔祂的問題
00:35:15:14 00:35:18:14 但祂的信心給祂
00:35:18:21 00:35:24:02 巨大的力量
00:35:25:12 00:35:27:05 祂是有能力做任何事
00:35:27:15 00:35:29:17 祂能殺死
00:35:30:00 00:35:33:15 迫害祂的人---輕易而舉。有甚麽要緊？
00:35:33:24 00:35:35:23 祂只要看他們一眼便能殺死他們
00:35:36:09 00:35:39:10 但祂沒有，祂知道自己要經歷這些事情
00:35:39:18 00:35:40:23 祂已經經歷了
00:35:41:07 00:35:44:19 最終經歷了，勝利的是祂
00:35:45:04 00:35:48:00 祂贏得一切
00:35:48:17 00:35:50:13 霎哈嘉瑜伽士同樣
00:35:50:22 00:35:52:18 要看自己的人生
00:35:53:04 00:35:59:13 這是很珍貴的人生，在這個世界裡很珍貴的人生
00:36:00:11 00:36:04:14 這些日子，有多少人是霎哈嘉瑜伽士？
00:36:05:02 00:36:06:24 在進化的過程
00:36:07:10 00:36:10:23 有多少人會成為霎哈嘉瑜伽士，我說不出
00:36:11:13 00:36:17:19 看看這個世界，你會開始感到
00:36:18:07 00:36:20:20 大部分世界會被摧毀或會完蛋
00:36:21:06 00:36:24:00 大部分人都不會再存在
00:36:24:11 00:36:25:22 不是因為我們還未準備好
00:36:26:08 00:36:31:24 而是因為命中注定他們
00:36:32:14 00:36:34:06 不會來霎哈嘉瑜伽
00:36:34:14 00:36:36:21 沒有預算他們會來霎哈嘉瑜伽
00:36:37:06 00:36:38:19 所以你們是那麽幸運的
00:36:39:04 00:36:43:01 得到自覺，得到復活
00:36:43:10 00:36:46:10 你要對你的復活有信心
00:36:46:20 00:36:51:06 你的復活，現在這是你的存有
00:36:51:18 00:36:54:19 透過你的復活，你知道
00:36:55:04 00:36:57:23 你對這個世界有多珍貴
00:36:58:08 00:37:00:11 你要做的不是想著
00:37:00:19 00:37:03:13 物質上的得益，肉身上的得益
00:37:03:24 00:37:09:06 又或感情上的得益，而是靈性上的得益
00:37:10:03 00:37:14:16 我們為靈性做了些甚麽---為自己和為別人？
00:37:15:04 00:37:17:05 這是你唯一要想及的事情
00:37:17:14 00:37:19:20 你會對一切怎能好好地組織安排
00:37:20:05 00:37:21:07 怎能成就實現而感到很驚嘆
00:37:21:19 00:37:25:11 一切都是按它自己的時序顯現成果
00:37:27:15 00:37:31:10 現在我可以肯定，你們最少八分一人
00:37:31:22 00:37:36:23 相信我說的話，或許有九分之一人
00:37:40:00 00:37:45:22 但仍有十分之一人仍會想︰
00:37:46:06 00:37:47:18 好吧，母親這樣說
00:37:48:02 00:37:51:07 但為何這些事情會發生，那些事情會發生？
00:37:51:21 00:37:53:13 就像有天有個記者
00:37:54:00 00:37:56:23 有名的記者，他說︰「我不相信有神。」
00:37:57:08 00:37:58:08 我說︰「為甚麽？」
00:37:58:16 00:38:03:00 不然這個世界怎會有這麽多不幸？
00:38:03:10 00:38:05:09 怎會有盲眼的孩子？
00:38:05:16 00:38:08:04 怎會這樣那樣？
00:38:08:15 00:38:11:02 接著他開始給我實例。「好吧。」
00:38:11:09 00:38:13:05 我說︰「你說完了嗎？」「是。」
00:38:13:15 00:38:16:22 我說︰「就如你坐在
00:38:17:04 00:38:22:05 國會或安德烈奧蒂(Andreotti)(意大利總理)的政府的領域
00:38:22:14 00:38:27:02 或無論你怎樣稱呼它，
00:38:28:14 00:38:31:22 這種處境是能解釋的
00:38:32:08 00:38:36:19 你仍未進入神的國度
00:38:37:12 00:38:41:06 若你進入這種狀態，若你已達致它
00:38:41:16 00:38:43:13 若你安頓下來，那麽，告訴我
00:38:44:00 00:38:47:23 你還有沒有問題？」「沒有。」 
00:38:50:19 00:38:53:00 我說︰「為甚麽你只看負面的事情？
00:38:53:10 00:38:57:05 若你說這是有出路
00:38:57:16 00:39:00:16 有解決辦法的
00:39:01:02 00:39:04:03 是時候
00:39:04:11 00:39:07:09 這個霎哈嘉瑜伽士的族群要來。他們沒有疾病
00:39:07:19 00:39:11:04 沒有麻煩，沒有問題，
00:39:12:24 00:39:14:16 為甚麽不看看這些？
00:39:15:01 00:39:18:18 為甚麽你要看盲眼的男孩？
00:39:20:01 00:39:23:24 為甚麽不看看盲眼的怎樣變得妥當？
00:39:25:16 00:39:27:20 霎哈嘉瑜伽士
00:39:28:05 00:39:30:08 也有抱着這種負面的態度
00:39:30:19 00:39:33:01 我曾經看過，有人病了
00:39:33:12 00:39:35:24 他們會說︰「母親，他病了，我要把他帶來找你
00:39:36:07 00:39:39:13 你要看顧他們。」完全不需要這樣
00:39:40:02 00:39:44:13 你也能醫治他，用你的信心也能醫治他
00:39:45:01 00:39:47:21 你知道某人不是霎哈嘉瑜伽士
00:39:48:06 00:39:49:12 的叔叔病了
00:39:49:24 00:39:53:15 他走去看他，叔叔的妻子說︰
00:39:53:24 00:39:56:06 你有能力向母親禱告
00:39:56:18 00:40:01:04 為甚麽不告訴她讓我的丈夫痊癒
00:40:01:14 00:40:04:09 他是個垂死的癌症病人
00:40:04:20 00:40:07:14 他說︰「好吧。」他跪下禱告︰
00:40:07:22 00:40:10:02 母親，請治好我的叔叔
00:40:10:12 00:40:11:23 三天後他便出院了
00:40:12:05 00:40:14:10 現在在環遊世界
00:40:14:20 00:40:18:10 雖然他不是霎哈嘉瑜伽士，仍對他有效
00:40:18:20 00:40:21:01 因為是霎哈嘉瑜伽士的請求
00:40:21:10 00:40:23:17 神祇也要來幫忙
00:40:24:04 00:40:27:08 雖然他不是霎哈嘉瑜伽士，不要緊
00:40:27:21 00:40:30:17 是神祇在幫忙支持
00:40:34:16 00:40:41:03 這個境況，我們要完全相信自己
00:40:41:22 00:40:47:22 若我們擁有這個力量，為甚麽不運用它呢？
00:40:48:16 00:40:52:04 為甚麽不發展這完全的信心？
00:40:52:16 00:40:54:13 我們現在是霎哈嘉瑜伽士
00:40:54:23 00:40:57:22 我們在神的國度裡
00:40:58:10 00:41:02:16 這個力量會照顧我們
00:41:03:05 00:41:05:19 我們沒有選擇
00:41:06:06 00:41:12:03 沒有猶疑
00:41:13:00 00:41:16:13 我們不介意若要到…
00:41:16:23 00:41:19:10 到新加坡或到非洲
00:41:19:20 00:41:21:24 或其他地方，那又怎樣？
00:41:22:11 00:41:25:16 無論我們到哪裡，我們都在神的國度裡
00:41:26:01 00:41:28:16 完全沒有問題
00:41:29:05 00:41:31:14 所以不用有任何擔憂
00:41:32:00 00:41:34:13 我們是很多事物的奴隷，手錶的奴隷
00:41:34:21 00:41:37:07 制約的奴隷，像這樣的事情，
00:41:37:16 00:41:39:10 一切都消失
00:41:39:20 00:41:41:03 不要緊
00:41:41:13 00:41:44:10 甚麽事是要緊的？甚麽也不重要
00:41:44:21 00:41:48:16 只要你與自己一起，一切都妥當
00:41:49:03 00:41:50:02 就如有人告訴我︰
00:41:50:10 00:41:51:19 母親，你常常出門遠遊，你怎能做到？
00:41:52:03 00:41:54:22 我說︰「我從來不外遊，就像我坐在這裡的椅子上
00:41:55:04 00:41:57:18 我只是坐在哪裡的椅子上，就是這樣
00:41:58:05 00:41:59:08 只是轉換了椅子
00:41:59:18 00:42:02:00 我從不以為自己在外遊。我只是好好安坐
00:42:02:09 00:42:07:03 坐在椅子上就可以了，所以我不感到疲累 
00:42:08:14 00:42:14:17 因此當你對自己有絕對的信心
00:42:15:06 00:42:17:19 你不會受困擾
00:42:18:06 00:42:20:17 很多人會找找看︰
00:42:21:01 00:42:23:11 我到哪裡，有沒有浴室
00:42:23:20 00:42:28:09 有沒有地方睡覺。」不會這樣
00:42:30:21 00:42:33:07 你只會找自己靈的舒適
00:42:33:17 00:42:37:08 若你找到，很好。不然你能睡在任何地方
00:42:37:20 00:42:40:17 沒有甚麽能束縛你，
00:42:41:04 00:42:42:22 沒有甚麽能把你推下
00:42:43:06 00:42:47:02 沒有任何舊習慣能回到你身上
00:42:49:02 00:42:54:09 因為信心會把你完全潔淨
00:42:54:23 00:42:58:00 讓你開悟，也滋潤你
00:42:58:12 00:43:02:07 這份信心不是
00:43:02:18 00:43:04:09 一些能放在你頭上或
00:43:04:19 00:43:08:09 放在你心裡的東西，不能這樣
00:43:09:02 00:43:13:22 是你能達致
00:43:14:15 00:43:19:15 能透過霎哈嘉瑜伽達致的狀態
00:43:20:06 00:43:24:20 這就是我們的復活怎能完全
00:43:25:23 00:43:27:23 怎能建立
00:43:28:10 00:43:30:03 怎能有效益
00:43:30:13 00:43:35:22 這對全世界都是一個榜樣
00:43:37:12 00:43:41:02 願神祝福你們！
00:44:13:21 00:44:18:09 這裡只有孩子，很多很多孩子
00:44:21:11 00:44:22:23 今天是基督的日子
00:44:23:06 00:44:27:10 所以無論如何也要讓孩子清洗我的雙腳
00:44:29:05 00:44:33:17 你可以放它在這裡，又或我可把它移走？


