00:10:03:23 00:10:08:13 我向所有真理的追求者致敬
00:36:22:14 00:36:24:12 假設有片指甲被剪下來丟掉
00:36:24:20 00:36:27:22 它就不會再生長，沒人會再注意它
00:36:28:06 00:36:30:23 所以你必須來集體
00:36:32:03 00:36:33:19 就這樣，自我出現
00:36:34:05 00:36:37:13 有些人是大人物，很富有
00:36:37:21 00:36:39:10 受過高深教育
00:36:39:17 00:36:43:19 又或是一些政治家，你明白，大，大，大，大，大人物
00:36:44:15 00:36:46:15 他們感到抒尊降貴去
00:36:47:07 00:36:50:07 一個簡陋的地方是很困難的，那地方就是中心
00:36:50:19 00:36:53:08 他們只想去一處為他們而設的皇宮
00:36:53:16 00:36:56:02 不然我們又怎能去呢？
00:36:57:11 00:36:59:05 這是母親的房子
00:36:59:22 00:37:02:03 即使你們的母親也很謙遜
00:37:02:19 00:37:04:24 她沒有太多的錢---「好吧，不要緊
00:37:05:07 00:37:07:01 這是我母親的房子
00:37:07:12 00:37:10:11 他們不肯來，跟著他們便失去生命能量
00:37:10:18 00:37:13:03 這是很普通的缺憾，特別在印度
00:37:13:11 00:37:14:09 不是西方
00:37:14:18 00:37:18:13 因為他們知道自己已取得怎樣寶貴的東西
00:37:18:24 00:37:22:07 我們卻不知道自己成就了甚麽
00:37:22:13 00:37:24:10 就是Atma sakshatkara(自覺) 
00:37:25:01 00:37:28:02 我明年會再來︰
00:37:28:12 00:37:31:04 母親，我有這個問題，那個問題
00:37:31:11 00:37:34:02 我在家中有靜坐
00:37:34:10 00:37:36:17 若你不來集體 
00:37:37:02 00:37:38:17 你不能潔淨自己
00:37:38:24 00:37:42:08 這是在霎哈嘉瑜伽唯一潔淨自己
00:37:42:16 00:37:45:16 超越一切的途徑
00:37:48:00 00:37:51:18 當靈量穿過額輪
00:37:52:18 00:37:55:20 你變得無思無慮
00:37:57:01 00:38:01:01 思緒升起又降下，另一個思緒升起又降下
00:38:01:24 00:38:04:15 有些思緒來自過去，有些來自未來
00:38:04:23 00:38:06:21 我們卻不在現在
00:38:07:05 00:38:09:19 若我說︰「你要活在當下。」你不能
00:38:11:11 00:38:15:05 這就是為甚麽靈量被喚醒後
00:38:17:03 00:38:19:14 你的注意力會向內
00:38:19:22 00:38:22:22 這件紗麗就像靈量升上來 
00:38:23:05 00:38:24:12 看它就像這樣散開
00:38:24:19 00:38:26:00 當靈量升起
00:38:26:06 00:38:28:11 它把注意力推向內
00:38:30:09 00:38:31:23 你的注意力就是這樣向內
00:38:32:06 00:38:34:18 當它穿越
00:38:35:07 00:38:37:06 思緒間有一個
00:38:37:13 00:38:39:13 叫作”vilamga”的空隙
00:38:40:04 00:38:42:15 這個，當然，或許每個人都知道
00:38:43:02 00:38:45:09 在增長，這是現在
00:38:45:18 00:38:47:12 所以你要在variamaan，即現在
00:38:47:18 00:38:48:21 我們必須在現在
00:38:49:04 00:38:51:10 那麽我們才能無思無慮
00:38:52:16 00:38:56:14 就像水波升起，跌下
00:38:56:24 00:38:59:16 你面對水
00:39:02:02 00:39:04:22 當你在水中，你會害怕
00:39:05:06 00:39:06:03 會恐懼
00:39:06:12 00:39:08:05 當你遇上問題，你會害怕
00:39:08:12 00:39:12:17 但若有人從水中救起你，把你
00:39:12:23 00:39:15:03 放在船上，你便會看到
00:39:15:21 00:39:17:13 你解決了你的問題
00:39:17:21 00:39:19:18 若你懂游泳
00:39:19:24 00:39:23:02 你便能跳下水拯救很多人
00:39:23:10 00:39:26:04 你在三個階段移動
00:39:29:21 00:39:31:14 你只有在無思慮的
00:39:31:22 00:39:33:04 知覺狀態下才能成長
00:39:33:11 00:39:35:14 這種狀態既能在集體
00:39:35:22 00:39:38:19 又能在靜坐中達成
00:39:39:16 00:39:41:16 為此你不用付費
00:39:42:02 00:39:45:23 有些介紹講座是免費的
00:39:46:08 00:39:48:23 但第二課則要付費
00:39:51:12 00:39:53:03 霎哈嘉瑜伽不是這樣
00:39:53:09 00:39:55:15 這樣荒唐的事情不會發生在霎哈嘉瑜伽
00:39:55:23 00:39:59:09 它是實相，我們不能購買實相
00:39:59:15 00:40:01:05 事實上，神不懂銀行
00:40:01:15 00:40:03:12 不懂金錢
00:40:04:10 00:40:06:14 祂不明白任何關於錢的一切
00:40:06:22 00:40:10:08 祂不懂賺錢，這是你們要頭痛的事情，不是祂
00:40:12:09 00:40:14:23 當然，若我要坐飛機，便要付費
00:40:15:06 00:40:16:07 這是可以的
00:40:16:17 00:40:18:17 若要租用會堂，也要付費
00:40:19:00 00:40:21:12 是付錢租用會堂，不是付錢給神
00:40:24:24 00:40:26:18 至於喚醒
00:40:27:10 00:40:31:13 開悟，你不能收取任何費用
00:40:32:04 00:40:36:02 即使是為了darshan(真身)，有人告訴我他們收取金錢，試想像
00:40:38:17 00:40:42:00 對他們來說，一切都是錢，錢，錢，錢，錢
00:40:42:08 00:40:45:17 他們怎能升至靈的層次？
00:40:48:01 00:40:50:18 我們是那麽簡單，你要知道
00:40:51:06 00:40:54:09 bhaktas(虔敬)是那麽簡單。「好吧，你想要五盧比
00:40:54:18 00:40:57:06 我賣了介子給你
00:40:57:17 00:41:00:05 你想要這個，我給你這個
00:41:00:16 00:41:03:10 有個在美國的靈性導師
00:41:04:08 00:41:08:01 我想他擁有四十八輛勞斯萊斯 
00:41:08:09 00:41:10:00 我也忘記了總數
00:41:10:07 00:41:12:17 他還想要多一輛
00:41:13:12 00:41:15:18 所以他告訴他的門徒︰
00:41:16:06 00:41:19:01 無論如何，你們也要給我一輛
00:41:19:09 00:41:21:18 勞斯萊斯，我才會來英國
00:41:22:05 00:41:24:16 那些門徒只能吃馬鈴薯
00:41:25:02 00:41:26:13 還餓著
00:41:26:22 00:41:29:04 一個霎哈嘉瑜伽士問︰「你們在做甚麽？
00:41:29:12 00:41:31:07 為甚麽他想要勞斯萊斯？
00:41:31:17 00:41:33:17 為甚麽他對勞斯萊斯那麽感興趣？
00:41:34:01 00:41:36:23 他說︰「你明白嗎，我們只給他一件金屬
00:41:37:06 00:41:39:09 他卻給我們靈
00:41:39:16 00:41:40:16 你可以想像嗎？
00:41:40:23 00:41:42:19 金屬可以換取靈！
00:41:43:02 00:41:45:02 他必定把某些bhoot badha(亡靈) 
00:41:45:10 00:41:46:16 附在他們身上
00:41:46:24 00:41:48:22 英文是”spirit”
00:41:49:07 00:41:51:03 英語是很易誤導人
00:41:51:14 00:41:58:16 因為”spirit”可以解作酒精
00:41:59:03 00:42:02:23 也可以解作”atma”(真我、靈)，也可以是”bhoot”(亡靈)
00:42:03:08 00:42:05:18 我不知道他們說的”spirit”是那個意思
00:42:10:23 00:42:12:16 若要
00:42:15:09 00:42:19:19 與神
00:42:20:15 00:42:24:09 建立關係
00:42:24:18 00:42:28:17 我們先要成為靈
00:42:29:18 00:42:33:23 只有這樣才能與神建立關係
00:42:35:10 00:42:39:16 我們可以證明自己︰「我是這樣，我們那樣。」
00:42:40:02 00:42:44:17 這樣不好，一無是處
00:42:45:08 00:42:48:20 因為給了你這個肉身
00:42:50:10 00:42:55:02 試想像上天的力量要做些甚麽
00:42:55:10 00:42:59:05 才能令你成為人類，它是那麽溫柔
00:42:59:14 00:43:04:11 那麽小心，那麽漂亮的創造你成為人類
00:43:06:23 00:43:10:09 現在，你為甚麽得到這個肉身？
00:43:11:00 00:43:13:23 我們怎樣運用這個肉身？
00:43:14:15 00:43:18:21 我們必須提升我們的人生，為了甚麽？
00:43:19:09 00:43:24:13 是否只為了保險？我不知道他們做了些甚麽
00:43:24:22 00:43:28:05 是為了某些原因
00:43:28:19 00:43:32:22 我們要成為世界的光？
00:43:36:19 00:43:41:20 靈之光散發在注意力中
00:43:43:08 00:43:48:23 注意力變得有生氣，活躍，成就事情
00:43:49:06 00:43:52:09 它還很有警覺性，極之準時
00:43:54:23 00:44:01:10 注意力完全不會感到厭煩
00:44:02:04 00:44:04:08 人們不知道何謂沉悶，
00:44:06:02 00:44:11:00 沉悶是因為你的注意力
00:44:11:10 00:44:12:22 變得疲倦
00:44:13:10 00:44:15:19 這個注意力卻是充滿光輝
00:44:16:02 00:44:19:13 所以他們不懂甚麽是沉悶
00:44:22:05 00:44:26:22 靈的第二個本質是
00:44:28:13 00:44:32:05 它告訴你真理，絕對的真理
00:44:34:01 00:44:36:18 沒有其他，只有真理
00:44:38:24 00:44:42:14 告訴一切這個chaitanya lahiris(生命能量)會告訴你的
00:44:42:21 00:44:46:16 當你成熟，不是之前
00:44:47:00 00:44:48:16 當你完全與它連上
00:44:48:23 00:44:51:19 若你只是部分連上，部分沒有連上
00:44:52:00 00:44:53:09 是不行的，是當你完全成熟
00:44:53:17 00:44:57:00 即是處於nirvikalpa(無疑惑的知覺狀態)
00:44:57:15 00:44:58:20 當你變成這樣
00:44:59:03 00:45:01:23 你的注意力完全正確
00:45:02:04 00:45:05:12 你的生命能量完全妥當，報告是完全正確
00:45:05:21 00:45:09:24 那麽你取得的資料便是百分百真理
00:45:12:08 00:45:14:13 對任何人的真理
00:45:14:22 00:45:19:00 就如我們想知道格涅沙
00:45:20:12 00:45:22:11 我們敬拜格涅沙
00:45:22:20 00:45:24:14 很多人拿祂來開玩笑
00:45:24:22 00:45:27:09 即使那些所謂的聰明人，你要明白
00:45:27:20 00:45:29:17 他們不知道要說甚麽
00:45:30:00 00:45:32:21 所以才會說些有關格涅沙的荒唐話
00:45:33:09 00:45:35:18 你要明白，這是罪
00:45:38:02 00:45:39:21 你可以問︰
00:45:40:12 00:45:47:08 母親，Gauri Putra是否已經賜予根輪
00:45:47:18 00:45:49:11 在我們身上？
00:45:51:09 00:45:52:18 當然
00:45:53:04 00:45:56:07 有自覺的人會感到巨大的生命能量
00:45:56:20 00:45:57:22 你們也一樣
00:45:58:03 00:46:00:03 若你有疑問，若你敬拜
00:46:00:11 00:46:02:00 格涅沙，你便會問這個問題
00:46:02:08 00:46:06:14 若你敬拜毗濕奴，便會問那個問題
00:46:06:22 00:46:09:10 若你敬拜基督，就會問另一個問題
00:46:10:00 00:46:13:03 若你敬拜濕婆神，會問另一個問題
00:46:14:20 00:46:17:21 我們出了甚麽毛病，在沒有連上，我們呼喊︰
00:46:18:04 00:46:22:09 濕婆神，濕婆神，濕婆神，濕婆神？」祂是否在你的口袋裏？
00:46:24:06 00:46:27:21 你又怎能只是…祂是我們的僕人或甚麽？
00:46:29:01 00:46:32:04 若你已經得到自覺，只唸誦一次祂的名字就夠了
00:46:32:15 00:46:36:09 祂作出行動，因為我們在祂的國度裡
00:46:39:03 00:46:43:07 在你們的國度裡，在印度的國度，就在這裏
00:46:44:18 00:46:47:20 你可以呼喊任何人，不管如何，沒有人會來
00:46:48:04 00:46:49:23 這個問題不會發生
00:46:51:18 00:46:54:21 當你開始呼喊神，若沒有連上
00:46:55:04 00:46:56:13 是不會起作用
00:46:56:21 00:46:58:24 若你連上
00:47:00:14 00:47:04:02 不單神祇會幫助你
00:47:04:08 00:47:06:21 找你麻煩的人也會妥當
00:47:07:06 00:47:11:08 不單如此，你的任何要求都會達成
00:47:11:20 00:47:13:11 它實實在在的在發生
00:47:15:11 00:47:17:04 各種manorathas(即願望和欲望) 
00:47:17:12 00:47:18:14 都會實現
00:47:18:20 00:47:20:20 無論你稱呼它為
00:47:21:04 00:47:25:04 開悟或實現 
00:47:25:13 00:47:28:12 都是你的存有的完全實現
00:47:33:15 00:47:40:02 靈的第三個本質是愛
00:47:42:07 00:47:44:21 因為它是愛，它給你喜樂
00:47:45:05 00:47:50:19 但nirvaj---這愛沒有任何要求
00:47:52:14 00:47:57:09 它只付出，那麽舒服，美好的感覺
00:47:57:17 00:47:59:21 人有壓力
00:48:01:03 00:48:04:17 當你做了各種荒唐的事情後
00:48:04:24 00:48:07:12 會感到有壓力，毫無疑問
00:48:09:12 00:48:14:05 當這裡有個洞(hole)，壓力便會消失
00:48:14:21 00:48:16:05 不再有壓力了
00:48:16:13 00:48:17:24 我們不知道甚麽是壓力
00:48:18:07 00:48:20:04 人們不找醫生
00:48:21:07 00:48:23:21 即使醫生也不找醫生
00:48:25:02 00:48:26:03 他們來找我
00:48:26:09 00:48:29:09 我不是醫生，他們卻來找我，真的很驚訝
00:48:30:22 00:48:34:09 這是後現代科學
00:48:34:17 00:48:37:06 後現代----越超現代科學
00:48:38:02 00:48:41:07 你知道嗎，我們是印度人
00:48:41:19 00:48:44:16 印度有這個遺產
00:48:45:16 00:48:48:13 我們卻更相信英國的東西
00:48:49:05 00:48:51:05 英國服飾
00:48:52:00 00:48:54:09 英國的知識
00:48:55:07 00:48:56:24 因為我們只知道英語
00:48:57:10 00:49:00:07 那些懂法文的人會相信法國
00:49:00:20 00:49:03:24 是時候我們要相信自己
00:49:05:16 00:49:07:22 我們卻不相信自己的國家
00:49:08:07 00:49:09:18 自己的文化
00:49:10:02 00:49:14:11 自己的知識
00:49:15:19 00:49:17:13 我告訴你這不是新事物
00:49:17:20 00:49:20:03 霎哈嘉瑜伽是很古老的
00:49:20:16 00:49:23:03 Nanaka sahaja Samadhi lago 
00:49:27:00 00:49:30:06 每一個聖人都曾描述它
00:49:31:03 00:49:33:20 我們卻這樣那樣做
00:49:34:09 00:49:36:23 karma kandis 各種儀式
00:49:39:12 00:49:45:09 這樣做不能給你最終，不能
00:49:46:01 00:49:48:19 我告訴你，這是真理
00:49:51:22 00:49:56:11 我們就是要成為的靈
00:49:56:18 00:49:59:08 它是我們生命的最終目的
00:49:59:21 00:50:03:08 其他的都在界線之內
00:50:04:23 00:50:12:06 這是我們從所有經典
00:50:12:15 00:50:15:00 所有降世神祇
00:50:15:07 00:50:17:17 每一處取得的
00:50:18:10 00:50:23:21 讓我們現在只想成為靈
00:50:24:23 00:50:32:04 讓我們成為有自覺的靈，成為導師
00:50:33:15 00:50:35:08 願神祝福你們
00:50:50:11 00:50:52:21 他們沒有問題？
00:52:02:01 00:52:04:15 在給你們自覺前
00:52:06:07 00:52:10:03 我會回答一些好問題
00:52:10:16 00:52:13:02 若你想出去五分鐘，你可以
00:52:13:10 00:52:15:09 再回來
00:52:15:19 00:52:18:02 其間可以提問題
00:52:18:11 00:52:21:06 靜坐時，我們是否
00:52:21:14 00:52:23:11 把注意力放在頭頂？
00:52:23:20 00:52:26:05 你不用放注意力在任何地方 
00:52:26:15 00:52:28:02 你甚麽也沒有做
00:52:28:10 00:52:30:18 是靈量在升起
00:52:31:04 00:52:34:19 你不需要做甚麽，不要與你的注意力搏鬥
00:52:35:02 00:52:38:06 它自會…自會處理，它知道自己的工作
00:52:39:19 00:52:41:14 這是重點
00:52:48:04 00:52:52:01 那些神祇如格涅沙，摩訶毗濕奴等等
00:52:52:09 00:52:55:15 有如經典裏描述的形相嗎？當然有！
00:52:56:20 00:52:58:13 祂們是神祇
00:53:01:12 00:53:05:21 又或祂們處於某種神祕的知覺狀態
00:53:06:09 00:53:09:20 附屬於瑜伽的能量中心？當然祂們是 
00:53:12:09 00:53:15:02 這些神祇在這裡
00:53:16:04 00:53:18:24 格涅沙就像格涅沙
00:53:21:15 00:53:24:01 當然，祂的顏色與其他的神祇不同
00:53:24:09 00:53:25:09 這要看情況
00:53:25:20 00:53:27:07 但是
00:53:28:12 00:53:33:15 祂神祕的知覺狀態
00:53:34:07 00:53:36:16 與毗濕奴
00:53:38:18 00:53:40:18 或濕婆神也不同
00:53:41:05 00:53:43:07 祂做祂的工作
00:53:43:19 00:53:49:06 每一位神祇都完美地掌握祂們負責的任務
00:53:49:19 00:53:51:23 祂們是有形相的
00:53:52:08 00:53:56:03 絕對是如你所知的形相，毫無疑問
00:53:57:01 00:53:59:21 我們是那麽有福份！我是說，試想想
00:54:00:06 00:54:02:18 我要向這些人談及格涅沙
00:54:03:01 00:54:05:24 他們甚至不懂”G”這個字！
00:54:07:18 00:54:10:01 它只否只是...? 
00:54:10:10 00:54:12:18 他們對祂一無所知
00:54:13:13 00:54:15:19 然後他們掌握了格涅沙
00:54:16:04 00:54:19:11 現在問問他們，他們會告訴你所有輪穴，告訴你一切
00:54:21:08 00:54:24:04 所有這些知識都在這裡，這個我們的國家
00:54:24:12 00:54:27:12 所有這些美麗的珠寶都在這裡
00:54:29:14 00:54:32:01 當我們與不熟悉
00:54:32:07 00:54:33:17 霎哈嘉瑜伽的人一起時
00:54:33:24 00:54:36:21 我們能否只想像我們敬佩的瑪塔吉的形相
00:54:37:05 00:54:40:16 而不用把她的相片放在前面？當然可以
00:54:45:17 00:54:48:09 我的照片有時放在
00:54:50:04 00:54:53:21 很可笑的地方
00:54:54:04 00:54:56:19 不應這樣，這不合禮儀
00:54:57:10 00:55:00:08 我的照片應放在
00:55:01:02 00:55:04:13 你和霎哈嘉瑜伽士一起的地方
00:55:05:02 00:55:07:11 或在你的房子，你的家
00:55:07:19 00:55:10:08 不應每一處都用它
00:55:17:09 00:55:19:00 現在，這是很危險的問題！
00:55:19:06 00:55:21:20 素食會否影響求道者(sadhana)？
00:55:22:04 00:55:24:06 是否吃素比較好？
00:55:24:13 00:55:27:23 無論我說甚麽，你都會生氣！
00:55:29:07 00:55:30:19 但我告訴你
00:55:31:07 00:55:37:02 在霎哈嘉瑜伽，你不應吃身軀比你
00:55:37:10 00:55:39:22 大的動物
00:55:47:20 00:55:49:22 若你吃素，可以吃素
00:55:50:06 00:55:52:05 若你不吃素，也可以不吃素
00:55:52:15 00:55:55:18 要按照你的性格而定
00:55:56:09 00:55:58:04 若你是偏右脈
00:55:58:14 00:56:00:17 最好吃素
00:56:00:24 00:56:02:12 若你是偏左脈
00:56:02:20 00:56:04:10 最好多吃蛋白質
00:56:04:18 00:56:06:21 我在說蛋白質和碳水化合物
00:56:07:07 00:56:08:15 吃各種蛋白質
00:56:08:23 00:56:12:10 現在印度人都不吃蛋白質
00:56:15:13 00:56:16:16 除了idli(一種南印度菜餚)
00:56:16:24 00:56:19:03 我不認為我們有吃蛋白質
00:56:19:14 00:56:21:22 還有，我們與大米一起吃
00:56:23:05 00:56:25:05 我認為印度人
00:56:25:13 00:56:26:11 必須多吃蛋白質
00:56:26:19 00:56:29:00 因為我們變得那麽虛弱
00:56:30:06 00:56:32:23 就如我們害怕入息稅
00:56:33:06 00:56:35:03 這種那種稅,
00:56:35:20 00:56:37:15 又加上我們很虛弱
00:56:37:23 00:56:41:12 因為我們吃得過於清淡
00:56:41:19 00:56:43:19 因此我們要吃滋補的食物
00:56:44:02 00:56:46:13 特別是各種蛋白質
00:56:46:22 00:56:50:00 但不要吃體型大過我們的動物
00:56:51:14 00:56:53:00 就如有人吃馬匹
00:56:53:08 00:56:55:06 我不知道他們還吃甚麽
00:56:55:14 00:56:57:04 甚麽也吃，大象
00:57:05:10 00:57:08:18 沒有處方是適用於每一個人
00:57:09:15 00:57:12:19 要按照你的體質去吃
00:57:13:22 00:57:16:14 我是說當我這樣說時，很多人不會再來霎哈嘉瑜伽
00:57:16:22 00:57:18:10 只想像一下
00:57:19:00 00:57:21:10 他們因此失去atma sakshatkara(自覺) 
00:57:21:16 00:57:23:19 我是說你怎會成為素食者？
00:57:24:02 00:57:25:24 因為你媽媽是素食者
00:57:26:19 00:57:27:23 還是甚麽原因？
00:57:29:09 00:57:31:04 你從哪裏學懂素食？
00:57:31:12 00:57:32:16 就如你是穆斯林
00:57:32:24 00:57:36:07 你會吃人的頭顱！!
00:57:40:20 00:57:44:19 幸運地你生於印度社區
00:57:45:02 00:57:47:12 但我們卻太過分了
00:57:48:01 00:57:49:24 從早到晚
00:57:50:08 00:57:54:00 我是說這些儀式在馬德拉斯是太多了
00:57:54:08 00:57:55:08 他們還告訴我︰
00:57:55:14 00:57:58:06 母親，霎哈嘉瑜伽永遠不能在馬德拉斯成就到
00:57:58:14 00:58:00:00 我問：「為什麼？」
00:58:00:09 00:58:02:17 因為那兒的人完全不霎哈嘉(sahaj---自然而然)
00:58:03:01 00:58:05:01 他們必須早上四時起床
00:58:05:07 00:58:08:11 洗澡，上廟宇，然後回家
00:58:08:21 00:58:10:07 如果他們一天沒有這樣做
00:58:10:16 00:58:13:13 便會整天瘋瘋癲癲
00:58:15:10 00:58:17:13 認為自己犯下彌天大罪
00:58:17:20 00:58:19:17 這例行公事必須每天都做
00:58:20:03 00:58:22:03 霎哈嘉瑜伽是沒有慣例的
00:58:22:13 00:58:24:10 它是個生命的過程
00:58:25:13 00:58:28:13 生命的過程是沒有慣例
00:58:29:08 00:58:32:03 花兒想開就開
00:58:34:06 00:58:37:17 何苦要以這些儀式來握殺自己？
00:58:38:08 00:58:40:19 這是印度教的問題
00:58:41:01 00:58:42:06 基督徒也有相同的問題
00:58:42:14 00:58:44:22 我是說人人都在比試
00:58:47:04 00:58:50:07 神創造世界是要讓我們享受
00:58:51:24 00:58:52:20 我告訴你
00:58:53:01 00:58:56:16 如果你們能放棄這些規範，會非常輕鬆
00:58:57:04 00:58:58:16 忘記它吧！
00:59:00:12 00:59:02:13 極其量，早上五分鐘
00:59:02:24 00:59:04:02 晚上睡前十分鐘
00:59:04:08 00:59:07:03 以霎哈嘉瑜伽方式靜坐就可以了
00:59:07:11 00:59:08:19 我們也有靜坐中心
00:59:09:03 00:59:11:16 你可以去看看，就是這樣
00:59:13:06 00:59:15:17 神自會為你們處理餘下的事情
00:59:20:04 00:59:21:13 這是個好的問題
00:59:21:20 00:59:23:21 sadhana(求道者)的最後覺醒是甚麼？
00:59:24:05 00:59:26:04 在頭頂和手心感到能量後， 
00:59:26:12 00:59:29:19 怎樣向那方向前進？
00:59:30:07 00:59:31:14 基本上，十分好
00:59:31:20 00:59:33:10 森先生，那表示你已感受到它
00:59:33:17 00:59:35:04 我很高興
00:59:35:04 00:59:38:24 我是說你要到我們的集體靜室
00:59:39:07 00:59:40:13 去繼續升進
00:59:40:19 00:59:43:10 我們不談將來
00:59:44:19 00:59:46:18 只談現在
00:59:47:23 00:59:51:04 你會漸漸驚嘆自己的升進
00:59:53:01 00:59:57:12 怎樣取得所有力量
00:59:57:18 01:00:00:18 你自會了解，會讚嘆和驚訝
01:00:01:02 01:00:02:10 有些人
01:00:02:19 01:00:05:11 我一年後再重遇
01:00:05:21 01:00:06:22 雖然我有很好的記憶力， 
01:00:07:03 01:00:09:14 但仍不能把他們認出
01:00:23:07 01:00:25:09 這個男士在這裡
01:00:26:00 01:00:28:13 他有些個人問題
01:00:29:03 01:00:30:02 可憐的傢伙
01:00:30:10 01:00:33:09 他走到Navoli的哈達瑜伽(Hatha Yoga)
01:00:33:21 01:00:35:16 他在受苦
01:00:36:07 01:00:39:22 哈達瑜伽是另一種可笑的東西
01:00:41:02 01:00:42:16 若你讀過帕坦伽利(Patanjali)
01:00:42:24 01:00:44:14 便知道這是Ashtanga yoga(運動瑜伽)
01:00:45:14 01:00:48:10 這種練習，做一點點
01:00:48:17 01:00:52:00 是很重要的
01:00:52:11 01:00:54:19 任何人都可以教你哈達瑜伽
01:00:55:00 01:00:56:19 但是，除非他是有自覺的靈
01:00:57:01 01:00:59:14 否則他沒有權力教你甚麽
01:01:00:23 01:01:03:21 我今天要說的是Nivichar Samadhi(無思慮覺醒狀態)
01:01:04:12 01:01:06:07 無疑惑覺醒狀態---全部都有記載下來
01:01:06:15 01:01:09:02 他稱呼無所不在的力量
01:01:09:10 01:01:11:09 為ritambara pragya
01:01:11:22 01:01:17:13 有些人教你︰「哈(ha)，達(tha)」，只是這樣
01:01:18:17 01:01:22:06 人們都瘋瘋癲癲狂跑狂跳
01:01:22:14 01:01:24:22 你變得偏右脈，患上心臟病
01:01:25:06 01:01:26:19 這個男士就有問題
01:01:27:04 01:01:29:03 但我向你保證，你會妥當
01:01:29:09 01:01:31:03 你要練習霎哈嘉瑜伽，這是很簡單的
01:01:31:09 01:01:33:10 它使你平衡，你會妥當
01:01:36:05 01:01:39:14 練習哈達瑜伽，唸誦腹輪中部口訣(Gayatri Mantra)
01:01:39:23 01:01:41:11 你便更偏向右脈
01:01:41:19 01:01:44:06 要學習你需要的
01:01:44:14 01:01:46:03 右脈的人要有
01:01:46:12 01:01:48:07 多點虔敬(bhakti)
01:01:48:20 01:01:52:10 左脈的則可練習哈達瑜伽
01:01:53:14 01:01:55:18 要令自己平衡
01:01:56:04 01:02:00:07 才會有喜樂
01:02:01:05 01:02:03:19 否則當你遇見哈達瑜伽士時
01:02:04:05 01:02:06:03 最好帶備一支撐篙
01:02:06:11 01:02:09:06 天曉得他會不會打你---像Duruwasha(一位以臭脾氣聞名的導師)
01:02:10:08 01:02:11:20 這些人很危險
01:02:13:03 01:02:15:01 他們不知道甚麼是愛
01:02:17:05 01:02:20:07 甚麼是母親
01:02:20:17 01:02:22:23 他們從不說愛
01:02:33:00 01:02:35:08 自知之明是否
01:02:36:06 01:02:42:03 練習喚醒靈量力量(kundalini shakti) 
01:02:42:11 01:02:46:14 的先決條件？不是
01:02:48:04 01:02:50:12 獲得自覺後你會變得自知
01:02:50:21 01:02:53:04 甚麼也不需要
01:02:55:04 01:02:57:13 舉個例，人們不斷說：
01:02:57:20 01:02:59:16 你犯了罪，好吧
01:03:00:01 01:03:04:13 給我錢，你的罪就會清除
01:03:05:04 01:03:07:11 把他交給警察吧
01:03:11:13 01:03:15:03 對我來說，沒有人是罪人，沒有。你們是我的孩子
01:03:16:15 01:03:17:21 沒有一個是罪人
01:03:17:24 01:03:20:23 你們沒有犯任何罪，沒有犯錯，甚麼也沒有
01:03:21:04 01:03:23:15 你們只是弄錯了一些事情
01:03:24:02 01:03:27:00 才走進黑暗
01:03:27:11 01:03:33:14 頂多說你們無知.
01:03:34:12 01:03:37:23 但我不喜歡稱呼任何人為罪人
01:03:38:06 01:03:39:07 除非他們是惡魔
01:03:39:16 01:03:40:23 當然惡魔確實存在
01:03:41:07 01:03:42:13 但他們已經被標明
01:03:42:21 01:03:46:13 你們不用說出來，他們的確存在
01:03:47:02 01:03:52:14 你要取得這個自知
01:03:53:05 01:03:55:03 我們卻並未自知
01:03:56:02 01:03:58:16 自知之明是不能用行為來達到
01:03:59:08 01:04:00:23 當我們說：「我要有自知
01:04:01:05 01:04:03:06 我要有自知，我要走進內在
01:04:03:16 01:04:06:05 我們怎樣做？我們的自我？
01:04:09:15 01:04:11:14 是真有其事的
01:04:12:06 01:04:14:09 當你們達到那狀態
01:04:14:17 01:04:17:09 不是人的狀態， 
01:04:17:20 01:04:19:23 是瑜伽士的狀態
01:04:20:15 01:04:25:15 在這狀態你們便會有自知之明
01:04:26:19 01:04:28:21 會尊重自己
01:04:29:21 01:04:31:24 也會有尊嚴
01:04:33:02 01:04:34:06 你不會炫耀
01:04:34:13 01:04:36:11 不會變成低俗的人
01:05:10:03 01:05:11:00 他說：「母親
01:05:11:08 01:05:15:07 我最近開始用霎哈嘉的方法靜坐
01:05:15:14 01:05:20:20 我時常都感到很清新和美妙
01:05:21:03 01:05:22:24 老實說，雖然母親
01:05:23:09 01:05:25:23 說那能量是屬於我的
01:05:26:05 01:05:29:09 但我之前從未感覺到它
01:05:29:19 01:05:33:23 母親，請你告訴我
01:05:35:20 01:05:38:12 我是否重新與神或力量的源頭連上
01:05:38:20 01:05:43:02 因此我們常常感到
01:05:43:10 01:05:44:16 充滿能量
01:05:44:24 01:05:47:02 當然，你感到是因為你已再連上了
01:05:47:08 01:05:48:13 亳無疑問
01:05:49:08 01:05:52:23 你感覺不到能量，必定是
01:05:53:17 01:05:56:00 你是個好人
01:05:57:07 01:05:59:04 當有阻塞，你才
01:05:59:14 01:06:03:12 覺得有問題
01:06:04:03 01:06:05:23 如果一切很順暢
01:06:06:07 01:06:07:06 你不會有甚麼感覺
01:06:07:12 01:06:09:12 如果你很順暢地降落在霎哈嘉瑜伽
01:06:09:18 01:06:13:04 表示你是個善良
01:06:13:19 01:06:16:02 正直的好人
01:06:16:11 01:06:20:10 你很順利地就降落了，沒有障礙
