00:02:26:14 00:02:28:09 問題是
00:29:52:23 00:29:55:15 他會說︰「你可以以任何名義捐贈
00:29:56:00 00:29:58:20 我不會反對，我把捐款給你
00:29:59:00 00:30:02:09 我不想透露我的名字
00:30:02:14 00:30:05:20 我不介意你向稅務局透露我的名字
00:30:05:20 00:30:09:08 不然，我不想透露我的名字
00:30:09:14 00:30:13:17 他謙卑地請求不要透露他的名字
00:30:13:22 00:30:17:04 這個人才能稱得上為真正的lakshmipati
00:30:17:11 00:30:20:14 拉希什米的右手是像這樣向上指的
00:30:20:19 00:30:23:05 意思是你的注意力要往上，向著
00:30:23:11 00:30:25:24 一個更高的目標。當一個人成為lakshmipati
00:30:26:06 00:30:29:01 他的注意力會是這樣︰
00:30:29:01 00:30:32:05 我現在成為laskshmipati，但現在
00:30:32:12 00:30:36:00 我可以怎樣到達神？」當人到達這個層次
00:30:36:07 00:30:40:03 他便擁有財富，擁有很多財富，變得富有
00:30:40:09 00:30:44:02 但卻感到內在
00:30:44:08 00:30:47:23 並不富足，我們可以說他內在的
00:30:48:06 00:30:51:11 摩訶拉希什米原理已經被喚醒
00:30:51:18 00:30:54:19 透過摩訶拉希什米原理，靈量
00:30:55:02 00:30:58:10 被喚醒，當靈量被喚醒，這就是為甚麽我們說︰
00:30:58:16 00:31:01:18 ”Udo，Udo，Ambe”。即「神聖的靈量，請你醒來吧。」
00:31:02:00 00:31:05:00 我們在摩訶拉希什米的廟宇中這樣說
00:31:05:08 00:31:07:15 因為她只能通過摩訶拉希什米的
00:31:07:23 00:31:11:01 渠道才能得到喚醒，她在
00:31:11:08 00:31:14:01 摩訶拉希什米渠道被喚醒，跟著她穿過
00:31:14:09 00:31:16:14 在其上的所有輪穴，升上來，
00:31:16:21 00:31:19:01 穿透頂輪，讓我們看看
00:31:19:08 00:31:21:20 摩訶拉希什米曾以多少位神祇的形相降世
00:31:22:04 00:31:25:13 首先，摩訶拉希什米原理
00:31:25:21 00:31:28:21 與導師非常接近，一種很多愛和純潔的關係
00:31:29:04 00:31:32:07 若你從最初開始看，所有原初導師
00:31:32:15 00:31:35:14 她以女兒或姊妹身份出生
00:31:35:24 00:31:39:08 就像闍拿迦(Janaka)的女兒是悉旦
00:31:39:16 00:31:44:24 她是摩訶拉希什米的形相，是摩訶拉希什米的原理
00:31:45:06 00:31:47:13 她是闍拿迦的女兒
00:31:47:21 00:31:50:04 接著是那納克(Nanaka)的妹妹—Nanaki
00:31:50:13 00:31:53:04 她是摩訶拉希什米，她是位妹妹
00:31:53:11 00:31:55:24 同樣，穆罕默德的女兒法蒂瑪(Fatima)
00:31:56:05 00:31:58:17 她是摩訶拉希什米。她之後是羅陀(Radha)
00:31:58:23 00:32:01:10 羅陀是摩訶拉希什米的形相。她之後是瑪利亞
00:32:01:17 00:32:04:03 瑪利亞是摩訶拉希什米
00:32:04:12 00:32:07:02 她的關係是純潔的。她是那麽純潔
00:32:07:10 00:32:09:21 她以她的純潔生了耶穌基督
00:32:10:04 00:32:12:13 所以她的形相是純潔的處女
00:32:12:22 00:32:15:10 因為她的純潔，她是處女的形相
00:32:15:19 00:32:18:07 她有一位純潔如耶穌基督的兒子
00:32:18:16 00:32:20:20 因為這些摩訶拉希什米的降世神祇
00:32:21:05 00:32:23:09 我們上層的輪穴得到修補
00:32:23:19 00:32:26:15 意思是羅摩的輪穴在心臟的右邊
00:32:26:23 00:32:29:21 她在這裡的形相是悉旦
00:32:30:04 00:32:32:11 她在哪裡的形相是羅陀
00:32:32:22 00:32:35:08 而她在這裡的形相是瑪利亞。在這個位置三個輪穴相遇
00:32:35:17 00:32:38:18 這就是為何摩訶迦利、摩訶拉希什米和摩訶莎娃斯娃蒂
00:32:39:02 00:32:40:22 當這三個力量相遇，它們構成一個力量，即太初之母
00:32:41:06 00:32:43:21 太初之母住在頂輪裡
00:32:44:05 00:32:47:01 有人說，在頂輪
00:32:47:12 00:32:50:13 太初之母的形相是摩訶摩耶
00:32:50:23 00:32:53:14 她的形相是摩訶摩耶
00:32:53:23 00:32:56:06 因為這三個力量
00:32:56:17 00:32:59:15 就是太初之母以摩訶摩耶的形相
00:33:00:00 00:33:03:11 出現在這個世界
00:33:03:18 00:33:06:15 她能滲透每一個人的頂輪
00:33:07:00 00:33:09:17 你們也知道，她就在你面前
00:33:10:00 00:33:13:01 你全都知道
00:33:13:08 00:33:15:20 我不需要再說甚麽了
00:33:16:03 00:33:18:17 就是這樣，由於摩訶拉希什米
00:33:19:02 00:33:21:16 太初之母降世，她擁有
00:33:21:24 00:33:24:05 摩訶迦利，摩訶拉希什米，
00:33:24:14 00:33:27:08 摩訶莎娃斯娃蒂這三個力量，她內在擁有這三個力量
00:33:27:15 00:33:30:00 只有透過摩訶拉希什米原理
00:33:30:09 00:33:32:23 我們純粹的欲望—那是安巴(amba)
00:33:33:08 00:33:36:24 實際上是摩訶迦利的力量—才能被喚醒，她能辦到
00:33:37:08 00:33:40:19 這就是為甚麽太初之母是很重要的，因為
00:33:41:05 00:33:44:19 透過這三個力量，即使萬事俱備
00:33:45:04 00:33:49:00 最後的工作仍要去做，所以需要太初之母
00:33:49:10 00:33:52:16 即是說要透過這三個力量事情才能完成
00:33:53:00 00:33:56:05 即使我們能輕而易舉的辦到
00:33:56:14 00:34:00:01 能很輕鬆的得到，我們仍要很努力的工作
00:34:00:09 00:34:03:24 否則事情是沒法做到
00:34:04:06 00:34:07:08 它是頗為困難
00:34:07:16 00:34:10:12 若只有太初之母能做到
00:34:10:22 00:34:14:04 就不需要有這些混亂了
00:34:14:13 00:34:17:08 你必須辛勤地工作
00:34:17:16 00:34:20:10 要有你的支持才能完成這任務
00:34:20:21 00:34:23:03 現在在台上的是你，不是我
00:34:23:14 00:34:25:22 你可以拿取我的力量並且運用它
00:34:26:07 00:34:28:20 你要知道自己已在台上
00:34:29:05 00:34:31:20 所以你是值得受敬拜，你是很特別的
00:34:32:03 00:34:33:24 我又怎樣？無論我擁有甚麽力量
00:34:34:07 00:34:37:02 我已很久很久以前已經擁有它，對我這力量毫不特別
00:34:37:11 00:34:40:04 但你必須運用它，必須接受它
00:34:40:16 00:34:43:24 必須達成它，並且要掌握它
00:34:44:10 00:34:47:05 這是太初之母的真正欲望
00:34:47:12 00:34:51:00 是她純潔的欲望。為著這純潔的欲望
00:34:51:07 00:34:54:12 她每時每刻都很努力，而你們
00:34:54:22 00:34:58:00 只是賺取它，成就它，以愛接受它
00:34:58:08 00:35:01:08 迎上前，你已在進步中
00:35:01:15 00:35:04:02 對我這是極大的滿足感
00:35:04:09 00:35:06:23 這種滿足感令我忘記一切
00:35:07:04 00:35:10:07 忘記我過往受過多少苦
00:35:10:14 00:35:12:22 在過往很多年，我受了很多苦
00:35:13:06 00:35:15:06 悉旦要受多少苦楚，羅陀要受
00:35:15:16 00:35:18:23 多少苦楚，瑪麗亞要受多少苦楚
00:35:19:06 00:35:21:12 我忘記過去，我感到
00:35:21:20 00:35:24:12 過去好像從未發生甚麽
00:35:24:24 00:35:27:10 無論現在發生甚麽，都會是很特別的
00:35:27:20 00:35:31:13 這些降世神祇，我們要記著
00:35:31:22 00:35:35:10 摩訶拉希什米以人的形相降世
00:35:35:20 00:35:37:23 人類的形相。我們所稱呼的
00:35:38:06 00:35:40:19 女神摩訶迦利從未以人類降世
00:35:41:04 00:35:43:08 她的形相常常都是女神
00:35:43:20 00:35:46:14 以女神的形相出現是很容易的
00:35:47:00 00:35:49:23 但以人類的形相出現卻是
00:35:50:06 00:35:53:05 一份困難的任務。像人類般奮鬥
00:35:53:13 00:35:56:14 與人類一起生活是更困難
00:35:56:24 00:36:00:08 受人類的局限
00:36:01:18 00:36:03:23 來生活更加困難 
00:36:04:10 00:36:07:21 是諸女神以人類的形相來完成所有工作
00:36:08:05 00:36:11:22 所以今天我們能享受她們過往工作的祥瑞成果
00:36:12:07 00:36:15:18 在格納帕提普蕾所做的了不起工作
00:36:16:03 00:36:18:22 是值得寫入歷史，這麼了不起的工作
00:36:18:24 00:36:21:16 已經完成，這樣的事情在未來的每一年都會繼續發生，我熱切期望
00:36:21:22 00:36:23:00 能繼續這樣最少三年、四年
00:36:23:07 00:36:26:10 若這能發生，你們對這些工作也會有點概念
00:36:26:15 00:36:28:15 我們從格納帕提普蕾開始
00:36:28:21 00:36:30:21 完美的到達頂輪
00:36:31:07 00:36:34:17 所有這些是那麽aditi(原初)，沒法用
00:36:35:00 00:36:39:00 言語來表達，你們全都要接受
00:36:39:15 00:36:42:21 接受屬於我的一切，這是我唯一的純粹欲望
00:36:43:06 00:36:46:07 當這樣能成就，我再沒甚麽要求了
00:39:26:04 00:39:28:12 讓女士做崇拜
00:39:28:22 00:39:32:13 我會告訴你該怎樣做，讓他們來做
00:39:33:09 00:39:37:06 不要觸摸它，不要用手觸摸
00:39:37:22 00:39:41:14 小心點，你甚至不能觸摸碗
00:39:42:01 00:39:44:23 不要用手來觸摸
00:39:45:10 00:39:49:09 拿著邊，只拿著邊，現在放下
00:39:50:00 00:39:55:13 說Shri Sukta口訣，唸誦格涅沙頌(Atharva Sheersha)，說吧
00:39:56:04 00:39:58:03 放下，放下
00:40:13:09 00:40:14:24 這是對的
00:40:15:12 00:40:17:19 讓他們來做
00:40:21:17 00:40:25:13 不要用手，拿著這裏
00:45:00:24 00:45:03:19 現在是，所有男士都在這裡
00:45:04:06 00:45:06:16 先把這個移到這裡
00:45:07:00 00:45:09:21 告訴他們清洗我的雙腳
00:45:10:05 00:45:12:04 倒水在腳上，清洗它們
00:45:12:14 00:45:14:17 唸誦Shri Sukta
00:45:17:02 00:45:18:17 放…移開它
00:45:29:23 00:45:32:13 不要用手，移開這個，在這碟子上
00:45:40:08 00:45:43:24 這紅粉很好，因為它有生命能量
00:45:44:07 00:45:45:21 你們都拿一點
00:45:46:04 00:45:48:01 與一只匙一起給每個人
00:45:51:08 00:45:53:11 不要用手觸摸
00:45:56:20 00:45:59:14 只拿水來，不是熱水
00:49:36:00 00:49:38:20 崇拜要很寧靜，很平和的來做
00:49:42:13 00:49:44:20 這樣便不會出錯
00:54:41:15 00:54:45:09 現在你明白我們不用「貧窮」這個字句，”alakshmi”
00:54:45:16 00:54:48:01 即不是拉希什米原理
00:54:48:08 00:54:52:04 他們不會說”daridrya”(貧窮)
00:54:52:12 00:54:56:05 他們不說摧毀(貧窮)”daridrya”而說”alakshmi”
00:54:56:12 00:54:59:18 你看這是多精微
00:55:00:01 00:55:02:20 全都不吉祥
00:55:03:05 00:55:05:23 不是拉希什米原理
00:55:06:06 00:55:10:04 全部---它涵蓋的範圍很大
00:55:10:13 00:55:13:18 這都是經過深入研究才寫出來
00:55:14:01 00:55:17:10 清晰和恰當的思維
00:55:17:20 00:55:21:20 你看看它的生命能量
00:55:52:18 00:55:57:01 噢！不是這樣
00:55:57:17 00:56:01:08 之前它有水，是嗎？
00:56:01:16 00:56:05:22 現在來做，我們做些甚麽，現在已經發生了
00:56:06:06 00:56:09:04 這是我說的
00:56:09:14 00:56:15:03 現在把它倒下，現在沒用了，沒有分別了
00:56:15:23 00:56:18:14 現在像這樣做
00:56:19:03 00:56:21:23 聽我說吧
00:56:22:08 00:56:25:16 把水倒在我的雙腳，把它放在旁邊
00:56:26:12 00:56:28:24 不要觸摸到水
00:57:12:16 00:57:16:23 它從Kamal到Vishwa，不是二者之間
00:57:17:08 00:57:19:01 你明白嗎？
00:57:19:09 00:57:21:10 對摩訶拉希什米的描述是
00:57:21:18 00:57:24:01 她喜歡蓮花
00:57:24:08 00:57:26:08 也喜歡宇宙
00:57:26:15 00:57:29:11 不是兩者之間
00:58:10:02 00:58:12:18 用手來擦
00:58:55:23 00:58:58:22 現在唸誦108個名號
00:58:59:05 00:59:01:15 你們還有甚麽是摩訶拉希什米？
01:00:42:10 01:00:44:07 你們要明白
01:00:44:15 01:00:47:10 摩訶拉希什米原理變成Viratangana
01:00:47:18 01:00:50:04 即覺醒(buddhi)，腦袋---
01:00:53:04 01:00:56:21 知覺，我們應該說，她變成
01:00:59:00 01:01:01:07 Narayani Shakti，或Viratangana
01:01:01:15 01:01:03:21 是宇宙大我在腦袋中的力量
01:01:04:03 01:01:06:17 所以最後是摩訶拉希什米原理
01:01:08:07 01:01:11:23 某程度上，中樞神經系統也是摩訶拉希什米原理(Mahalakshmi Tattwa)
01:05:30:03 01:05:32:06 我在向他解釋，是這樣的
01:05:32:16 01:05:35:11 摩訶拉希什米原理
01:05:35:20 01:05:40:12 在拉希什米原理彰顯後才開始
01:05:41:00 01:05:44:17 即拉希什米藉由富裕和
01:05:44:23 01:05:46:08 從富裕而來的滿足彰顯後
01:05:46:17 01:05:49:17 摩訶拉希什米原理便開始在我們身上發展
01:05:50:00 01:05:51:16 令我們想到自己的昇進
01:05:52:02 01:05:54:02 它是這樣發生的
01:05:54:09 01:05:56:17 在我們腦袋裏有三個力量
01:05:57:00 01:05:58:20 即是摩訶迦利、摩訶拉希什米、摩訶莎娃斯娃蒂
01:05:59:05 01:06:00:14 在額輪之上
01:06:00:20 01:06:03:14 剛巧這二個力量
01:06:03:20 01:06:08:09 摩訶迦利和摩訶莎娃斯娃蒂，祂們是受祝福的
01:06:08:19 01:06:13:00 受摩訶拉希什米原理祝福
01:06:13:08 01:06:15:11 摩訶拉希什米原理基本上是
01:06:15:19 01:06:19:22 Narayana原理。Narayana是毗濕奴
01:06:20:05 01:06:22:00 毗濕奴變成克里希納
01:06:22:09 01:06:24:16 克里希納力量就在這裏
01:06:24:24 01:06:28:03 變成宇宙大我的力量，就是Viratangana
01:06:28:11 01:06:30:22 當她與這兩個力量結合
01:06:31:06 01:06:34:24 摩訶摩耶力量便開始彰顯
01:06:35:10 01:06:37:13 因為她是----你也知道克里希納是怎麽樣
01:06:37:20 01:06:39:06 祂常常玩把戲，這樣
01:06:39:15 01:06:41:03 藏起這個，這樣做…
01:06:41:10 01:06:43:18 這些事情都是從這個力量開展
01:06:44:01 01:06:46:17 所以它並不開放
01:06:47:01 01:06:48:24 像摩訶迦利力量是那麽開放
01:06:49:07 01:06:53:07 摩訶拉希什米力量是一個隱藏的力量，像瑪利亞
01:06:53:24 01:06:56:15 沒有人會相信瑪利亞是摩訶拉希什米
01:06:56:23 01:06:57:23 或是羅陀，是悉旦
01:06:58:06 01:07:01:12 很簡單，這力量是隱藏的但卻很有力量
01:07:01:22 01:07:05:08 在頂輪的時候，它變成摩訶摩耶
01:07:05:19 01:07:09:14 人們不懂怎樣找出
01:07:09:24 01:07:14:05 太初之母的實相，你們明白嗎？
01:09:17:04 01:09:19:11 是她支撐著整個宇宙
01:09:19:19 01:09:21:06 她變成靈
01:09:21:15 01:09:23:15 整個世界(Vishwa)的靈
01:09:23:22 01:09:26:00 Vishwa Gyaneshwara也曾把它紀錄下來
01:09:29:08 01:09:32:16 他說︰"Vishwatmake Devi"
01:09:33:00 01:09:37:11 宇宙聖靈的神
01:09:37:22 01:09:40:03 她變成宇宙
01:11:21:00 01:11:25:04 二位外國來的
01:11:25:10 01:11:28:19 已婚男女可以上來
01:11:36:14 01:11:38:23 李察，你不要來，其他人
01:11:39:04 01:11:40:23 請坐下
01:11:45:00 01:11:46:19 你們常有機會
01:11:47:01 01:11:50:03 那些沒有這機會的人才來
01:11:51:22 01:11:54:20 他是最先站起來的，我告訴你
01:11:54:20 01:11:56:22 請坐下
01:11:59:24 01:12:01:21 不要來自英國的，因為英國人
01:12:02:03 01:12:03:13 常有這個機會
01:12:03:22 01:12:06:00 必須是來自澳洲或
01:12:06:06 01:12:07:14 其他沒有這個機會的人
01:12:07:22 01:12:09:19 英國人要把機會讓給其他人
01:12:10:02 01:12:12:06 你們常常都遇到我，你在這裏清洗我的蓮足
01:12:12:13 01:12:13:14 來吧
01:12:13:21 01:12:16:13 她的丈夫在那裏？他是英國人嗎？是嗎？
01:12:17:08 01:12:19:06 願神祝福你們。好吧
01:12:19:16 01:12:22:03 叫一些澳洲人來
01:12:22:15 01:12:24:24 我是說即使你不是與同一個女士結婚
01:12:25:07 01:12:26:10 沒有此需要
01:12:26:18 01:12:28:24 讓澳洲人，或澳地利人或
01:12:29:10 01:12:31:02 一些沒有這個機會的人來
01:12:35:02 01:12:38:19 西班牙人也很好，好嗎，願神祝福你們
01:12:52:09 01:12:54:24 我要說英國人是最有特權
01:12:55:05 01:12:57:05 對嗎？
01:13:39:18 01:13:42:15 你想擦我的雙腳？你從未擦過我的雙腳？ 
01:13:42:21 01:13:44:10 好，來吧
01:13:46:23 01:13:50:08 現在，用右手拿著它，用左手來擦
01:13:51:07 01:13:54:07 你已經擦了我的雙腳，是嗎？
01:13:54:16 01:13:57:15 你已經擦了它，你已經擦了我的雙腳？
01:13:58:01 01:14:00:04 你有否擦我的雙腳？
01:14:03:13 01:14:05:13 你有否以水來洗擦我的雙腳？
01:14:05:22 01:14:08:15 你已經做了，好吧，讓他來做，
01:14:33:24 01:14:37:16 你看現在的生命能量，你把手放在這裏
01:14:40:10 01:14:44:16 好一點嗎？現在好一點嗎？好吧
01:54:41:12 01:54:43:19 願神祝福你們
01:54:44:06 01:54:46:08 願神祝福你們
01:54:46:20 01:54:49:06 願神祝福你們
01:54:54:17 01:54:57:10 願神祝福你們
