00:10:03:23 00:10:08:13 我向所有真理的追求者致敬
00:36:39:17 00:36:43:19 又或是一些政治家，你明白，大，大，大，大，大人物
00:36:44:15 00:36:46:15 他们感到抒尊降贵去
00:36:47:07 00:36:50:07 一个简陋的地方是很困难的，那地方就是中心
00:36:50:19 00:36:53:08 他们只想去一处为他们而设的皇宫
00:36:53:16 00:36:56:02 不然我们又怎能去呢？
00:36:57:11 00:36:59:05 这是母亲的房子
00:36:59:22 00:37:02:03 即使你们的母亲也很谦逊
00:37:02:19 00:37:04:24 她没有太多的钱---「好吧，不要紧
00:37:05:07 00:37:07:01 这是我母亲的房子
00:37:07:12 00:37:10:11 他们不肯来，跟着他们便失去生命能量
00:37:10:18 00:37:13:03 这是很普通的缺憾，特别在印度
00:37:13:11 00:37:14:09 不是西方
00:37:14:18 00:37:18:13 因为他们知道自己已取得怎样宝贵的东西
00:37:18:24 00:37:22:07 我们却不知道自己成就了什么
00:37:22:13 00:37:24:10 就是Atma sakshatkara(自觉) 
00:37:25:01 00:37:28:02 我明年会再来︰
00:37:28:12 00:37:31:04 母亲，我有这个问题，那个问题
00:37:31:11 00:37:34:02 我在家中有静坐
00:37:34:10 00:37:36:17 若你不来集体 
00:37:37:02 00:37:38:17 你不能洁淨自己
00:37:38:24 00:37:42:08 这是在霎哈嘉瑜伽唯一洁淨自己
00:37:42:16 00:37:45:16 超越一切的途径
00:37:48:00 00:37:51:18 当灵量穿过额轮
00:37:52:18 00:37:55:20 你变得无思无虑
00:37:57:01 00:38:01:01 思绪升起又降下，另一个思绪升起又降下
00:38:01:24 00:38:04:15 有些思绪来自过去，有些来自未来
00:38:04:23 00:38:06:21 我们却不在现在
00:38:07:05 00:38:09:19 若我说︰「你要活在当下。」你不能
00:38:11:11 00:38:15:05 这就是为什么灵量被唤醒后
00:38:17:03 00:38:19:14 你的注意力会向内
00:38:19:22 00:38:22:22 这件纱丽就像灵量升上来 
00:38:23:05 00:38:24:12 看它就像这样散开
00:38:24:19 00:38:26:00 当灵量升起
00:38:26:06 00:38:28:11 它把注意力推向内
00:38:30:09 00:38:31:23 你的注意力就是这样向内
00:38:32:06 00:38:34:18 当它穿越
00:38:35:07 00:38:37:06 思绪间有一个
00:38:37:13 00:38:39:13 叫作”vilamga”的空隙
00:38:40:04 00:38:42:15 这个，当然，或许每个人都知道
00:38:43:02 00:38:45:09 在增长，这是现在
00:38:45:18 00:38:47:12 所以你要在variamaan，即现在
00:38:47:18 00:38:48:21 我们必须在现在
00:38:49:04 00:38:51:10 那么我们才能无思无虑
00:38:52:16 00:38:56:14 就像水波升起，跌下
00:38:56:24 00:38:59:16 你面对水
00:39:02:02 00:39:04:22 当你在水中，你会害怕
00:39:05:06 00:39:06:03 会恐惧
00:39:06:12 00:39:08:05 当你遇上问题，你会害怕
00:39:08:12 00:39:12:17 但若有人从水中救起你，把你
00:39:12:23 00:39:15:03 放在船上，你便会看到
00:39:15:21 00:39:17:13 你解决了你的问题
00:39:17:21 00:39:19:18 若你懂游泳
00:39:19:24 00:39:23:02 你便能跳下水拯救很多人
00:39:23:10 00:39:26:04 你在三个阶段移动
00:39:29:21 00:39:31:14 你只有在无思虑的
00:39:31:22 00:39:33:04 知觉状态下才能成长
00:39:33:11 00:39:35:14 这种状态既能在集体
00:39:35:22 00:39:38:19 又能在静坐中达成
00:39:39:16 00:39:41:16 为此你不用付费
00:39:42:02 00:39:45:23 有些介绍讲座是免费的
00:39:46:08 00:39:48:23 但第二课则要付费
00:39:51:12 00:39:53:03 霎哈嘉瑜伽不是这样
00:39:53:09 00:39:55:15 这样荒唐的事情不会发生在霎哈嘉瑜伽
00:39:55:23 00:39:59:09 它是实相，我们不能购买实相
00:39:59:15 00:40:01:05 事实上，神不懂银行
00:40:01:15 00:40:03:12 不懂金钱
00:40:04:10 00:40:06:14 祂不明白任何关於钱的一切
00:40:06:22 00:40:10:08 祂不懂赚钱，这是你们要头痛的事情，不是祂
00:40:12:09 00:40:14:23 当然，若我要坐飞机，便要付费
00:40:15:06 00:40:16:07 这是可以的
00:40:16:17 00:40:18:17 若要租用会堂，也要付费
00:40:19:00 00:40:21:12 是付钱租用会堂，不是付钱给神
00:40:24:24 00:40:26:18 至於唤醒
00:40:27:10 00:40:31:13 开悟，你不能收取任何费用
00:40:32:04 00:40:36:02 即使是为了darshan(真身)，有人告诉我他们收取金钱，试想像
00:40:38:17 00:40:42:00 对他们来说，一切都是钱，钱，钱，钱，钱
00:40:42:08 00:40:45:17 他们怎能升至灵的层次？
00:40:48:01 00:40:50:18 我们是那么简单，你要知道
00:40:51:06 00:40:54:09 bhaktas(虔敬)是那么简单。「好吧，你想要五卢比
00:40:54:18 00:40:57:06 我卖了介子给你
00:40:57:17 00:41:00:05 你想要这个，我给你这个
00:41:00:16 00:41:03:10 有个在美国的灵性导师
00:41:04:08 00:41:08:01 我想他拥有四十八辆劳斯莱斯 
00:41:08:09 00:41:10:00 我也忘记了总数
00:41:10:07 00:41:12:17 他还想要多一辆
00:41:13:12 00:41:15:18 所以他告诉他的门徒︰
00:41:16:06 00:41:19:01 无论如何，你们也要给我一辆
00:41:19:09 00:41:21:18 劳斯莱斯，我才会来英国
00:41:22:05 00:41:24:16 那些门徒只能吃马铃薯
00:41:25:02 00:41:26:13 还饿着
00:41:26:22 00:41:29:04 一个霎哈嘉瑜伽士问︰「你们在做什么？
00:41:29:12 00:41:31:07 为什么他想要劳斯莱斯？
00:41:31:17 00:41:33:17 为什么他对劳斯莱斯那么感兴趣？
00:41:34:01 00:41:36:23 他说︰「你明白吗，我们只给他一件金属
00:41:37:06 00:41:39:09 他却给我们灵
00:41:39:16 00:41:40:16 你可以想像吗？
00:41:40:23 00:41:42:19 金属可以换取灵！
00:41:43:02 00:41:45:02 他必定把某些bhoot badha(亡灵) 
00:41:45:10 00:41:46:16 附在他们身上
00:41:46:24 00:41:48:22 英文是”spirit”
00:41:49:07 00:41:51:03 英语是很易误导人
00:41:51:14 00:41:58:16 因为”spirit”可以解作酒精
00:41:59:03 00:42:02:23 也可以解作”atma”(真我、灵)，也可以是”bhoot”(亡灵)
00:42:03:08 00:42:05:18 我不知道他们说的”spirit”是那个意思
00:42:10:23 00:42:12:16 若要
00:42:15:09 00:42:19:19 与神
00:42:20:15 00:42:24:09 建立关系
00:42:24:18 00:42:28:17 我们先要成为灵
00:42:29:18 00:42:33:23 只有这样才能与神建立关系
00:42:35:10 00:42:39:16 我们可以证明自己︰「我是这样，我们那样。」
00:42:40:02 00:42:44:17 这样不好，一无是处
00:42:45:08 00:42:48:20 因为给了你这个肉身
00:42:50:10 00:42:55:02 试想像上天的力量要做些什么
00:42:55:10 00:42:59:05 才能令你成为人类，它是那么温柔
00:42:59:14 00:43:04:11 那么小心，那么漂亮的创造你成为人类
00:43:06:23 00:43:10:09 现在，你为什么得到这个肉身？
00:43:11:00 00:43:13:23 我们怎样运用这个肉身？
00:43:14:15 00:43:18:21 我们必须提升我们的人生，为了什么？
00:43:19:09 00:43:24:13 是否只为了保险？我不知道他们做了些什么
00:43:24:22 00:43:28:05 是为了某些原因
00:43:28:19 00:43:32:22 我们要成为世界的光？
00:43:36:19 00:43:41:20 灵之光散发在注意力中
00:43:43:08 00:43:48:23 注意力变得有生气，活跃，成就事情
00:43:49:06 00:43:52:09 它还很有警觉性，极之准时
00:43:54:23 00:44:01:10 注意力完全不会感到厌烦
00:44:02:04 00:44:04:08 人们不知道何谓沉闷，
00:44:06:02 00:44:11:00 沉闷是因为你的注意力
00:44:11:10 00:44:12:22 变得疲倦
00:44:13:10 00:44:15:19 这个注意力却是充满光辉
00:44:16:02 00:44:19:13 所以他们不懂什么是沉闷
00:44:22:05 00:44:26:22 灵的第二个本质是
00:44:28:13 00:44:32:05 它告诉你真理，绝对的真理
00:44:34:01 00:44:36:18 没有其他，只有真理
00:44:38:24 00:44:42:14 告诉一切这个chaitanya lahiris(生命能量)会告诉你的
00:44:42:21 00:44:46:16 当你成熟，不是之前
00:44:47:00 00:44:48:16 当你完全与它连上
00:44:48:23 00:44:51:19 若你只是部分连上，部分没有连上
00:44:52:00 00:44:53:09 是不行的，是当你完全成熟
00:44:53:17 00:44:57:00 即是处於nirvikalpa(无疑惑的知觉状态)
00:44:57:15 00:44:58:20 当你变成这样
00:44:59:03 00:45:01:23 你的注意力完全正确
00:45:02:04 00:45:05:12 你的生命能量完全妥当，报告是完全正确
00:45:05:21 00:45:09:24 那么你取得的资料便是百分百真理
00:45:12:08 00:45:14:13 对任何人的真理
00:45:14:22 00:45:19:00 就如我们想知道格涅沙
00:45:20:12 00:45:22:11 我们敬拜格涅沙
00:45:22:20 00:45:24:14 很多人拿祂来开玩笑
00:45:24:22 00:45:27:09 即使那些所谓的聪明人，你要明白
00:45:27:20 00:45:29:17 他们不知道要说什么
00:45:30:00 00:45:32:21 所以才会说些有关格涅沙的荒唐话
00:45:33:09 00:45:35:18 你要明白，这是罪
00:45:38:02 00:45:39:21 你可以问︰
00:45:40:12 00:45:47:08 母亲，Gauri Putra是否已经赐予根轮
00:45:47:18 00:45:49:11 在我们身上？
00:45:51:09 00:45:52:18 当然
00:45:53:04 00:45:56:07 有自觉的人会感到巨大的生命能量
00:45:56:20 00:45:57:22 你们也一样
00:45:58:03 00:46:00:03 若你有疑问，若你敬拜
00:46:00:11 00:46:02:00 格涅沙，你便会问这个问题
00:46:02:08 00:46:06:14 若你敬拜毗湿奴，便会问那个问题
00:46:06:22 00:46:09:10 若你敬拜基督，就会问另一个问题
00:46:10:00 00:46:13:03 若你敬拜湿婆神，会问另一个问题
00:46:14:20 00:46:17:21 我们出了什么毛病，在没有连上，我们呼喊︰
00:46:18:04 00:46:22:09 湿婆神，湿婆神，湿婆神，湿婆神？」祂是否在你的口袋里？
00:46:24:06 00:46:27:21 你又怎能只是…祂是我们的仆人或什么？
00:46:29:01 00:46:32:04 若你已经得到自觉，只唸诵一次祂的名字就够了
00:46:32:15 00:46:36:09 祂作出行动，因为我们在祂的国度里
00:46:39:03 00:46:43:07 在你们的国度里，在印度的国度，就在这里
00:46:44:18 00:46:47:20 你可以呼喊任何人，不管如何，没有人会来
00:46:48:04 00:46:49:23 这个问题不会发生
00:46:51:18 00:46:54:21 当你开始呼喊神，若没有连上
00:46:55:04 00:46:56:13 是不会起作用
00:46:56:21 00:46:58:24 若你连上
00:47:00:14 00:47:04:02 不单神祇会帮助你
00:47:04:08 00:47:06:21 找你麻烦的人也会妥当
00:47:07:06 00:47:11:08 不单如此，你的任何要求都会达成
00:47:11:20 00:47:13:11 它实实在在的在发生
00:47:15:11 00:47:17:04 各种manorathas(即愿望和欲望) 
00:47:17:12 00:47:18:14 都会实现
00:47:18:20 00:47:20:20 无论你称呼它为
00:47:21:04 00:47:25:04 开悟或实现 
00:47:25:13 00:47:28:12 都是你的存有的完全实现
00:47:33:15 00:47:40:02 灵的第三个本质是爱
00:47:42:07 00:47:44:21 因为它是爱，它给你喜乐
00:47:45:05 00:47:50:19 但nirvaj---这爱没有任何要求
00:47:52:14 00:47:57:09 它只付出，那么舒服，美好的感觉
00:47:57:17 00:47:59:21 人有压力
00:48:01:03 00:48:04:17 当你做了各种荒唐的事情后
00:48:04:24 00:48:07:12 会感到有压力，毫无疑问
00:48:09:12 00:48:14:05 当这里有个洞(hole)，压力便会消失
00:48:14:21 00:48:16:05 不再有压力了
00:48:16:13 00:48:17:24 我们不知道什么是压力
00:48:18:07 00:48:20:04 人们不找医生
00:48:21:07 00:48:23:21 即使医生也不找医生
00:48:25:02 00:48:26:03 他们来找我
00:48:26:09 00:48:29:09 我不是医生，他们却来找我，真的很惊讶
00:48:30:22 00:48:34:09 这是后现代科学
00:48:34:17 00:48:37:06 后现代----越超现代科学
00:48:38:02 00:48:41:07 你知道吗，我们是印度人
00:48:41:19 00:48:44:16 印度有这个遗产
00:48:45:16 00:48:48:13 我们却更相信英国的东西
00:48:49:05 00:48:51:05 英国服饰
00:48:52:00 00:48:54:09 英国的知识
00:48:55:07 00:48:56:24 因为我们只知道英语
00:48:57:10 00:49:00:07 那些懂法文的人会相信法国
00:49:00:20 00:49:03:24 是时候我们要相信自己
00:49:05:16 00:49:07:22 我们却不相信自己的国家
00:49:08:07 00:49:09:18 自己的文化
00:49:10:02 00:49:14:11 自己的知识
00:49:15:19 00:49:17:13 我告诉你这不是新事物
00:49:17:20 00:49:20:03 霎哈嘉瑜伽是很古老的
00:49:20:16 00:49:23:03 Nanaka sahaja Samadhi lago 
00:49:27:00 00:49:30:06 每一个圣人都曾描述它
00:49:31:03 00:49:33:20 我们却这样那样做
00:49:34:09 00:49:36:23 karma kandis 各种仪式
00:49:39:12 00:49:45:09 这样做不能给你最终，不能
00:49:46:01 00:49:48:19 我告诉你，这是真理
00:49:51:22 00:49:56:11 我们就是要成为的灵
00:49:56:18 00:49:59:08 它是我们生命的最终目的
00:49:59:21 00:50:03:08 其他的都在界线之内
00:50:04:23 00:50:12:06 这是我们从所有经典
00:50:12:15 00:50:15:00 所有降世神祇
00:50:15:07 00:50:17:17 每一处取得的
00:50:18:10 00:50:23:21 让我们现在只想成为灵
00:50:24:23 00:50:32:04 让我们成为有自觉的灵，成为导师
00:50:33:15 00:50:35:08 愿神祝福你们
00:50:50:11 00:50:52:21 他们没有问题？
00:52:02:01 00:52:04:15 在给你们自觉前
00:52:06:07 00:52:10:03 我会回答一些好问题
00:52:10:16 00:52:13:02 若你想出去五分钟，你可以
00:52:13:10 00:52:15:09 再回来
00:52:15:19 00:52:18:02 其间可以提问题
00:52:18:11 00:52:21:06 静坐时，我们是否
00:52:21:14 00:52:23:11 把注意力放在头顶？
00:52:23:20 00:52:26:05 你不用放注意力在任何地方 
00:52:26:15 00:52:28:02 你什么也没有做
00:52:28:10 00:52:30:18 是灵量在升起
00:52:31:04 00:52:34:19 你不需要做什么，不要与你的注意力搏斗
00:52:35:02 00:52:38:06 它自会…自会处理，它知道自己的工作
00:52:39:19 00:52:41:14 这是重点
00:52:48:04 00:52:52:01 那些神祇如格涅沙，摩诃毗湿奴等等
00:52:52:09 00:52:55:15 有如经典里描述的形相吗？当然有！
00:52:56:20 00:52:58:13 祂们是神祇
00:53:01:12 00:53:05:21 又或祂们处於某种神祕的知觉状态
00:53:06:09 00:53:09:20 附属於瑜伽的能量中心？当然祂们是 
00:53:12:09 00:53:15:02 这些神祇在这里
00:53:16:04 00:53:18:24 格涅沙就像格涅沙
00:53:21:15 00:53:24:01 当然，祂的颜色与其他的神祇不同
00:53:24:09 00:53:25:09 这要看情况
00:53:25:20 00:53:27:07 但是
00:53:28:12 00:53:33:15 祂神祕的知觉状态
00:53:34:07 00:53:36:16 与毗湿奴
00:53:38:18 00:53:40:18 或湿婆神也不同
00:53:41:05 00:53:43:07 祂做祂的工作
00:53:43:19 00:53:49:06 每一位神祇都完美地掌握祂们负责的任务
00:53:49:19 00:53:51:23 祂们是有形相的
00:53:52:08 00:53:56:03 绝对是如你所知的形相，毫无疑问
00:53:57:01 00:53:59:21 我们是那么有福份！我是说，试想想
00:54:00:06 00:54:02:18 我要向这些人谈及格涅沙
00:54:03:01 00:54:05:24 他们甚至不懂”G”这个字！
00:54:07:18 00:54:10:01 它只否只是...? 
00:54:10:10 00:54:12:18 他们对祂一无所知
00:54:13:13 00:54:15:19 然后他们掌握了格涅沙
00:54:16:04 00:54:19:11 现在问问他们，他们会告诉你所有轮穴，告诉你一切
00:54:21:08 00:54:24:04 所有这些知识都在这里，这个我们的国家
00:54:24:12 00:54:27:12 所有这些美丽的珠宝都在这里
00:54:29:14 00:54:32:01 当我们与不熟悉
00:54:32:07 00:54:33:17 霎哈嘉瑜伽的人一起时
00:54:33:24 00:54:36:21 我们能否只想像我们敬佩的玛塔吉的形相
00:54:37:05 00:54:40:16 而不用把她的相片放在前面？当然可以
00:54:45:17 00:54:48:09 我的照片有时放在
00:54:50:04 00:54:53:21 很可笑的地方
00:54:54:04 00:54:56:19 不应这样，这不合礼仪
00:54:57:10 00:55:00:08 我的照片应放在
00:55:01:02 00:55:04:13 你和霎哈嘉瑜伽士一起的地方
00:55:05:02 00:55:07:11 或在你的房子，你的家
00:55:07:19 00:55:10:08 不应每一处都用它
00:55:17:09 00:55:19:00 现在，这是很危险的问题！
00:55:19:06 00:55:21:20 素食会否影响求道者(sadhana)？
00:55:22:04 00:55:24:06 是否吃素比较好？
00:55:24:13 00:55:27:23 无论我说什么，你都会生气！
00:55:29:07 00:55:30:19 但我告诉你
00:55:31:07 00:55:37:02 在霎哈嘉瑜伽，你不应吃身躯比你
00:55:37:10 00:55:39:22 大的动物
00:55:47:20 00:55:49:22 若你吃素，可以吃素
00:55:50:06 00:55:52:05 若你不吃素，也可以不吃素
00:55:52:15 00:55:55:18 要按照你的性格而定
00:55:56:09 00:55:58:04 若你是偏右脉
00:55:58:14 00:56:00:17 最好吃素
00:56:00:24 00:56:02:12 若你是偏左脉
00:56:02:20 00:56:04:10 最好多吃蛋白质
00:56:04:18 00:56:06:21 我在说蛋白质和碳水化合物
00:56:07:07 00:56:08:15 吃各种蛋白质
00:56:08:23 00:56:12:10 现在印度人都不吃蛋白质
00:56:15:13 00:56:16:16 除了idli(一种南印度菜肴)
00:56:16:24 00:56:19:03 我不认为我们有吃蛋白质
00:56:19:14 00:56:21:22 还有，我们与大米一起吃
00:56:23:05 00:56:25:05 我认为印度人
00:56:25:13 00:56:26:11 必须多吃蛋白质
00:56:26:19 00:56:29:00 因为我们变得那么虚弱
00:56:30:06 00:56:32:23 就如我们害怕入息税
00:56:33:06 00:56:35:03 这种那种税,
00:56:35:20 00:56:37:15 又加上我们很虚弱
00:56:37:23 00:56:41:12 因为我们吃得过於清淡
00:56:41:19 00:56:43:19 因此我们要吃滋补的食物
00:56:44:02 00:56:46:13 特别是各种蛋白质
00:56:46:22 00:56:50:00 但不要吃体型大过我们的动物
00:56:51:14 00:56:53:00 就如有人吃马匹
00:56:53:08 00:56:55:06 我不知道他们还吃什么
00:56:55:14 00:56:57:04 什么也吃，大象
00:57:05:10 00:57:08:18 没有处方是适用於每一个人
00:57:09:15 00:57:12:19 要按照你的体质去吃
00:57:13:22 00:57:16:14 我是说当我这样说时，很多人不会再来霎哈嘉瑜伽
00:57:16:22 00:57:18:10 只想像一下
00:57:19:00 00:57:21:10 他们因此失去atma sakshatkara(自觉) 
00:57:21:16 00:57:23:19 我是说你怎会成为素食者？
00:57:24:02 00:57:25:24 因为你妈妈是素食者
00:57:26:19 00:57:27:23 还是什么原因？
00:57:29:09 00:57:31:04 你从哪里学懂素食？
00:57:31:12 00:57:32:16 就如你是穆斯林
00:57:32:24 00:57:36:07 你会吃人的头颅！!
00:57:40:20 00:57:44:19 幸运地你生於印度社区
00:57:45:02 00:57:47:12 但我们却太过分了
00:57:48:01 00:57:49:24 从早到晚
00:57:50:08 00:57:54:00 我是说这些仪式在马德拉斯是太多了
00:57:54:08 00:57:55:08 他们还告诉我︰
00:57:55:14 00:57:58:06 母亲，霎哈嘉瑜伽永远不能在马德拉斯成就到
00:57:58:14 00:58:00:00 我问：「为什么？」
00:58:00:09 00:58:02:17 因为那儿的人完全不霎哈嘉(sahaj---自然而然)
00:58:03:01 00:58:05:01 他们必须早上四时起床
00:58:05:07 00:58:08:11 洗澡，上庙宇，然后回家
00:58:08:21 00:58:10:07 如果他们一天没有这样做
00:58:10:16 00:58:13:13 便会整天疯疯癫癫
00:58:15:10 00:58:17:13 认为自己犯下弥天大罪
00:58:17:20 00:58:19:17 这例行公事必须每天都做
00:58:20:03 00:58:22:03 霎哈嘉瑜伽是没有惯例的
00:58:22:13 00:58:24:10 它是个生命的过程
00:58:25:13 00:58:28:13 生命的过程是没有惯例
00:58:29:08 00:58:32:03 花儿想开就开
00:58:34:06 00:58:37:17 何苦要以这些仪式来握杀自己？
00:58:38:08 00:58:40:19 这是印度教的问题
00:58:41:01 00:58:42:06 基督徒也有相同的问题
00:58:42:14 00:58:44:22 我是说人人都在比试
00:58:47:04 00:58:50:07 神创造世界是要让我们享受
00:58:51:24 00:58:52:20 我告诉你
00:58:53:01 00:58:56:16 如果你们能放弃这些规范，会非常轻松
00:58:57:04 00:58:58:16 忘记它吧！
00:59:00:12 00:59:02:13 极其量，早上五分钟
00:59:02:24 00:59:04:02 晚上睡前十分钟
00:59:04:08 00:59:07:03 以霎哈嘉瑜伽方式静坐就可以了
00:59:07:11 00:59:08:19 我们也有静坐中心
00:59:09:03 00:59:11:16 你可以去看看，就是这样
00:59:13:06 00:59:15:17 神自会为你们处理馀下的事情
00:59:20:04 00:59:21:13 这是个好的问题
00:59:21:20 00:59:23:21 sadhana(求道者)的最后觉醒是什么？
00:59:24:05 00:59:26:04 在头顶和手心感到能量后， 
00:59:26:12 00:59:29:19 怎样向那方向前进？
00:59:30:07 00:59:31:14 基本上，十分好
00:59:31:20 00:59:33:10 森先生，那表示你已感受到它
00:59:33:17 00:59:35:04 我很高兴
00:59:35:04 00:59:38:24 我是说你要到我们的集体静室
00:59:39:07 00:59:40:13 去继续升进
00:59:40:19 00:59:43:10 我们不谈将来
00:59:44:19 00:59:46:18 只谈现在
00:59:47:23 00:59:51:04 你会渐渐惊叹自己的升进
00:59:53:01 00:59:57:12 怎样取得所有力量
00:59:57:18 01:00:00:18 你自会了解，会讚叹和惊讶
01:00:01:02 01:00:02:10 有些人
01:00:02:19 01:00:05:11 我一年后再重遇
01:00:05:21 01:00:06:22 虽然我有很好的记忆力， 
01:00:07:03 01:00:09:14 但仍不能把他们认出
01:00:23:07 01:00:25:09 这个男士在这里
01:00:26:00 01:00:28:13 他有些个人问题
01:00:29:03 01:00:30:02 可怜的傢伙
01:00:30:10 01:00:33:09 他走到Navoli的哈达瑜伽(Hatha Yoga)
01:00:33:21 01:00:35:16 他在受苦
01:00:36:07 01:00:39:22 哈达瑜伽是另一种可笑的东西
01:00:41:02 01:00:42:16 若你读过帕坦伽利(Patanjali)
01:00:42:24 01:00:44:14 便知道这是Ashtanga yoga(运动瑜伽)
01:00:45:14 01:00:48:10 这种练习，做一点点
01:00:48:17 01:00:52:00 是很重要的
01:00:52:11 01:00:54:19 任何人都可以教你哈达瑜伽
01:00:55:00 01:00:56:19 但是，除非他是有自觉的灵
01:00:57:01 01:00:59:14 否则他没有权力教你什么
01:01:00:23 01:01:03:21 我今天要说的是Nivichar Samadhi(无思虑觉醒状态)
01:01:04:12 01:01:06:07 无疑惑觉醒状态---全部都有记载下来
01:01:06:15 01:01:09:02 他称呼无所不在的力量
01:01:09:10 01:01:11:09 为ritambara pragya
01:01:11:22 01:01:17:13 有些人教你︰「哈(ha)，达(tha)」，只是这样
01:01:18:17 01:01:22:06 人们都疯疯癫癫狂跑狂跳
01:01:22:14 01:01:24:22 你变得偏右脉，患上心脏病
01:01:25:06 01:01:26:19 这个男士就有问题
01:01:27:04 01:01:29:03 但我向你保证，你会妥当
01:01:29:09 01:01:31:03 你要练习霎哈嘉瑜伽，这是很简单的
01:01:31:09 01:01:33:10 它使你平衡，你会妥当
01:01:36:05 01:01:39:14 练习哈达瑜伽，唸诵腹轮中部口诀(Gayatri Mantra)
01:01:39:23 01:01:41:11 你便更偏向右脉
01:01:41:19 01:01:44:06 要学习你需要的
01:01:44:14 01:01:46:03 右脉的人要有
01:01:46:12 01:01:48:07 多点虔敬(bhakti)
01:01:48:20 01:01:52:10 左脉的则可练习哈达瑜伽
01:01:53:14 01:01:55:18 要令自己平衡
01:01:56:04 01:02:00:07 才会有喜乐
01:02:01:05 01:02:03:19 否则当你遇见哈达瑜伽士时
01:02:04:05 01:02:06:03 最好带备一支撑篙
01:02:06:11 01:02:09:06 天晓得他会不会打你---像Duruwasha(一位以臭脾气闻名的导师)
01:02:10:08 01:02:11:20 这些人很危险
01:02:13:03 01:02:15:01 他们不知道什么是爱
01:02:17:05 01:02:20:07 什么是母亲
01:02:20:17 01:02:22:23 他们从不说爱
01:02:33:00 01:02:35:08 自知之明是否
01:02:36:06 01:02:42:03 练习唤醒灵量力量(kundalini shakti) 
01:02:42:11 01:02:46:14 的先决条件？不是
01:02:48:04 01:02:50:12 获得自觉后你会变得自知
01:02:50:21 01:02:53:04 什么也不需要
01:02:55:04 01:02:57:13 举个例，人们不断说：
01:02:57:20 01:02:59:16 你犯了罪，好吧
01:03:00:01 01:03:04:13 给我钱，你的罪就会清除
01:03:05:04 01:03:07:11 把他交给警察吧
01:03:11:13 01:03:15:03 对我来说，没有人是罪人，没有。你们是我的孩子
01:03:16:15 01:03:17:21 没有一个是罪人
01:03:17:24 01:03:20:23 你们没有犯任何罪，没有犯错，什么也没有
01:03:21:04 01:03:23:15 你们只是弄错了一些事情
01:03:24:02 01:03:27:00 才走进黑暗
01:03:27:11 01:03:33:14 顶多说你们无知.
01:03:34:12 01:03:37:23 但我不喜欢称呼任何人为罪人
01:03:38:06 01:03:39:07 除非他们是恶魔
01:03:39:16 01:03:40:23 当然恶魔确实存在
01:03:41:07 01:03:42:13 但他们已经被标明
01:03:42:21 01:03:46:13 你们不用说出来，他们的确存在
01:03:47:02 01:03:52:14 你要取得这个自知
01:03:53:05 01:03:55:03 我们却并未自知
01:03:56:02 01:03:58:16 自知之明是不能用行为来达到
01:03:59:08 01:04:00:23 当我们说：「我要有自知
01:04:01:05 01:04:03:06 我要有自知，我要走进内在
01:04:03:16 01:04:06:05 我们怎样做？我们的自我？
01:04:09:15 01:04:11:14 是真有其事的
01:04:12:06 01:04:14:09 当你们达到那状态
01:04:14:17 01:04:17:09 不是人的状态， 
01:04:17:20 01:04:19:23 是瑜伽士的状态
01:04:20:15 01:04:25:15 在这状态你们便会有自知之明
01:04:26:19 01:04:28:21 会尊重自己
01:04:29:21 01:04:31:24 也会有尊严
01:04:33:02 01:04:34:06 你不会炫耀
01:04:34:13 01:04:36:11 不会变成低俗的人
01:05:10:03 01:05:11:00 他说：「母亲
01:05:11:08 01:05:15:07 我最近开始用霎哈嘉的方法静坐
01:05:15:14 01:05:20:20 我时常都感到很清新和美妙
01:05:21:03 01:05:22:24 老实说，虽然母亲
01:05:23:09 01:05:25:23 说那能量是属於我的
01:05:26:05 01:05:29:09 但我之前从未感觉到它
01:05:29:19 01:05:33:23 母亲，请你告诉我
01:05:35:20 01:05:38:12 我是否重新与神或力量的源头连上
01:05:38:20 01:05:43:02 因此我们常常感到
01:05:43:10 01:05:44:16 充满能量
01:05:44:24 01:05:47:02 当然，你感到是因为你已再连上了
01:05:47:08 01:05:48:13 亳无疑问
01:05:49:08 01:05:52:23 你感觉不到能量，必定是
01:05:53:17 01:05:56:00 你是个好人
01:05:57:07 01:05:59:04 当有阻塞，你才
01:05:59:14 01:06:03:12 觉得有问题
01:06:04:03 01:06:05:23 如果一切很顺畅
01:06:06:07 01:06:07:06 你不会有什么感觉
01:06:07:12 01:06:09:12 如果你很顺畅地降落在霎哈嘉瑜伽
01:06:09:18 01:06:13:04 表示你是个善良
01:06:13:19 01:06:16:02 正直的好人
01:06:16:11 01:06:20:10 你很顺利地就降落了，没有障碍
01:06:20:17 01:06:22:02 你没有不平衡
01:06:22:10 01:06:24:13 你在中央，没有问题
01:06:25:03 01:06:27:06 若果你有问题
01:06:27:16 01:06:32:09 灵量会升起又降下
01:06:35:15 01:06:37:14 因此你感觉不到
01:06:37:24 01:06:39:04 有问题的人
01:06:39:10 01:06:42:18 有时会感到在不同位置有痛楚
01:06:43:22 01:06:46:03 但如果灵量只升起
01:06:46:14 01:06:50:10 你便知道自己是正直的好人
01:07:01:04 01:07:04:23 是否所有不能解释的问题
01:07:05:07 01:07:07:07 都能用「神」这个字来解释？不，不，不
01:07:07:16 01:07:09:21 在霎哈嘉瑜伽，一切都能解释
01:07:10:05 01:07:13:02 能验证(Pramana)
