00:02:26:14 00:02:28:09 问题是
00:30:20:19 00:30:23:05 意思是你的注意力要往上，向着
00:30:23:11 00:30:25:24 一个更高的目标。当一个人成为lakshmipati
00:30:26:06 00:30:29:01 他的注意力会是这样︰
00:30:29:01 00:30:32:05 我现在成为laskshmipati，但现在
00:30:32:12 00:30:36:00 我可以怎样到达神？」当人到达这个层次
00:30:36:07 00:30:40:03 他便拥有财富，拥有很多财富，变得富有
00:30:40:09 00:30:44:02 但却感到内在
00:30:44:08 00:30:47:23 并不富足，我们可以说他内在的
00:30:48:06 00:30:51:11 摩诃拉希什米原理已经被唤醒
00:30:51:18 00:30:54:19 透过摩诃拉希什米原理，灵量
00:30:55:02 00:30:58:10 被唤醒，当灵量被唤醒，这就是为什么我们说︰
00:30:58:16 00:31:01:18 ”Udo，Udo，Ambe”。即「神圣的灵量，请你醒来吧。」
00:31:02:00 00:31:05:00 我们在摩诃拉希什米的庙宇中这样说
00:31:05:08 00:31:07:15 因为她只能通过摩诃拉希什米的
00:31:07:23 00:31:11:01 渠道才能得到唤醒，她在
00:31:11:08 00:31:14:01 摩诃拉希什米渠道被唤醒，跟着她穿过
00:31:14:09 00:31:16:14 在其上的所有轮穴，升上来，
00:31:16:21 00:31:19:01 穿透顶轮，让我们看看
00:31:19:08 00:31:21:20 摩诃拉希什米曾以多少位神祇的形相降世
00:31:22:04 00:31:25:13 首先，摩诃拉希什米原理
00:31:25:21 00:31:28:21 与导师非常接近，一种很多爱和纯洁的关系
00:31:29:04 00:31:32:07 若你从最初开始看，所有原初导师
00:31:32:15 00:31:35:14 她以女儿或姊妹身份出生
00:31:35:24 00:31:39:08 就像阇拿迦(Janaka)的女儿是悉旦
00:31:39:16 00:31:44:24 她是摩诃拉希什米的形相，是摩诃拉希什米的原理
00:31:45:06 00:31:47:13 她是阇拿迦的女儿
00:31:47:21 00:31:50:04 接着是那纳克(Nanaka)的妹妹—Nanaki
00:31:50:13 00:31:53:04 她是摩诃拉希什米，她是位妹妹
00:31:53:11 00:31:55:24 同样，穆罕默德的女儿法蒂玛(Fatima)
00:31:56:05 00:31:58:17 她是摩诃拉希什米。她之后是罗陀(Radha)
00:31:58:23 00:32:01:10 罗陀是摩诃拉希什米的形相。她之后是玛利亚
00:32:01:17 00:32:04:03 玛利亚是摩诃拉希什米
00:32:04:12 00:32:07:02 她的关系是纯洁的。她是那么纯洁
00:32:07:10 00:32:09:21 她以她的纯洁生了耶稣基督
00:32:10:04 00:32:12:13 所以她的形相是纯洁的处女
00:32:12:22 00:32:15:10 因为她的纯洁，她是处女的形相
00:32:15:19 00:32:18:07 她有一位纯洁如耶稣基督的儿子
00:32:18:16 00:32:20:20 因为这些摩诃拉希什米的降世神祇
00:32:21:05 00:32:23:09 我们上层的轮穴得到修补
00:32:23:19 00:32:26:15 意思是罗摩的轮穴在心脏的右边
00:32:26:23 00:32:29:21 她在这里的形相是悉旦
00:32:30:04 00:32:32:11 她在那里的形相是罗陀
00:32:32:22 00:32:35:08 而她在这里的形相是玛利亚。在这个位置三个轮穴相遇
00:32:35:17 00:32:38:18 这就是为何摩诃迦利、摩诃拉希什米和摩诃莎娃斯娃蒂
00:32:39:02 00:32:40:22 当这三个力量相遇，它们构成一个力量，即太初之母
00:32:41:06 00:32:43:21 太初之母住在顶轮里
00:32:44:05 00:32:47:01 有人说，在顶轮
00:32:47:12 00:32:50:13 太初之母的形相是摩诃摩耶
00:32:50:23 00:32:53:14 她的形相是摩诃摩耶
00:32:53:23 00:32:56:06 因为这三个力量
00:32:56:17 00:32:59:15 就是太初之母以摩诃摩耶的形相
00:33:00:00 00:33:03:11 出现在这个世界
00:33:03:18 00:33:06:15 她能渗透每一个人的顶轮
00:33:07:00 00:33:09:17 你们也知道，她就在你面前
00:33:10:00 00:33:13:01 你全都知道
00:33:13:08 00:33:15:20 我不需要再说什么了
00:33:16:03 00:33:18:17 就是这样，由于摩诃拉希什米
00:33:19:02 00:33:21:16 太初之母降世，她拥有
00:33:21:24 00:33:24:05 摩诃迦利，摩诃拉希什米，
00:33:24:14 00:33:27:08 摩诃莎娃斯娃蒂这三个力量，她内在拥有这三个力量
00:33:27:15 00:33:30:00 只有透过摩诃拉希什米原理
00:33:30:09 00:33:32:23 我们纯粹的欲望—那是安巴(amba)
00:33:33:08 00:33:36:24 实际上是摩诃迦利的力量—才能被唤醒，她能办到
00:33:37:08 00:33:40:19 这就是为什么太初之母是很重要的，因为
00:33:41:05 00:33:44:19 透过这三个力量，即使万事俱备
00:33:45:04 00:33:49:00 最后的工作仍要去做，所以需要太初之母
00:33:49:10 00:33:52:16 即是说要透过这三个力量事情才能完成
00:33:53:00 00:33:56:05 即使我们能轻而易举的办到
00:33:56:14 00:34:00:01 能很轻松的得到，我们仍要很努力的工作
00:34:00:09 00:34:03:24 否则事情是没法做到
00:34:04:06 00:34:07:08 它是颇为困难
00:34:07:16 00:34:10:12 若只有太初之母能做到
00:34:10:22 00:34:14:04 就不需要有这些混乱了
00:34:14:13 00:34:17:08 你必须辛勤地工作
00:34:17:16 00:34:20:10 要有你的支持才能完成这任务
00:34:20:21 00:34:23:03 现在在台上的是你，不是我
00:34:23:14 00:34:25:22 你可以拿取我的力量并且运用它
00:34:26:07 00:34:28:20 你要知道自己已在台上
00:34:29:05 00:34:31:20 所以你是值得受敬拜，你是很特别的
00:34:32:03 00:34:33:24 我又怎样？无论我拥有什么力量
00:34:34:07 00:34:37:02 我已很久很久以前已经拥有它，对我这力量毫不特别
00:34:37:11 00:34:40:04 但你必须运用它，必须接受它
00:34:40:16 00:34:43:24 必须达成它，并且要掌握它
00:34:44:10 00:34:47:05 这是太初之母的真正欲望
00:34:47:12 00:34:51:00 是她纯洁的欲望。为着这纯洁的欲望
00:34:51:07 00:34:54:12 她每时每刻都很努力，而你们
00:34:54:22 00:34:58:00 只是赚取它，成就它，以爱接受它
00:34:58:08 00:35:01:08 迎上前，你已在进步中
00:35:01:15 00:35:04:02 对我这是极大的满足感
00:35:04:09 00:35:06:23 这种满足感令我忘记一切
00:35:07:04 00:35:10:07 忘记我过往受过多少苦
00:35:10:14 00:35:12:22 在过往很多年，我受了很多苦
00:35:13:06 00:35:15:06 悉旦要受多少苦楚，罗陀要受
00:35:15:16 00:35:18:23 多少苦楚，玛丽亚要受多少苦楚
00:35:19:06 00:35:21:12 我忘记过去，我感到
00:35:21:20 00:35:24:12 过去好像从未发生什么
00:35:24:24 00:35:27:10 无论现在发生什么，都会是很特别的
00:35:27:20 00:35:31:13 这些降世神祇，我们要记着
00:35:31:22 00:35:35:10 摩诃拉希什米以人的形相降世
00:35:35:20 00:35:37:23 人类的形相。我们所称呼的
00:35:38:06 00:35:40:19 女神摩诃迦利从未以人类降世
00:35:41:04 00:35:43:08 她的形相常常都是女神
00:35:43:20 00:35:46:14 以女神的形相出现是很容易的
00:35:47:00 00:35:49:23 但以人类的形相出现却是
00:35:50:06 00:35:53:05 一份困难的任务。像人类般奋斗
00:35:53:13 00:35:56:14 与人类一起生活是更困难
00:35:56:24 00:36:00:08 受人类的局限
00:36:01:18 00:36:03:23 来生活更加困难 
00:36:04:10 00:36:07:21 是诸女神以人类的形相来完成所有工作
00:36:08:05 00:36:11:22 所以今天我们能享受她们以前工作的祥瑞成果
00:36:12:07 00:36:15:18 在格纳帕提普蕾所做的了不起的工作
00:36:16:03 00:36:18:22 是值得写入历史，这么了不起的工作
00:36:18:24 00:36:21:16 已经完成，这样的事情在未来的每一年都会继续发生，我热切期望
00:36:21:22 00:36:23:00 能继续这样最少三年、四年
00:36:23:07 00:36:26:10 若这能发生，你们对这些工作也会有点概念
00:36:26:15 00:36:28:15 我们从格纳帕提普蕾开始
00:36:28:21 00:36:30:21 完美的到达顶轮
00:36:31:07 00:36:34:17 所有这些是那么aditi(原初)，没法用
00:36:35:00 00:36:39:00 言语来表达，你们全都要接受
00:36:39:15 00:36:42:21 接受属于我的一切，这是我唯一的纯粹欲望
00:36:43:06 00:36:46:07 当这样能成就，我再没什么要求了
00:39:26:04 00:39:28:12 让女士做崇拜
00:39:28:22 00:39:32:13 我会告诉你该怎样做，让他们来做
00:39:33:09 00:39:37:06 不要触摸它，不要用手触摸
00:39:37:22 00:39:41:14 小心点，你甚至不能触摸碗
00:39:42:01 00:39:44:23 不要用手来触摸
00:39:45:10 00:39:49:09 拿着边，只拿着边，现在放下
00:39:50:00 00:39:55:13 说Shri Sukta口诀，念诵格涅沙颂(Atharva Sheersha)，说吧
00:39:56:04 00:39:58:03 放下，放下
00:40:13:09 00:40:14:24 这是对的
00:40:15:12 00:40:17:19 让他们来做
00:40:21:17 00:40:25:13 不要用手，拿着这里
00:45:00:24 00:45:03:19 现在是，所有男士都在这里
00:45:04:06 00:45:06:16 先把这个移到这里
00:45:07:00 00:45:09:21 告诉他们清洗我的双脚
00:45:10:05 00:45:12:04 倒水在脚上，清洗它们
00:45:12:14 00:45:14:17 念诵Shri Sukta
00:45:17:02 00:45:18:17 放…移开它
00:45:29:23 00:45:32:13 不要用手，移开这个，在这碟子上
00:45:40:08 00:45:43:24 这红粉很好，因为它有生命能量
00:45:44:07 00:45:45:21 你们都拿一点
00:45:46:04 00:45:48:01 与一只匙一起给每个人
00:45:51:08 00:45:53:11 不要用手触摸
00:45:56:20 00:45:59:14 只拿水来，不是热水
00:49:36:00 00:49:38:20 崇拜要很宁静，很平和的来做
00:49:42:13 00:49:44:20 这样便不会出错
00:54:41:15 00:54:45:09 现在你明白我们不用「贫穷」这个字句，”alakshmi”
00:54:45:16 00:54:48:01 即不是拉希什米原理
00:54:48:08 00:54:52:04 他们不会说”daridrya”(贫穷)
00:54:52:12 00:54:56:05 他们不说摧毁(贫穷)”daridrya”而说”alakshmi”
00:54:56:12 00:54:59:18 你看这是多精微
00:55:00:01 00:55:02:20 全都不吉祥
00:55:03:05 00:55:05:23 不是拉希什米原理
00:55:06:06 00:55:10:04 全部---它涵盖的范围很大
00:55:10:13 00:55:13:18 这都是经过深入研究才写出来
00:55:14:01 00:55:17:10 清晰和恰当的思维
00:55:17:20 00:55:21:20 你看看它的生命能量
00:55:52:18 00:55:57:01 噢！不是这样
00:55:57:17 00:56:01:08 之前它有水，是吗？
00:56:01:16 00:56:05:22 现在来做，我们做些什么，现在已经发生了
00:56:06:06 00:56:09:04 这是我说的
00:56:09:14 00:56:15:03 现在把它倒下，现在没用了，没有分别了
00:56:15:23 00:56:18:14 现在像这样做
00:56:19:03 00:56:21:23 听我说吧
00:56:22:08 00:56:25:16 把水倒在我的双脚，把它放在旁边
00:56:26:12 00:56:28:24 不要触摸到水
00:57:12:16 00:57:16:23 它从Kamal到Vishwa，不是二者之间
00:57:17:08 00:57:19:01 你明白吗？
00:57:19:09 00:57:21:10 对摩诃拉希什米的描述是
00:57:21:18 00:57:24:01 她喜欢莲花
00:57:24:08 00:57:26:08 也喜欢宇宙
00:57:26:15 00:57:29:11 不是两者之间
00:58:10:02 00:58:12:18 用手来擦
00:58:55:23 00:58:58:22 现在念诵108个名号
00:58:59:05 00:59:01:15 你们还有什么是摩诃拉希什米？
01:00:42:10 01:00:44:07 你们要明白
01:00:44:15 01:00:47:10 摩诃拉希什米原理变成Viratangana
01:00:47:18 01:00:50:04 即觉醒(buddhi)，脑袋---
01:00:53:04 01:00:56:21 知觉，我们应该说，她变成
01:00:59:00 01:01:01:07 Narayani Shakti，或Viratangana
01:01:01:15 01:01:03:21 是宇宙大我在脑袋中的力量
01:01:04:03 01:01:06:17 所以最后是摩诃拉希什米原理
01:01:08:07 01:01:11:23 某程度上，中枢神经系统也是摩诃拉希什米原理(Mahalakshmi Tattwa)
01:05:30:03 01:05:32:06 我在向他解释，是这样的
01:05:32:16 01:05:35:11 摩诃拉希什米原理
01:05:35:20 01:05:40:12 在拉希什米原理彰显后才开始
01:05:41:00 01:05:44:17 即拉希什米藉由富裕和
01:05:44:23 01:05:46:08 从富裕而来的满足彰显后
01:05:46:17 01:05:49:17 摩诃拉希什米原理便开始在我们身上发展
01:05:50:00 01:05:51:16 令我们想到自己的升进
01:05:52:02 01:05:54:02 它是这样发生的
01:05:54:09 01:05:56:17 在我们脑袋里有三个力量
01:05:57:00 01:05:58:20 即是摩诃迦利、摩诃拉希什米、摩诃莎娃斯娃蒂
01:05:59:05 01:06:00:14 在额轮之上
01:06:00:20 01:06:03:14 刚巧这二个力量
01:06:03:20 01:06:08:09 摩诃迦利和摩诃莎娃斯娃蒂，他们是受祝福的
01:06:08:19 01:06:13:00 受摩诃拉希什米原理祝福
01:06:13:08 01:06:15:11 摩诃拉希什米原理基本上是
01:06:15:19 01:06:19:22 Narayana原理。Narayana是毗湿奴
01:06:20:05 01:06:22:00 毗湿奴变成克里希纳
01:06:22:09 01:06:24:16 克里希纳力量就在这里
01:06:24:24 01:06:28:03 变成宇宙大我的力量，就是Viratangana
01:06:28:11 01:06:30:22 当她与这两个力量结合
01:06:31:06 01:06:34:24 摩诃摩耶力量便开始彰显
01:06:35:10 01:06:37:13 因为她是----你也知道克里希纳是怎么样
01:06:37:20 01:06:39:06 他常常玩把戏，这样
01:06:39:15 01:06:41:03 藏起这个，这样做…
01:06:41:10 01:06:43:18 这些事情都是从这个力量开展
01:06:44:01 01:06:46:17 所以它并不开放
01:06:47:01 01:06:48:24 像摩诃迦利力量是那么开放
01:06:49:07 01:06:53:07 摩诃拉希什米力量是一个隐藏的力量，像玛利亚
01:06:53:24 01:06:56:15 没有人会相信玛利亚是摩诃拉希什米
01:06:56:23 01:06:57:23 或是罗陀，是悉旦
01:06:58:06 01:07:01:12 很简单，这力量是隐藏的但却很有力量
01:07:01:22 01:07:05:08 在顶轮的时候，它变成摩诃摩耶
01:07:05:19 01:07:09:14 人们不懂怎样找出
01:07:09:24 01:07:14:05 太初之母的实相，你们明白吗？
01:09:17:04 01:09:19:11 是她支撑着整个宇宙
01:09:19:19 01:09:21:06 她变成灵
01:09:21:15 01:09:23:15 整个世界(Vishwa)的灵
01:09:23:22 01:09:26:00 Vishwa Gyaneshwara也曾把它纪录下来
01:09:29:08 01:09:32:16 他说︰"Vishwatmake Devi"
01:09:33:00 01:09:37:11 宇宙圣灵的神
01:09:37:22 01:09:40:03 她变成宇宙
01:11:21:00 01:11:25:04 二位外国来的
01:11:25:10 01:11:28:19 已婚男女可以上来
01:11:36:14 01:11:38:23 李察，你不要来，其他人
01:11:39:04 01:11:40:23 请坐下
01:11:45:00 01:11:46:19 你们常有机会
01:11:47:01 01:11:50:03 那些没有这机会的人才来
01:11:51:22 01:11:54:20 他是最先站起来的，我告诉你
01:11:54:20 01:11:56:22 请坐下
01:11:59:24 01:12:01:21 不要来自英国的，因为英国人
01:12:02:03 01:12:03:13 常有这个机会
01:12:03:22 01:12:06:00 必须是来自澳洲或
01:12:06:06 01:12:07:14 其他没有这个机会的人
01:12:07:22 01:12:09:19 英国人要把机会让给其他人
01:12:10:02 01:12:12:06 你们常常都遇到我，你在这里清洗我的莲足
01:12:12:13 01:12:13:14 来吧
01:12:13:21 01:12:16:13 她的丈夫在哪里？他是英国人吗？是吗？
01:12:17:08 01:12:19:06 愿神祝福你们。好吧
01:12:19:16 01:12:22:03 叫一些澳洲人来
01:12:22:15 01:12:24:24 我是说即使你不是与同一个女士结婚
01:12:25:07 01:12:26:10 没有此需要
01:12:26:18 01:12:28:24 让澳洲人，或澳地利人或
01:12:29:10 01:12:31:02 一些没有这个机会的人来
01:12:35:02 01:12:38:19 西班牙人也很好，好吗，愿神祝福你们
01:12:52:09 01:12:54:24 我要说英国人是最有特权
01:12:55:05 01:12:57:05 对吗？
01:13:39:18 01:13:42:15 你想擦我的双脚？你从未擦过我的双脚？ 
01:13:42:21 01:13:44:10 好，来吧
01:13:46:23 01:13:50:08 现在，用右手拿着它，用左手来擦
01:13:51:07 01:13:54:07 你已经擦了我的双脚，是吗？
01:13:54:16 01:13:57:15 你已经擦了它，你已经擦了我的双脚？
01:13:58:01 01:14:00:04 你有否擦我的双脚？
01:14:03:13 01:14:05:13 你有否以水来洗擦我的双脚？
01:14:05:22 01:14:08:15 你已经做了，好吧，让他来做，
01:14:33:24 01:14:37:16 你看现在的生命能量，你把手放在这里
01:14:40:10 01:14:44:16 好一点吗？现在好一点吗？好吧
01:54:41:12 01:54:43:19 愿神祝福你们
01:54:44:06 01:54:46:08 愿神祝福你们
01:54:46:20 01:54:49:06 愿神祝福你们
01:54:54:17 01:54:57:10 愿神祝福你们
