00:17:18:22 00:17:26:01 今天是在奧地利
00:46:17:18 00:46:20:17 內在的純真
00:46:21:04 00:46:24:04 感覺宇宙大我的純真
00:46:24:14 00:46:28:03 格涅沙宇宙大我(Ganesha Virata)
00:46:28:03 00:46:30:00 或可以說是宇宙大我格涅沙(Virata Ganesha)
00:46:30:06 00:46:34:03 在宇宙大我，我們要感覺到純真
00:46:34:09 00:46:39:01 才能變得純真，我們的罪也沖走
00:46:39:23 00:46:45:03 這純真潔淨我們
00:46:46:03 00:46:49:12 這個「我」便會消失
00:46:49:18 00:46:54:01 原罪被沖洗
00:46:54:08 00:46:58:18 我們變成漂亮的存有
00:46:59:14 00:47:04:12 神自豪的孩子
00:47:06:01 00:47:12:04 也是創造的獎品
00:47:16:06 00:47:17:04 願神祝福你們
00:47:17:04 00:47:18:18 葛雷瓜，你現在可以翻譯
00:47:19:01 00:47:20:14 好吧，你可以翻譯
00:47:20:14 00:47:22:12 我知道很長
00:47:22:18 00:47:24:12 但有時我發覺流暢…若不能保持…
00:47:24:12 00:47:27:03 葛雷瓜︰很抱歉母親，我不應打斷你的講話。
00:47:27:09 00:47:29:03 不，沒關係，沒關係。
00:47:36:15 00:47:38:20 可以重播的，以這個背景
00:47:38:20 00:47:41:01 你可以…保持低調…
00:47:41:08 00:47:43:06 那麽你便可以
00:47:43:12 00:47:45:08 很自然的說些話
00:47:45:08 00:47:48:20 這樣可以嗎？是否重播？
00:47:51:14 00:47:54:22 這樣會給你一個正常的…
00:47:54:22 00:47:56:21 葛雷瓜︰我正想說三分鐘法文
00:47:56:21 00:47:58:04 三分鐘意大利文
00:47:58:10 00:47:59:11 很濃縮的說
00:47:59:18 00:48:00:10 你能？
00:48:00:10 00:48:01:10 葛雷瓜︰可以，我能
00:48:01:10 00:48:02:19 好吧。
00:53:51:01 00:53:54:14 很多人問我，之前也是
00:53:54:20 00:53:57:04 「母親，為甚麽我們會變成這樣？
00:53:57:12 00:54:01:03 神為甚麽不把我們創造成令我們能意識到自己
00:54:01:11 00:54:03:15 不犯這些錯誤？
00:54:03:15 00:54:09:00 為甚麽我們需要經歷這個邪惡的循環？
00:54:10:01 00:54:12:06 那時候，我不想說
00:54:12:17 00:54:14:15 你曾經犯了原罪
00:54:15:00 00:54:16:09 曾經不服從神
00:54:16:15 00:54:18:22 否則，事情會以不同的途徑成就
00:54:19:03 00:54:20:09 不會那麽漫長
00:54:21:00 00:54:23:06 因為若你告訴他們，另一件事情便會發生
00:54:23:06 00:54:26:12 他們變得偏左脈
00:54:26:12 00:54:28:07 對原罪感到內疚，就是這樣
00:54:29:17 00:54:32:23 所以我們要從自我跳到原罪那部分
00:54:33:07 00:54:37:23 但你卻在逃避那部分。我們只可以說，開始時
00:54:38:04 00:54:41:15 若沒有給你們自由，
00:54:41:15 00:54:44:04 進化是不可能發生。你要明白
00:54:44:04 00:54:46:04 最先測試的是自由
00:54:46:04 00:54:47:17 所以才給你自由
00:54:47:23 00:54:49:09 你住在一處好地方
00:54:49:15 00:54:53:17 完全得到神的保護
00:54:53:17 00:54:56:03 在伊甸園裡，你可以說，
00:54:56:03 00:54:58:10 在漂亮的…每事每物都是極之美好
00:54:58:17 00:55:00:07 在那裡，沒有任何缺乏
00:55:00:07 00:55:02:12 儘管如此，人類，
00:55:02:12 00:55:03:21 當他們擁有自由
00:55:03:21 00:55:07:06 測試的只有自由
00:55:07:12 00:55:11:01 他們立即接受骯髒污穢的東西
00:55:11:07 00:55:13:21 神因此要改變
00:55:13:21 00:55:15:21 整個宏圖大計
00:55:16:03 00:55:20:06 儘管他們擁有所有的恩賜，
00:55:20:12 00:55:23:23 骯髒污穢的事物對他們卻仍是那麽吸引
00:55:24:06 00:55:27:12 我們可以說，所有仇恨，
00:55:27:12 00:55:29:21 所有畜牲的感覺
00:55:30:07 00:55:32:06 對人類仍然很吸引
00:55:32:06 00:55:35:21 這是最令人驚訝的
00:55:35:21 00:55:37:21 當這些事情發生
00:55:38:03 00:55:39:23 很自然，自由必須
00:55:39:23 00:55:42:17 必須通過改善的測試
00:55:43:00 00:55:48:18 這個測試是整個創造
00:55:48:18 00:55:50:00 必然發生的
00:55:50:00 00:55:51:22 要告訴他們
00:55:51:22 00:55:54:14 是原罪令問題產生
00:55:54:21 00:55:55:16 他們卻認為︰
00:55:55:16 00:55:58:08 「天啊！你為甚麽創造原罪？」
00:55:58:14 00:56:01:00 因此，還是告訴他們，這是進化過程中
00:56:01:10 00:56:04:03 無可避免的
00:56:04:10 00:56:06:03 你的自由必須受測試，
00:56:06:11 00:56:08:17 因為若你想擁有
00:56:09:03 00:56:10:22 超級的自由
00:56:11:03 00:56:12:06 你必須先知道
00:56:12:13 00:56:14:00 你是否可以承受它
00:56:14:08 00:56:15:17 再看看是否，
00:56:18:11 00:56:20:02 所以，進化要花很多年
00:56:20:10 00:56:23:06 才能成長，才能明白
00:56:23:13 00:56:25:17 人類不能承受任何事物，他們不能承受自由
00:56:26:00 00:56:28:05 不能承受金錢，不能承受權位
00:56:28:11 00:56:30:21 不能承受舒適，也不能承受任何事物
00:56:31:05 00:56:33:06 這和我們現在在霎哈嘉瑜伽看到的一樣
00:56:33:13 00:56:35:24 當他們感到舒適，他們只是再次坐下
00:56:36:24 00:56:39:13 當他們得到物質上的祝福
00:56:39:22 00:56:42:14 這些事情便會再發生，同樣
00:56:42:22 00:56:45:11 伊甸園又再回來
00:56:45:17 00:56:47:08 當它回來
00:56:47:19 00:56:50:08 你再次回到同一階段，這不是好事
00:56:50:16 00:56:54:05 你必須明白，你要變成最高
00:56:54:13 00:56:55:21 你要掌握一切
00:56:56:02 00:56:57:13 沒有甚麽是重要的
00:56:57:21 00:56:59:08 只有靈是最重要
00:56:59:14 00:57:00:21 只有這樣才可以擺脫…
00:57:00:21 00:57:04:02 這也是對你的一種誘惑，你知道
00:57:04:16 00:57:07:18 所有臨到你身上的祝福都是誘惑
00:57:07:24 00:57:08:23 你必須準備妥當
00:57:08:23 00:57:12:24 沒有甚麽比靈更重要
00:57:12:24 00:57:16:18 我們為到達靈而做好準備
00:57:17:04 00:57:20:02 不介意擁有怎樣的恩賜和一切其他
00:57:20:09 00:57:22:15 想要的只是靈的自由，
00:57:22:21 00:57:24:21 它不渴求任何東西
00:57:25:07 00:57:27:06 不渴求物質上的東西
00:57:27:15 00:57:30:09 你會像一盞燈
00:57:30:20 00:57:32:16 發出光
00:57:32:23 00:57:34:24 甚麽類型的燈沒關係
00:57:35:06 00:57:37:13 無論它是金的，銀的或其他物料所造的
00:57:38:18 00:57:42:18 都可以燃燒，都可以發光，就算是泥造的也一樣
00:57:42:18 00:57:45:02 這是霎哈嘉瑜伽士要成就
00:57:45:08 00:57:48:17 要明白的。這是非常危險的階段
00:57:48:24 00:57:51:16 我發覺人們再次漂走.
01:02:03:01 01:02:05:20 現在我們要謙卑，說︰
01:02:06:12 01:02:09:18 我甚麽也不知道，母親，到目前為止，我要知道
01:02:10:00 01:02:12:04 因為這是根源的知識
01:02:12:12 01:02:13:12 是你不知道的
01:02:13:20 01:02:14:23 對你這是新的知識，你又怎可以質疑？
01:02:16:00 01:02:17:09 你甚麽也不知道
01:02:17:15 01:02:20:00 你必須認識這根源的知識
01:02:20:06 01:02:21:12 所以要謙卑
01:02:21:22 01:02:25:11 只有這樣你才能接受從新的成長而來的祝福
01:02:25:19 01:02:31:05 這是向內的，內在的成長，是Antar-Yoga
01:02:31:12 01:02:34:11 除非你謙卑，否則便不能成就
01:02:34:17 01:02:35:17 你必須謙卑
01:02:35:23 01:02:38:17 因為當你發問
01:02:38:17 01:02:40:17 是你的自我在發問
01:02:40:23 01:02:43:06 所以要謙卑，在內裡成長
01:02:43:14 01:02:48:20 深入根源的知識
01:02:50:08 01:02:55:08 很驚訝的只有在印度
01:02:55:16 01:02:57:11 人們才真正追尋這知識
01:02:57:17 01:02:59:15 他們已經追尋得很深
01:02:59:23 01:03:02:16 這就是為甚麽每一個人都走到印度
01:03:02:22 01:03:05:08 甚至基督也來到印度
01:03:05:16 01:03:10:14 去了解人們是怎樣追尋到，去支持他們，幫助他們
01:03:10:20 01:03:16:11 這是很重要的根源的知識，必須在一處比較
01:03:16:17 01:03:20:12 可能成就到的地方去成就
01:03:21:00 01:03:23:16 一處根源不容易受騷擾的地方
01:03:23:22 01:03:26:03 就是這個國家，印度
01:03:26:09 01:03:27:22 在這裡，人們尋找
01:03:28:03 01:03:29:22 當他們再次向外生長
01:03:30:03 01:03:31:15 他們變得愚蠢和笨拙
01:03:31:15 01:03:34:06 我們只看到他們的外表
01:03:34:16 01:03:38:08 看不到先知們在印度
01:03:38:17 01:03:41:11 做了怎樣了不起的工作，非常了不起，
01:03:41:22 01:03:44:08 我的意思是你只要接納他們任何一位
01:03:44:08 01:03:46:01 便足夠令你對霎哈嘉瑜伽有詳盡完整的概念
01:03:46:08 01:03:50:14 就拿一個簡單的人為例，一個很簡單的人
01:03:50:23 01:03:56:08 像賽乃夫(Sai Nath)，他是，看看他，簡單的人
01:03:56:14 01:03:58:22 但他擁有巨大像海洋般的知識
01:03:59:08 01:04:01:09 他並無受過教育
01:04:01:16 01:04:03:19 沒有人知道他在哪裏出生，甚麽發生在他身上
01:04:03:19 01:04:06:11 他來自哪裡，住在哪裡
01:04:06:17 01:04:08:14 怎樣活到這把年紀
01:04:08:14 01:04:12:09 沒有人知道他的背境。
01:04:12:22 01:04:15:14 又或舉商鞨羅大師(Adi Shankaracharya)為例
01:04:15:20 01:04:19:08 或你可拿伽比爾(Kabira)或任何一位為例
01:04:19:16 01:04:21:17 又或Machindranth
01:04:22:01 01:04:25:08 若你閱讀Machindranath，你不會明白
01:04:25:15 01:04:29:23 你會以為他說的是神祕的知識
01:04:30:22 01:04:32:12 這是一份巨大的工作
01:04:32:19 01:04:35:22 他們完全進入左面和右面，做著各種的事情
01:04:37:03 01:04:38:23 各種的實驗
01:04:39:05 01:04:41:23 若你閱讀他們寫有關NavNaths的書籍，
01:04:41:23 01:04:44:11 九個Nathas和有關Machindra的一生
01:04:44:19 01:04:49:11 Machindranath是很有深度的
01:04:49:23 01:04:52:03 他找出多處女士是統治者的地方
01:04:52:09 01:04:55:23 我想那必定是在比利時某處
01:04:56:19 01:04:58:01 那裏婦女是統治者
01:04:58:08 01:04:59:22 而丈夫則只是庸才
01:04:59:22 01:05:03:04 他發現各種事物，他發現甚麽發生了
01:05:03:11 01:05:05:17 以及他怎樣嘗試去治好它。
01:05:06:03 01:05:08:03 這是移向另一個方向的動作
01:05:08:09 01:05:09:23 根源的方向
01:05:10:04 01:05:12:17 根源怎樣在各處生長成可怕的樹木
01:05:12:17 01:05:17:01 這就是他怎能成就到。
01:05:17:01 01:05:22:04 這些都具有象徵意義，要明白他的工作
01:05:22:12 01:05:24:18 你真的要非常有深度
01:05:24:24 01:05:29:04 非常深入的滲透入內
01:05:29:24 01:05:34:03 到目前為止，人類的腦袋仍然沒有能力
01:05:34:09 01:05:35:23 看到他們已完成的大量工作
01:05:36:04 01:05:37:17 沒有可能看到
01:05:37:24 01:05:41:04 就如你讀到商鞨羅大師的描述
01:05:41:10 01:05:43:20 或是麥根迪亞(Markandeya)對母親的描述
01:05:44:19 01:05:48:22 是那麽不平凡，他怎會看到這些細節
01:05:48:22 01:05:50:15 從哪裏，從哪個角度
01:05:50:24 01:05:55:24 母親的細微事情他都看到
01:05:55:24 01:05:57:18 如孩子般看到。
01:05:57:24 01:06:00:04 你看，絕對親近母親
01:06:00:10 01:06:04:07 這代表純真是完整和完美的
01:06:04:16 01:06:07:01 否則你不能看到他們所看到的
01:06:07:10 01:06:09:19 所有細節，像母親的三重面相
01:06:10:02 01:06:11:05 別人怎能看到？
01:06:11:11 01:06:14:16 但孩子卻看到母親的三重面相，就在這裏
01:06:14:24 01:06:17:00 在她的身上
01:06:17:07 01:06:19:02 只有孩子能看到
01:06:19:11 01:06:21:04 這是了不起的，我告訴你
01:06:21:04 01:06:23:07 這是了不起的，這純真，
01:06:23:07 01:06:26:13 他們的洞悉力，他們的勇氣
01:06:26:19 01:06:29:24 需要有真正的勇氣才能成長到達這種洞悉力
01:06:30:07 01:06:34:10 純真是我們首先要達到的
01:06:34:21 01:06:38:11 它不應是藉由基督或藉由格涅沙才有的
01:06:38:19 01:06:40:21 是你必須擁有純真
01:06:41:02 01:06:44:02 意思是你是，你是純真
01:06:44:08 01:06:45:22 你不需要這樣說，
01:06:46:05 01:06:48:05 你不需要通過別人而擁有純真
01:06:48:11 01:06:53:19 你就是這樣，你直接就擁有它
01:06:54:08 01:06:57:21 這些只是為沒有自覺
01:06:58:02 01:06:59:18 愚蠢和
01:07:00:01 01:07:02:16 不能直接達到的人而設
01:07:02:22 01:07:04:15 你們全都能直接達到它
01:07:04:15 01:07:06:18 這是你的福份，對你最偉大的事
01:07:06:24 01:07:09:07 是可以直接達到
01:07:09:15 01:07:12:16 你必須到達這個純真的位置
01:07:12:16 01:07:15:19 藉此你變得精微，變得Sukshma
01:07:16:01 01:07:19:02 因為純真是最精微的，
01:07:19:02 01:07:23:16 你進入各領域去認識根源的知識，
01:07:24:05 01:07:27:07 生命之樹的知識
01:07:27:15 01:07:31:13 這不是給予愚蠢、自我、荒唐的人
01:07:31:13 01:07:33:22 我告訴你，他們都變成惡魔，他們是惡魔
01:07:34:08 01:07:36:02 我們不會走他們的路
01:07:36:11 01:07:37:24 要走另一條路
01:07:37:24 01:07:40:10 我們內在要謙卑
01:07:40:19 01:07:43:07 要嘗試喚醒你的純真
01:07:43:21 01:07:46:13 這是神聖的純真
01:07:46:22 01:07:48:14 pavitra，你內在的純真
01:07:56:10 01:08:01:15 很令人驚訝，梵文是沒有純真這詞彙
01:08:02:08 01:08:05:19 因為對他們來說，無論甚麽是神聖，吉祥，全都包括在內
01:08:06:01 01:08:09:05 梵文是沒有獨立一個字講純真
01:08:09:05 01:08:13:24 他們不能想像
01:08:14:05 01:08:15:22 純真可以憑空的存在
01:08:16:04 01:08:19:01 純真必須是內在的
01:08:19:07 01:08:24:01 就像杯子，只能像這樣盛水
01:08:24:07 01:08:25:10 他們想不到
01:08:25:16 01:08:29:04 想不到水可以懸掛於空中
01:08:29:10 01:08:30:24 必須有杯子來盛水
01:08:31:08 01:08:33:01 他們只會說︰「吉祥的時間」
01:08:33:13 01:08:36:13 「吉祥的人」
01:08:36:21 01:08:40:18 「吉祥的東西」，「吉祥的晚上」
01:08:41:01 01:08:42:07 「吉祥的日子」
01:08:42:13 01:08:47:11 容納每事每物
01:08:47:18 01:08:49:11 容器，像容器
01:08:49:21 01:08:52:10 有純真的容器
01:08:52:18 01:08:56:16 吉祥也一樣，吉祥是形容詞
01:08:58:07 01:09:03:16 不會說
01:09:03:16 01:09:05:21 這是實質的純真，Shubbha
01:09:06:02 01:09:08:02 Shubbha是形容詞
01:09:08:08 01:09:11:08 純真沒有名詞
01:09:11:08 01:09:14:08 可以有純真，
01:09:15:13 01:09:16:22 但純真單獨並不存在
01:09:16:22 01:09:20:02 純真存在於每一處
01:09:21:11 01:09:22:15 這是很廣闊的概念
01:09:22:22 01:09:26:19 這是宇宙大我格涅沙廣闊的概念
01:09:27:04 01:09:30:24 若祂是整個宇宙大我
01:09:31:11 01:09:34:08 你又怎能把它貶低為純真？
01:09:36:07 01:09:38:18 是那麽精微
01:09:38:24 01:09:42:21 過於精微去變成名詞
01:09:44:07 01:09:46:04 因為它過於精微。
01:09:46:13 01:09:48:21 我們要變得這樣精微
01:09:51:13 01:09:53:10 願神祝福你們
01:10:22:19 01:10:25:16 你們可以開始清洗我的蓮足
01:10:26:16 01:10:29:09 首先，我們要做的
01:10:29:16 01:10:32:13 有誰未曾為我清洗雙腳
01:10:32:19 01:10:44:17 請舉手。到目前為止，他未曾為我洗腳？
01:10:47:05 01:10:49:16 好來吧
01:32:05:10 01:32:07:16 二十一個名號
01:32:08:07 01:32:10:06 這是錫呂‧毗濕奴的二十一個名號
01:32:10:14 01:32:16:10 是你的進化的面向
01:32:17:00 01:32:18:08 也是你的正法的面向
01:32:18:22 01:32:21:13 首先是持守，跟著是進化
01:32:22:14 01:32:26:22 是你內在的父親
01:32:27:08 01:32:32:13 因為你們都追尋進化
01:32:33:17 01:32:37:22 所以這二十一種力量被召喚
01:32:38:03 01:32:45:05 神的二十一種父性的不同面向
01:32:45:05 01:32:47:00 二十一種力量
01:32:48:03 01:32:52:14 這二十一個名號
01:32:52:22 01:32:56:07 代表你內在二十一種進化的力量
01:32:58:19 01:33:01:13 中脈有
01:33:02:10 01:33:04:05 二十一個力量。
01:33:07:13 01:33:10:24 你可以翻譯，譯成法文吧
01:33:14:14 01:33:17:20 毗濕奴，毗濕奴，這是毗濕奴的力量
01:33:18:01 01:33:20:00 或我你可以說，Narayana
01:33:20:00 01:33:21:21 毗濕奴是父親
01:38:50:06 01:38:52:04 這是過渡期(Krita Yuga)
01:38:52:04 01:38:55:10 Krita代表當它很有效率
01:38:56:21 01:38:58:17 當它很有效率時
01:38:58:23 01:39:00:21 事情就可以成就，這是Yuga
01:39:00:21 01:39:02:10 能夠成就事情的時候
01:39:02:17 01:39:03:24 Krita Yuga
01:39:04:06 01:39:06:15 這是在紛亂期(Kali Yuga)與完滿期(Satya Yuga)
01:39:06:15 01:39:08:01 之間的特別時刻
01:39:08:07 01:39:10:24 這時候事情可以成就
01:39:11:06 01:39:12:23 工作可以完成
01:39:13:06 01:39:14:06 在救贖的時刻
01:39:14:06 01:39:15:12 你的手也會說話
01:39:15:18 01:39:19:09 就是這樣，你明白了。把它翻譯吧
01:39:20:09 01:39:23:04 Krita Yuga，Kri意思是去做
01:51:35:11 01:51:38:20 Svatojayte，意思是原則
01:51:39:02 01:51:42:20 你喚醒宇宙的原則
01:51:43:16 01:51:46:22 宇宙的原則，
01:51:47:03 01:51:52:09 pratye代表你分享經驗
01:51:52:22 01:51:56:19 所以這原則是他引起的
01:51:57:05 01:51:59:19 他也分享經驗
01:52:12:05 01:52:15:13 Pratye是獲得証實的經驗
01:52:18:15 01:52:21:19 証實你存在，
01:52:22:01 01:52:25:08 你給予pratye，意思是你分享經驗
01:52:25:18 01:52:28:05 証明你存在
02:02:55:05 02:02:58:01 應該是，「在人身上的神明」這樣好一點
02:02:58:15 02:03:00:15 在人裏面的神…
02:03:04:10 02:03:06:15 祂絕不可能是人
02:03:07:07 02:03:09:07 你怎可以稱呼祂呢？

