00:00:38:23 00:00:41:17 很抱歉我迟到了
00:35:40:07 00:35:43:20 不要查问帐目，让她们自己处理
00:35:43:24 00:35:47:12 你最多也不过是破产吧，你必须这样。
00:35:51:20 00:35:56:02 但首先要看看她们对霎哈嘉瑜伽态度是怎么样
00:35:56:03 00:36:01:03 我曾经见过，在一个家庭里，若是妇女管理钱包
00:36:01:05 00:36:04:05 霎哈嘉瑜伽可以获得更多的金钱
00:36:04:10 00:36:08:00 这比男人管理钱可以得到的多得多
00:36:09:00 00:36:12:13 这是很令人惊讶的。当控制权在男人手上
00:36:12:15 00:36:15:05 他们会想着他们的车
00:36:16:18 00:36:18:22 想着一些大事，但若控制权在女人手上
00:36:18:24 00:36:23:02 她们懂得怎样节省金钱
00:36:23:04 00:36:25:12 就如我向你们展示怎样节省金钱
00:36:25:14 00:36:28:18 男人不懂省钱，他们永远也不会省钱
00:36:29:18 00:36:32:13 只有女人懂得省钱。但若她们沉醉在其它的兴趣
00:36:32:15 00:36:36:20 她们的钱便会完全花在商店里
00:36:36:22 00:36:40:02 花在为男人购买衬衣
00:36:40:05 00:36:44:05 以及为自己购买纱丽上，她们可以这样做
00:36:45:07 00:36:48:13 但若她们有更广泛的兴趣，更大的兴趣
00:36:48:15 00:36:53:05 她们可以很聪明地运用金钱
00:36:53:07 00:36:57:20 把钱花在别人身上。我是怎样做的？
00:36:57:22 00:37:00:07 无论我的丈夫给我多少钱去持家
00:37:00:10 00:37:03:17 我必须说金额也颇大
00:37:03:19 00:37:08:08 我到主要的市场，在那里购买所有需要的物品
00:37:08:10 00:37:11:17 尝试在这里，在那里省钱，金钱节省在我的衣物上
00:37:11:20 00:37:18:05 我，第一次把我的毛衣拿到一所好的店铺干洗
00:37:19:00 00:37:23:20 这就是女士怎样节省金钱，她把钱花在对大家都有好处上
00:37:25:00 00:37:27:00 因为这才是她真正的满足感
00:37:29:00 00:37:32:23 若我们在我们的婚姻生活中，社交生活中
00:37:33:00 00:37:37:20 发展了这种平衡的观念，我们便是世上最完美的人
00:37:38:13 00:37:41:23 在学校也一样，我曾经非常清楚的这样说过
00:37:42:00 00:37:44:03 若你现在想听听
00:37:44:05 00:37:46:24 我想请求，你们有没有这个小册子？
00:37:47:02 00:37:49:20 是否想阅读它
00:37:56:08 00:38:03:22 你们没有，就像男士
00:38:07:05 00:38:10:18 他们自己说想在这里阅读
00:38:16:13 00:38:23:03 若你要求男士煮食，万事都会缺少，所以…
00:38:24:15 00:38:28:18 锡吕‧玛塔吉女士，我可否谦卑地请问你
00:38:28:20 00:38:32:22 是否有任何好处作为男人？
00:38:46:05 00:38:49:07 没有男人，女人不能表达自己
00:38:49:10 00:38:53:15 她不能表达自己，因为她是潜在的
00:38:54:20 00:38:58:15 而他却是动力。这完全是相对的言词
00:38:58:17 00:39:02:20 你不能没有男人而存在，你不能
00:39:02:22 00:39:06:17 甚至，就算你拥有母亲大地的所有芬芳
00:39:06:20 00:39:08:15 除非有花朵
00:39:08:17 00:39:11:17 你又怎能知道母亲大地有芬芳呢
00:39:14:07 00:39:17:07 男人是最重要的，否则他们可以做什么？
00:39:17:08 00:39:20:08 他们所有的精力便会腐坏
00:39:26:02 00:39:29:12 所以若女人是母亲大地，男人便是花朵
00:39:34:02 00:39:39:17 有什么好处？你们是…每一个人都看到你
00:39:46:18 00:39:49:18 就像卡提凯亚一样绕着地球走
00:39:55:08 00:39:59:02 我们可以怎样做？你们就像这样
00:39:59:22 00:40:05:15 你不能只坐在家中，你甚至不能只坐在火车上
00:40:05:17 00:40:09:13 若你走去，你会发现当火车停下来
00:40:09:15 00:40:12:24 所有男人都会离开车厢，他们不会坐在车厢里
00:40:18:15 00:40:22:17 就像，我问我的丈夫
00:40:22:18 00:40:25:20 你为什么常常都不在家？
00:40:25:24 00:40:28:10 为什么你不能在家中坐一会儿？你必须坐下。
00:40:28:15 00:40:33:07 他说︰「不，作为男人，坐在家中的男人
00:40:33:08 00:40:34:20 被称为ghargusana。
00:40:34:22 00:40:37:18 意思是「有谁会常常在家。
00:40:37:20 00:40:39:08 我说︰「他们怎样称呼那些
00:40:39:10 00:40:41:03 常常不在家的男人？gharbhagna
00:40:41:05 00:40:43:22 意思是跑掉，一个跑掉的人
00:40:43:24 00:40:45:17 必定有某些在二者之间的
00:40:45:18 00:40:47:20 但这是男子的，没有什么不妥
00:40:47:21 00:40:50:23 以霎哈嘉瑜伽，我们可以做的是
00:40:50:24 00:40:54:20 两者之间作出平衡
00:40:57:17 00:41:00:22 这就是霎哈嘉瑜伽，它给予你平衡
00:41:01:00 00:41:04:13 跟着你开始享受大家的相处
00:41:04:15 00:41:08:00 无论在室内或在室外也享受
00:41:08:05 00:41:12:07 你们可以一起在房子里，也可以在外面
00:41:13:23 00:41:18:05 大家的兴趣都一致，因为兴趣变得一致
00:41:20:02 00:41:23:23 就如花朵掉在母亲大地上
00:41:25:02 00:41:27:00 令母亲大地芬芳
00:41:27:05 00:41:29:22 我们可以说母亲大地是芬芳的
00:41:31:13 00:41:37:00 就像这样漂亮
00:41:38:05 00:41:41:02 在教育方面，我已经给了指示
00:41:42:02 00:41:43:20 我已经有谈及它
00:41:43:21 00:41:47:13 不要采用玛莉亚蒙台梭利教育法
00:41:47:14 00:41:52:20 来制定很高的目标，来建一所霎哈嘉瑜伽学校
00:41:52:22 00:41:55:08 这全是荒谬的。因为我曾经见过
00:41:55:10 00:41:57:00 以这种教育法教导出来的妇女
00:41:57:05 00:41:59:20 她们变得很可怕
00:42:01:12 00:42:06:02 我很惊讶在她们身上发展出的自我的数量
00:42:07:07 00:42:10:15 你要变成霎哈嘉瑜伽的老师
00:42:11:00 00:42:13:03 将会有一所霎哈嘉瑜伽学校
00:42:13:05 00:42:21:03 在悉尼，或在墨尔本
00:42:21:05 00:42:24:18 我们已经在墨尔本开设一所学校
00:42:25:00 00:42:28:05 现在他们同样要在悉尼开设一所学校
00:42:28:13 00:42:31:23 公开地，这是一所霎哈嘉瑜伽学校，不用有任何惧怕
00:42:32:00 00:42:34:15 这是公开的一所霎哈嘉瑜伽学校
00:42:34:20 00:42:38:08 你们已经成就了很多
00:42:39:02 00:42:41:18 为什么我们仍要装份成这样？
00:42:41:20 00:42:44:20 我们必须全力去介绍这所霎哈嘉学校
00:42:44:22 00:42:48:00 所以你，作为老师，也变成霎哈嘉瑜伽的专家
00:42:48:10 00:42:53:08 所以他们也必须是好的霎哈嘉瑜伽士
00:42:53:10 00:42:56:23 他们必须不自我中心，他们必须没有自我
00:42:57:00 00:42:57:22 没有阻塞
00:42:58:00 00:43:00:12 任何人有阻塞就不是一位好的霎哈嘉瑜伽老师
00:43:00:13 00:43:05:07 不像一所玛莉亚蒙台梭利教育法的学校那样
00:43:05:08 00:43:07:22 在晚上，那些老师喝酒，吸烟
00:43:07:23 00:43:10:12 但在早上，他们却是玛莉亚蒙台梭利教育法的老师
00:43:11:07 00:43:13:07 在这里，你必须首先是一位霎哈嘉瑜伽士
00:43:13:08 00:43:17:02 只有你才能在这所学校授课
00:43:18:08 00:43:21:10 你必须有这种素质，这是非常重要的
00:43:21:12 00:43:25:05 因为这是非常重要，所以我们必须有已得自觉的灵
00:43:25:07 00:43:27:02 或可以得自觉的灵作为学生
00:43:29:08 00:43:35:02 好吧，今天的崇拜是特别为卡提凯亚而作的
00:43:36:13 00:43:53:17 卡提凯亚代表伟大，我们可以说是
00:43:55:03 00:44:01:00 所有伽蓝仙众的首领，像一位总司令
00:44:02:12 00:44:07:05 格涅沙是国王，而他则是总司令
00:44:07:07 00:44:14:15 因为德国的特征是指挥所有事情
00:44:14:24 00:44:18:23 我们将会在一处男人掌握他们的灵和男性的特质
00:44:19:00 00:44:24:12 而女人掌握她们的
00:44:26:00 00:44:27:18 女性的特质的地方
00:44:28:13 00:44:32:12 作这个崇拜
00:44:33:13 00:44:38:23 作为司令与作为主子是不同的
00:44:40:07 00:44:43:22 主子拥有它，统领的人不拥有它
00:44:46:07 00:44:50:22 他并不拥有它，这也是失去
00:44:51:15 00:44:54:23 占有是失去，我们只是统领它
00:44:57:03 00:44:59:23 这是我们现在必须到达的状态
00:45:00:00 00:45:07:10 从格涅沙的状态到达卡提凯亚的状态
00:45:07:12 00:45:08:22 或是相反
00:45:08:23 00:45:11:05 格涅沙很好，他是国王
00:45:11:07 00:45:16:24 好好地与他的所有力量一起坐下
00:45:17:03 00:45:20:12 纯真就在这里
00:45:20:13 00:45:27:17 卡提凯亚则是统领纯真
00:45:29:13 00:45:32:18 给予你统领的力量的那位
00:45:35:11 00:45:38:07 他作出领导，在导师崇拜后
00:45:38:10 00:45:42:15 我们必须拥有统领别人的力量
00:45:43:00 00:45:50:10 这种统领的灵
00:45:50:12 00:45:55:24 藉由他们的说话，藉由他们的动力
00:45:56:00 00:45:59:05 藉由他们的个人成就来到男士身上
00:45:59:07 00:46:03:12 而女士则藉由她们爱的力量
00:46:03:14 00:46:09:03 她们的忍耐力，她们的亲切的言行
00:46:10:13 00:46:13:05 宽恕之心，慈悲之心而临到她们身上。
00:46:13:10 00:46:18:15 所以让我们今天，发展这种特质
00:46:18:20 00:46:21:19 那么我们便可以统领它，意思不是要你拥有什么
00:46:21:20 00:46:24:10 而是你处于统领的位置
00:46:25:05 00:46:28:17 我希望你明白什么是卡提凯亚
00:46:28:18 00:46:31:03 愿神祝福你们
00:46:34:13 00:46:37:11 让我们开始崇拜吧
00:46:49:24 00:46:55:07 谁造的？这个格涅沙是你造的？
00:46:55:10 00:46:57:22 这样美好的东西
00:47:01:10 00:47:06:20 我必须要说，你真好，愿神祝福你。
00:47:12:06 00:47:17:08 也请德国人来吧。
00:47:29:24 00:47:33:10 让这里有多一些德国人
00:47:34:24 00:47:37:19 当然，也要女士
00:48:43:24 00:48:46:23 谁制造这个格涅沙，她是德国人吗？
00:48:50:21 00:48:54:24 这个也要洗洗。
00:49:06:04 00:49:10:00 那些写信给我，要我来德国的人
00:49:10:03 00:49:12:19 请上前清洗我的莲足
00:49:13:01 00:49:16:18 愿神祝福你们，愿神祝福你们，谢谢。
00:49:18:24 00:49:25:20 把这个从里面拿走，现在拿走，不需要了
00:55:48:21 00:55:50:14 我们称呼她为Kamala，
00:55:50:24 00:55:53:12 是女神的名号，对吗？
00:55:53:16 00:56:02:04 Kamal Lakshmi，Kamala。愿神祝福你们。
00:56:20:20 00:56:25:14 你们可以唱一些歌曲，因为多两位女士。
00:56:27:20 00:56:31:16 Hugo仍然要做
00:56:43:11 00:56:46:05 好
00:57:07:00 00:57:10:00 就是这样，
00:57:13:00 00:57:15:00 愿神祝福你们
00:57:19:00 00:57:21:20 到另一边吧。
00:57:23:00 00:57:26:22 现在有哪几位女士？有没有多几位女士？完成了？
00:57:42:00 00:57:44:00 好
00:59:42:00 00:59:46:02 用相同的水
01:00:46:10 01:00:50:16 他们可以用相同的水，因为这里已经有太多水了。
01:04:36:00 01:04:40:06 现在我们可以念诵卡提凯亚的一千个名号
01:04:41:15 01:04:46:00 不，一百零八个。
01:04:49:02 01:04:54:00 我想一千个会是个好主意，就一百零八个吧，
01:04:58:24 01:05:01:20 让我们看看一百零八个可以怎样成就到
01:05:03:24 01:05:06:04 大声的念
01:05:56:10 01:05:59:07 大声一点，还未清楚。
01:06:05:24 01:06:08:05 不，还不行，给他另外一个
01:06:08:20 01:06:10:15 给他多一个
01:06:10:18 01:06:14:00 因为必须要清楚，不然便没有意义了
01:28:54:10 01:28:58:09 这一百零八个名号，若你有留意
01:28:59:19 01:29:06:11 它们显示卡提凯亚是纯真
01:29:06:20 01:29:11:13 在右脉运作
01:29:11:20 01:29:17:00 这也是与生命力(Prana) 紧密相连
01:29:17:10 01:29:23:05 它赐予你生命力(Prana)，Prana是维持我们生命的呼吸。
01:29:23:08 01:29:26:04 吸入和呼出
01:29:26:10 01:29:28:09 所以它与右边有关连
01:29:28:12 01:29:32:20 也与永恒有关连---Anantari
01:29:32:24 01:29:37:20 是蛇，Shesha
01:29:37:24 01:29:41:11 他是毗湿奴的兄弟
01:29:41:15 01:29:46:24 在这里他以卡提凯亚的形相作代表
01:29:47:00 01:29:49:10 他被称为Anantar
01:29:49:12 01:29:51:09 所以他是火
01:29:52:00 01:29:58:14 他点燃你内在
01:29:58:16 01:30:01:00 消耗的能力
01:30:02:00 01:30:07:00 指挥别人的能力
01:30:07:10 01:30:16:18 和变成聪颖的人的能力
01:30:16:21 01:30:20:22 你明白，一位纯真的人可以非常聪颖
01:30:20:24 01:30:27:19 所有这些能力都是在卡提凯亚Swarupa的状态中
01:30:27:21 01:30:30:00 显现出来
01:30:30:05 01:30:34:00 今天，藉由敬拜卡提凯亚，我们必须知道
01:30:34:10 01:30:38:06 卡提凯亚已经在我们内里被唤醒
01:30:38:24 01:30:44:24 藉由这些能力，我们必须去抗争
01:30:45:05 01:30:47:00 最终他是Nishkalanka
01:30:47:05 01:30:49:10 他是一位战士
01:30:49:12 01:30:53:24 从格涅沙到基督，再到Nishkalanka
01:30:54:05 01:30:56:05 这是纯真要经历的
01:30:56:07 01:30:59:05 三个阶段
01:30:59:07 01:31:07:20 从格涅沙到卡提凯亚，现在到基督
01:31:07:24 01:31:11:05 再从基督到Nishkalanka
01:31:11:10 01:31:14:20 在Nishkalanka的形相，他是纯真
01:31:14:22 01:31:18:05 没有Kalanka，他是没有污点的
01:31:18:07 01:31:20:10 他是完全纯洁的，完美的
01:31:20:12 01:31:22:24 也是炽热的
01:31:24:00 01:31:27:12 他拥有Ekadesha Rudra的所有品质
01:31:27:14 01:31:31:17 即十一种毁灭力量或湿婆神的力量
01:31:31:19 01:31:33:17 那是富杀伤力的
01:31:33:24 01:31:39:17 所以他有杀害，摧毁邪恶，
01:31:39:21 01:31:46:24 赐予祝福和勇气予他的追随者的能力。
01:31:48:15 01:31:52:09 这是最后的降世神祇，被称为Kalaki
01:31:52:12 01:31:56:04 通常被你称呼为Kalaki的，实际上是Nishkalanka
01:31:56:06 01:31:58:00 在白马上，
01:31:58:03 01:32:03:05 卡提凯亚骑在白马上
01:32:03:10 01:32:06:24 现在纯真在你内里生长
01:32:07:00 01:32:11:10 直到卡提凯亚这一点
01:32:11:13 01:32:14:24 今天它已经在这片土地上成就了
01:32:15:00 01:32:16:24 你们也称这片土地为德国(Deutschland)
01:32:17:00 01:32:21:20 在那里，卡提凯亚将会在你内里出生，在你内里被唤醒
01:32:21:24 01:32:24:00 愿神祝福你们
01:32:40:05 01:32:43:00 若你们想也可以唱一些歌曲
01:32:43:05 01:32:45:24 就像Ya Devi Sarva Buteshu，那一首你们喜欢
01:32:46:02 01:32:49:10 我希望一些女士可以来到这里，七位已婚的女士
01:32:54:15 01:32:56:10 来帮帮我
01:32:56:12 01:33:01:10 首先是在这里的小女孩
01:33:01:12 01:33:03:15 请小女孩走上前吧。
01:33:06:24 01:33:10:01 迟一点，当你们为我戴上花环的时候，好吗？
01:33:10:03 01:33:12:24 现在女孩子走上前
01:33:13:00 01:33:16:10 女孩子在哪里？所有女孩都走上来。
01:33:16:12 01:33:18:10 这里的女孩是谁？
01:33:20:00 01:33:25:10 好吧，走上来，对，走上前，
01:33:28:00 01:33:29:24 你也来，你们两个
01:33:30:00 01:33:34:00 好吧，你也上前来，你们两个
01:33:44:10 01:33:46:12 坐下，坐下
01:33:47:15 01:33:53:20 若有任何未婚的女孩，年长的未婚女孩，请上前来。
01:34:02:24 01:34:05:15 那位还未结婚的
01:34:07:00 01:34:10:24 来吧
01:34:20:00 01:34:22:17 拿去这个，请你们拿走这个
01:35:25:10 01:35:29:19 锡吕‧玛塔吉女士，在我们向女神唱赞美歌前
01:35:29:22 01:35:35:22 我们想为你念诵一篇修订版的主祷文
01:35:39:24 01:35:41:05 我们在
01:35:41:10 01:35:43:00 地上的母亲，
01:35:43:05 01:35:45:17 愿人都尊您的名为圣
01:35:45:24 01:35:48:08 愿您的国降临
01:35:48:12 01:35:50:12 愿您的旨意行在地上，
01:35:50:15 01:35:53:21 如同行在天上
01:35:54:00 01:35:58:05 求您赐给我们今天的生命能量
01:35:58:10 01:35:59:05 免去我们的债     
01:36:03:15 01:36:04:20 如同我们免掉了    
01:36:04:20 01:36:07:05 别人的债       
01:36:07:05 01:36:09:15 不要叫我们陷入迷茫
01:36:10:05 01:36:12:15 教我们脱离邪恶，
01:36:12:15 01:36:14:10 因为您是天父
01:36:15:00 01:36:16:20 圣子与荣耀
01:36:16:20 01:36:21:15 直到永远，阿门。
01:36:36:00 01:36:40:05 真的很美好。
