00:01:29:11 00:01:32:04 今天非常高兴的看到
00:29:00:08 00:29:03:18 若男人的行为像女人，他便不是男人
00:29:04:00 00:29:06:19 同样，如果女人行为像男人
00:29:07:02 00:29:10:21 她们便不再是女人。她们失去了分际
00:29:11:04 00:29:12:24 出了界，所以她们被亡灵附着
00:29:13:08 00:29:16:00 因此当女人是自我的
00:29:16:10 00:29:19:06 她们就变得可怕
00:29:19:23 00:29:22:22 她们的面容变得可怕，样子看来很可怕
00:29:23:06 00:29:24:23 一切的言行举止都可怕
00:29:25:06 00:29:28:11 她们变得像豆茎般干巴巴
00:29:28:18 00:29:33:00 可以硬得如用铁棒打你
00:29:33:08 00:29:36:09 他们说：「这个女人有铁棒在手。」
00:29:36:18 00:29:40:00 这种情况的出现是因为我们有分际
00:29:40:09 00:29:42:04 我们有某类作风模式
00:29:42:14 00:29:44:21 如果它是玫瑰，它就是玫瑰
00:29:45:06 00:29:48:05 要为自己是朵玫瑰而高兴
00:29:48:13 00:29:52:10 玫瑰却想变成刺
00:29:56:12 00:30:00:04 我们因此便失去了分际
00:30:00:16 00:30:04:09 今天我会在开始前
00:30:04:18 00:30:06:21 向早到的人说
00:30:07:05 00:30:10:22 告诉女士们她们出了什么问题
00:30:11:07 00:30:15:01 你们要知道西方的困境
00:30:15:12 00:30:19:15 不是源自男人，而是女人
00:30:21:07 00:30:26:03 女人破坏了西方社会
00:30:26:12 00:30:30:04 印度的女性却令社会保持完整
00:30:30:13 00:30:35:13 我真的十分感谢她们对人生采取积极的态度
00:30:36:19 00:30:39:08 这个国家的女性
00:30:39:17 00:30:43:10 却破坏了一切精致的
00:30:43:19 00:30:47:12 富情感的，美丽的，爱、感情、慈悲
00:30:47:20 00:30:51:07 女性应给予整个社会喜乐
00:30:51:21 00:30:56:01 幸福、感情上的安全感
00:30:56:10 00:31:00:17 当她们接管：「这样做，给予那个，那样做，这样做。」
00:31:01:04 00:31:05:00 即使丈夫们也变成家中的佣人
00:31:05:10 00:31:07:01 你没有妥当地清理
00:31:07:11 00:31:10:16 你没有妥当地清洁厨房
00:31:10:23 00:31:14:14 我到英国，很惊叹厨房
00:31:15:02 00:31:17:20 及其他的清洁在英国做得那么好
00:31:18:03 00:31:20:08 你们有各式各样的清洁用品
00:31:20:14 00:31:22:02 我说：「为什么会这样？」
00:31:22:11 00:31:24:02 是男人，他们要干这些活
00:31:24:09 00:31:28:04 所以找出一切程序方法来做
00:31:28:16 00:31:31:12 要闪亮的，对吧，你想要闪亮的
00:31:31:21 00:31:34:02 我给你拿来这些物品
00:31:34:10 00:31:36:07 如果你把它放在手上，手会烧伤
00:31:36:14 00:31:38:05 把酸性的用品放在每一处
00:31:38:14 00:31:41:18 穿上大手套把酸性用品放在每一处
00:31:42:05 00:31:44:00 一切便会清洁妥当
00:31:44:06 00:31:47:14 接着儿童受苦
00:31:48:00 00:31:51:10 因为这是园丁的工作
00:31:51:19 00:31:54:07 美丽的事物出现
00:31:54:17 00:31:56:06 要以慈爱来照顾它
00:31:56:14 00:31:59:22 但一开始你就过份纵容你的孩子
00:32:01:06 00:32:06:10 母亲要像园丁，她要去修整
00:32:07:06 00:32:09:09 去修剪
00:32:09:20 00:32:11:01 这样植物才能正常地生长
00:32:11:09 00:32:12:08 如果你纵容孩子
00:32:12:16 00:32:15:22 你便不是个好母亲，一无是处
00:32:20:13 00:32:22:23 你把丈夫打扮好而不是你的孩子
00:32:23:09 00:32:24:09 情况刚刚相反
00:32:24:17 00:32:26:15 因为自我时常向着你的丈夫打扮
00:32:26:24 00:32:28:23 坐在这里，去那里，这是什么？
00:32:29:06 00:32:31:00 金钱问题：「给我所有钱
00:32:31:07 00:32:33:08 我保管所有钱，」一切事情
00:32:33:16 00:32:35:14 有人或许会说法规是如此
00:32:35:22 00:32:38:12 如果法规是愚笨的，女霎哈嘉瑜伽士
00:32:38:21 00:32:40:15 就不应该遵守
00:32:40:24 00:32:43:04 我告诉你，这些法规摧毁了你们
00:32:43:12 00:32:47:04 因为这是生命的重要元素
00:32:47:13 00:32:51:24 是生命的重要领域
00:32:53:19 00:32:57:08 不应让它受苦
00:32:57:18 00:33:01:12 当感情、爱、仁慈
00:33:02:21 00:33:05:08 一切这些需求都欠缺
00:33:05:18 00:33:09:00 你的人生便变得没有意义
00:33:09:11 00:33:11:12 没有目标。你不知该怎么办
00:33:11:21 00:33:14:14 这就是孩子自杀的原因
00:33:17:03 00:33:19:21 爱是要修剪的
00:33:20:04 00:33:21:12 因此你要有智慧
00:33:21:21 00:33:23:04 但你仍未发展这个智慧
00:33:23:12 00:33:26:01 因为如果你追逐指责你的根轮
00:33:26:09 00:33:29:12 又怎会有智慧？
00:33:31:12 00:33:34:08 你受人愚弄
00:33:34:18 00:33:37:24 他们完全愚弄你，是我说的
00:33:38:23 00:33:41:19 你必须保持你的智慧完整无缺
00:33:42:05 00:33:44:16 他们不只愚弄你
00:33:44:23 00:33:48:05 还不惜降低身份来愚弄你
00:33:48:22 00:33:50:11 用迂回的途径
00:33:50:19 00:33:52:24 并不直接
00:33:54:06 00:33:58:00 作为霎哈嘉瑜伽士，我们都超越所有这些
00:33:58:07 00:34:00:22 我们已经到达它之上
00:34:01:05 00:34:02:21 我们来是要纠正
00:34:03:04 00:34:05:16 这个社会的错事
00:34:05:23 00:34:07:24 因为霎哈嘉瑜伽面向社会
00:34:08:08 00:34:10:04 不只是面向自己
00:34:10:15 00:34:12:01 在这阶段，我们要明白
00:34:12:09 00:34:13:09 我们要做的是︰
00:34:13:18 00:34:16:24 首先我们要有这种理解
00:34:17:08 00:34:21:17 即使是现在，这种霎哈嘉瑜伽运动的理解
00:34:22:02 00:34:24:24 女人意识不到她们要像女人
00:34:25:07 00:34:30:00 我见过她们仍然说︰「有什么错？」这种情况持续着
00:34:31:01 00:34:35:22 男人也不明白他们要像男人
00:34:37:09 00:34:40:14 即使(经历了很多事/过了这么多年?)
00:34:42:03 00:34:44:11 若他们真的变得像男人
00:34:44:20 00:34:46:19 女人会欣赏他们
00:34:47:04 00:34:49:19 若你真的变得像女人
00:34:50:03 00:34:53:15 男人也会欣赏你
00:34:54:01 00:34:58:02 你要明白，异性相吸
00:34:58:13 00:35:01:06 这才正常
00:35:01:15 00:35:03:09 我们却活得不正常
00:35:03:17 00:35:07:02 男人是女人而女人是男人
00:35:07:12 00:35:09:23 你该怎么办？
00:35:10:08 00:35:13:17 要男人明白
00:35:14:02 00:35:15:20 这是很重要的
00:35:16:03 00:35:18:06 因为我会迟一点才跟女人说
00:35:18:20 00:35:21:06 男人要变得像男人
00:35:21:16 00:35:24:19 他们要把事情纠正，他们要作决定
00:35:25:03 00:35:27:07 统治的是他们
00:35:27:16 00:35:32:14 这些都是外在的，事实上源头是女人
00:35:32:24 00:35:35:15 女人是潜在的而男人是活跃的
00:35:35:24 00:35:38:13 例如，风扇在转动
00:35:38:23 00:35:43:00 你可以说风扇的转动是活跃的力量
00:35:43:10 00:35:45:24 但潜在的力量却是
00:35:46:09 00:35:49:08 内在的电力
00:35:49:13 00:35:51:18 那才是源头
00:35:52:01 00:35:55:14 那个力量比较高，转动的风扇还是源头？
00:35:55:23 00:35:58:21 就让女人来决定而男人来理解
00:35:59:10 00:36:02:06 若源头干涸了，想变成风扇
00:36:02:13 00:36:04:07 风扇便不能转动
00:36:04:18 00:36:07:13 本末倒置
00:36:07:24 00:36:10:21 若你意识到你是源头
00:36:11:03 00:36:14:15 是你给予男人所有的shakti(力量)
00:36:14:23 00:36:17:19 你的行为便不会再像男人
00:36:18:06 00:36:20:17 不是说你不能出外工作，不是不能工作
00:36:20:24 00:36:24:06 而是要做一些比较适合女人的工作
00:36:24:14 00:36:28:01 就像我不喜欢女人做巴士司机
00:36:28:10 00:36:32:09 或货车司机又或摔角手
00:36:39:01 00:36:42:20 不，不是我说的，是经验说的
00:36:44:22 00:36:46:10 一次我出门
00:36:46:19 00:36:49:11 那时我还是个学生，在拉合尔
00:36:49:18 00:36:53:00 我坐火车，在一个火车站
00:36:53:08 00:36:56:03 火车晚上停下来
00:36:56:08 00:37:00:22 有个女士来说︰「开门给我。」
00:37:01:06 00:37:04:08 我说︰「火车挤满了人，好吧，我试试，我试试。」
00:37:04:15 00:37:06:14 她接着说︰「若你不开门给我，我便破门而入。」
00:37:06:19 00:37:07:16 我说︰「你怎能这样？」
00:37:07:23 00:37:09:09 她说︰「你知不知道我是谁？」我问︰「你是谁？」
00:37:09:16 00:37:11:03 她说：「我是Ahmida Bhanu。」
00:37:11:12 00:37:13:19 我说︰「谁是Ahmida Bhanu？」「女摔角手。」
00:37:14:02 00:37:15:16 噢﹗巴巴，感谢天
00:37:15:24 00:37:18:06 我说：「你是女摔角手
00:37:18:13 00:37:20:07 为什么来女士的车厢
00:37:20:16 00:37:23:21 而不去男士的？
00:37:25:02 00:37:27:18 她很猛烈地推开门走进来
00:37:28:00 00:37:29:06 我望着她，我说：
00:37:29:16 00:37:32:18 哗！你这个人！
00:37:36:14 00:37:42:00 她坐下，你要明白，她的面容
00:37:42:09 00:37:45:20 她的一切，她的步伐和坐姿
00:37:46:02 00:37:47:04 一切都是那么男性化
00:37:47:11 00:37:48:10 她那样子坐下来，说：
00:37:48:20 00:37:51:09 那些说我不应坐在这里的人来吧
00:37:51:17 00:37:54:11 我说：「没有人想坐这里，女士，你舒服的坐下吧
00:37:54:20 00:37:56:08 我们会从另一个车厢
00:37:56:15 00:37:59:11 找些想摔角的人来
00:37:59:21 00:38:03:20 接着她静下来，她真是
00:38:04:04 00:38:07:08 我见她全身肌肉都很发达
00:38:07:17 00:38:10:02 我可以说她看来
00:38:10:10 00:38:15:04 像头西方的母牛
00:38:20:05 00:38:25:08 这里的母牛像水牛，不像母牛
00:38:26:08 00:38:28:08 某些很有趣的情况，令我毕生难忘
00:38:28:16 00:38:31:08 我当时很年轻，我真的…
00:38:31:16 00:38:35:03 我也不知怎的，很想笑，
00:38:35:10 00:38:39:13 却不敢笑，怕她会打我耳光
00:38:41:13 00:38:44:13 就是这样子，我们在这儿停下来
00:38:44:22 00:38:46:21 我们要知道自己要到达怎样的程度
00:38:47:06 00:38:50:16 我们是否要成为摔角手？
00:38:51:17 00:38:54:18 就是这样子
00:38:55:06 00:38:58:09 我们要了解这种情况存在已久
00:38:58:14 00:39:00:01 存在已久
00:39:00:08 00:39:05:00 我曾经见过，也曾读过一些书，旧的书
00:39:05:07 00:39:06:13 亦看过一些电影
00:39:06:22 00:39:09:01 即使是从前也有显示
00:39:09:10 00:39:11:00 女士们经常拿起扫帚
00:39:11:08 00:39:12:19 打她们的丈夫
00:39:13:03 00:39:15:11 我们亦有幸在印度有一些这样的人
00:39:15:21 00:39:19:15 但数量非常、非常少，很少女士是那样子的
00:39:20:13 00:39:24:09 不是多大数量，但数量或许会增加，天晓得
00:39:24:18 00:39:26:02 不要管它吧
00:39:26:13 00:39:29:13 我要说这些事正在发生
00:39:29:23 00:39:33:03 男士的自我太大时，会偏向左喉轮
00:39:33:12 00:39:36:11 他们说：「不，让女士处理吧，不要紧的
00:39:36:20 00:39:38:19 满足一下她们吧。她们不再专横
00:39:39:02 00:39:40:12 随她们喜欢吧
00:39:40:17 00:39:42:06 她们做自己喜欢的事
00:39:42:15 00:39:46:12 男士并不受困扰，他们偏向左脉
00:39:46:21 00:39:49:07 享受不到婚姻或爱
00:39:49:18 00:39:52:18 昨天我们有另一个婚礼
00:39:53:01 00:39:56:15 为着你孩子的福祉和好处
00:39:56:23 00:40:00:09 你们要做好男女的角色
00:40:00:19 00:40:02:20 你们的角色是女性和男性
00:40:03:03 00:40:05:03 你们会享受
00:40:05:13 00:40:08:05 要在角色上争吵
00:40:08:13 00:40:10:15 当男人想为你做一些事情时，你要说：
00:40:10:23 00:40:13:06 不，不，不，你怎能这样做？我承受不起
00:40:13:17 00:40:14:22 让我来做吧
00:40:15:06 00:40:16:21 我曾多次告诉你
00:40:17:05 00:40:18:22 当我的丈夫生气时
00:40:19:04 00:40:22:11 他会自己洗内衣；他就是以这种方式来表达怒气
00:40:22:19 00:40:27:18 又或是当他非常生气时，他会清洗浴室
00:40:33:03 00:40:36:13 他做得很差
00:40:38:01 00:40:39:24 我一看就知道是他洗的
00:40:40:06 00:40:41:19 我想大笑，但却不敢
00:40:42:02 00:40:45:01 因为我要维护他的心灵
00:40:45:16 00:40:49:13 然后他会以非常尊敬的
00:40:49:22 00:40:51:08 态度与每个人说话
00:40:51:17 00:40:54:02 「您」(Thou)，他叫每个人「您」
00:40:54:11 00:40:56:19 「您」他说：「您是这样，您是那样。」
00:40:57:04 00:40:59:24 我便知道他真的为某事而生气
00:41:00:08 00:41:03:11 他却不会说生什么气
00:41:03:20 00:41:06:08 我们要找出他为何生气
00:41:06:18 00:41:10:15 若是如此，不要内疚，只要纠正它
00:41:11:24 00:41:14:07 接着他发现---你要明白有很多方法
00:41:14:16 00:41:16:22 可以中和愤怒
00:41:17:08 00:41:21:03 自我最先的表现就是愤怒
00:41:21:15 00:41:23:08 你们昨天结了婚
00:41:23:18 00:41:25:21 你们一定要懂得怎样中和愤怒
00:41:26:06 00:41:28:02 因为自我仍然存在
00:41:28:10 00:41:31:18 找出怎样中和他人的愤怒
00:41:32:01 00:41:34:17 是很美丽的事情
00:41:34:24 00:41:36:02 我从未见过你们的作家处理这个题材
00:41:36:10 00:41:38:06 在印度却有很多作家
00:41:38:14 00:41:40:14 处理过这种境况
00:41:40:22 00:41:42:13 你要先找出
00:41:42:23 00:41:46:09 你的丈夫或
00:41:46:18 00:41:47:24 妻子的弱点
00:41:48:07 00:41:50:02 什么会令他生气不安
00:41:50:09 00:41:52:12 我们采取的态度是不要令她不安
00:41:52:18 00:41:53:23 不要令她生气
00:41:54:06 00:41:56:14 妻子的态度亦一样
00:41:56:23 00:41:58:14 丈夫更甚。
00:41:58:24 00:42:01:02 有哪些地方会令他
00:42:01:11 00:42:05:13 真的不安？研究一下，就是这样简单
00:42:06:06 00:42:07:20 拿它来开玩笑，不要太认真
00:42:08:03 00:42:09:16 只要小心避免它
00:42:10:00 00:42:13:07 还要找出有什么会令他高兴
00:42:13:17 00:42:16:09 例如我有时真的 --- 我从不生气
00:42:16:16 00:42:18:11 你们都知道，我从不生气，
00:42:18:20 00:42:22:09 但如果我表现得生气，只为了…
00:42:31:10 00:42:35:02 该怎样去显示愤怒
00:42:35:11 00:42:38:18 怎样去中和一个人的愤怒？
00:42:39:03 00:42:41:04 假设我现在很生气
00:42:41:11 00:42:44:07 如果你放一个孩子在我的大腿上，就这样，怒气便会全消
00:42:44:18 00:42:47:24 当孩子坐在我的大腿上，我无法生气，就是这样简单
00:42:48:08 00:42:49:15 所以你要找出来
00:42:49:19 00:42:53:15 像我的丈夫，如果他生气
00:42:53:23 00:42:56:12 我知道若我跟他说
00:42:56:20 00:43:00:05 为我买一件漂亮的纱丽吧
00:43:00:14 00:43:03:14 呀﹗就这样，他就非常高兴
00:43:03:24 00:43:07:06 呀﹗我给了他最大的恩惠
00:43:07:16 00:43:09:17 如是者，你要找出有什么
00:43:10:00 00:43:11:19 能讨丈夫的欢心
00:43:12:03 00:43:14:11 有什么能讨妻子的欢心，再中和它
00:43:14:20 00:43:17:01 你们要明白，要学习这些生活的细节
00:43:17:09 00:43:18:18 这是生活的艺术
00:43:19:02 00:43:21:14 是霎哈嘉瑜伽士生活的艺术
00:43:22:01 00:43:23:04 这是生活的艺术
00:43:23:13 00:43:26:23 透过一些生活细节，你看到我是怎样处理
00:43:27:07 00:43:29:08 你见过我演说
00:43:29:16 00:43:32:12 一些严肃的话题，在你们的笑声中它便
00:43:32:21 00:43:34:19 在你们的脑海中留下印象
00:43:35:04 00:43:36:08 你就是要这样做
00:43:36:17 00:43:38:15 因为幽默是其中一个最了不起
00:43:39:00 00:43:43:15 的方法令事情顺利解决，也使人明白了解
00:43:43:23 00:43:46:02 亦不会伤害人
00:43:46:10 00:43:47:24 当你见到自己平和下来
00:43:48:06 00:43:50:20 事情就是这样得到改善
00:43:51:03 00:43:53:04 夫妻首要是
00:43:53:11 00:43:54:12 能和睦相处
00:43:54:20 00:43:58:14 孩子才会感到妥当，每个人都感到妥当
00:43:58:23 00:44:01:04 那么事情便能渐渐得到纠正
00:44:01:11 00:44:05:06 你们没有责任互相纠正
00:44:05:16 00:44:07:20 如果你与非霎哈嘉瑜伽士结婚
00:44:08:02 00:44:09:04 而他又是糟透了
00:44:09:11 00:44:10:14 这又是另一回事
00:44:10:22 00:44:13:00 若两个都是霎哈嘉瑜伽士在我面前结婚
00:44:13:07 00:44:15:06 应该是最容易的事
00:44:15:14 00:44:18:07 互相保护，互相照顾
00:44:18:14 00:44:20:16 要充满信心
00:44:22:03 00:44:26:11 在印度，我要说我们的
00:44:26:19 00:44:29:10 婚姻制度的确有其特别之处
00:44:29:19 00:44:32:03 什么发生了，你会很惊讶，有一次我到新加坡
00:44:32:10 00:44:34:18 在早期，我到美国
00:44:35:00 00:44:37:03 有一个极讨厌的外交官妻子
00:44:37:12 00:44:39:11 带醉来到静坐班
00:44:39:22 00:44:42:06 因为她喝醉了，我们劝她离开
00:44:42:14 00:44:44:20 她却告诉我们的首相英迪拉‧甘地(Indira Gandhi)
00:44:45:02 00:44:46:16 这个女士在做这类工作
00:44:46:23 00:44:48:18 她不应做这工作，她是个外交官妻子
00:44:49:02 00:44:51:15 地位崇高。」说三道四
00:44:51:23 00:44:54:03 英迪拉‧甘地不明所以地
00:44:54:09 00:44:55:13 对她的主要
00:44:55:19 00:44:57:09 助手Haksar说：
00:44:57:17 00:44:58:24 你告诉锡吕华兹塔瓦先生
00:44:59:06 00:45:02:08 不能这样做，把她带回来
00:45:02:18 00:45:04:02 总理收到
00:45:04:11 00:45:06:00 英迪拉‧甘地的讯息
00:45:06:08 00:45:09:00 就如同受到致命的打击
00:45:09:09 00:45:11:00 他传召我丈夫
00:45:11:09 00:45:14:03 致电给他说：
00:45:14:11 00:45:15:20 我们认为你要叫你的妻子回来
00:45:16:02 00:45:17:03 这就是发生的事
00:45:17:11 00:45:19:09 他说：「为什么？为什么要叫她回来？
00:45:19:16 00:45:21:03 她不喝酒、不抽烟
00:45:21:12 00:45:23:14 没有犯任何错。她是位最正派的女士
00:45:23:22 00:45:28:02 她很有尊严，知道自己在做什么
00:45:28:09 00:45:29:22 她不问报酬的在做好事
00:45:30:05 00:45:33:05 没有犯任何错；你要我辞职也没问题
00:45:33:13 00:45:34:18 但我不会叫她回来
00:45:35:02 00:45:36:21 他听后很吃惊
00:45:37:07 00:45:40:16 因为如果他辞职，谁来做他的工作？
00:45:41:01 00:45:43:21 他是那么能干。单单说：「我会辞职。」
00:45:44:05 00:45:46:17 他们便全都吓呆了
00:45:47:02 00:45:50:00 他是那么有自信
00:45:50:21 00:45:52:14 我从其他人那里得知此事
00:45:52:22 00:45:54:17 虽然总理因为接到首相的
00:45:55:00 00:45:59:20 讯息而被吓死，吓得半死
00:46:00:06 00:46:03:00 他之后退一步，同时亦内省
00:46:03:08 00:46:06:00 说：「我非常了解这位女士，她很有尊严
00:46:06:09 00:46:08:14 很正派；她坚守正道
00:46:08:22 00:46:10:20 我们不应干预她
00:46:11:04 00:46:13:13 那个传口讯的家伙Haksar
00:46:13:20 00:46:14:23 亦吓了一跳
00:46:15:07 00:46:17:06 把惊吓带回给英迪拉‧甘地
00:46:17:15 00:46:19:17 从此之后她没有
00:46:20:00 00:46:22:03 再干预我的工作
00:46:22:11 00:46:24:09 你会很惊讶，她不曾再干预
00:46:24:18 00:46:28:01 我丈夫就是这样对我的工作又有信心又了解
00:46:28:10 00:46:29:09 你也应该有这份信心和了解
00:46:29:16 00:46:31:14 你要了解你的妻子，你的丈夫
00:46:31:22 00:46:33:24 他们不会做这样那样的事情
00:46:34:07 00:46:35:23 对孩子也一样
00:46:36:07 00:46:37:22 你要对他们有绝对的信心
00:46:38:04 00:46:40:16 要知道他们怎么样，他们的情况
00:46:40:23 00:46:42:11 他们能到达的程度
00:46:42:19 00:46:45:20 这份信任，这份内在的了解
00:46:46:03 00:46:49:19 是通往祥和、爱和情感的道路
00:46:50:03 00:46:51:21 要彼此完全的信任
00:46:52:05 00:46:53:03 无论他们在哪里
00:46:53:11 00:46:55:16 我都能有信心的说，无论你送我的女儿到哪里
00:46:55:24 00:46:57:05 她们都不会过违反正道的生活
00:46:57:15 00:47:01:06 我的女婿亦然。但我可以告诉你
00:47:01:17 00:47:04:16 我的女儿不会想过违反正道的生活
00:47:05:00 00:47:07:23 无论你怎样考验她们
00:47:08:06 00:47:10:10 你对自己的孩子就是要
00:47:10:17 00:47:12:18 有这份信任
00:47:13:02 00:47:15:19 就如她们还小时
00:47:16:02 00:47:20:06 邻居来说：「你的女儿，用我们的
00:47:20:16 00:47:23:16 花园来做早晨沐浴
00:47:24:00 00:47:26:17 我说：「什么？我的孩子
00:47:27:03 00:47:31:01 即使你带她们去，她们也不会进你的浴室
00:47:31:14 00:47:34:08 我现在给你二千卢比，现在
00:47:34:17 00:47:37:08 你叫他们进你的浴室
00:47:37:17 00:47:39:08 就这样
00:47:39:16 00:47:42:08 我十分了解他们
00:47:43:15 00:47:46:01 如果有人说：「你的女儿拿走了一些东西。」
00:47:46:10 00:47:49:15 我十分了解她们，她们从不碰别人的东西
00:47:49:24 00:47:50:24 我十分了解她们
00:47:51:05 00:47:53:19 她们永不那样子接受他人的恩惠
00:47:54:01 00:47:55:23 我十分了解她们
00:47:57:10 00:48:00:10 你们也应这样了解你的孩子
00:48:00:20 00:48:02:22 不要在别人面前侮辱他们
00:48:03:06 00:48:05:24 建立他们的性格和尊严，说：
00:48:06:08 00:48:08:06 来吧，你是霎哈嘉瑜伽士
00:48:08:24 00:48:11:11 你很了不起，你会成为这样，那样
00:48:11:19 00:48:13:06 引导他们在正确的道路上
00:48:13:15 00:48:16:13 让他们保持在那里，尊重他们
00:48:16:23 00:48:19:10 不要纵容他们，不要纵容他们
00:48:19:17 00:48:21:01 我们通常都会纵容孩子
00:48:21:10 00:48:24:14 要么是我们过分被溺爱，要么是你过分溺爱他们
00:48:24:23 00:48:28:07 两者都是错的，这再次是自我在作祟
00:48:29:07 00:48:33:10 你要告诉他们怎样与人分享，告诉他们怎样分享
00:48:34:07 00:48:35:16 如果他们与人分享东西
00:48:35:23 00:48:37:16 你高兴的是他们为别人付出
00:48:37:23 00:48:39:21 给东西别人。「把这个给他人
00:48:40:04 00:48:41:12 让他人也能一起玩
00:48:41:18 00:48:43:08 你要显示你因他能与人分享物品而高兴
00:48:43:16 00:48:44:19 你自己也要给予别人
00:48:45:03 00:48:46:15 孩子自会学懂这种待人处世的态度
00:48:46:24 00:48:50:12 对霎哈嘉瑜伽而言，婚姻是很大的连系
00:48:50:21 00:48:53:23 我们藉婚姻连系在一起
00:48:54:08 00:48:57:05 这个社会的人婚姻生活都十分愉快
00:48:57:10 00:49:01:23 如果有人未能拥有理想的婚姻
00:49:02:05 00:49:04:05 最好忘掉它吧，没关系
00:49:04:13 00:49:07:10 我见过一些六十岁的女士，我这把年纪
00:49:07:17 00:49:09:02 还要求结婚
00:49:09:08 00:49:12:04 没错，六十来岁的男女︰
00:49:12:12 00:49:14:02 母亲，我只是六十岁，我想结婚
00:49:14:11 00:49:18:06 我说：「什么？」我六十岁时拥有上千个孩子
00:49:18:15 00:49:20:07 你怎能说这种话？
00:49:20:15 00:49:22:21 我是说你不应该一生都当新娘
00:49:23:05 00:49:25:11 你应该是个母亲和祖母
00:49:25:19 00:49:27:11 我认为四十五岁后不应再想结婚
00:49:27:17 00:49:31:14 这是荒谬的
00:49:32:22 00:49:35:08 四十五岁后
00:49:35:18 00:49:38:00 所有已婚的女士要知道，她们是母亲
00:49:38:09 00:49:39:17 亦会成为祖母
00:49:40:01 00:49:42:09 但她们却常常想当新娘
00:49:42:18 00:49:45:11 这就是婚姻失败的其中
00:49:45:19 00:49:47:06 一个原因
00:49:47:14 00:49:49:09 因为你在三十岁或三十五岁之后
00:49:49:16 00:49:51:07 不再是新娘了
00:49:51:14 00:49:53:16 绝对是个母亲
00:49:53:23 00:49:55:21 你是父亲，你们是
00:49:56:03 00:49:56:23 孩子的父母
00:49:57:07 00:49:58:24 在我们的国家是那么称呼的：
00:49:59:08 00:50:00:18 在三十岁前
00:50:01:02 00:50:02:23 人们叫你们新娘，如doolai
00:50:03:07 00:50:04:06 但一旦你长大成人
00:50:04:16 00:50:06:18 没有人再叫我的名字
00:50:07:00 00:50:09:16 他们只会把你叫作「卡巴那的妈妈」或「莎丹娜的妈妈」
00:50:10:00 00:50:12:21 即使我丈夫也被叫作「卡巴那的爸爸」
00:50:13:06 00:50:15:07 不会再叫他的名字
00:50:15:16 00:50:17:06 因为你成为父亲或母亲
00:50:17:14 00:50:18:13 接受这身份吧
00:50:18:22 00:50:20:15 但你却不接受，这把年纪你仍想当新娘
00:50:20:23 00:50:25:03 你想要一张新娘要的床
00:50:25:11 00:50:28:01 睡房里要有一切新娘有的物品
00:50:28:09 00:50:30:23 那不成的
00:50:31:08 00:50:33:19 因为你不再是新娘
00:50:34:02 00:50:36:13 接着你想：「噢！这个男人变得无趣」
00:50:36:21 00:50:37:23 这个女人变得无趣
00:50:38:09 00:50:40:17 你便找另一个女人，另一个男人，情况持续着
00:50:41:00 00:50:42:11 之后你找孩子
00:50:42:18 00:50:44:18 破坏人的纯真
00:50:45:02 00:50:48:22 如果你接受，正常地成长，成熟得如霎哈嘉瑜伽士
00:50:49:06 00:50:53:04 如父亲和母亲，如有尊严的人
00:50:55:08 00:50:58:06 夫妻关系并不是爱的
00:50:58:14 00:51:00:01 唯一来源
00:51:00:09 00:51:03:02 还有很多关系是爱的更大的来源
00:51:03:10 00:51:06:02 但要视乎你处于什么位置
00:51:06:11 00:51:09:09 当你是条小河，那还可以
00:51:09:18 00:51:13:13 但当你成为海洋，就要成为海洋
00:51:13:22 00:51:15:12 你成为大海，就要成为大海
00:51:15:19 00:51:18:00 当你成为海洋，你就要成为海洋
00:51:18:08 00:51:20:04 大海不能仍然像细小
00:51:20:14 00:51:23:24 细小河流的开端，它能吗？
00:51:24:09 00:51:26:19 每个人同样都要知道
00:51:27:01 00:51:30:03 要从这关系中成长
00:51:30:11 00:51:32:18 不应时常纠缠着
00:51:33:03 00:51:34:14 夫妻的事情
00:51:34:22 00:51:36:11 像四十五岁
00:51:36:20 00:51:40:08 还找丈夫，他们疯了吗？
00:51:40:18 00:51:45:02 这种情况在霎哈嘉瑜伽应该停止
00:51:45:11 00:51:48:08 那些超过某个年龄的人
00:51:48:16 00:51:50:24 不要再为婚姻来烦扰我
00:51:51:07 00:51:52:06 他们应要成为母亲
00:51:52:13 00:51:53:20 有那么多孩子要照顾
00:51:54:03 00:51:56:00 我们快有幼儿园，去那里吧
00:51:56:08 00:51:58:00 什么是同伴？
00:51:58:09 00:52:01:03 同伴是孩子，是孙子
00:52:01:13 00:52:04:02 是曾孙
00:52:07:12 00:52:10:22 我们要明白这一点，男女都要明白
00:52:11:05 00:52:12:07 男人也一样
00:52:12:17 00:52:15:06 男人也不想成为父亲
00:52:15:15 00:52:16:21 如果你是个成熟的父亲
00:52:17:05 00:52:19:21 你不会有结婚的念头，忘记它吧
00:52:20:11 00:52:23:17 如果与一个女士相处不了，忘记它吧
00:52:24:02 00:52:28:18 不要紧，没有这个需要，你已经受够了
00:52:31:07 00:52:35:02 完全没有需要有这样的事情
00:52:35:11 00:52:36:21 它在非霎哈嘉瑜伽士
00:52:37:04 00:52:38:14 的社会起作用
00:52:38:22 00:52:40:11 所以它也应该对你起作用
00:52:40:19 00:52:43:19 印度人在社交方面很不错
00:52:44:02 00:52:46:08 但经济和政治上就不济
00:52:46:16 00:52:49:14 不要学他们的政治，糟透了
00:52:50:02 00:52:51:11 糟透了
