00:00:38:23 00:00:41:17 很抱歉我遲到了
00:35:02:05 00:35:05:16 去照顧霎哈嘉瑜伽士
00:35:07:24 00:35:10:10 給予他們喜樂
00:35:13:07 00:35:17:24 否則，在這個國家，她們可能會變成吸血鬼
00:35:19:00 00:35:23:07 所以必須小心，對男人我會說
00:35:23:08 00:35:26:24 若有這樣的婦女，你們必須尊重
00:35:27:13 00:35:32:00 必須給她們所有的特權，好好照顧她們
00:35:33:03 00:35:35:20 她們照顧孩子，給她們所有需要的幫助
00:35:35:22 00:35:39:03 所需要的金錢
00:35:40:07 00:35:43:20 不要查問帳目，讓她們自己處理
00:35:43:24 00:35:47:12 你最多也不過是破產吧，你必須這樣。
00:35:51:20 00:35:56:02 但首先要看看她們對霎哈嘉瑜伽態度是怎麽樣
00:35:56:03 00:36:01:03 我曾經見過，在一個家庭裏，若是婦女管理錢包
00:36:01:05 00:36:04:05 霎哈嘉瑜伽可以獲得更多的金錢
00:36:04:10 00:36:08:00 這比男人管理錢可以得到的多得多
00:36:09:00 00:36:12:13 這是很令人驚訝的。當控制權在男人手上
00:36:12:15 00:36:15:05 他們會想著他們的車
00:36:16:18 00:36:18:22 想著一些大事，但若控制權在女人手上
00:36:18:24 00:36:23:02 她們懂得怎樣節省金錢
00:36:23:04 00:36:25:12 就如我向你們展示怎樣節省金錢
00:36:25:14 00:36:28:18 男人不懂省錢，他們永遠也不會省錢
00:36:29:18 00:36:32:13 只有女人懂得省錢。但若她們沉醉在其他的興趣
00:36:32:15 00:36:36:20 她們的錢便會完全花在商店裏
00:36:36:22 00:36:40:02 花在為男人購買襯衣
00:36:40:05 00:36:44:05 以及為自己購買紗麗上，她們可以這樣做
00:36:45:07 00:36:48:13 但若她們有更廣泛的興趣，更大的興趣
00:36:48:15 00:36:53:05 她們可以很聰明地運用金錢
00:36:53:07 00:36:57:20 把錢花在別人身上。我是怎樣做的？
00:36:57:22 00:37:00:07 無論我的丈夫給我多少錢去持家
00:37:00:10 00:37:03:17 我必須說金額也頗大
00:37:03:19 00:37:08:08 我到主要的市場，在那裏購買所有需要的物品
00:37:08:10 00:37:11:17 嘗試在這裏，在那裏省錢，金錢節省在我的衣物上
00:37:11:20 00:37:18:05 我，第一次把我的毛衣拿到一所好的店舖乾洗
00:37:19:00 00:37:23:20 這就是女士怎樣節省金錢，她把錢花在對大家都有好處上
00:37:25:00 00:37:27:00 因為這才是她真正的滿足感
00:37:29:00 00:37:32:23 若我們在我們的婚姻生活中，社交生活中
00:37:33:00 00:37:37:20 發展了這種平衡的觀念，我們便是世上最完美的人
00:37:38:13 00:37:41:23 在學校也一樣，我曾經非常清楚的這樣說過
00:37:42:00 00:37:44:03 若你現在想聽聽
00:37:44:05 00:37:46:24 我想請求，你們有沒有這個小冊子？
00:37:47:02 00:37:49:20 是否想閱讀它
00:37:56:08 00:38:03:22 你們沒有，就像男士
00:38:07:05 00:38:10:18 他們自己說想在這裏閱讀
00:38:16:13 00:38:23:03 若你要求男士煮食，萬事都會缺少，所以…
00:38:24:15 00:38:28:18 錫呂‧瑪塔吉女士，我可否謙卑地請問你
00:38:28:20 00:38:32:22 是否有任何好處作為男人？
00:38:46:05 00:38:49:07 沒有男人，女人不能表達自己
00:38:49:10 00:38:53:15 她不能表達自己，因為她是潛在的
00:38:54:20 00:38:58:15 而他卻是動力。這完全是相對的言詞
00:38:58:17 00:39:02:20 你不能沒有男人而存在，你不能
00:39:02:22 00:39:06:17 甚至，就算你擁有母親大地的所有芬芳
00:39:06:20 00:39:08:15 除非有花朵
00:39:08:17 00:39:11:17 你又怎能知道母親大地有芬芳呢
00:39:14:07 00:39:17:07 男人是最重要的，否則他們可以做甚麽？
00:39:17:08 00:39:20:08 他們所有的精力便會腐壞
00:39:26:02 00:39:29:12 所以若女人是母親大地，男人便是花朵
00:39:34:02 00:39:39:17 有甚麽好處？你們是…每一個人都看到你
00:39:46:18 00:39:49:18 就像卡提凱亞一樣繞著地球走
00:39:55:08 00:39:59:02 我們可以怎樣做？你們就像這樣
00:39:59:22 00:40:05:15 你不能只坐在家中，你甚至不能只坐在火車上
00:40:05:17 00:40:09:13 若你走去，你會發現當火車停下來
00:40:09:15 00:40:12:24 所有男人都會離開車廂，他們不會坐在車廂裏
00:40:18:15 00:40:22:17 就像，我問我的丈夫
00:40:22:18 00:40:25:20 你為甚麽常常都不在家？
00:40:25:24 00:40:28:10 為甚麽你不能在家中坐一會兒？你必須坐下。
00:40:28:15 00:40:33:07 他說︰「不，作為男人，坐在家中的男人
00:40:33:08 00:40:34:20 被稱為ghargusana。
00:40:34:22 00:40:37:18 意思是「有誰會常常在家。
00:40:37:20 00:40:39:08 我說︰「他們怎樣稱呼那些
00:40:39:10 00:40:41:03 常常不在家的男人？gharbhagna
00:40:41:05 00:40:43:22 意思是跑掉，一個跑掉的人
00:40:43:24 00:40:45:17 必定有某些在二者之間的
00:40:45:18 00:40:47:20 但這是男子的，沒有甚麽不妥
00:40:47:21 00:40:50:23 以霎哈嘉瑜伽，我們可以做的是
00:40:50:24 00:40:54:20 兩者之間作出平衡
00:40:57:17 00:41:00:22 這就是霎哈嘉瑜伽，它給予你平衡
00:41:01:00 00:41:04:13 跟著你開始享受大家的相處
00:41:04:15 00:41:08:00 無論在室內或在室外也享受
00:41:08:05 00:41:12:07 你們可以一起在房子裏，也可以在外面
00:41:13:23 00:41:18:05 大家的興趣都一致，因為興趣變得一致
00:41:20:02 00:41:23:23 就如花朵掉在母親大地上
00:41:25:02 00:41:27:00 令母親大地芬芳
00:41:27:05 00:41:29:22 我們可以說母親大地是芬芳的
00:41:31:13 00:41:37:00 就像這樣漂亮
00:41:38:05 00:41:41:02 在教育方面，我已經給了指示
00:41:42:02 00:41:43:20 我已經有談及它
00:41:43:21 00:41:47:13 不要採用瑪莉亞蒙台梭利教育法
00:41:47:14 00:41:52:20 來訂定很高的目標，來建一所霎哈嘉瑜伽學校
00:41:52:22 00:41:55:08 這全是荒謬的。因為我曾經見過
00:41:55:10 00:41:57:00 以這種教育法教導出來的婦女
00:41:57:05 00:41:59:20 她們變得很可怕
00:42:01:12 00:42:06:02 我很驚訝在她們身上發展出的自我的數量
00:42:07:07 00:42:10:15 你要變成霎哈嘉瑜伽的老師
00:42:11:00 00:42:13:03 將會有一所霎哈嘉瑜伽學校
00:42:13:05 00:42:21:03 在雪梨，或在墨爾本
00:42:21:05 00:42:24:18 我們已經在墨爾本開設一所學校
00:42:25:00 00:42:28:05 現在他們同樣要在雪梨開設一所學校
00:42:28:13 00:42:31:23 公開地，這是一所霎哈嘉瑜伽學校，不用有任何懼怕
00:42:32:00 00:42:34:15 這是公開的一所霎哈嘉瑜伽學校
00:42:34:20 00:42:38:08 你們已經成就了很多
00:42:39:02 00:42:41:18 為甚麽我們仍要裝份成這樣？
00:42:41:20 00:42:44:20 我們必須全力去介紹這所霎哈嘉學校
00:42:44:22 00:42:48:00 所以你，作為老師，也變成霎哈嘉瑜伽的專家
00:42:48:10 00:42:53:08 所以他們也必須是好的霎哈嘉瑜伽士
00:42:53:10 00:42:56:23 他們必須不自我中心，他們必須沒有自我
00:42:57:00 00:42:57:22 沒有阻塞
00:42:58:00 00:43:00:12 任何人有阻塞就不是一位好的霎哈嘉瑜伽老師
00:43:00:13 00:43:05:07 不像一所瑪莉亞蒙台梭利教育法的學校那樣
00:43:05:08 00:43:07:22 在晚上，那些老師喝酒，吸煙
00:43:07:23 00:43:10:12 但在早上，他們卻是瑪莉亞蒙台梭利教育法的老師
00:43:11:07 00:43:13:07 在這裏，你必須首先是一位霎哈嘉瑜伽士
00:43:13:08 00:43:17:02 只有你才能在這所學校授課
00:43:18:08 00:43:21:10 你必須有這種質素，這是非常重要的
00:43:21:12 00:43:25:05 因為這是非常重要，所以我們必須有已得自覺的靈
00:43:25:07 00:43:27:02 或可以得自覺的靈作為學生
00:43:29:08 00:43:35:02 好吧，今天的崇拜是特別為卡提凱基而作的
00:43:36:13 00:43:53:17 卡提凱亞代表偉大，我們可以說是
00:43:55:03 00:44:01:00 所有伽藍仙眾的首領，像一位總司令
00:44:02:12 00:44:07:05 格涅沙是國王，而祂則是總司令
00:44:07:07 00:44:14:15 因為德國的特徵是指揮所有事情
00:44:14:24 00:44:18:23 我們將會在一處男人掌握他們的靈和男性的特質
00:44:19:00 00:44:24:12 而女人掌握她們的
00:44:26:00 00:44:27:18 女性的特質的地方
00:44:28:13 00:44:32:12 作這個崇拜
00:44:33:13 00:44:38:23 作為司令與作為主子是不同的
00:44:40:07 00:44:43:22 主子擁有它，統領的人不擁有它
00:44:46:07 00:44:50:22 他並不擁有它，這也是失去
00:44:51:15 00:44:54:23 佔有是失去，我們只是統領它
00:44:57:03 00:44:59:23 這是我們現在必須到達的狀態
00:45:00:00 00:45:07:10 從格涅沙的狀態到達卡提凱亞的狀態
00:45:07:12 00:45:08:22 或是相反
00:45:08:23 00:45:11:05 格涅沙很好，祂是國王
00:45:11:07 00:45:16:24 好好地與祂的所有力量一起坐下
00:45:17:03 00:45:20:12 純真就在這裏
00:45:20:13 00:45:27:17 卡提凱亞則是統領純真
00:45:29:13 00:45:32:18 給予你統領的力量的那位
00:45:35:11 00:45:38:07 祂作出領導，在導師崇拜後
00:45:38:10 00:45:42:15 我們必須擁有統領別人的力量
00:45:43:00 00:45:50:10 這種統領的靈
00:45:50:12 00:45:55:24 藉由他們的說話，藉由他們的動力
00:45:56:00 00:45:59:05 藉由他們的個人成就來到男士身上
00:45:59:07 00:46:03:12 而女士則藉由她們愛的力量
00:46:03:14 00:46:09:03 她們的忍耐力，她們的親切的言行
00:46:10:13 00:46:13:05 寛恕之心，慈悲之心而臨到她們身上。
00:46:13:10 00:46:18:15 所以讓我們今天，發展這種特質
00:46:18:20 00:46:21:19 那麽我們便可以統領它，意思不是要你擁有甚麽
00:46:21:20 00:46:24:10 而是你處於統領的位置
00:46:25:05 00:46:28:17 我希望你明白甚麽是卡提凱亞
00:46:28:18 00:46:31:03 願神祝福你們
00:46:34:13 00:46:37:11 讓我們開始崇拜吧
00:46:49:24 00:46:55:07 誰造的？這個格涅沙是你造的？
00:46:55:10 00:46:57:22 這樣美好的東西
00:47:01:10 00:47:06:20 我必須要說，你真好，願神祝福你。
00:47:12:06 00:47:17:08 也請德國人來吧。
00:47:29:24 00:47:33:10 讓這裏有多一些德國人
00:47:34:24 00:47:37:19 當然，也要女士
00:48:43:24 00:48:46:23 誰製造這個格涅沙，她是德國人嗎？
00:48:50:21 00:48:54:24 這個也要洗洗。
00:49:06:04 00:49:10:00 那些寫信給我要我來德國的人
00:49:10:03 00:49:12:19 請上前清洗我的蓮足
00:49:13:01 00:49:16:18 願神祝福你們，願神祝福你們，謝謝。
00:49:18:24 00:49:25:20 把這個從裏面拿走，現在拿走，不需要了
00:55:48:21 00:55:50:14 我們稱呼她為Kamala，
00:55:50:24 00:55:53:12 是女神的名號，對嗎？
00:55:53:16 00:56:02:04 Kamal Lakshmi，Kamala。願神祝福你們。
00:56:20:20 00:56:25:14 你們可以唱一些歌曲，因為有多兩位女士。
00:56:27:20 00:56:31:16 Hugo仍然要做
00:56:43:11 00:56:46:05 好
00:57:07:00 00:57:10:00 就是這樣，
00:57:13:00 00:57:15:00 願神祝福你們
00:57:19:00 00:57:21:20 到另一邊吧。
00:57:23:00 00:57:26:22 現在有那幾位女士？有沒有多幾位女士？完成了？
00:57:42:00 00:57:44:00 好
00:59:42:00 00:59:46:02 用相同的水
01:00:46:10 01:00:50:16 他們可以用相同的水，因為這裡已經有太多水了。
01:04:36:00 01:04:40:06 現在我們可以唸誦卡提凱亞的一千個名號
01:04:41:15 01:04:46:00 不，一百零八個。
01:04:49:02 01:04:54:00 我想一千個會是個好主意，就一百零八個吧，
01:04:58:24 01:05:01:20 讓我們看看一百零八個可以怎樣成就到
01:05:03:24 01:05:06:04 大聲的唸
01:05:56:10 01:05:59:07 大聲一點，還未清楚。
01:06:05:24 01:06:08:05 不，還不行，給他另外一個
01:06:08:20 01:06:10:15 給他多一個
01:06:10:18 01:06:14:00 因為必須要清楚，不然便沒有意義了
01:28:54:10 01:28:58:09 這一百零八個名號，若你有留意
01:28:59:19 01:29:06:11 它們顯示卡提凱亞是純真
01:29:06:20 01:29:11:13 在右脈運作
01:29:11:20 01:29:17:00 這也是與生命力(Prana)緊密相連
01:29:17:10 01:29:23:05 它賜予你生命力(Prana)，Prana是維持我們生命的呼吸。
01:29:23:08 01:29:26:04 吸入和呼出
01:29:26:10 01:29:28:09 所以它與右邊有關連
01:29:28:12 01:29:32:20 也與永恆有關連---Anantari
01:29:32:24 01:29:37:20 是蛇，Shesha
01:29:37:24 01:29:41:11 祂是毗濕奴的兄弟
01:29:41:15 01:29:46:24 在這裏祂以卡提凱亞的形相作代表
01:29:47:00 01:29:49:10 祂被稱為Anantar
01:29:49:12 01:29:51:09 所以祂是火
01:29:52:00 01:29:58:14 祂點燃你內在
01:29:58:16 01:30:01:00 消耗的能力
01:30:02:00 01:30:07:00 指揮別人的能力
01:30:07:10 01:30:16:18 和變成聰穎的人的能力
01:30:16:21 01:30:20:22 你明白，一位純真的人可以是非常聰穎
01:30:20:24 01:30:27:19 所有這些能力都是在卡提凱亞Swarupa的狀態中
01:30:27:21 01:30:30:00 顯現出來
01:30:30:05 01:30:34:00 今天，藉由敬拜卡提凱亞，我們必須知道
01:30:34:10 01:30:38:06 卡提凱亞已經在我們內裏被喚醒
01:30:38:24 01:30:44:24 藉由這些能力，我們必須去抗爭
01:30:45:05 01:30:47:00 最終祂是Nishkalanka
01:30:47:05 01:30:49:10 祂是一位戰士
01:30:49:12 01:30:53:24 從格涅沙到基督，再到Nishkalanka
01:30:54:05 01:30:56:05 這是純真要經歷的
01:30:56:07 01:30:59:05 三個階段
01:30:59:07 01:31:07:20 從格涅沙到卡提凱亞，現在到基督
01:31:07:24 01:31:11:05 再從基督到Nishkalanka
01:31:11:10 01:31:14:20 在Nishkalanka的形相，祂是純真
01:31:14:22 01:31:18:05 沒有Kalanka，祂是沒有污點的
01:31:18:07 01:31:20:10 祂是完全純潔的，完美的
01:31:20:12 01:31:22:24 也是熾熱的
01:31:24:00 01:31:27:12 祂擁有Ekadesha Rudra的所有品質
01:31:27:14 01:31:31:17 即十一種毀滅力量或濕婆神的力量
01:31:31:19 01:31:33:17 那是富殺傷力
01:31:33:24 01:31:39:17 所以祂有殺害，摧毀邪惡，
01:31:39:21 01:31:46:24 賜予祝福和勇氣予祂的追隨者的能力。
01:31:48:15 01:31:52:09 這是最後的降世神祇，被稱為Kalaki
01:31:52:12 01:31:56:04 通常被你稱呼為Kalaki的，實際上是Nishkalanka
01:31:56:06 01:31:58:00 在白馬上，
01:31:58:03 01:32:03:05 卡提凱亞騎在白馬上
01:32:03:10 01:32:06:24 現在純真在你內裏生長
01:32:07:00 01:32:11:10 直到卡提凱亞這一點
01:32:11:13 01:32:14:24 今天它已經在這片土地上成就了
01:32:15:00 01:32:16:24 你們也稱這片土地為德國(Deutschland)
01:32:17:00 01:32:21:20 在那裏，卡提凱亞將會在你內裏出生，在你內裏被喚醒
01:32:21:24 01:32:24:00 願神祝福你們
01:32:40:05 01:32:43:00 若你們想也可以唱一些歌曲
01:32:43:05 01:32:45:24 就像Ya Devi Sarva Buteshu，那一首你們喜歡
01:32:46:02 01:32:49:10 我希望一些女士可以來到這裏，七位已婚的女士
01:32:54:15 01:32:56:10 來幫幫我
01:32:56:12 01:33:01:10 首先是在這裏的小女孩
01:33:01:12 01:33:03:15 請小女孩走上前吧。
01:33:06:24 01:33:10:01 遲一點，當你們為我戴上花環，好嗎？
01:33:10:03 01:33:12:24 現在女孩子走上前
01:33:13:00 01:33:16:10 女孩子在那裏？所有女孩都走上來。
01:33:16:12 01:33:18:10 這裏的女孩是誰？
01:33:20:00 01:33:25:10 好吧，走上來，對，走上前，
01:33:28:00 01:33:29:24 你也來，你們兩個
01:33:30:00 01:33:34:00 好吧，你也上前來，你們兩個
01:33:44:10 01:33:46:12 坐下，坐下
01:33:47:15 01:33:53:20 若有任何未婚的女孩，年長的未婚女孩，請上前來。
01:34:02:24 01:34:05:15 那位還未結婚的
01:34:07:00 01:34:10:24 來吧
01:34:20:00 01:34:22:17 拿去這個，請你們拿走這個
01:35:25:10 01:35:29:19 錫呂‧瑪塔吉女士，在我們向女神唱讚美歌前
01:35:29:22 01:35:35:22 我們想為你唸誦一篇修訂版的主禱文
01:35:39:24 01:35:41:05 我們在
01:35:41:10 01:35:43:00 地上的母親，
01:35:43:05 01:35:45:17 願人都尊您的名為聖
01:35:45:24 01:35:48:08 願您的國降臨
01:35:48:12 01:35:50:12 願您的旨意行在地上，
01:35:50:15 01:35:53:21 如同行在天上
01:35:54:00 01:35:58:05 求您賜給我們今天的生命能量
01:35:58:10 01:35:59:05 免去我們的債
01:36:03:15 01:36:04:20 如同我們免掉了
01:36:04:20 01:36:07:05 別人的債
01:36:07:05 01:36:09:15 不要叫我們陷入迷茫
01:36:10:05 01:36:12:15 教我們脫離邪惡，
01:36:12:15 01:36:14:10 因為您是天父
01:36:15:00 01:36:16:20 聖子與榮耀
01:36:16:20 01:36:21:15 直到永遠，阿門。
01:36:36:00 01:36:40:05 真的很美好。
