00:02:22:23 00:02:27:06 今天我們敬拜的毗濕奴摩耶
00:29:26:08 00:29:30:14 但若你超越了界限，完全的超越了界限
00:29:30:20 00:29:33:11 毗濕奴摩訶會突然出現
00:29:33:15 00:29:35:19 整件事情便會被揭露
00:29:37:00 00:29:39:06 在霎哈嘉瑜伽你被揭露
00:29:41:20 00:29:46:22 所以我們必須知道，雖然這力量幫助你
00:29:47:08 00:29:55:06 指引你，令你得到改善，滋潤你保護你
00:29:55:15 00:29:58:06 但仍然只到某一限度
00:29:58:12 00:30:01:14 不然只有她會揭露你
00:30:04:23 00:30:09:08 因為她不能再容忍你的荒唐
00:30:11:03 00:30:12:14 所以若你仍然繼續這樣
00:30:12:19 00:30:14:17 她只能把你揭露
00:30:14:24 00:30:16:08 你看見人們做著
00:30:16:13 00:30:17:19 各式各樣下流的事情
00:30:17:24 00:30:20:05 我知道很多國家的首相
00:30:20:11 00:30:23:05 國家的總統
00:30:23:10 00:30:25:24 當他們死後，便被揭露
00:30:31:11 00:30:35:00 沒有人會說這個或那個人是貞潔的人
00:30:35:21 00:30:39:22 很少國家領袖可以得到
00:30:40:05 00:30:42:07 「他們是非常貞潔的人」這證書
00:30:42:16 00:30:45:24 他們很少，很少可以得到貞潔證書
00:30:46:05 00:30:50:05 因為當你們得到權勢
00:30:51:00 00:30:53:11 你們會以為自己已經擁有決定權，你可以是…
00:30:53:18 00:30:56:05 你可以做任何你喜歡的事情
00:30:56:11 00:30:58:24 你可以是有貞操的人
00:30:59:05 00:31:01:22 亦可以是沒有貞操的人
00:31:02:04 00:31:03:10 你可以做你喜歡的事情
00:31:03:19 00:31:07:22 你受「我已經得到所有權力
00:31:08:02 00:31:11:13 我現在被安置在很好的位置。」這想法所控制
00:31:11:22 00:31:17:10 這想法完全把你迷惑，
00:31:17:16 00:31:20:08 令你忘記貞潔的重要
00:31:20:11 00:31:23:10 所以若一個人被
00:31:23:16 00:31:25:14 安置在越高的位置
00:31:25:21 00:31:35:02 他的職位越高…你可以說令他自我膨脹的東西便越多
00:31:35:08 00:31:39:13 他便越壓向左喉輪
00:31:39:24 00:31:43:02 所以這個人逃避到左喉輪
00:31:43:08 00:31:45:18 因為在他內心深處
00:31:45:21 00:31:48:00 在他的無意識裏，他感到內疚
00:31:48:07 00:31:51:24 整件事變成內疚
00:31:52:13 00:31:54:10 在左喉輪的內疚
00:31:54:19 00:31:58:00 當變成左喉輪的內疚
00:31:58:08 00:31:59:24 那便處於困難的境況
00:32:00:05 00:32:01:15 因為這個人
00:32:02:00 00:32:03:18 他變得極之敏銳
00:32:03:24 00:32:06:16 當你對他說任何話，他感到更內疚
00:32:07:04 00:32:09:19 你想把他的左喉輪治好，
00:32:09:24 00:32:12:02 他變得更差
00:32:12:13 00:32:15:11 對偏左喉輪的人，這是壞的境況
00:32:15:19 00:32:19:05 偏左喉輪的人常常
00:32:19:11 00:32:20:22 都在辯解
00:32:21:23 00:32:24:16 偏右喉輪的人很傲慢
00:32:24:23 00:32:28:04 但偏左喉輪的人在
00:32:28:07 00:32:32:09 回答問題和作出解釋都很害羞
00:32:32:13 00:32:33:12 無論你說甚麽，他們也會說︰
00:32:33:16 00:32:35:15 不，母親，是這樣的，是那樣的
00:32:35:20 00:32:39:06 這是一點，不單這樣…不是這樣就完結
00:32:39:15 00:32:41:07 它向你說諷刺的說話
00:32:41:24 00:32:45:12 這就是為甚麽西方人永遠不會直話直說
00:32:45:16 00:32:47:02 常常語帶諷刺
00:32:47:16 00:32:50:07 直話直說被視為愚蠢
00:32:50:20 00:32:51:23 沒有才智
00:32:52:06 00:32:55:15 除非以諷刺的態度說話
00:32:55:23 00:32:58:20 有時，你也知道是很難表達自己
00:33:01:07 00:33:04:07 這就是他們怎樣以很扭曲的方式說話
00:33:04:18 00:33:09:13 這種扭曲來自左喉輪的問題
00:33:09:18 00:33:11:12 若你的左喉輪很差
00:33:11:18 00:33:17:04 你不能甜美地
00:33:17:16 00:33:19:02 漂亮地
00:33:20:15 00:33:22:07 表示讚賞地完成任何事情
00:33:23:21 00:33:26:20 偏左喉輪的人永遠不懂讚賞
00:33:27:06 00:33:28:20 左喉輪受苦的人
00:33:28:24 00:33:31:06 永遠不會欣賞別人
00:33:31:23 00:33:34:06 他有自己的說法，他會想︰「我是最好的。」
00:33:34:12 00:33:36:13 因為他必須生存
00:33:37:01 00:33:39:12 所以問題亦必須存在，那又怎樣？
00:33:39:16 00:33:42:09 是一種歪曲的自我
00:33:42:18 00:33:44:02 令他不想接受
00:33:44:06 00:33:45:17 別人可以比我好
00:33:45:21 00:33:47:10 我必須跟隨別人
00:33:47:16 00:33:50:10 我必須從別人身上學習
00:33:50:18 00:33:51:24 我有太多這樣的例子
00:33:52:04 00:33:53:23 我很理解，特別是與我一起的人
00:33:54:02 00:33:57:06 我發覺他們很快跌入左喉輪
00:33:57:23 00:34:00:21 因為他們缺乏禮法(protocol)
00:34:01:01 00:34:02:21 當他們開始缺乏禮法
00:34:03:01 00:34:05:06 他們便會偏向左喉輪
00:34:05:12 00:34:07:20 能與我在一起毫無疑問是一種祝福
00:34:08:02 00:34:11:22 但你們必須非常，非常小心
00:34:12:03 00:34:14:16 不要超越禮法
00:34:15:00 00:34:17:22 不要嘗試撲向前
00:34:18:11 00:34:20:05 騰躍向前
00:34:20:18 00:34:25:06 有些人習慣超越界限
00:34:25:10 00:34:26:23 當你超越
00:34:27:03 00:34:29:00 左喉輪被創造的界限
00:34:29:12 00:34:32:09 必須敬畏你的母親
00:34:32:15 00:34:34:07 尊敬你的母親
00:34:34:12 00:34:38:01 那是受左喉輪守護的
00:34:39:06 00:34:43:12 一種格涅沙很隱秘的力量
00:34:43:18 00:34:46:20 就是你所稱為格涅沙力量
00:34:47:00 00:34:52:10 在左喉輪扮演著貞潔
00:34:55:07 00:35:01:18 格涅沙的力量全都是藉由左喉輪顯現出來
00:35:03:14 00:35:06:11 所以相信格涅沙，相信純真的人必須知道
00:35:06:15 00:35:09:07 你每一天的舉止
00:35:09:14 00:35:12:20 每一天的行為
00:35:13:14 00:35:15:01 必須有貞潔
00:35:15:09 00:35:19:21 格涅沙被描繪為貞潔的花朵
00:35:20:18 00:35:24:15 你只要看看，上天的律法若沒有貞潔
00:35:24:20 00:35:26:09 怎能規限人
00:35:26:14 00:35:28:17 怎能令事情妥當
00:35:28:23 00:35:30:21 怎能潔淨他們
00:35:31:04 00:35:33:03 怎能令他們進化？
00:35:33:11 00:35:37:22 就如一棵樹不受限制的生長
00:35:38:03 00:35:40:12 任性地生長
00:35:40:17 00:35:41:20 沒有限制
00:35:42:00 00:35:43:09 你可以得到甚麽？
00:35:43:14 00:35:44:14 甚麽也得不到
00:35:44:20 00:35:48:09 所以要令一個人越來越高
00:35:48:14 00:35:50:01 你必須限制他
00:35:50:15 00:35:53:04 我的父親常常給我這個好例子
00:35:53:09 00:35:56:11 若你想拿一點小麥… 
00:35:56:22 00:35:58:11 (請你不要再騷擾別人
00:35:58:15 00:36:00:11 若你想出去，你可以出去
00:36:00:17 00:36:04:07 但不要騷擾別人…)
00:36:06:20 00:36:08:18 另一樣事情是
00:36:09:00 00:36:11:18 所有這些都不為甚麽
00:36:11:23 00:36:14:01 只為令你的左喉輪昇起
00:36:14:14 00:36:19:13 你看，所有這些炫耀或騷擾
00:36:19:24 00:36:22:13 想控制人
00:36:23:03 00:36:26:02 非常放肆的人或狂妄
00:36:26:05 00:36:28:11 所有這些都是來自左喉輪
00:36:28:14 00:36:30:20 因為你想控制你的左喉輪
00:36:31:00 00:36:32:09 所以你才這樣做
00:36:33:08 00:36:35:09 跟著上述的品質便會附加上去
00:36:35:16 00:36:39:00 你越想控制它，附加上去的品質便越多
00:36:39:07 00:36:42:15 我必須告訴你我父親的故事
00:36:42:20 00:36:44:01 他說︰
00:36:44:04 00:36:48:04 你有些小麥，若你把它散播
00:36:48:07 00:36:50:17 只會像注意力一樣浪費掉
00:36:52:02 00:36:54:01 但若你把它放在
00:36:54:15 00:36:55:15 麻布袋內
00:36:56:01 00:37:00:21 把它堆積起來,它能到達一個很高的高度
00:37:01:16 00:37:02:21 同樣
00:37:03:02 00:37:06:04 若你沒有貞操的浪費你的注意力
00:37:06:10 00:37:07:24 它便會散佈開去
00:37:08:22 00:37:11:20 它沒有界線，沒有形狀
00:37:12:00 00:37:13:06 沒有形式
00:37:13:12 00:37:14:22 若你限制它
00:37:15:20 00:37:20:01 你便會變得越來越高
00:37:20:08 00:37:24:15 在靈性生命中，你可以昇進得更高
00:37:25:03 00:37:29:17 你們都是想過靈性生活的人
00:37:29:23 00:37:36:20 你必須明白左喉輪必須得到糾正
00:37:37:18 00:37:41:19 你可以怎樣糾正你的左喉輪？
00:37:42:17 00:37:44:21 我有時對它也感到很厭倦
00:37:45:00 00:37:47:03 真的是…我感到
00:37:47:10 00:37:49:09 我真想放棄他們
00:37:49:24 00:37:51:20 因為若他們有阻塞
00:37:51:24 00:37:53:07 你告訴他們︰「你有阻塞。」
00:37:53:14 00:37:55:24 他們變得更差，怎樣的一個惡性循環！
00:37:56:09 00:37:57:20 可以怎樣把它治好？
00:37:57:22 00:38:02:00 怎樣可以打破這惡性的循環？就是面對它
00:38:02:22 00:38:05:03 必須說︰「甚麽？你為何感到內疚？」
00:38:05:08 00:38:07:00 你重複犯著相同的錯誤
00:38:07:05 00:38:08:17 但仍然繼續這樣做
00:38:08:22 00:38:14:09 你必須為自己注射
00:38:14:15 00:38:17:17 取而代之，他們卻告訴我
00:38:17:23 00:38:21:00 不，母親，不，母親，不，母親
00:38:21:12 00:38:24:04 你應該告訴自己︰「不，我自己
00:38:25:05 00:38:28:03 今天我這樣做了，明天我將要這樣做
00:38:28:08 00:38:29:12 後天我將會這樣做…」
00:38:29:17 00:38:33:19 現在就停止吧！停止吧，到此為止
00:38:34:09 00:38:37:19 你在運用你的毗濕奴摩耶的力量
00:38:38:06 00:38:41:20 毗濕奴摩耶力量必須得到中和
00:38:43:01 00:38:46:14 若是這樣，是透過你的錯誤
00:38:46:23 00:38:52:00 若要把它的力量帶回
00:38:52:06 00:38:54:00 你必須利用毗濕奴摩耶力量
00:38:54:05 00:38:56:08 為你帶來震動
00:38:59:11 00:39:01:03 只有你自己才能做到
00:39:01:08 00:39:03:20 所以在這一點上，在毗濕奴摩耶這一點上
00:39:04:00 00:39:06:00 我真的很失敗
00:39:06:08 00:39:08:05 你必須自己去做
00:39:10:06 00:39:13:14 這就是我為甚麽想及這個崇拜
00:39:13:20 00:39:17:08 當你們為我做這個崇拜時
00:39:17:23 00:39:22:06 我說甚麽也會為你製造更多的毗濕奴摩耶
00:39:22:08 00:39:25:00 這是處理事情最容易的方式
00:39:25:03 00:39:29:05 你看︰「我感到內疚。」你便完蛋了
00:39:29:13 00:39:32:00 我會接受懲罰，我稱自己有罪
00:39:32:08 00:39:36:06 就像在法庭裏，陪審團說︰「你有罪。」
00:39:36:11 00:39:39:16 好吧，接受它吧，「我罪有應得。」沒有任何懲罰
00:39:41:00 00:39:42:06 沒有懲罰
00:39:42:19 00:39:45:14 若你犯錯，自己懲罰自己吧
00:39:45:21 00:39:47:14 有兩種途徑人們可以得到懲罰
00:39:47:24 00:39:50:19 一種是像某些人說的那樣
00:39:50:24 00:39:53:17 我不吃
00:39:53:21 00:39:56:18 對習慣不吃的人
00:39:56:23 00:39:59:10 這種不吃對別人來說可以變成一種壓迫
00:39:59:15 00:40:01:10 一種令人感到煩厭的習慣
00:40:01:13 00:40:05:18 我的意思是人類是非常扭曲
00:40:06:07 00:40:07:18 他們知道怎樣利用一把
00:40:07:21 00:40:09:11 扭曲的小刀來殺掉自己
00:40:09:21 00:40:12:02 所以這不是你糾正自己的方式
00:40:13:05 00:40:15:08 若你要糾正自己
00:40:15:18 00:40:19:07 你必須正當地面對自己
00:40:20:19 00:40:23:04 例如你做了一些錯事
00:40:23:19 00:40:26:22 你便要做些
00:40:27:00 00:40:29:05 你通常會做的事情
00:40:30:13 00:40:31:18 去懲罰自己
00:40:31:19 00:40:33:15 你必須…你必須…很抱歉
00:40:33:19 00:40:35:13 你不應做些
00:40:35:18 00:40:37:07 你通常會做的事
00:40:37:10 00:40:39:07 糾正自己
00:40:39:10 00:40:45:16 例如你很喜歡園藝，喜歡花朵
00:40:46:07 00:40:47:13 當你犯錯
00:40:47:18 00:40:50:08 你便一段時間不看花朵
00:40:52:10 00:40:54:19 對花兒閉上你的眼睛
00:40:55:07 00:40:58:01 又例如
00:40:58:07 00:41:02:08 你喜歡唱歌
00:41:04:07 00:41:08:10 若你犯錯你便停止歌唱
00:41:12:24 00:41:14:23 這就是你怎樣可以得到震盪
00:41:15:21 00:41:19:01 你必定知道毗濕奴摩耶是閃電
00:41:19:10 00:41:21:09 所以告誡要像閃電一樣
00:41:21:18 00:41:24:24 不能像錫呂‧克里希納那麽溫和
00:41:25:09 00:41:27:18 我告訴你是一種很有力量的東西
00:41:28:03 00:41:34:21 願神可以把你內在毗濕奴摩耶的力量喚醒
00:41:35:04 00:41:39:04 這是人類可以擁有的最大力量
00:41:39:12 00:41:41:03 最吉祥的東西
00:41:41:06 00:41:43:20 你變成神性的人格
00:41:46:17 00:41:50:12 這是其中一種得到神的自覺的途徑
00:41:51:12 00:41:54:15 一個好問題在昨天
00:41:54:21 00:41:56:10 合適的時間發問
00:41:56:17 00:41:59:14 就是要建立你的貞操
00:42:00:07 00:42:01:21 不是做靈體保護
00:42:02:01 00:42:04:20 從母親身上拿取生命能量，然後迷失
00:42:05:01 00:42:07:23 不是這樣。你必須從早到晚
00:42:08:04 00:42:09:20 糾正自己
00:42:10:22 00:42:13:23 面對自己，不要感到內疚
00:42:15:15 00:42:17:15 常常學習新事物
00:42:18:04 00:42:21:15 是這位姊妹時常教導你
00:42:21:18 00:42:24:21 怎樣做得越來越好
00:42:24:24 00:42:26:02 不是母親
00:42:26:09 00:42:28:06 因為對母親你可以說︰「 不，母親。」
00:42:28:11 00:42:31:15 對一位姊妹，若你說---電力！
00:42:31:21 00:42:33:01 好吧？
00:42:33:14 00:42:37:10 把你的手指插進插頭，你便知道會怎樣
00:42:38:10 00:42:40:11 不需任何解釋
00:42:48:08 00:42:50:07 以這種理解
00:42:50:11 00:42:52:16 我們今天將會作
00:42:52:21 00:42:55:10 這個建立你的貞操的崇拜
00:42:55:16 00:43:00:16 我們情緒的貞操和思維的貞操
00:43:01:10 00:43:03:00 現在，無論你做了些甚麽
00:43:03:05 00:43:04:18 忘記它吧，忘記過去
00:43:04:24 00:43:07:24 忘記過去也是很重要的
00:43:08:05 00:43:10:04 因為這是非常好的解釋方式
00:43:10:08 00:43:12:16 因為我有這些，所以這就發生
00:43:12:21 00:43:15:10 我的母親像這樣……我的父親像這樣…
00:43:15:19 00:43:18:18 忘記母親，父親以及所有人
00:43:18:22 00:43:21:21 現在你屬於這個家庭，神聖的家庭
00:43:22:10 00:43:25:19 聖人們
00:43:27:05 00:43:30:14 坐在這裏,他們之中有你
00:43:31:10 00:43:35:02 這些律法自動開始運作
00:43:35:07 00:43:36:21 我不用告訴你
00:43:37:02 00:43:38:19 要對這個人友善
00:43:38:24 00:43:41:08 不要對那個人友善
00:43:43:21 00:43:46:22 你要明白，對另一個性別
00:43:47:07 00:43:51:15 感興趣不是貞操的標誌
00:43:53:00 00:43:57:07 我的意思是這是很可怕，絕對荒謬的
00:43:57:13 00:43:59:08 你變得愚蠢
00:44:00:00 00:44:02:21 就像很多男子知道很多女士的物品
00:44:03:02 00:44:04:24 像香水，這些，那些，這又有甚麽用呢？
00:44:05:02 00:44:07:11 你是否女人的奴隸？
00:44:07:24 00:44:10:19 他們變成這些荒唐物品的專家
00:44:12:14 00:44:14:17 你是男人，要活得像男人
00:44:16:19 00:44:19:24 女士內在必須有貞操的觀念
00:44:20:03 00:44:22:17 因為她們是力量
00:44:23:14 00:44:26:10 為甚麽你想成為男人？
00:44:26:19 00:44:28:21 我的意思是你是男士背後的力量
00:44:30:08 00:44:33:03 女士必須好好照顧她們的貞操
00:44:33:11 00:44:35:07 為此我必須要說
00:44:36:01 00:44:40:10 我必須向印度婦女鞠躬
00:44:41:21 00:44:43:04 她們的謙虛
00:44:43:18 00:44:45:07 她們的貞操
00:44:45:12 00:44:47:13 我們必須學習。當然有很多
00:44:47:18 00:44:50:24 印度婦女不是這樣，但她們有謙卑
00:44:52:19 00:44:57:24 只有一類人不應有謙卑
00:44:59:08 00:45:03:02 就是降世神祇
00:45:03:24 00:45:07:18 我不能謙卑，很抱歉這樣說
00:45:08:04 00:45:10:02 某些品質你會享受
00:45:10:05 00:45:11:23 會珍惜，但我不能
00:45:12:04 00:45:17:23 我不能謙卑下來，不能這樣做,很抱歉
00:45:20:09 00:45:22:10 我不應這樣
00:45:23:05 00:45:25:15 沒有降世神祇是謙卑的
00:45:25:21 00:45:27:07 祂們不能
00:45:28:15 00:45:31:05 因為他們沒有內疚
00:45:37:23 00:45:41:10 我把太多感到內疚的人放在我的左喉輪裏
00:45:41:19 00:45:45:13 我的耳朵因此受感染，我想把它們清除
00:45:45:19 00:45:47:10 若你可以把你的內疚清除
00:45:47:16 00:45:50:21 我的雙耳也可以得到開啟,我的麻煩亦會消失
00:45:51:01 00:45:52:07 所以請你們
00:45:52:13 00:45:54:16 保持你們的左喉輪妥當
00:45:54:20 00:45:57:15 不要感到內疚，要保持在中脈
00:45:58:07 00:46:01:13 保持在中脈，醒察自己，面對自己
00:46:01:19 00:46:03:16 震蕩自己，糾正自己
00:46:03:21 00:46:06:21 只有這樣的人才能昇進
00:46:08:12 00:46:11:05 另一途徑是入靜
00:46:11:13 00:46:13:06 把你的左手向著相片
00:46:13:10 00:46:16:04 點亮燈，右手放在大地之母
00:46:16:23 00:46:18:01 你便可以成就到
00:46:18:06 00:46:19:14 把光放在這裏
00:46:19:17 00:46:21:10 向著你的左喉輪做班丹
00:46:21:14 00:46:22:09 你便可以把它清除
00:46:22:12 00:46:26:01 但若不是真心的去做，便會變成形式
00:46:26:09 00:46:30:01 所以首先要面對它，思維上完全面對它
00:46:30:06 00:46:31:18 跟著這樣做
00:46:31:21 00:46:33:21 情緒上亦要明白它
00:46:34:04 00:46:38:10 情感上你必須對它沒有內疚
00:46:40:07 00:46:42:10 因為務實的原因，
00:46:42:17 00:46:46:23 你不應運用會令你感到內疚的字句
00:46:47:06 00:46:48:10 只運用令你感到謙卑的
00:46:48:21 00:46:52:04 謙卑的人與內疚的人是很不同
00:46:52:10 00:46:56:06 內疚的人是處於脅迫
00:46:56:14 00:47:00:15 處於壓力，但謙卑的人卻是自由的人
00:47:01:14 00:47:05:12 自由地，生氣勃勃地謙卑
00:47:05:14 00:47:07:21 就像樹木，當它負載著果實時
00:47:08:00 00:47:11:19 便只會向大地之母躹躬
00:47:12:19 00:47:15:08 就像你走到海邊
00:47:15:13 00:47:19:17 你會發現所有樹木
00:47:19:24 00:47:22:16 特別是椰子樹
00:47:22:19 00:47:25:07 全都向著海洋垂下
00:47:26:05 00:47:29:02 因為海洋給他們這種特質
00:47:29:06 00:47:32:22 在椰子內的水是來自海洋
00:47:33:02 00:47:37:22 所有它們都有這種尊重
00:47:38:05 00:47:40:22 這種對海洋的謙卑
00:47:41:05 00:47:47:11 同樣，沒有內疚的人
00:47:47:24 00:47:50:16 才有真正的謙卑
00:47:50:22 00:47:52:16 正如我告訴你，因為內疚的人
00:47:52:22 00:47:56:21 受他們的諷刺，下流的言語侵襲
00:47:57:00 00:47:59:17 也受他們怎樣回話，他們的解釋所侵襲
00:48:00:00 00:48:06:19 但謙卑的人卻是自由的人
00:48:07:05 00:48:08:22 自由的謙卑
00:48:09:08 00:48:12:08 自由的仁慈
00:48:12:19 00:48:15:00 自由的溫柔，有愛心
00:48:15:07 00:48:19:19 你就是要成為這樣的霎哈嘉瑜伽士
00:48:20:02 00:48:21:18 當別人遇上你
00:48:21:22 00:48:23:08 他們會因你的謙卑而留下深刻印象
00:48:23:14 00:48:27:17 謙卑是沒有任何奉承
00:48:28:02 00:48:30:22 是純真和謙虛的
00:48:32:13 00:48:35:24 我…我完全缺乏這種品質
00:48:36:08 00:48:37:19 我不能謙卑
00:48:38:03 00:48:40:07 你們不要嘗試令我謙卑下來
00:48:40:11 00:48:42:08 因為這是不該做的
00:48:43:00 00:48:48:12 但沒有人在遇見我時會說
00:48:48:17 00:48:50:09 我是不謙卑的
00:48:50:18 00:48:53:23 我的舉止很謙卑
00:48:54:17 00:48:58:15 我可以表現得很謙卑，但坦白說
00:48:58:21 00:49:02:18 在我內裏完全沒有任何謙卑
00:49:03:00 00:49:06:07 慈愛和謙卑是不同的
00:49:06:15 00:49:09:12 謙卑是人類的品質
00:49:09:20 00:49:13:17 只有虔敬(bhakti)才有的特質
00:49:14:07 00:49:17:21 只有虔敬才有，這是漂亮的品質
00:49:18:12 00:49:21:20 像驟雨般的祝福
00:49:22:20 00:49:25:23 賜予祝福的人不能有謙卑
00:49:26:03 00:49:28:01 因為他不能拿取甚麽
00:49:28:07 00:49:32:03 只有謙卑的人類才能拿取它
00:49:32:09 00:49:35:21 成就它和接受它
00:49:36:03 00:49:42:04 不接受的人是那麽寂寞,那麽寂寞
00:49:42:17 00:49:47:21 這類人不能與任何人為伴
00:49:48:06 00:49:50:18 因為它必須付出，付出，再付出
00:49:50:23 00:49:57:07 是那麽寂寞，所有事都必須自己去面對
00:49:57:14 00:50:01:07 謙卑的人可以彼此友善
00:50:01:10 00:50:05:18 互相分擔他們的問題
00:50:06:00 00:50:10:01 我不能，因為你們不會有任何解決方法
00:50:10:18 00:50:12:23 我必須自己解決我的問題
00:50:13:06 00:50:18:07 所以只有謙卑能幫助你清楚的表達自己
00:50:18:14 00:50:20:14 令你與你的朋友
00:50:20:20 00:50:23:12 與每一個人和諧相處，分擔你的困難
00:50:23:20 00:50:26:14 我再次警告你們，因為這是常常都發生的
00:50:26:21 00:50:30:01 謙卑不應是同情心
00:50:31:15 00:50:34:04 謙卑的人是抽離的人
00:50:34:09 00:50:36:09 這是一種抽離的品質
00:50:36:15 00:50:39:12 不是一種依附著一個人
00:50:39:15 00:50:41:12 或另一個人的品質
00:50:42:06 00:50:44:10 這是一種謙卑的生活
00:50:44:15 00:50:46:17 你不會不必要的傲慢
00:50:46:23 00:50:48:17 不會向別人叫喊
00:50:49:00 00:50:52:15 在印度，我們說牛
00:50:52:23 00:50:54:14 是非常謙卑的動物
00:50:54:20 00:50:56:15 牠提供牛奶
00:50:57:09 00:50:59:08 提供一切
00:50:59:14 00:51:01:12 牠甚至不會作出攻擊
00:51:03:08 00:51:06:14 所以謙卑是你的守衛
00:51:07:07 00:51:09:19 當然，有時人會利用謙卑的人
00:51:10:00 00:51:10:15 不要緊
00:51:10:19 00:51:13:05 只要你沒有失去謙卑
00:51:13:11 00:51:14:08 一切都會妥當
00:51:14:16 00:51:16:04 人們喪失了他們的謙卑
00:51:16:08 00:51:17:16 當人想找他們麻煩
00:51:17:21 00:51:19:05 他們變得偏向左喉輪
00:51:19:10 00:51:22:10 跟著他們失去了謙卑
00:51:22:19 00:51:24:22 這是我們不能失去的
00:51:25:10 00:51:29:07 因為若你想與上天保持聯繫
00:51:29:15 00:51:31:21 你必須謙卑
00:51:32:05 00:51:33:22 沒有其他途徑
00:51:34:10 00:51:36:13 若你不是謙卑的人
00:51:37:01 00:51:38:21 你不能保持這種關係
00:51:39:05 00:51:42:24 這兩種品質，就像插頭和插座
00:51:43:07 00:51:45:04 插頭必須是插頭
00:51:45:10 00:51:47:11 而插座必須是插座
00:51:47:16 00:51:49:11 同樣若你想從
00:51:49:18 00:51:52:08 上天拿取一點東西
00:51:52:13 00:51:54:04 你必須是謙卑的人
00:51:54:08 00:51:57:05 藉由傲慢你不能取得
00:51:57:15 00:52:00:10 藉由壓迫你也不能取得
00:52:00:24 00:52:03:07 藉由任何…有些人
00:52:03:10 00:52:06:16 也感到「我愛母親。」但這種愛必須藉由
00:52:06:22 00:52:08:22 完全的謙卑來表達出來
00:52:10:24 00:52:12:21 這是唯一的途徑
00:52:13:04 00:52:17:02 這是唯一你可以接近我的渠道
00:52:17:08 00:52:19:04 沒有其他途徑
00:52:20:18 00:52:28:16 所以我們以很高的層次完結今天
00:52:29:22 00:52:32:10 這是神的自覺的開始
00:52:32:18 00:52:34:21 但你必須與我一起加快速度
00:52:35:07 00:52:37:08 要與我的速度一致是不容易的
00:52:37:19 00:52:39:15 所以你要與我一起加速
00:52:39:19 00:52:41:18 若你想向著神的自覺
00:52:42:01 00:52:47:19 首先必須建立你貞潔和謙卑的觀念
00:52:51:22 00:52:53:24 願神祝福你們
00:53:04:07 00:53:06:23 現在崇拜開始
00:53:21:12 00:53:23:20 若你想，可以清洗我的雙腳
00:53:23:24 00:53:27:21 先做格涅沙崇拜，Ganesh Stotra
00:53:31:07 00:53:33:12 為此你要判斷自己
00:53:33:15 00:53:36:09 我的意思是你要判斷自己不要內疚
00:53:36:13 00:53:37:18 要判斷自己
00:53:37:23 00:53:39:23 我是否一個進取的人
00:53:40:01 00:53:41:15 我是否時常都走向前？
00:53:41:20 00:53:44:24 我是否每時每刻都只是坐在人前？
00:53:45:06 00:53:47:02 我是否對母親傲慢？
00:53:47:07 00:53:48:21 我有否向母親說「不」?
00:53:49:01 00:53:50:02 我的言行是否像…
00:53:50:06 00:53:51:12 審視自己有沒有這些行為
00:53:51:15 00:53:53:23 不是審視別人，而是審視自己
00:53:54:06 00:53:55:09 我到達怎樣的程度？
00:53:55:16 00:54:00:08 我是否專橫，是否自大？
00:54:00:22 00:54:03:03 是否做了些我不該做的事情？
00:54:03:07 00:54:05:04 就像這樣
00:54:05:11 00:54:06:11 這些症候群
00:54:06:18 00:54:08:07 這些症狀是來自內在的
00:54:08:14 00:54:10:08 當你明白你的症狀
00:54:10:11 00:54:11:09 噢，我是這樣的
00:54:11:13 00:54:16:19 好吧，不會這樣了。」面對它，告訴自己
00:54:19:03 00:54:21:08 當你說︰「我沒有內疚。」
00:54:21:14 00:54:24:09 不能說你沒有面對它，你在面對它
00:54:25:14 00:54:28:00 好吧，開始清洗我的雙腳
00:54:36:06 00:54:39:16 很抱歉今天只有處女才能向我敬拜
00:54:40:05 00:54:44:22 只有真正的處女才能敬拜我---小女孩
00:54:45:02 00:54:46:11 有沒有？
00:54:46:21 00:54:48:08 有，她們會來
00:54:48:13 00:54:51:00 來吧，來吧，來吧，所有孩子
00:54:51:10 00:54:53:08 走上前…
00:55:00:12 00:55:02:15 很漂亮的裙子
00:55:04:01 00:55:06:09 啊，哈！啊，哈！
00:55:06:23 00:55:09:10 很漂亮的裙子，雅典娜
00:55:09:14 00:55:11:11 來吧，呵！其他人呢？
00:55:11:14 00:55:13:03 來吧，所有孩子，所有孩子
00:55:13:11 00:55:15:06 只有孩子能這樣做
00:55:17:07 00:55:20:07 好吧，坐下，坐下，走上前
00:55:20:23 00:55:23:12 啊，有人穿了紗麗…
00:55:23:18 00:55:27:00 所有孩子
00:55:36:03 00:55:37:21 坐下，坐下，坐下
00:55:38:03 00:55:40:11 所有孩子要坐在這裏，明白嗎？
00:55:40:15 00:55:43:01 喂，印度，你好嗎？
00:55:43:23 00:55:46:18 小心這盞燈，明白嗎？
00:55:49:04 00:55:52:20 你可以把它移向這裏嗎
00:55:53:00 00:55:54:07 我有點擔心孩子
00:55:54:12 00:55:56:15 跟著我們可以點亮它
00:55:57:01 00:56:01:14 啊…很感謝你們
00:56:03:01 00:56:06:09 更多人會來，他們正要來
00:56:10:04 00:56:13:12 我們將會有很多人
00:56:14:18 00:56:17:03 或許你們要坐在外面
00:56:17:07 00:56:18:09 現在他們坐在外面
00:56:18:14 00:56:22:00 一段時間後，你們都要坐在外面
00:56:29:05 00:56:30:09 這樣是最好的
