00:03:31:03 00:03:36:22 我認為這是一個很難得的機會
00:31:36:07 00:31:39:06 你看到在西方，人們運用他們的雙手
00:31:39:13 00:31:41:18 因此你便明白
00:31:41:24 00:31:44:12 因為他們運用他們的雙手，所以他們很合群
00:31:44:19 00:31:47:18 他們因為合群而得分
00:31:48:02 00:31:49:21 而印度人卻是因為他們是印度人
00:31:49:21 00:31:51:19 他們祖先的遺產
00:31:51:19 00:31:52:24 他們知道甚麽是靈量
00:31:52:24 00:31:55:08 知道格涅沙，他們知道一切而得分
00:31:55:18 00:31:57:13 他們是在這方面得分
00:31:57:13 00:31:59:11 左面是欲望
00:31:59:11 00:32:00:24 右面則是行動
00:32:00:24 00:32:03:21 我們再次回到原來的位置
00:32:03:21 00:32:05:07 我們處於不平衡
00:32:05:07 00:32:07:16 就是西方有行動
00:32:07:24 00:32:12:14 這裏則只在想，「好吧，我們會去做。」
00:32:12:21 00:32:15:11 只是計畫，每樣事情都只是在計畫
00:32:15:21 00:32:19:02 甚麽也成就不了。你不停的計畫，計畫，計畫
00:32:19:02 00:32:21:18 在過往十年間
00:32:22:00 00:32:25:10 我們在德里建造一所集體靜室
00:32:27:19 00:32:30:20 像泰姬陵般，我告訴你
00:32:34:17 00:32:37:12 這是很困難的，你要明白
00:32:37:22 00:32:40:01 他們為甚麽花這樣長的時間
00:32:40:01 00:32:42:12 那不是一個大的地方，完全不是
00:32:42:23 00:32:46:17 不單因為霎哈嘉瑜伽士，還有其他原因
00:32:47:00 00:32:49:20 因為每一個人都像這樣，每一件事情都延遲
00:32:50:05 00:32:52:12 每一件事都明天才做
00:32:52:12 00:32:53:20 「我們明天才做。」
00:32:53:20 00:32:56:20 一個人來了，另一些人卻沒有來
00:32:57:01 00:33:01:12 就像我們在學校裏
00:33:01:19 00:33:07:19 通常都是這樣，我們拿到這個數目，或我們這樣解決
00:33:07:19 00:33:11:00 有房子要建造
00:33:11:00 00:33:14:06 三個人來工作，一個人走了
00:33:14:17 00:33:18:11 跟著兩個人來工作，一個留下
00:33:18:11 00:33:19:19 其餘兩個跑掉
00:33:20:05 00:33:24:01 五個人來工作，兩個跑掉
00:33:24:09 00:33:26:16 所房子又怎能建好？
00:33:26:22 00:33:28:12 永遠不能
00:33:29:01 00:33:34:08 人這樣跑掉，房子怎能建好
00:33:34:08 00:33:35:12 就是這樣
00:33:35:12 00:33:38:16 這就是我們欠缺的合群
00:33:38:22 00:33:41:09 我在說所有印度人都必須找找
00:33:41:19 00:33:45:14 有沒有可以種植植物的地方
00:33:46:01 00:33:48:02 找一處可以
00:33:48:09 00:33:52:05 種一些榕樹的地方
00:33:52:16 00:33:55:11 一起澆水，一起把事情做好
00:33:55:19 00:33:58:00 現在的印度婦女已經能這樣做
00:33:58:00 00:34:01:01 她們在烹調方面做了
00:34:01:01 00:34:02:11 大量的工作
00:34:02:11 00:34:04:12 但其他工作仍然沒有做
00:34:04:20 00:34:06:17 其他是聰明才智
00:34:06:23 00:34:08:23 還有是思考
00:34:08:23 00:34:11:14 若他們每時每刻都在想︰
00:34:11:14 00:34:14:19 啊！我丈夫喜歡這些，我要為他烹調這些
00:34:14:19 00:34:19:00 若丈夫進食時要有…例如
00:34:19:00 00:34:20:09 檸檬
00:34:20:09 00:34:21:19 現在家裏沒有檸檬
00:34:21:19 00:34:24:01 這位婦女便會到處去
00:34:24:01 00:34:25:22 為她的丈夫找檸檬
00:34:25:22 00:34:27:19 否則他不會進食
00:34:27:19 00:34:28:12 不要緊
00:34:28:12 00:34:30:09 有時他不進食也沒有不妥
00:34:34:11 00:34:35:20 但婦女仍會嘗試
00:34:35:20 00:34:38:01 因為她們想，
00:34:38:08 00:34:39:12 她們明白
00:34:39:12 00:34:41:08 你必須要保持他們的味覺妥當
00:34:41:08 00:34:43:19 在印度，她們都很合情理
00:34:44:00 00:34:45:24 因為在這裏，他們是真正的老虎
00:34:45:24 00:34:47:19 所有丈夫都像老虎
00:34:47:19 00:34:50:02 所以你要不停的餵食他們，否則你便知道
00:34:50:02 00:34:52:17 天知道他會何時跳上你的身上
00:34:53:14 00:34:56:11 在英國或美國卻是相反
00:34:56:11 00:34:57:22 丈夫像山羊
00:34:57:22 00:35:01:05 婦女則像老虎
00:35:08:21 00:35:11:17 西化了的印度婦女也是一樣
00:35:12:02 00:35:13:13 當她們走到西方
00:35:13:13 00:35:16:19 就算是很單純的女士也會變得像老虎
00:35:17:00 00:35:19:21 真的很令人驚訝，她們怎能立即改變
00:35:20:02 00:35:22:16 就算並非穿上牛仔褲
00:35:22:16 00:35:23:22 她們就是
00:35:23:22 00:35:25:13 變成這樣
00:35:25:19 00:35:29:06 當人類
00:35:29:06 00:35:31:05 不明白自己是
00:35:31:05 00:35:33:13 母親大地的軸心
00:35:33:13 00:35:37:07 不是南回歸線或北回歸線----人類便會有這種不平衡
00:35:39:08 00:35:42:03 平衡是藉由我們的深度而來
00:35:42:03 00:35:44:08 我們要改善我們的深度
00:35:44:23 00:35:49:21 不是透過空談
00:35:50:04 00:35:52:01 空談霎哈嘉瑜伽
00:35:52:01 00:35:55:10 而是認真的靜坐
00:35:55:10 00:35:58:04 認真的入靜
00:36:02:03 00:36:05:07 第二，我們必須做一些集體的工作
00:36:05:17 00:36:08:13 現在在印度，例如，我們有建築師
00:36:09:12 00:36:12:04 他們從不用雙手觸碰任何東西
00:36:12:04 00:36:16:07 只坐著繪圖，你明白，只是這樣
00:36:16:18 00:36:18:12 繪畫後，喜歡怎樣就怎樣
00:36:18:12 00:36:21:04 現在他們有問題，實際的問題
00:36:21:12 00:36:23:16 他們甚至不懂釘一顆釘
00:36:24:06 00:36:28:17 他們就是你所稱呼的白領…
00:36:29:06 00:36:32:05 對用手做的工作完全不懂
00:36:32:13 00:36:35:00 他們不懂做任何手工藝
00:36:35:08 00:36:37:24 就算要他們抬起一張椅子
00:36:38:06 00:36:41:06 再把椅子伸展也辦不到
00:36:42:05 00:36:45:18 在這情況下，
00:36:45:18 00:36:50:05 對集體來說
00:36:50:13 00:36:53:08 我們是來自一個絕對富毀滅性的社會
00:36:53:08 00:36:55:00 所以我們要合群
00:36:55:08 00:36:57:14 讓我們一起做點事
00:36:57:24 00:37:01:00 印度的集體是太可憐
00:37:01:00 00:37:06:10 可憐到他們甚至沒有善待他們的妻子
00:37:07:14 00:37:09:14 沒有與他們的妻子
00:37:09:14 00:37:11:02 與他們的孩子好好說話
00:37:11:02 00:37:15:10 對他們來說，善待他們的妻子是完全不合乎正法(adharmic)
00:37:18:19 00:37:21:19 另一方面則是西方人
00:37:21:19 00:37:24:08 對集體過分關注
00:37:24:08 00:37:26:16 無論如何，他們也會嘗試妥協
00:37:26:24 00:37:29:18 嘗試令家庭生活妥當
00:37:29:18 00:37:32:13 所以這是兩個極端
00:37:33:22 00:37:37:22 儘管如此，不知為何，感謝印度婦女的智慧
00:37:38:05 00:37:39:24 令家庭生活很牢固
00:37:40:05 00:37:44:07 若你在英國看到這種男人
00:37:44:07 00:37:47:03 我可以告訴你，沒有人能忍受
00:37:47:03 00:37:49:21 印度男人對他們的婦女所做荒唐的事情
00:37:49:21 00:37:55:18 絕對容忍不了，他們這種言行是絕對不能原諒
00:37:56:02 00:37:59:07 男女之間的平衡
00:37:59:14 00:38:01:17 甚麽是軸心，就是家
00:38:02:22 00:38:04:06 家就是軸心
00:38:04:13 00:38:07:08 在家裏，你有怎樣的言論？
00:38:07:08 00:38:09:02 你想著甚麽？
00:38:09:02 00:38:10:14 你有甚麽問題？
00:38:10:21 00:38:12:11 你的注意力放在哪裏？
00:38:12:19 00:38:14:06 你在討論些甚麽？
00:38:14:24 00:38:16:19 你要清楚的看到這些是非常重要的
00:38:17:05 00:38:18:21 你因此能知道
00:38:19:02 00:38:21:02 甚麽發生在你的家庭
00:38:21:02 00:38:23:18 例如你們互相批評
00:38:24:05 00:38:27:11 若你向你的孩子說些批評丈夫的話
00:38:27:18 00:38:29:18 丈夫亦批評妻子
00:38:30:02 00:38:33:08 告訴孩子這些
00:38:35:21 00:38:38:03 批評的說話
00:38:38:03 00:38:39:20 若這種情況持續
00:38:40:01 00:38:41:03 甚麽會發生
00:38:41:03 00:38:44:15 這不可能是妥當的軸心
00:38:44:15 00:38:46:20 軸心是愛
00:38:47:22 00:38:49:06 軸心是愛
00:38:49:06 00:38:52:23 沒有剝削，沒有溺愛，只是愛
00:38:53:09 00:38:57:01 像我們的國家，你看到，我們擁有怎樣的軸心？
00:38:57:12 00:39:00:00 我們的國家的軸心是adhyatma
00:39:02:06 00:39:08:00 我們現在要克服對金錢
00:39:08:00 00:39:11:05 對社會發展，對這些那些的渴求，首先要有adhyatma
00:39:12:11 00:39:16:19 若人在得到自覺後社會才發展
00:39:16:19 00:39:20:20 那麽，在這裏創造另一個美國就不再是問題了
00:39:21:10 00:39:23:04 我們不需要成為共產主義者
00:39:23:04 00:39:24:20 不需要做這樣的事情
00:39:24:20 00:39:26:24 因為共產主義者就像美國人
00:39:26:24 00:39:29:18 他們本質上毫無分別
00:39:30:15 00:39:34:04 若一個美國人獲准留在俄羅斯
00:39:34:04 00:39:36:09 他的言行與俄羅斯人會完全一樣
00:39:36:09 00:39:38:01 若送一個俄羅斯人到美國
00:39:38:01 00:39:40:18 他的言行便與美國人一樣
00:39:41:12 00:39:43:04 完全沒有任何分別
00:39:43:04 00:39:48:18 若adhyatma的軸心，對任何國家的
00:39:50:10 00:39:54:01 靈性昇進有成就的人來說
00:39:55:10 00:39:59:24 變得最重要，亦已經成就了
00:40:00:06 00:40:02:07 那麽，任何的社會發展
00:40:02:13 00:40:04:13 任何種類的發展
00:40:05:01 00:40:08:15 也不能摧毀這個國家
00:40:08:15 00:40:10:06 也不會有戰爭
00:40:10:06 00:40:12:04 處處都會很和平
00:40:12:04 00:40:14:04 處處都有樂趣
00:40:14:04 00:40:16:20 所以在今天這Makar Sankrant的日子
00:40:17:01 00:40:19:18 讓我們現在就說Sankrant(災難)已經結束
00:40:19:24 00:40:23:04 我們期望新的年代的
00:40:23:04 00:40:24:11 新月能祝福我們
00:40:30:24 00:40:34:01 偉大的太陽來到
00:40:34:18 00:40:37:13 給予我們需要的能量
00:40:38:07 00:40:43:21 慶祝霎哈嘉瑜伽黃金年代的來臨
00:40:44:03 00:40:45:24 願神祝福你們
00:40:54:11 00:40:55:16 至於崇拜
00:40:55:16 00:40:57:17 Makar Sankrant 是一個小崇拜
00:40:57:17 00:41:01:13 是對太陽神蘇利耶(Surya Devata)的崇拜,我也不知道…
00:42:29:21 00:42:31:11 來自國外而
00:42:31:11 00:42:35:07 十一號之後仍留這裏的人
00:42:39:02 00:42:45:11 在十二號嗎？在十二號，十二號之後
00:42:46:11 00:42:52:09 一、二、三、四、五、六、七、八、九、十…
00:42:53:11 00:42:58:08 十七、十八、十九、二十
00:42:59:00 00:43:00:15 好，這樣吧
00:43:00:15 00:43:04:17 誰會在十一號後仍留在孟買？
00:43:12:18 00:43:14:22 這些人甚麽時候走？
00:43:15:12 00:43:18:09 有誰在十一號後還留在孟買
00:43:18:23 00:43:22:08 他們甚麽時候走？
00:43:24:09 00:43:28:00 你要去Pratishthan，好吧
00:43:28:09 00:43:31:00 約翰，你又怎樣？
00:43:45:00 00:43:49:00 想留在孟買嗎
00:43:49:00 00:43:51:04 又或你想留在Pratishthan？
00:43:55:23 00:43:57:23 我的意思是這裏沒有
00:43:57:23 00:44:02:08 為你們作任何安排，所有在十一或十二號
00:44:03:11 00:44:05:06 或短期內不離開的人
00:44:06:14 00:44:09:11 有多少人想多留一會兒？
00:44:18:23 00:44:22:03 大約三十四人，有多少男多少女？
00:44:28:23 00:44:33:01 我們決定男士到Pratishthan
00:44:33:09 00:44:36:09 女士則到Alibagh
00:44:36:09 00:44:39:15 因為Pratishthan 紀律性仍然很強
00:44:40:04 00:44:41:17 完全不適合女士
00:44:41:17 00:44:44:03 我住的地方只有一間房間
00:44:44:03 00:44:47:03 所以最好把所有女士送到…
00:44:55:11 00:44:57:06 讓她們到Alibagh
00:44:57:15 00:45:00:14 她們要支付留在Alibagh的費用
00:45:00:23 00:45:04:19 付給照顧她們的人
00:45:05:04 00:45:07:03 有多少人到Pratishthan？
00:45:07:09 00:45:10:22 大約五十位男士
00:45:12:12 00:45:13:20 五十位，好吧
00:45:14:17 00:45:18:08 你們甚麽時候回來？
00:45:22:11 00:45:25:11 你要明白，這是一種負擔
00:45:25:22 00:45:27:01 若想拍照
00:45:27:01 00:45:29:01 你可以到Pratishthan
00:45:29:11 00:45:31:15 但對我們這是一種負擔
00:45:31:15 00:45:33:23 你要明白，除非你回去
00:45:34:04 00:45:36:11 這會是我們的負擔
00:45:36:18 00:45:38:14 所以最好你可以到Pratishthan
00:45:38:20 00:45:41:04 拍一點照片，或做你想做的事
00:45:41:15 00:45:43:19 最好是你自己安排
00:45:44:01 00:45:46:14 因為這將是在國外
00:45:46:22 00:45:48:17 不然，這將是我們的負擔
00:45:50:11 00:45:52:00 他們跟隨著我們
00:45:52:16 00:45:55:08 我很抱歉，你必須與…
00:45:55:21 00:45:57:15 帶走你帶來的東西
00:45:57:24 00:46:00:18 你們要在三四天內完成
00:46:02:00 00:46:04:18 把照片拍好
00:46:04:24 00:46:06:11 快準備吧
00:46:07:00 00:46:09:16 那些留下來的女士
00:46:10:04 00:46:14:13 可以到Washi或Alibagh
00:46:14:24 00:46:16:08 到Alibagh較好
00:46:19:06 00:46:22:19 他們可以到Alibagh留下
00:46:23:00 00:46:25:03 有約十三四位女士
00:46:37:12 00:46:38:23 好吧，就這樣吧
00:46:38:23 00:46:42:05 現在就讓…Atharv Ganesha…
00:46:44:11 00:46:46:19 來自美國的二十一個人要離開
00:46:46:19 00:46:49:08 我們要盡快完成崇拜
00:46:49:17 00:46:51:14 他們便可以走了

