00:01:29:11 00:01:32:04 今天非常高興的看到
00:28:30:00 00:28:31:17 她們追上了八尺
00:28:32:01 00:28:35:20 把男人拉下來
00:28:36:03 00:28:38:21 走得比他們更遠
00:28:39:08 00:28:43:00 這完全超越了自我
00:28:43:10 00:28:49:03 因為女性通常都不會有這種自我
00:28:49:14 00:28:52:01 跟男士比試自我
00:28:52:10 00:28:55:08 女性便完全喪失作為女性的分際
00:28:55:17 00:28:57:13 沒有了女性的分際
00:28:57:22 00:28:59:23 男人有男人的分際
00:29:00:08 00:29:03:18 若男人的行為像女人，他便不是男人
00:29:04:00 00:29:06:19 同樣，如果女人行為像男人
00:29:07:02 00:29:10:21 她們便不再是女人。她們失去了分際
00:29:11:04 00:29:12:24 出了界，所以她們被亡靈附着
00:29:13:08 00:29:16:00 因此當女人是自我的
00:29:16:10 00:29:19:06 她們就變得可怕
00:29:19:23 00:29:22:22 她們的面容變得可怕，樣子看來很可怕
00:29:23:06 00:29:24:23 一切的言行舉止都可怕
00:29:25:06 00:29:28:11 她們變得像豆莖般乾巴巴
00:29:28:18 00:29:33:00 可以硬得如用鐵棒打你
00:29:33:08 00:29:36:09 他們說：「這個女人有鐵棒在手。」
00:29:36:18 00:29:40:00 這種情況的出現是因為我們有分際
00:29:40:09 00:29:42:04 我們有某類作風模式
00:29:42:14 00:29:44:21 如果它是玫瑰，它就是玫瑰
00:29:45:06 00:29:48:05 要為自己是朵玫瑰而高興
00:29:48:13 00:29:52:10 玫瑰卻想變成刺
00:29:56:12 00:30:00:04 我們因此便失去了分際
00:30:00:16 00:30:04:09 今天我會在開始前
00:30:04:18 00:30:06:21 向早到的人說
00:30:07:05 00:30:10:22 告訴女士們她們出了什麼問題
00:30:11:07 00:30:15:01 你們要知道西方的困境
00:30:15:12 00:30:19:15 不是源自男人，而是女人
00:30:21:07 00:30:26:03 女人破壞了西方社會
00:30:26:12 00:30:30:04 印度的女性卻令社會保持完整
00:30:30:13 00:30:35:13 我真的十分感謝她們對人生採取積極的態度
00:30:36:19 00:30:39:08 這個國家的女性
00:30:39:17 00:30:43:10 卻破壞了一切精緻的
00:30:43:19 00:30:47:12 富情感的，美麗的，愛、感情、慈悲
00:30:47:20 00:30:51:07 女性應給予整個社會喜樂
00:30:51:21 00:30:56:01 幸福、感情上的安全感
00:30:56:10 00:31:00:17 當她們接管：「這樣做，給予那個，那樣做，這樣做。」
00:31:01:04 00:31:05:00 即使丈夫們也變成家中的傭人
00:31:05:10 00:31:07:01 你沒有妥當地清理
00:31:07:11 00:31:10:16 你沒有妥當地清潔廚房
00:31:10:23 00:31:14:14 我到英國，很驚嘆廚房
00:31:15:02 00:31:17:20 及其他的清潔在英國做得那麼好
00:31:18:03 00:31:20:08 你們有各式各樣的清潔用品
00:31:20:14 00:31:22:02 我說：「為什麼會這樣？」
00:31:22:11 00:31:24:02 是男人，他們要幹這些活
00:31:24:09 00:31:28:04 所以找出一切程序方法來做
00:31:28:16 00:31:31:12 要閃亮的，對吧，你想要閃亮的
00:31:31:21 00:31:34:02 我給你拿來這些物品
00:31:34:10 00:31:36:07 如果你把它放在手上，手會燒傷
00:31:36:14 00:31:38:05 把酸性的用品每一處放
00:31:38:14 00:31:41:18 穿上大手套把酸性用品每一處放
00:31:42:05 00:31:44:00 一切便會清潔妥當
00:31:44:06 00:31:47:14 接著兒童受苦
00:31:48:00 00:31:51:10 因為這是園丁的工作
00:31:51:19 00:31:54:07 美麗的事物出現
00:31:54:17 00:31:56:06 要以慈愛來照顧它
00:31:56:14 00:31:59:22 但一開始你就過份縱容你的孩子
00:32:01:06 00:32:06:10 母親要像園丁，她要去修整
00:32:07:06 00:32:09:09 去修剪
00:32:09:20 00:32:11:01 這樣植物才能正常地生長
00:32:11:09 00:32:12:08 如果你縱容孩子
00:32:12:16 00:32:15:22 你便不是個好母親，一無事處
00:32:20:13 00:32:22:23 你把丈夫打扮好而不是你的孩子
00:32:23:09 00:32:24:09 情況剛剛相反
00:32:24:17 00:32:26:15 因為自我時常向着你的丈夫打扮
00:32:26:24 00:32:28:23 坐在這裡，去那裡，這是什麼？
00:32:29:06 00:32:31:00 錢銀問題：「給我所有錢
00:32:31:07 00:32:33:08 我保管所有錢，」一切事情
00:32:33:16 00:32:35:14 有人或許會說法規是如此
00:32:35:22 00:32:38:12 如果法規是愚笨的，女霎哈嘉瑜伽士
00:32:38:21 00:32:40:15 就不應該遵守
00:32:40:24 00:32:43:04 我告訴你，這些法規摧毀了你們
00:32:43:12 00:32:47:04 因為這是生命的重要元素
00:32:47:13 00:32:51:24 是生命的重要領域
00:32:53:19 00:32:57:08 不應讓它受苦
00:32:57:18 00:33:01:12 當感情、愛、仁慈
00:33:02:21 00:33:05:08 一切這些需求都欠缺
00:33:05:18 00:33:09:00 你的人生便變得沒有意義
00:33:09:11 00:33:11:12 沒有目標。你不知該怎麽辦
00:33:11:21 00:33:14:14 這就是孩子自殺的原因
00:33:17:03 00:33:19:21 愛是要修剪的
00:33:20:04 00:33:21:12 因此你要有智慧
00:33:21:21 00:33:23:04 但你仍未發展這個智慧
00:33:23:12 00:33:26:01 因為如果你追逐指責你的根輪
00:33:26:09 00:33:29:12 又怎會有智慧？
00:33:31:12 00:33:34:08 你受人愚弄
00:33:34:18 00:33:37:24 他們完全愚弄你，是我說的
00:33:38:23 00:33:41:19 你必須保持你的智慧完整無缺
00:33:42:05 00:33:44:16 他們不只愚弄你
00:33:44:23 00:33:48:05 還不惜降低身份來愚弄你
00:33:48:22 00:33:50:11 用迂迴的途徑
00:33:50:19 00:33:52:24 並不直接
00:33:54:06 00:33:58:00 作為霎哈嘉瑜伽士，我們都超越所有這些
00:33:58:07 00:34:00:22 我們已經到達它之上
00:34:01:05 00:34:02:21 我們來是要糾正
00:34:03:04 00:34:05:16 這個社會的錯事
00:34:05:23 00:34:07:24 因為霎哈嘉瑜伽面向社會
00:34:08:08 00:34:10:04 不只是面向自己
00:34:10:15 00:34:12:01 在這階段，我們要明白
00:34:12:09 00:34:13:09 我們要做的是︰
00:34:13:18 00:34:16:24 首先我們要有這種理解
00:34:17:08 00:34:21:17 即使是現在，這種霎哈嘉瑜伽運動的理解
00:34:22:02 00:34:24:24 女人意識不到她們要像女人
00:34:25:07 00:34:30:00 我見過她們仍然說︰「有甚麽錯？」這種情況持續著
00:34:31:01 00:34:35:22 男人也不明白他們要像男人
00:34:37:09 00:34:40:14 即使(經歷了很多事/過了這麽多年?)
00:34:42:03 00:34:44:11 若他們真的變得像男人
00:34:44:20 00:34:46:19 女人會欣賞他們
00:34:47:04 00:34:49:19 若你真的變得像女人
00:34:50:03 00:34:53:15 男人也會欣賞你
00:34:54:01 00:34:58:02 你要明白，異性相吸
00:34:58:13 00:35:01:06 這才正常
00:35:01:15 00:35:03:09 我們卻活得不正常
00:35:03:17 00:35:07:02 男人是女人而女人是男人
00:35:07:12 00:35:09:23 你該怎麽辦？
00:35:10:08 00:35:13:17 要男人明白
00:35:14:02 00:35:15:20 這是很重要的
00:35:16:03 00:35:18:06 因為我會遲一點才跟女人說
00:35:18:20 00:35:21:06 男人要變得像男人
00:35:21:16 00:35:24:19 他們要把事情糾正，他們要作決定
00:35:25:03 00:35:27:07 統治的是他們
00:35:27:16 00:35:32:14 這些都是外在的，事實上源頭是女人
00:35:32:24 00:35:35:15 女人是潛在的而男人是活躍的
00:35:35:24 00:35:38:13 例如，風扇在轉動
00:35:38:23 00:35:43:00 你可以說風扇的轉動是活躍的力量
00:35:43:10 00:35:45:24 但潛在的力量卻是
00:35:46:09 00:35:49:08 內在的電力
00:35:49:13 00:35:51:18 那才是源頭
00:35:52:01 00:35:55:14 那個力量比較高，轉動的風扇還是源頭？
00:35:55:23 00:35:58:21 就讓女人來決定而男人來理解
00:35:59:10 00:36:02:06 若源頭乾涸了，想變成風扇
00:36:02:13 00:36:04:07 風扇便不能轉動
00:36:04:18 00:36:07:13 本末倒置
00:36:07:24 00:36:10:21 若你意識到你是源頭
00:36:11:03 00:36:14:15 是你給予男人所有的shakti(力量)
00:36:14:23 00:36:17:19 你的行為便不會再像男人
00:36:18:06 00:36:20:17 不是說你不能出外工作，不是不能工作
00:36:20:24 00:36:24:06 而是要做一些比較適合女人的工作
00:36:24:14 00:36:28:01 就像我不喜歡女人做巴士司機
00:36:28:10 00:36:32:09 或貨車司機又或摔角手
00:36:39:01 00:36:42:20 不，不是我說的，是經驗說的
00:36:44:22 00:36:46:10 一次我出門
00:36:46:19 00:36:49:11 那時我還是個學生，在拉合爾
00:36:49:18 00:36:53:00 我坐火車，在一些火車站
00:36:53:08 00:36:56:03 火車晚上停下來
00:36:56:08 00:37:00:22 有個女士來說︰「開門給我。」
00:37:01:06 00:37:04:08 我說︰「火車擠滿了人，好吧，我試試，我試試。」
00:37:04:15 00:37:06:14 她接著說︰「若你不開門給我，我便破門而入。」
00:37:06:19 00:37:07:16 我說︰「你怎能這樣？」
00:37:07:23 00:37:09:09 她說︰「你知不知道我是誰？」我問︰「你是誰？」
00:37:09:16 00:37:11:03 她說：「我是Ahmida Bhanu。」
00:37:11:12 00:37:13:19 我說︰「誰是Ahmida Bhanu？」「女摔角手。」
00:37:14:02 00:37:15:16 噢﹗巴巴，感謝天
00:37:15:24 00:37:18:06 我說：「妳是女摔角手
00:37:18:13 00:37:20:07 為什麼來女士的車廂
00:37:20:16 00:37:23:21 而不去男士的？
00:37:25:02 00:37:27:18 她很猛烈地推開門走進來
00:37:28:00 00:37:29:06 我望着她，我說：
00:37:29:16 00:37:32:18 嘩！你這個人！
00:37:36:14 00:37:42:00 她坐下，你要明白，她的面容
00:37:42:09 00:37:45:20 她的一切，她的步伐和坐姿
00:37:46:02 00:37:47:04 一切都是那麼男性化
00:37:47:11 00:37:48:10 她那樣子坐下來，說：
00:37:48:20 00:37:51:09 那些說我不應坐在這裡的人來吧
00:37:51:17 00:37:54:11 我說：「沒有人想坐這裡，女士，妳舒服的坐下吧
00:37:54:20 00:37:56:08 我們會從另一個車廂
00:37:56:15 00:37:59:11 找些想摔角的人來
00:37:59:21 00:38:03:20 接著她靜下來，她真是
00:38:04:04 00:38:07:08 我見她全身肌肉都很發達
00:38:07:17 00:38:10:02 我可以說她看來
00:38:10:10 00:38:15:04 像頭西方的母牛
00:38:20:05 00:38:25:08 這裡的母牛像水牛，不像母牛
00:38:26:08 00:38:28:08 某些很有趣的情況，令我畢生難忘
00:38:28:16 00:38:31:08 我當時很年輕，我真的…
00:38:31:16 00:38:35:03 我也不知怎的，很想笑
00:38:35:10 00:38:39:13 卻不敢笑，怕她會打我耳光
00:38:41:13 00:38:44:13 就是這樣子，我們在這兒停下來
00:38:44:22 00:38:46:21 我們要知道自己要到達怎樣的程度
00:38:47:06 00:38:50:16 我們是否要成為摔角手？
00:38:51:17 00:38:54:18 就是這樣子
00:38:55:06 00:38:58:09 我們要了解這種情況存在已久
00:38:58:14 00:39:00:01 存在已久
00:39:00:08 00:39:05:00 我曾經見過，也曾讀過一些書，舊的書
00:39:05:07 00:39:06:13 亦看過一些電影
00:39:06:22 00:39:09:01 即使是從前也有顯示
00:39:09:10 00:39:11:00 女士們經常拿起掃帚
00:39:11:08 00:39:12:19 打她們的丈夫
00:39:13:03 00:39:15:11 我們亦有幸在印度有一些這樣的人
00:39:15:21 00:39:19:15 但數量非常、非常少，很少女士是那樣子的
00:39:20:13 00:39:24:09 不是大數量，但數量或許會增加，天曉得
00:39:24:18 00:39:26:02 不要管它吧
00:39:26:13 00:39:29:13 我要說這些事正在發生
00:39:29:23 00:39:33:03 男士的自我太大時，會偏向左喉輪
00:39:33:12 00:39:36:11 他們說：「不，讓女士處理吧，不要緊的
00:39:36:20 00:39:38:19 滿足一下她們吧。她們不再專橫
00:39:39:02 00:39:40:12 隨她們喜歡吧
00:39:40:17 00:39:42:06 她們做自己喜歡的事
00:39:42:15 00:39:46:12 男士並不受困擾，他們偏向左脈
00:39:46:21 00:39:49:07 享受不到婚姻或愛
00:39:49:18 00:39:52:18 昨天我們有另一個婚禮
00:39:53:01 00:39:56:15 為着你孩子的福祉和好處
00:39:56:23 00:40:00:09 你們要做好男女的角色
00:40:00:19 00:40:02:20 你們的角色是女性和男性
00:40:03:03 00:40:05:03 你們會享受
00:40:05:13 00:40:08:05 要在角色上爭吵
00:40:08:13 00:40:10:15 當男人想為妳做一些事情時，妳要說：
00:40:10:23 00:40:13:06 不，不，不，你怎能這樣做？我承受不起
00:40:13:17 00:40:14:22 讓我來做吧
00:40:15:06 00:40:16:21 我曾多次告訴你
00:40:17:05 00:40:18:22 當我的丈夫生氣時
00:40:19:04 00:40:22:11 他會自己洗內衣；他就是以這種方式來表達怒氣
00:40:22:19 00:40:27:18 又或是當他非常生氣時，他會清洗浴室
00:40:33:03 00:40:36:13 他做得很差
00:40:38:01 00:40:39:24 我一看就知道是他洗的
00:40:40:06 00:40:41:19 我想大笑，但卻不敢
00:40:42:02 00:40:45:01 因為我要維護他的心靈
00:40:45:16 00:40:49:13 然後他會以非常尊敬的
00:40:49:22 00:40:51:08 態度與每個人說話
00:40:51:17 00:40:54:02 「您」(Thou)，他叫每個人「您」
00:40:54:11 00:40:56:19 「您」他說：「您是這樣，您是那樣。」
00:40:57:04 00:40:59:24 我便知道他真的為某事而生氣
00:41:00:08 00:41:03:11 他卻不會說生什麼氣
00:41:03:20 00:41:06:08 我們要找出他為何生氣
00:41:06:18 00:41:10:15 若是如此，不要內疚，只要糾正它
00:41:11:24 00:41:14:07 接著他發現---你要明白有很多方法
00:41:14:16 00:41:16:22 可以中和憤怒
00:41:17:08 00:41:21:03 自我最先的表現就是憤怒
00:41:21:15 00:41:23:08 你們昨天結了婚
00:41:23:18 00:41:25:21 你們一定要懂得怎樣中和憤怒
00:41:26:06 00:41:28:02 因為自我仍然存在
00:41:28:10 00:41:31:18 找出怎樣中和他人的憤怒
00:41:32:01 00:41:34:17 是很美麗的事情
00:41:34:24 00:41:36:02 我從未見過你們的作家處理這個題材
00:41:36:10 00:41:38:06 在印度卻有很多作家
00:41:38:14 00:41:40:14 處理過這種境況
00:41:40:22 00:41:42:13 你要先找出
00:41:42:23 00:41:46:09 你的丈夫或
00:41:46:18 00:41:47:24 妻子的弱點
00:41:48:07 00:41:50:02 什麼會令他生氣不安
00:41:50:09 00:41:52:12 我們採取的態度是不要令她不安
00:41:52:18 00:41:53:23 不要令她生氣
00:41:54:06 00:41:56:14 妻子的態度亦一樣
00:41:56:23 00:41:58:14 丈夫更甚。
00:41:58:24 00:42:01:02 有哪些地方會令他
00:42:01:11 00:42:05:13 真的不安？研究一下，就是這樣簡單
00:42:06:06 00:42:07:20 拿它來開玩笑，不要太認真
00:42:08:03 00:42:09:16 只要小心避免它
00:42:10:00 00:42:13:07 還要找出有什麼會令他高興
00:42:13:17 00:42:16:09 例如我有時真的 --- 我從不生氣
00:42:16:16 00:42:18:11 你們都知道，我從不生氣，
00:42:18:20 00:42:22:09 但如果我表現得生氣，只為了…
00:42:31:10 00:42:35:02 該怎樣去顯示憤怒
00:42:35:11 00:42:38:18 怎樣去中和一個人的憤怒？
00:42:39:03 00:42:41:04 假設我現在很生氣
00:42:41:11 00:42:44:07 如果你放一個孩子在我的大腿上，就這樣，怒氣便會全消
00:42:44:18 00:42:47:24 當孩子坐在我的大腿上，我無法生氣，就是這樣簡單
00:42:48:08 00:42:49:15 所以你要找出來
00:42:49:19 00:42:53:15 像我的丈夫，如果他生氣
00:42:53:23 00:42:56:12 我知道若我跟他說
00:42:56:20 00:43:00:05 為我買一件漂亮的紗麗吧
00:43:00:14 00:43:03:14 呀﹗就這樣，他就非常高興
00:43:03:24 00:43:07:06 呀﹗我給了他最大的恩惠
00:43:07:16 00:43:09:17 如是者，你要找出有什麼
00:43:10:00 00:43:11:19 能討丈夫的歡心
00:43:12:03 00:43:14:11 有什麼能討妻子的歡心，再中和它
00:43:14:20 00:43:17:01 你們要明白，要學習這些生活的細節
00:43:17:09 00:43:18:18 這是生活的藝術
00:43:19:02 00:43:21:14 是霎哈嘉瑜伽士生活的藝術
00:43:22:01 00:43:23:04 這是生活的藝術
00:43:23:13 00:43:26:23 透過一些生活細節，你看到我是怎樣處理
00:43:27:07 00:43:29:08 你見過我演說
00:43:29:16 00:43:32:12 一些嚴肅的話題，在你們的笑聲中它便
00:43:32:21 00:43:34:19 在你們的腦海中留下印象
00:43:35:04 00:43:36:08 你就是要這樣做
00:43:36:17 00:43:38:15 因為幽默是其中一個最了不起
00:43:39:00 00:43:43:15 的方法令事情順利解決，也使人明白了解
00:43:43:23 00:43:46:02 亦不會傷害人
00:43:46:10 00:43:47:24 當你見到自己平和下來
00:43:48:06 00:43:50:20 事情就是這樣得到改善
00:43:51:03 00:43:53:04 夫妻首要是
00:43:53:11 00:43:54:12 能和睦相處
00:43:54:20 00:43:58:14 孩子才會感到妥當，每個人都感到妥當
00:43:58:23 00:44:01:04 那麽事情便能漸漸得到糾正
00:44:01:11 00:44:05:06 你們沒有責任互相糾正
00:44:05:16 00:44:07:20 如果你與非霎哈嘉瑜伽士結婚
00:44:08:02 00:44:09:04 而他又是糟透了
00:44:09:11 00:44:10:14 這又是另一回事
00:44:10:22 00:44:13:00 若兩個都是霎哈嘉瑜伽士在我面前結婚
00:44:13:07 00:44:15:06 應該是最容易的事
00:44:15:14 00:44:18:07 互相保護，互相照顧
00:44:18:14 00:44:20:16 要充滿信心
00:44:22:03 00:44:26:11 在印度，我要說我們的
00:44:26:19 00:44:29:10 婚姻制度的確有其特別之處
00:44:29:19 00:44:32:03 什麽發生了，你會很驚訝，有一次我到新加坡
00:44:32:10 00:44:34:18 在早期，我到美國
00:44:35:00 00:44:37:03 有一個極討厭的外交官妻子
00:44:37:12 00:44:39:11 帶醉來到靜坐班
00:44:39:22 00:44:42:06 因為她喝醉了，我們勸她離開
00:44:42:14 00:44:44:20 她卻告訴我們的首相英迪拉‧甘地(Indira Gandhi)
00:44:45:02 00:44:46:16 這個女士在做這類工作
00:44:46:23 00:44:48:18 她不應做這工作，她是個外交官妻子
00:44:49:02 00:44:51:15 地位崇高。」說三道四
00:44:51:23 00:44:54:03 英迪拉‧甘地不明所以地
00:44:54:09 00:44:55:13 對她的主要
00:44:55:19 00:44:57:09 助手Haksar說：
00:44:57:17 00:44:58:24 你告訴錫呂華茲塔瓦先生
00:44:59:06 00:45:02:08 不能這樣做，把她帶回來
00:45:02:18 00:45:04:02 總理收到
00:45:04:11 00:45:06:00 英迪拉‧甘地的訊息
00:45:06:08 00:45:09:00 就如同受到致命的打擊
00:45:09:09 00:45:11:00 他傳召我丈夫
00:45:11:09 00:45:14:03 致電給他說：
00:45:14:11 00:45:15:20 我們認為你要叫你的妻子回來
00:45:16:02 00:45:17:03 這就是發生的事。」
00:45:17:11 00:45:19:09 他說：「為什麼？為什麼要叫她回來？
00:45:19:16 00:45:21:03 她不喝酒、不抽煙
00:45:21:12 00:45:23:14 沒有犯任何錯。她是位最正派的女士
00:45:23:22 00:45:28:02 她很有尊嚴，知道自己在做什麼
00:45:28:09 00:45:29:22 她不問報酬的在做好事
00:45:30:05 00:45:33:05 沒有犯任何錯；你要我辭職也沒問題
00:45:33:13 00:45:34:18 但我不會叫她回來
00:45:35:02 00:45:36:21 他聽後很吃驚
00:45:37:07 00:45:40:16 因為如果他辭職，誰來做他的工作？
00:45:41:01 00:45:43:21 他是那麼能幹。單單說：「我會辭職。」
00:45:44:05 00:45:46:17 他們便全都嚇呆了
00:45:47:02 00:45:50:00 他是那麼有自信
00:45:50:21 00:45:52:14 我是從其他人得知此事
00:45:52:22 00:45:54:17 雖然總理因為接到首相的
00:45:55:00 00:45:59:20 訊息而被嚇死，嚇過半死
00:46:00:06 00:46:03:00 他之後退一步，同時亦內省
00:46:03:08 00:46:06:00 說：「我非常了解這位女士，她很有尊嚴
00:46:06:09 00:46:08:14 很正派；她堅守正道
00:46:08:22 00:46:10:20 我們不應干預她
00:46:11:04 00:46:13:13 那個傳口訊的傢伙Haksar
00:46:13:20 00:46:14:23 亦嚇了一跳
00:46:15:07 00:46:17:06 把驚嚇帶回給英迪拉‧甘地
00:46:17:15 00:46:19:17 從此之後她沒有
00:46:20:00 00:46:22:03 再干預我的工作
00:46:22:11 00:46:24:09 你會很驚訝，她不曾再干預
00:46:24:18 00:46:28:01 我丈夫就是這樣對我的工作又有信心又了解
00:46:28:10 00:46:29:09 你也應該有這份信心和了解
00:46:29:16 00:46:31:14 你要了解你的妻子，你的丈夫
00:46:31:22 00:46:33:24 他們不會做這樣那樣的事情
00:46:34:07 00:46:35:23 對孩子也一樣
00:46:36:07 00:46:37:22 你要對他們有絕對的信心
00:46:38:04 00:46:40:16 要知道他們怎麼樣，他們的情況
00:46:40:23 00:46:42:11 他們能到達的程度
00:46:42:19 00:46:45:20 這份信任，這份內在的了解
00:46:46:03 00:46:49:19 是通往祥和、愛和情感的道路
00:46:50:03 00:46:51:21 要彼此完全的信任
00:46:52:05 00:46:53:03 無論他們在哪裡
00:46:53:11 00:46:55:16 我都能有信心的說，無論你送我的女兒到哪裡
00:46:55:24 00:46:57:05 她們都不會過違反正道的生活
00:46:57:15 00:47:01:06 我的女婿亦然。但我可以告訴你
00:47:01:17 00:47:04:16 我的女兒不會想過違反正道的生活
00:47:05:00 00:47:07:23 無論你怎樣考驗她們
00:47:08:06 00:47:10:10 你對自己的孩子就是要
00:47:10:17 00:47:12:18 有這份信任
00:47:13:02 00:47:15:19 就如她們還小時
00:47:16:02 00:47:20:06 鄰居來說：「你的女兒，用我們的
00:47:20:16 00:47:23:16 花園來做早晨沐浴
00:47:24:00 00:47:26:17 我說：「什麼？我的孩子
00:47:27:03 00:47:31:01 即使你帶她們去，她們也不會進你的浴室
00:47:31:14 00:47:34:08 我即時給你二千盧比，現在
00:47:34:17 00:47:37:08 你叫他們進你的浴室
00:47:37:17 00:47:39:08 就這樣
00:47:39:16 00:47:42:08 我十分了解他們
00:47:43:15 00:47:46:01 如果有人說：「你的女兒拿走了一些東西。」
00:47:46:10 00:47:49:15 我十分了解她們，她們從不碰別人的東西
00:47:49:24 00:47:50:24 我十分了解她們
00:47:51:05 00:47:53:19 她們永不那樣子接受他人的恩惠
00:47:54:01 00:47:55:23 我十分了解她們
00:47:57:10 00:48:00:10 你們也應這樣了解你的孩子
00:48:00:20 00:48:02:22 不要在別人面前侮辱他們
00:48:03:06 00:48:05:24 建立他們的性格和尊嚴，說：
00:48:06:08 00:48:08:06 來吧，你是霎哈嘉瑜伽士
00:48:08:24 00:48:11:11 你很了不起，你會成為這樣，那樣
00:48:11:19 00:48:13:06 引導他們在正確的道路上
00:48:13:15 00:48:16:13 讓他們保持在那裡，尊重他們
00:48:16:23 00:48:19:10 不要縱容他們，不要縱容他們
00:48:19:17 00:48:21:01 我們通常都會縱容孩子
00:48:21:10 00:48:24:14 要麽是我們過分被溺愛，要麽是你過分溺愛他們
00:48:24:23 00:48:28:07 兩者都是錯的，這再次是自我在作祟
00:48:29:07 00:48:33:10 你要告訴他們怎樣與人分享，告訴他們怎樣分享
00:48:34:07 00:48:35:16 如果他們與人分享東西
00:48:35:23 00:48:37:16 你高興的是他們為別人付出
00:48:37:23 00:48:39:21 給東西別人。「把這個給他人
00:48:40:04 00:48:41:12 讓他人也能一起玩
00:48:41:18 00:48:43:08 你要顯示你因他能與人分享物品而高興
00:48:43:16 00:48:44:19 你自己也要給予別人
00:48:45:03 00:48:46:15 孩子自會學懂這種待人處世的態度
00:48:46:24 00:48:50:12 對霎哈嘉瑜伽而言，婚姻是很大的連繋
00:48:50:21 00:48:53:23 我們藉婚姻連繫在一起
00:48:54:08 00:48:57:05 這個社會的人婚姻生活都十分愉快
00:48:57:10 00:49:01:23 如果有人未能擁有理想的婚姻
00:49:02:05 00:49:04:05 最好忘掉它吧，沒關係
00:49:04:13 00:49:07:10 我見過一些六十歲的女士，我這把年紀
00:49:07:17 00:49:09:02 還要求結婚
00:49:09:08 00:49:12:04 沒錯，六十來歲的男女︰
00:49:12:12 00:49:14:02 母親，我只是六十歲，我想結婚
00:49:14:11 00:49:18:06 我說：「什麼？」我六十歲時擁有上千個孩子
00:49:18:15 00:49:20:07 你怎能說這種話？
00:49:20:15 00:49:22:21 我是說你不應該一生都當新娘
00:49:23:05 00:49:25:11 你應該是個母親和祖母
00:49:25:19 00:49:27:11 我認為四十五歲後不應再想結婚
00:49:27:17 00:49:31:14 這是荒謬的
00:49:32:22 00:49:35:08 四十五歲後
00:49:35:18 00:49:38:00 所有已婚的女士要知道，她們是母親
00:49:38:09 00:49:39:17 亦會成為祖母
00:49:40:01 00:49:42:09 但她們卻常常想當新娘
00:49:42:18 00:49:45:11 這就是婚姻失敗的其中
00:49:45:19 00:49:47:06 一個原因
00:49:47:14 00:49:49:09 因為你在三十歲或三十五歲之後
00:49:49:16 00:49:51:07 不再是新娘了
00:49:51:14 00:49:53:16 絕對是個母親
00:49:53:23 00:49:55:21 你是父親，你們是
00:49:56:03 00:49:56:23 孩子的父母
00:49:57:07 00:49:58:24 在我們的國家是那麼稱呼的：
00:49:59:08 00:50:00:18 在三十歲前
00:50:01:02 00:50:02:23 人們叫你們新娘，如doolai
00:50:03:07 00:50:04:06 但一旦你長大成人
00:50:04:16 00:50:06:18 沒有人再叫我的名字
00:50:07:00 00:50:09:16 他們只會把你叫作「卡巴那的媽媽」或「莎丹娜的媽媽」
00:50:10:00 00:50:12:21 即使我丈夫也被叫作「卡巴那的爸爸」
00:50:13:06 00:50:15:07 不會再叫他的名字
00:50:15:16 00:50:17:06 因為你成為父親或母親
00:50:17:14 00:50:18:13 接受這身分吧
00:50:18:22 00:50:20:15 但你卻不接受，這把年紀你仍想當新娘
00:50:20:23 00:50:25:03 你想要一張新娘要的床
00:50:25:11 00:50:28:01 睡房裡要有一切新娘有的物品
00:50:28:09 00:50:30:23 那不成的
00:50:31:08 00:50:33:19 因為妳不再是新娘
00:50:34:02 00:50:36:13 接著你想：「噢！這個男人變得無趣」
00:50:36:21 00:50:37:23 這個女人變得無趣
00:50:38:09 00:50:40:17 你便找另一個女人，另一個男人，情況持續著
00:50:41:00 00:50:42:11 之後你找孩子
00:50:42:18 00:50:44:18 破壞人的純真
00:50:45:02 00:50:48:22 如果你接受，正常地成長，成熟得如霎哈嘉瑜伽士
00:50:49:06 00:50:53:04 如父親和母親，如有尊嚴的人
00:50:55:08 00:50:58:06 夫妻關係並不是愛的
00:50:58:14 00:51:00:01 唯一來源
00:51:00:09 00:51:03:02 還有很多關係是愛的更大的來源
00:51:03:10 00:51:06:02 但要視乎你處於甚麽位置
00:51:06:11 00:51:09:09 當你是條小河，那還可以
00:51:09:18 00:51:13:13 但當你成為海洋，就要成為海洋
00:51:13:22 00:51:15:12 你成為大海，就要成為大海
00:51:15:19 00:51:18:00 當你成為海洋，你就要成為海洋
00:51:18:08 00:51:20:04 大海不能仍然像細小
00:51:20:14 00:51:23:24 細小河流的開端，它能嗎？
00:51:24:09 00:51:26:19 每個人同樣都要知道
00:51:27:01 00:51:30:03 要從這關係中成長
00:51:30:11 00:51:32:18 不應時常糾纏着
00:51:33:03 00:51:34:14 夫妻的事情
00:51:34:22 00:51:36:11 像四十五歲
00:51:36:20 00:51:40:08 還找丈夫，他們瘋了嗎？
00:51:40:18 00:51:45:02 這種情況在霎哈嘉瑜伽應該停止
00:51:45:11 00:51:48:08 那些超過某個年齡的人
00:51:48:16 00:51:50:24 不要再為婚姻來煩擾我
00:51:51:07 00:51:52:06 他們應要成為母親
00:51:52:13 00:51:53:20 有那麼多孩子要照顧
00:51:54:03 00:51:56:00 我們快有幼兒園，去那裡吧
00:51:56:08 00:51:58:00 什麼是同伴？
00:51:58:09 00:52:01:03 同伴是孩子，是孫子
00:52:01:13 00:52:04:02 是曾孫
