00:17:18:22 00:17:26:01 今天是在奥地利
00:46:39:23 00:46:45:03 这纯真洁净我们
00:46:46:03 00:46:49:12 这个「我」便会消失
00:46:49:18 00:46:54:01 原罪被冲洗
00:46:54:08 00:46:58:18 我们变成漂亮的存有
00:46:59:14 00:47:04:12 神自豪的孩子
00:47:06:01 00:47:12:04 也是创造的奖品
00:47:16:06 00:47:17:04 愿神祝福你们
00:47:17:04 00:47:18:18 葛雷瓜，你现在可以翻译
00:47:19:01 00:47:20:14 好吧，你可以翻译
00:47:20:14 00:47:22:12 我知道很长
00:47:22:18 00:47:24:12 但有时我发觉流畅…若不能保持…
00:47:24:12 00:47:27:03 (葛雷瓜︰很抱歉母亲，我不应打断你的讲话。)
00:47:27:09 00:47:29:03 不，没关系，没关系。
00:47:36:15 00:47:38:20 可以回放的，以这个背景
00:47:38:20 00:47:41:01 你可以…保持低调…
00:47:41:08 00:47:43:06 那么你便可以
00:47:43:12 00:47:45:08 很自然的说些话
00:47:45:08 00:47:48:20 这样可以吗？是否回放？
00:47:51:14 00:47:54:22 这样会给你一个正常的…
00:47:54:22 00:47:56:21 (葛雷瓜︰我正想说三分钟法文
00:47:56:21 00:47:58:04 三分钟意大利文
00:47:58:10 00:47:59:11 很浓缩的说)
00:47:59:18 00:48:00:10 你能？
00:48:00:10 00:48:01:10 (葛雷瓜︰可以，我能)
00:48:01:10 00:48:02:19 好吧。
00:53:51:01 00:53:54:14 很多人问我，之前也是
00:53:54:20 00:53:57:04 「母亲，为什么我们会变成这样？
00:53:57:12 00:54:01:03 神为什么不把我们创造成令我们能意识到自己
00:54:01:11 00:54:03:15 不犯这些错误？
00:54:03:15 00:54:09:00 为什么我们需要经历这个邪恶的循环？
00:54:10:01 00:54:12:06 那时候，我不想说
00:54:12:17 00:54:14:15 你曾经犯了原罪
00:54:15:00 00:54:16:09 曾经不服从神
00:54:16:15 00:54:18:22 否则，事情会以不同的途径成就
00:54:19:03 00:54:20:09 不会那么漫长
00:54:21:00 00:54:23:06 因为若你告诉他们，另一件事情便会发生
00:54:23:06 00:54:26:12 他们变得偏左脉
00:54:26:12 00:54:28:07 对原罪感到内疚，就是这样
00:54:29:17 00:54:32:23 所以我们要从自我跳到原罪那部分
00:54:33:07 00:54:37:23 但你却在逃避那部分。我们只可以说，开始时
00:54:38:04 00:54:41:15 若没有给你们自由，
00:54:41:15 00:54:44:04 进化是不可能发生。你要明白
00:54:44:04 00:54:46:04 最先测试的是自由
00:54:46:04 00:54:47:17 所以才给你自由
00:54:47:23 00:54:49:09 你住在一处好地方
00:54:49:15 00:54:53:17 完全得到神的保护
00:54:53:17 00:54:56:03 在伊甸园里，你可以说，
00:54:56:03 00:54:58:10 在漂亮的…每事每物都是极之美好
00:54:58:17 00:55:00:07 在那里，没有任何缺乏
00:55:00:07 00:55:02:12 尽管如此，人类，
00:55:02:12 00:55:03:21 当他们拥有自由
00:55:03:21 00:55:07:06 测试的只有自由
00:55:07:12 00:55:11:01 他们立即接受肮脏污秽的东西
00:55:11:07 00:55:13:21 神因此要改变
00:55:13:21 00:55:15:21 整个宏图大计
00:55:16:03 00:55:20:06 尽管他们拥有所有的恩赐，
00:55:20:12 00:55:23:23 肮脏污秽的事物对他们却仍是那么吸引
00:55:24:06 00:55:27:12 我们可以说，所有仇恨，
00:55:27:12 00:55:29:21 所有畜牲的感觉
00:55:30:07 00:55:32:06 对人类仍然很吸引
00:55:32:06 00:55:35:21 这是最令人惊讶的
00:55:35:21 00:55:37:21 当这些事情发生
00:55:38:03 00:55:39:23 很自然，自由必须
00:55:39:23 00:55:42:17 必须通过改善的测试
00:55:43:00 00:55:48:18 这个测试是整个创造
00:55:48:18 00:55:50:00 必然发生的
00:55:50:00 00:55:51:22 要告诉他们
00:55:51:22 00:55:54:14 是原罪令问题产生
00:55:54:21 00:55:55:16 他们却认为︰
00:55:55:16 00:55:58:08 「天啊！你为什么创造原罪？」
00:55:58:14 00:56:01:00 因此，还是告诉他们，这是进化过程中
00:56:01:10 00:56:04:03 无可避免的
00:56:04:10 00:56:06:03 你的自由必须受测试，
00:56:06:11 00:56:08:17 因为若你想拥有
00:56:09:03 00:56:10:22 超级的自由
00:56:11:03 00:56:12:06 你必须先知道
00:56:12:13 00:56:14:00 你是否可以承受它
00:56:14:08 00:56:15:17 再看看是否，
00:56:18:11 00:56:20:02 所以，进化要花很多年
00:56:20:10 00:56:23:06 才能成长，才能明白
00:56:23:13 00:56:25:17 人类不能承受任何事物，他们不能承受自由
00:56:26:00 00:56:28:05 不能承受金钱，不能承受权位
00:56:28:11 00:56:30:21 不能承受舒适，也不能承受任何事物
00:56:31:05 00:56:33:06 这和我们现在在霎哈嘉瑜伽看到的一样
00:56:33:13 00:56:35:24 当他们感到舒适，他们只是再次坐下
00:56:36:24 00:56:39:13 当他们得到物质上的祝福
00:56:39:22 00:56:42:14 这些事情便会再发生，同样
00:56:42:22 00:56:45:11 伊甸园又再回来
00:56:45:17 00:56:47:08 当它回来，
00:56:47:19 00:56:50:08 你再次回到同一阶段，这不是好事
00:56:50:16 00:56:54:05 你必须明白，你要变成最高
00:56:54:13 00:56:55:21 你要掌握一切
00:56:56:02 00:56:57:13 没有甚么是重要的
00:56:57:21 00:56:59:08 只有灵是最重要
00:56:59:14 00:57:00:21 只有这样才可以摆脱…
00:57:00:21 00:57:04:02 这也是对你的一种诱惑，你知道
00:57:04:16 00:57:07:18 所有临到你身上的祝福都是诱惑
00:57:07:24 00:57:08:23 你必须准备妥当
00:57:08:23 00:57:12:24 没有甚么比灵更重要
00:57:12:24 00:57:16:18 我们为到达灵而做好准备
00:57:17:04 00:57:20:02 不介意拥有怎样的恩赐和一切其它
00:57:20:09 00:57:22:15 想要的只是灵的自由，
00:57:22:21 00:57:24:21 它不渴求任何东西
00:57:25:07 00:57:27:06 不渴求物质上的东西
00:57:27:15 00:57:30:09 你会像一盏灯
00:57:30:20 00:57:32:16 发出光
00:57:32:23 00:57:34:24 甚么类型的灯没关系
00:57:35:06 00:57:37:13 无论它是金的，银的或其它物料所造的
00:57:38:18 00:57:42:18 都可以燃烧，都可以发光，就算是泥造的也一样
00:57:42:18 00:57:45:02 这是霎哈嘉瑜伽士要成就
00:57:45:08 00:57:48:17 要明白的。这是非常危险的阶段
00:57:48:24 00:57:51:16 我发觉人们再次漂走.
01:02:03:01 01:02:05:20 现在我们要谦卑，说︰
01:02:06:12 01:02:09:18 我甚么也不知道，母亲，到目前为止，我要知道
01:02:10:00 01:02:12:04 因为这是根源的知识
01:02:12:12 01:02:13:12 是你不知道的
01:02:13:20 01:02:14:23 对你这是新的知识，你又怎可以质疑？
01:02:16:00 01:02:17:09 你甚么也不知道
01:02:17:15 01:02:20:00 你必须认识这根源的知识
01:02:20:06 01:02:21:12 所以要谦卑
01:02:21:22 01:02:25:11 只有这样你才能接受从新的成长而来的祝福
01:02:25:19 01:02:31:05 这是向内的，内在的成长，是Antar-Yoga
01:02:31:12 01:02:34:11 除非你谦卑，否则便不能成就
01:02:34:17 01:02:35:17 你必须谦卑
01:02:35:23 01:02:38:17 因为当你发问
01:02:38:17 01:02:40:17 是你的自我在发问
01:02:40:23 01:02:43:06 所以要谦卑，在内里成长
01:02:43:14 01:02:48:20 深入根源的知识
01:02:50:08 01:02:55:08 很惊讶的只有在印度
01:02:55:16 01:02:57:11 人们才真正追寻这知识
01:02:57:17 01:02:59:15 他们已经追寻得很深
01:02:59:23 01:03:02:16 这就是为甚么每一个人都走到印度
01:03:02:22 01:03:05:08 甚至基督也来到印度
01:03:05:16 01:03:10:14 去了解人们是怎样追寻到，去支持他们，帮助他们
01:03:10:20 01:03:16:11 这是很重要的根源的知识，必须在一处比较
01:03:16:17 01:03:20:12 可能成就到的地方去成就
01:03:21:00 01:03:23:16 一处根源不容易受骚扰的地方
01:03:23:22 01:03:26:03 就是这个国家，印度
01:03:26:09 01:03:27:22 在这里，人们寻找
01:03:28:03 01:03:29:22 当他们再次向外生长
01:03:30:03 01:03:31:15 他们变得愚蠢和笨拙
01:03:31:15 01:03:34:06 我们只看到他们的外表
01:03:34:16 01:03:38:08 看不到先知们在印度
01:03:38:17 01:03:41:11 做了怎样了不起的工作，非常了不起，
01:03:41:22 01:03:44:08 我的意思是你只要接纳他们任何一位
01:03:44:08 01:03:46:01 便足够令你对霎哈嘉瑜伽有详尽完整的概念
01:03:46:08 01:03:50:14 就拿一个简单的人为例，一个很简单的人
01:03:50:23 01:03:56:08 像赛乃夫(Sai Nath)，他是，看看他，简单的人
01:03:56:14 01:03:58:22 但他拥有巨大像海洋般的知识
01:03:59:08 01:04:01:09 他并无受过教育
01:04:01:16 01:04:03:19 没有人知道他在哪里出生，甚么发生在他身上
01:04:03:19 01:04:06:11 他来自哪里，住在哪里
01:04:06:17 01:04:08:14 怎样活到这把年纪
01:04:08:14 01:04:12:09 没有人知道他的背境。
01:04:12:22 01:04:15:14 又或举商鞨罗大师(Adi Shankaracharya)为例
01:04:15:20 01:04:19:08 或你可拿伽比尔(Kabira)或任何一位为例
01:04:19:16 01:04:21:17 又或Machindranth
01:04:22:01 01:04:25:08 若你阅读Machindranath，你不会明白
01:04:25:15 01:04:29:23 你会以为他说的是神秘的知识
01:04:30:22 01:04:32:12 这是一份巨大的工作
01:04:32:19 01:04:35:22 他们完全进入左面和右面，做着各种的事情
01:04:37:03 01:04:38:23 各种的实验
01:04:39:05 01:04:41:23 若你阅读他们写有关NavNaths的书籍，
01:04:41:23 01:04:44:11 九个Nathas和有关Machindra的一生
01:04:44:19 01:04:49:11 Machindranath是很有深度的
01:04:49:23 01:04:52:03 他找出多处女士是统治者的地方
01:04:52:09 01:04:55:23 我想那必定是在比利时某处
01:04:56:19 01:04:58:01 那里妇女是统治者
01:04:58:08 01:04:59:22 而丈夫则只是庸才
01:04:59:22 01:05:03:04 他发现各种事物，他发现甚么发生了
01:05:03:11 01:05:05:17 以及他怎样尝试去治好它。
01:05:06:03 01:05:08:03 这是移向另一个方向的动作
01:05:08:09 01:05:09:23 根源的方向
01:05:10:04 01:05:12:17 根源怎样在各处生长成可怕的树木
01:05:12:17 01:05:17:01 这就是他怎能成就到。
01:05:17:01 01:05:22:04 这些都具有象征意义，要明白他的工作
01:05:22:12 01:05:24:18 你真的要非常有深度
01:05:24:24 01:05:29:04 非常深入的渗透入内
01:05:29:24 01:05:34:03 到目前为止，人类的脑袋仍然没有能力
01:05:34:09 01:05:35:23 看到他们已完成的大量工作
01:05:36:04 01:05:37:17 没有可能看到
01:05:37:24 01:05:41:04 就如你读到商鞨罗大师的描述
01:05:41:10 01:05:43:20 或是麦根迪亚(Markandeya)对母亲的描述
01:05:44:19 01:05:48:22 是那么不平凡，他怎会看到这些细节
01:05:48:22 01:05:50:15 从哪里，从哪个角度
01:05:50:24 01:05:55:24 母亲的细微事情他都看到
01:05:55:24 01:05:57:18 如孩子般看到。
01:05:57:24 01:06:00:04 你看，绝对亲近母亲
01:06:00:10 01:06:04:07 这代表纯真是完整和完美的
01:06:04:16 01:06:07:01 否则你不能看到他们所看到的
01:06:07:10 01:06:09:19 所有细节，像母亲的三重面相
01:06:10:02 01:06:11:05 别人怎能看到？
01:06:11:11 01:06:14:16 但孩子却看到母亲的三重面相，就在这里
01:06:14:24 01:06:17:00 在她的身上
01:06:17:07 01:06:19:02 只有孩子能看到
01:06:19:11 01:06:21:04 这是了不起的，我告诉你
01:06:21:04 01:06:23:07 这是了不起的，这纯真，
01:06:23:07 01:06:26:13 他们的洞悉力，他们的勇气
01:06:26:19 01:06:29:24 需要有真正的勇气才能成长到达这种洞悉力
01:06:30:07 01:06:34:10 纯真是我们首先要达到的
01:06:34:21 01:06:38:11 它不应是藉由基督或藉由格涅沙才有的
01:06:38:19 01:06:40:21 是你必须拥有纯真
01:06:41:02 01:06:44:02 意思是你是，你是纯真
01:06:44:08 01:06:45:22 你不需要这样说，
01:06:46:05 01:06:48:05 你不需要通过别人而拥有纯真
01:06:48:11 01:06:53:19 你就是这样，你直接就拥有它
01:06:54:08 01:06:57:21 这些只是为没有自觉
01:06:58:02 01:06:59:18 愚蠢和
01:07:00:01 01:07:02:16 不能直接达到的人而设
01:07:02:22 01:07:04:15 你们全都能直接达到它
01:07:04:15 01:07:06:18 这是你的福份，对你最伟大的事
01:07:06:24 01:07:09:07 是可以直接达到
01:07:09:15 01:07:12:16 你必须到达这个纯真的位置
01:07:12:16 01:07:15:19 藉此你变得精微，变得Sukshma
01:07:16:01 01:07:19:02 因为纯真是最精微的，
01:07:19:02 01:07:23:16 你进入各领域去认识根源的知识，
01:07:24:05 01:07:27:07 生命之树的知识
01:07:27:15 01:07:31:13 这不是给予愚蠢、自我、荒唐的人
01:07:31:13 01:07:33:22 我告诉你，他们都变成恶魔，他们是恶魔
01:07:34:08 01:07:36:02 我们不会走他们的路
01:07:36:11 01:07:37:24 要走另一条路
01:07:37:24 01:07:40:10 我们内在要谦卑
01:07:40:19 01:07:43:07 要尝试唤醒你的纯真
01:07:43:21 01:07:46:13 这是神圣的纯真
01:07:46:22 01:07:48:14 pavitra，你内在的纯真
01:07:56:10 01:08:01:15 很令人惊讶，梵文是没有纯真这词汇
01:08:02:08 01:08:05:19 因为对他们来说，无论甚么是神圣，吉祥，全都包括在内
01:08:06:01 01:08:09:05 梵文是没有独立一个字讲纯真
01:08:09:05 01:08:13:24 他们不能想象
01:08:14:05 01:08:15:22 纯真可以凭空的存在
01:08:16:04 01:08:19:01 纯真必须是内在的
01:08:19:07 01:08:24:01 就像杯子，只能像这样盛水
01:08:24:07 01:08:25:10 他们想不到
01:08:25:16 01:08:29:04 想不到水可以悬挂于空中
01:08:29:10 01:08:30:24 必须有杯子来盛水
01:08:31:08 01:08:33:01 他们只会说︰「吉祥的时间」
01:08:33:13 01:08:36:13 「吉祥的人」
01:08:36:21 01:08:40:18 「吉祥的东西」，「吉祥的晚上」
01:08:41:01 01:08:42:07 「吉祥的日子」
01:08:42:13 01:08:47:11 容纳每事每物
01:08:47:18 01:08:49:11 容器，像容器
01:08:49:21 01:08:52:10 有纯真的容器
01:08:52:18 01:08:56:16 吉祥也一样，吉祥是形容词
01:08:58:07 01:09:03:16 不会说
01:09:03:16 01:09:05:21 这是实质的纯真，Shubbha
01:09:06:02 01:09:08:02 Shubbha是形容词
01:09:08:08 01:09:11:08 纯真没有名词
01:09:11:08 01:09:14:08 可以有纯真，
01:09:15:13 01:09:16:22 但纯真单独并不存在
01:09:16:22 01:09:20:02 纯真存在于每一处
01:09:21:11 01:09:22:15 这是很广阔的概念
01:09:22:22 01:09:26:19 这是宇宙大我格涅沙广阔的概念
01:09:27:04 01:09:30:24 若祂是整个宇宙大我
01:09:31:11 01:09:34:08 你又怎能把它贬低为纯真？
01:09:36:07 01:09:38:18 是那么精微
01:09:38:24 01:09:42:21 过于精微去变成名词
01:09:44:07 01:09:46:04 因为它过于精微。
01:09:46:13 01:09:48:21 我们要变得这样精微
01:09:51:13 01:09:53:10 愿神祝福你们
01:10:22:19 01:10:25:16 你们可以开始清洗我的莲足
01:10:26:16 01:10:29:09 首先，我们要做的
01:10:29:16 01:10:32:13 有谁未曾为我清洗双脚
01:10:32:19 01:10:44:17 请举手。到目前为止，他未曾为我洗脚？
01:10:47:05 01:10:49:16 好来吧
01:32:05:10 01:32:07:16 二十一个名号
01:32:08:07 01:32:10:06 这是锡吕‧毗湿奴的二十一个名号
01:32:10:14 01:32:16:10 是你的进化的面向
01:32:17:00 01:32:18:08 也是你的正法的面向
01:32:18:22 01:32:21:13 首先是持守，跟着是进化
01:32:22:14 01:32:26:22 是你内在的父亲
01:32:27:08 01:32:32:13 因为你们都追寻进化
01:32:33:17 01:32:37:22 所以这二十一种力量被召唤
01:32:38:03 01:32:45:05 神的二十一种父性的不同面向
01:32:45:05 01:32:47:00 二十一种力量
01:32:48:03 01:32:52:14 这二十一个名号
01:32:52:22 01:32:56:07 代表你内在二十一种进化的力量
01:32:58:19 01:33:01:13 中脉有
01:33:02:10 01:33:04:05 二十一个力量。
01:33:07:13 01:33:10:24 你可以翻译，译成法文吧
01:33:14:14 01:33:17:20 毗湿奴，毗湿奴，这是毗湿奴的力量
01:33:18:01 01:33:20:00 或我你可以说，Narayana
01:33:20:00 01:33:21:21 毗湿奴是父亲
01:38:50:06 01:38:52:04 这是过渡期(Krita Yuga)
01:38:52:04 01:38:55:10 Krita代表当它很有效率
01:38:56:21 01:38:58:17 当它很有效率时
01:38:58:23 01:39:00:21 事情就可以成就，这是Yuga
01:39:00:21 01:39:02:10 能够成就事情的时候
01:39:02:17 01:39:03:24 Krita Yuga
01:39:04:06 01:39:06:15 这是在纷乱期(Kali Yuga)与完满期(Satya Yuga)
01:39:06:15 01:39:08:01 之间的特别时刻
01:39:08:07 01:39:10:24 这时候事情可以成就
01:39:11:06 01:39:12:23 工作可以完成
01:39:13:06 01:39:14:06 在救赎的时刻
01:39:14:06 01:39:15:12 你的手也会说话
01:39:15:18 01:39:19:09 就是这样，你明白了。把它翻译吧
01:39:20:09 01:39:23:04 Krita Yuga，Kri意思是去做
01:51:35:11 01:51:38:20 Svatojayte，意思是原则
01:51:39:02 01:51:42:20 你唤醒宇宙的原则
01:51:43:16 01:51:46:22 宇宙的原则，
01:51:47:03 01:51:52:09 pratye代表你分享经验
01:51:52:22 01:51:56:19 所以这原则是他引起的
01:51:57:05 01:51:59:19 他也分享经验
01:52:12:05 01:52:15:13 Pratye是获得证实的经验
01:52:18:15 01:52:21:19 证实你存在，
01:52:22:01 01:52:25:08 你给予pratye，意思是你分享经验
01:52:25:18 01:52:28:05 证明你存在
02:02:55:05 02:02:58:01 应该是，「在人身上的神明」这样好一点
02:02:58:15 02:03:00:15 在人里面的神…
02:03:04:10 02:03:06:15 祂绝不可能是人
02:03:07:07 02:03:09:07 你怎可以称呼祂呢？
