00:07:31:12 00:07:39:17 我向所有真理的追寻者致敬
00:32:17:24 00:32:19:21 明天我会告诉你们多一点灵的资料
00:32:20:06 00:32:23:02 我想今天已经足够了
00:32:23:09 00:32:25:04 我们必须有…
00:32:30:05 00:32:31:16 我想若你喜欢
00:32:31:16 00:32:34:24 我们可以有一节给自觉
00:32:34:24 00:32:36:08 不用花很多时间
00:32:36:17 00:32:39:08 你先要准备好，只要请求 
00:32:39:16 00:32:40:17 便会得到
00:32:41:16 00:32:45:00 当然你必定有很多问题
00:32:45:08 00:32:46:23 上次我来马德拉斯时
00:32:47:04 00:32:49:03 全部时间都花在回答问题
00:32:49:09 00:32:51:10 不停的答问题，问题，问题
00:32:52:06 00:32:55:06 但现在我请求你们，若你们有任何问题
00:32:55:13 00:32:57:24 把问题放下吧，你可以写给我
00:32:58:18 00:33:00:21 明天我会解答你们全部的问题
00:33:00:21 00:33:02:08 但现在 
00:33:02:18 00:33:06:00 可以的话，请先得到自觉
00:33:06:00 00:33:09:10 很感谢你们
00:34:46:07 00:34:48:01 若你想出外五分钟
00:34:48:09 00:34:49:18 可以出外再回来
00:34:49:24 00:34:52:21 这是可以的，但不要说话，就是这样
00:35:32:03 00:35:35:00 我没有告诉你
00:35:35:00 00:35:40:17 印度的第三种取向
00:35:41:11 00:35:44:00 是Nath Panthis 
00:35:44:24 00:35:46:24 耆那教(Jain)有Adi Nath 
00:35:48:02 00:35:53:17 分裂由此开始
00:35:56:19 00:36:01:17 一位导师应该只传授知识给一个门徒-
00:36:03:21 00:36:06:09 就像阇拿迦(Janaka)只有Nachiketa 一个门徒
00:36:09:13 00:36:11:18 直至格涅殊哇(Gyaneshwara)的时代
00:36:12:07 00:36:15:19 即十二世纪
00:36:19:21 00:36:22:16 Gyaneshwara格涅殊哇
00:36:26:10 00:36:32:11 是他的亲兄弟Nivritinath的门徒
00:36:32:11 00:36:34:09 他们都受了很多苦
00:36:36:01 00:36:39:22 他向Nivritinath作出一个请求
00:36:40:09 00:36:43:24 请让我把真理向大众透露
00:36:44:10 00:36:46:04 我只告诉他们
00:36:46:10 00:36:47:07 什么也不会做
00:36:47:13 00:36:48:21 只告诉他们真理
00:36:51:06 00:36:53:12 因为
00:36:53:23 00:36:55:03 在一千三、四百年前
00:36:55:10 00:36:58:09 Markandeya曾经描述灵量
00:36:58:09 00:37:02:16 跟着是商羯罗大师，他也有描述灵量
00:37:03:07 00:37:05:08 全都是用梵文
00:37:05:16 00:37:08:11 梵文的真我知识仍未
00:37:09:03 00:37:10:23 开放给大众
00:37:11:06 00:37:14:12 懂梵文的人
00:37:14:12 00:37:20:08 却不想得到真我的知识
00:37:21:07 00:37:27:16 所以这知识一直都是秘密
00:37:28:13 00:37:32:10 他这样请求，跟着他写了格涅殊哇文集(Gyaneshwari)
00:37:34:08 00:37:42:02 格涅殊哇文集是马拉塔语的「薄伽梵歌」
00:37:42:17 00:37:47:11 他把它扩展，还以很多诗文作装饰
00:37:48:19 00:37:52:09 在格涅殊哇文集的第六章
00:37:52:20 00:37:54:00 他清楚的描述灵量
00:37:55:17 00:38:02:03 第六章是那么的残缺不全
00:38:02:13 00:38:05:06 被称为nishiddha 
00:38:05:06 00:38:09:07 那些所谓
00:38:09:07 00:38:12:03 掌管宗教
00:38:12:11 00:38:13:22 掌管升进的人
00:38:18:08 00:38:20:20 没有阅读它
00:38:21:05 00:38:22:24 他们说︰「你不要读这章书
00:38:23:06 00:38:24:22 否则你便自找麻烦
00:38:25:05 00:38:28:11 所以这章节被列为禁书
00:38:29:03 00:38:31:03 没有人想知道它的内容
00:38:31:12 00:38:34:03 之后Nath Panthis 成长了
00:38:35:07 00:38:37:12 还有伽比尔(kabira)
00:38:38:09 00:38:39:20 那纳克(nanaka)
00:38:43:15 00:38:45:02 他谈及khalis 
00:38:46:12 00:38:48:07 那纳克谈及khalis 
00:38:48:21 00:38:51:05 意思是纯洁，即nirmal 
00:38:51:18 00:38:53:16 霎哈嘉瑜伽士是nirmal(纯洁)
00:38:58:07 00:39:02:13 若任何人滥用了什么
00:39:04:13 00:39:06:11 它清楚的显示
00:39:07:09 00:39:09:12 圣人不能这样
00:39:10:00 00:39:12:14 纯洁的人不会这样
00:39:13:04 00:39:15:09 不能有暴力
00:39:15:20 00:39:17:17 它是爱
00:39:19:03 00:39:22:02 爱是
00:39:22:15 00:39:24:23 不用回报(nirvaj)
00:39:25:09 00:39:28:01 爱是没有界限
00:39:28:13 00:39:30:15 爱是
00:39:30:24 00:39:32:13 一视同仁的
00:39:34:04 00:39:37:10 就如植物的能量向上升
00:39:38:10 00:39:40:19 我是说树液向上升
00:39:41:02 00:39:43:20 到达树的不同部位
00:39:44:22 00:39:48:01 到叶子，到树枝
00:39:50:14 00:39:53:07 到花朵，到果实
00:39:54:06 00:39:55:10 再回来
00:39:56:20 00:39:58:18 它不会依附树的任何部分
00:40:00:04 00:40:02:01 若你黏贴着其中一部分
00:40:02:18 00:40:10:00 那部分会死亡
00:40:10:00 00:40:13:07 树也会死亡
00:40:14:07 00:40:19:05 所以你们必须明白，所有伟大的降世神祇
00:40:19:14 00:40:21:05 先知、预言家
00:40:21:19 00:40:25:05 他们来到地球都是来自同一棵生命之树
00:40:26:12 00:40:27:23 你必须相信他们
00:40:28:04 00:40:29:06 若你相信他们
00:40:29:12 00:40:31:04 他们全部人
00:40:31:12 00:40:33:14 又怎会有争吵？
00:40:33:14 00:40:36:08 那些只相信其中一位的人必会争吵
00:40:36:17 00:40:39:00 这就是他们为什么不喜欢我们
00:40:39:11 00:40:43:23 因为我们相信他们全部人，并不单是信仰
00:40:44:23 00:40:46:19 而是真理
00:40:52:14 00:40:57:03 我现在要告诉你，这是一个活生生
00:40:57:10 00:41:00:10 的进化过程，是最后的突破
00:41:01:13 00:41:04:18 你什么也没有做就成为人类
00:41:05:05 00:41:07:11 同样，它也是毫不费力
00:41:07:24 00:41:09:04 自然而然的(sahaj)
00:41:09:15 00:41:14:05 我唯一要告诉你的是你可以怎样滋润你的能量中心
00:41:14:17 00:41:17:19 让灵量更容易通过
00:41:18:06 00:41:20:14 很简单，你们全部人都必须要这样做
00:41:22:02 00:41:24:20 就在现在，不用看着他人
00:41:25:05 00:41:26:22 只看着自己
00:41:27:12 00:41:29:00 请脱掉鞋子
00:41:29:11 00:41:31:21 这会比较好，因为要感觉大地之母
00:41:32:06 00:41:34:12 是她每时每刻都吸走
00:41:34:20 00:41:35:18 我们的问题
00:41:40:13 00:41:43:08 特别是这个瑜伽大地(yoga bhoomi)
00:41:43:23 00:41:47:04 我们不知道自己在这个国家出生有多伟大
00:41:48:04 00:41:50:11 他们却弄得一团糟，不要紧
00:41:51:08 00:41:53:02 若Ram Raja要来，祂必定会来这里
00:41:53:17 00:41:57:02 不是以政治的方式，而是以灵性的方式
00:42:06:00 00:42:07:23 (它常常往下跌
00:42:08:12 00:42:11:10 你可以向上推，但它又跌下
00:42:12:18 00:42:16:09 现在好了，它会留在这里
00:42:17:09 00:42:20:21 好一点了，谢谢。)
00:42:25:04 00:42:28:02 就如我告诉你，你什么也不用做
00:42:28:11 00:42:31:19 不用停止思绪
00:42:33:02 00:42:36:11 不用花任何力气
00:42:37:03 00:42:39:17 不用唸诵任何口诀，什么也不用做
00:42:40:05 00:42:42:03 灵量自会做这工作
00:42:42:12 00:42:45:17 她很了解你，她可以处理它
00:42:46:00 00:42:47:18 只要对自己有信心
00:42:48:01 00:42:52:15 自信你会得到自觉
00:42:53:07 00:42:57:10 内疚是不自然的
00:42:58:02 00:43:01:02 我想你有内疚是因为有人告诉你︰
00:43:01:10 00:43:04:07 你是罪人，你是这样，你是那样
00:43:05:02 00:43:07:21 在我的眼中，你们没有人是罪人
00:43:08:05 00:43:12:08 你是迷失的，你是无知的，但却不是罪人
00:43:14:02 00:43:16:22 我们必须明白
00:43:17:06 00:43:20:05 要尊重自己
00:43:21:00 00:43:22:12 因为我们是很有光辉
00:43:23:22 00:43:25:07 很了不起的
00:43:26:01 00:43:30:07 因为我们仍未连上
00:43:30:17 00:43:33:04 所以我们看不起自己，他人或会看不起你
00:43:33:17 00:43:35:11 但你是人类
00:43:37:05 00:43:40:20 是进化的缩影
00:43:40:20 00:43:43:13 现在只需要小小的突破
00:43:43:19 00:43:45:22 一点联系
00:43:46:03 00:43:49:08 我可以肯定你会知道「真我」
00:43:52:00 00:43:55:17 当你的灵量得到唤醒
00:43:56:08 00:43:58:23 穿过你的脑囟骨区
00:43:59:11 00:44:01:18 你的双手会感到凉风
00:44:02:23 00:44:04:14 这是chaitanya(生命能量)
00:44:04:23 00:44:06:18 圣经描述这凉风
00:44:06:24 00:44:08:03 为圣灵
00:44:08:12 00:44:10:10 古兰经称为"Ruh" 
00:44:11:18 00:44:15:19 之后你也会感到有凉风
00:44:16:04 00:44:17:13 从头顶走出来
00:44:22:00 00:44:24:23 当凉风从头顶走出来
00:44:26:01 00:44:28:06 你会感到很轻松
00:44:28:15 00:44:31:12 平和和喜乐
00:44:32:01 00:44:34:02 很多人之后只是在笑
00:44:34:12 00:44:36:19 你是应该笑的
00:44:37:13 00:44:39:21 创造这个世界就是为了让你能享受
00:44:40:04 00:44:43:24 你现在要进入神的国度
00:44:45:20 00:44:47:16 哪里你不单在喜乐
00:44:48:05 00:44:50:00 和平中
00:44:51:08 00:44:53:19 还在极乐中
00:44:59:00 00:45:05:13 我想若你在颈项附近的衣服太紧
00:45:05:19 00:45:07:22 令你不舒服，你可以放
00:45:08:05 00:45:09:05 轻松点
00:45:09:19 00:45:12:00 还有若你可以脱下眼镜会更好…
00:45:12:09 00:45:14:11 迟些我告诉你，不是现在
00:45:15:06 00:45:18:00 因为你要闭上眼睛
00:45:18:12 00:45:21:07 不要张开眼睛
00:45:21:17 00:45:25:24 我们先向你展示怎样
00:45:26:10 00:45:27:04 帮助自己
00:45:27:12 00:45:29:06 你因此知道你的能量中心
00:45:29:13 00:45:31:24 我们会在左边帮助你
00:45:36:15 00:45:37:08 首先
00:45:37:15 00:45:40:13 你要像这样把左手向着我
00:45:40:22 00:45:42:11 手舒服地放在大腿上
00:45:42:19 00:45:44:08 试想像，你不需要到喜马拉雅山
00:45:44:16 00:45:45:17 不用做类似的事情
00:45:46:00 00:45:48:13 只要舒服的坐在椅子上
00:45:48:19 00:45:50:22 便能得到自觉，这是你的权利
00:45:51:06 00:45:53:01 把你的左手像这样放
00:46:01:00 00:46:02:20 现在我们用右手滋润
00:46:03:03 00:46:04:21 我们左边的能量中心
00:46:05:10 00:46:08:13 先把手放在心脏的位置
00:46:08:24 00:46:11:10 因为这个地方是灵的反映
00:46:11:19 00:46:14:07 全能的神的反映
00:46:15:15 00:46:18:22 是灵的所在
00:46:22:03 00:46:26:17 跟着便到左边
00:46:27:05 00:46:29:00 上腹的位置
00:46:29:17 00:46:32:19 这是掌管教导的能量中心
00:46:33:08 00:46:35:17 若你是灵，你便成为自己的导师
00:46:36:00 00:46:37:11 你不需要任何导师
00:46:37:20 00:46:39:11 你的灵自会指引你
00:46:41:14 00:46:45:15 跟着到左边
00:46:46:20 00:46:48:24 下腹的位置
00:46:52:07 00:46:55:07 这是令你认识你的
00:46:56:04 00:46:58:05 中枢神经系统的知识的能量中心
00:46:59:14 00:47:02:11 它给你
00:47:03:02 00:47:04:22 纯粹的知识-shuddha vidya 
00:47:05:05 00:47:08:23 在你的中枢神经系统运作
00:47:09:20 00:47:13:03 跟着你的手提升
00:47:13:12 00:47:17:09 到你的腹部，用手按着腹部
00:47:17:22 00:47:21:12 这是导师原则的能量中心
00:47:21:23 00:47:24:12 假若你到过某些假导师哪里
00:47:24:21 00:47:27:16 它可以纠正你
00:47:29:16 00:47:34:01 跟着把右手放在心脏的位置
00:47:38:18 00:47:41:21 现在再次把手放在颈项
00:47:42:13 00:47:43:24 和肩膊之间
00:47:44:14 00:47:46:23 请把头向右边
00:47:47:08 00:47:51:11 当你内疚，这个能量中心便有阻塞
00:47:53:03 00:47:56:00 若你感到内疚，这能量中心便有阻塞
00:47:56:12 00:47:59:10 它令你生很多病，其一是咽喉痛
00:48:00:15 00:48:02:07 还有脊椎炎
00:48:02:16 00:48:05:12 因为它们变得怠倦
00:48:05:18 00:48:07:02 器官会出很多毛病
00:48:07:15 00:48:10:21 所以最好是好好的把手放在这里
00:48:10:21 00:48:14:07 把头像这样向着右面
00:48:15:03 00:48:19:11 请把右手放在前额
00:48:20:16 00:48:23:19 垂下头
00:48:25:14 00:48:28:20 这是你寛恕的能量中心
00:48:31:04 00:48:35:03 寛恕所有人，不用想你要寛恕谁
00:48:36:17 00:48:39:10 无论你原谅不原谅人，你什么也没有做
00:48:39:18 00:48:41:02 这只是我们自己的想法
00:48:42:16 00:48:45:13 若你不寛恕，便会被误导
00:48:45:24 00:48:48:13 所以请把手像这样放
00:48:48:21 00:48:50:16 这是寛恕的能量中心
00:48:51:00 00:48:53:02 不用想要寛恕谁
00:48:53:10 00:48:54:24 又或谁曾伤害你
00:48:56:09 00:48:59:23 额轮是非常重要的
00:49:00:09 00:49:02:03 因为它的通道是很狭窄
00:49:02:15 00:49:04:12 若你不寛恕人，它不会升起
00:49:04:18 00:49:06:02 灵量不能通过
00:49:06:09 00:49:08:07 只要寛恕
00:49:08:18 00:49:11:24 现在把右手按着后枕
00:49:11:24 00:49:12:23 我们迟些才做
00:49:13:04 00:49:14:21 我只是告诉你轮穴的位置
00:49:15:05 00:49:17:03 在这里的后面
00:49:17:11 00:49:19:10 因为你常常感到内疚
00:49:19:17 00:49:21:24 你以为自己犯错
00:49:22:06 00:49:24:20 所以最好是请求
00:49:25:03 00:49:28:19 上天力量寛恕，这个轮穴在这里
00:49:31:05 00:49:34:13 现在尽量伸展你的手
00:49:35:00 00:49:37:10 把手掌按在
00:49:37:19 00:49:39:19 头顶的脑囟骨区
00:49:40:00 00:49:41:13 即你孩提时软骨的位置
00:49:42:10 00:49:45:02 taloo，这里，就是这里
00:49:45:12 00:49:46:23 伸展你的手指按着
00:49:46:23 00:49:50:18 那么你的头皮便有点压力
00:49:51:13 00:49:53:02 一点点压力
00:49:53:02 00:49:57:00 请垂下头
00:49:58:05 00:50:02:10 现在慢慢用手心移动你的头皮
00:50:02:17 00:50:05:13 顺时针方向转动七次---顺时针
00:50:10:12 00:50:11:23 顺时针
00:50:13:04 00:50:15:17 用力伸展你的手 
00:50:15:23 00:50:19:10 否则…我是说你的手指
00:50:19:10 00:50:22:07 否则它不会有压力
00:50:28:24 00:50:31:04 现在完成了
00:50:37:17 00:50:39:00 现在
00:50:40:06 00:50:43:09 首先要对自己有信心
00:50:47:06 00:50:51:01 要尊重自己， 
00:50:55:23 00:51:00:09 爱自己
00:51:03:15 00:51:07:12 现在左手像这样放
00:51:08:10 00:51:11:07 双脚分开一点
00:51:13:14 00:51:17:07 闭上眼睛
00:51:19:06 00:51:22:06 把右手放在心脏的位置
00:51:22:14 00:51:25:08 请把右手放在心脏的位置
00:51:30:04 00:51:31:04 这是
00:51:34:09 00:51:40:19 灵的能量中心，灵住在这里
00:51:40:19 00:51:44:05 你可以问我三次，从你的内心
00:51:44:12 00:51:47:08 就如问一台电脑
00:51:47:22 00:51:50:19 你可以称呼我为「锡吕‧玛塔吉」或「母亲」
00:51:51:02 00:51:52:14 无论哪个称呼也可以
00:51:53:19 00:51:59:19 母亲，我是否一个灵？
00:52:01:02 00:52:05:01 问三次，「母亲，我是否一个灵？
00:52:07:14 00:52:09:01 锡吕‧玛塔吉，我是否一个灵？
00:52:27:07 00:52:30:13 若你是个灵
00:52:31:05 00:52:34:24 你便成为自己的导师
00:52:36:16 00:52:40:19 现在请把手
00:52:41:08 00:52:45:06 放在左上腹，压着它。
00:52:45:15 00:52:48:01 现在，这样问︰
00:52:49:18 00:52:53:15 母亲，我是否自己的导师？
00:52:53:23 00:52:56:07 问三次，请出自真心
00:52:56:17 00:52:59:02 充满信心的︰「母亲，我是否自己的导师？
00:52:59:12 00:53:02:04 你是，只问我这个问题
00:53:19:16 00:53:21:17 我尊重你的自由
00:53:22:01 00:53:25:14 我不能强迫你接受纯洁的知识
00:53:25:23 00:53:27:23 你要自己请求
00:53:29:00 00:53:31:17 现在请把右手
00:53:32:01 00:53:35:09 放在下腹，按紧它
00:53:36:24 00:53:38:23 在左边
00:53:41:22 00:53:43:15 现在你要说︰
00:53:44:02 00:53:50:22 母亲，请给我纯粹的知识，shuddha vidya
00:53:52:06 00:53:55:19 锡吕‧玛塔吉，请给我shuddha vidya
00:53:56:03 00:53:57:11 说六次
00:53:57:19 00:54:02:17 因为这个能量中心有六块花瓣，腹轮
00:54:03:06 00:54:07:21 请给我shuddha vidya，纯粹的知识
00:54:17:19 00:54:21:21 当你请求纯粹的知识
00:54:23:13 00:54:26:10 灵量便会升起
00:54:28:11 00:54:32:11 你要以信心去帮助它
00:54:32:22 00:54:38:12 开启更高的轮穴
00:54:39:11 00:54:43:03 所以请把右手
00:54:43:11 00:54:46:12 放在上腹，紧按它 
00:54:46:18 00:54:48:07 在左边
00:54:48:17 00:54:51:02 双脚保持分开
00:54:53:20 00:54:55:01 这里
00:55:00:20 00:55:03:12 你要很有自信的
00:55:04:06 00:55:06:16 说十次︰
00:55:07:02 00:55:12:01 母亲，我是自己的导师。」请说︰
00:55:12:12 00:55:15:19 母亲，我是自己的导师
00:55:16:02 00:55:18:05 母亲，我是自己的导师
00:55:18:16 00:55:20:07 因为这个能量中心是所有伟大的导师satgurus 
00:55:20:16 00:55:27:03 为着令你们升进而创造的
00:55:32:19 00:55:35:18 母亲常常都想她的孩子
00:55:35:18 00:55:39:01 拥有的不单她所拥有的
00:55:39:19 00:55:45:06 还要比她有的多得多
00:55:50:09 00:55:51:19 现在
00:55:56:12 00:56:00:00 我先要告诉你
00:56:00:07 00:56:03:12 你不是这个身体，这个思维
00:56:04:01 00:56:06:03 这个情绪
00:56:06:18 00:56:09:10 这个制约和自我
00:56:09:20 00:56:13:04 你是纯洁的灵
00:56:16:07 00:56:20:10 现在请把右手放在你心脏的位置
00:56:21:04 00:56:24:16 很有自信的说十二次：
00:56:25:00 00:56:29:09 母亲，我是纯洁的灵
00:56:34:03 00:56:39:17 母亲，我是纯洁的灵。」十二次︰
00:56:39:23 00:56:46:09 锡吕‧玛塔吉，我是shuddha atma
00:56:47:23 00:56:51:02 要很有自信的说
00:56:58:04 00:57:04:19 我必须告诉你，这个上天无所不在的力量
00:57:06:03 00:57:09:19 是知识的海洋
00:57:10:23 00:57:16:01 是慈悲和福气的海洋
00:57:17:04 00:57:19:14 你必须充满信心的说
00:57:19:20 00:57:24:23 母亲，我完全没有内疚
00:57:25:21 00:57:28:21 十六次，请说吧
00:57:31:07 00:57:35:15 你必须要说︰「锡吕‧玛塔吉，我是Nirdosha 
00:57:35:15 00:57:40:24 我是Nirdosha。」请说十六次
00:57:44:24 00:57:48:13 这样说是为满足我
00:58:02:07 00:58:11:02 现在把右手按着前额
00:58:14:01 00:58:17:07 就是这样，我已经告诉你
00:58:17:14 00:58:21:05 无论你寛恕或不寛恕
00:58:21:16 00:58:24:10 你什么也没有做
00:58:25:14 00:58:29:20 现在请垂下头
00:58:30:12 00:58:36:04 完全谦卑的，原谅所有人 
00:58:36:14 00:58:38:07 只要寛恕
00:58:38:14 00:58:41:10 不要想那些找你麻烦
00:58:41:17 00:58:44:20 折磨的人，只要寛恕他们
00:58:46:09 00:58:50:08 这是你最佳摆脱负担的方法
00:58:51:16 00:58:53:13 因为若你不寛恕 
00:58:53:19 00:58:55:08 你便会被误导
00:58:55:14 00:58:56:22 现在真心的说
00:58:57:04 00:59:01:03 多少次没关系，要出自真心，请说吧
00:59:01:11 00:59:04:05 很多人说要原谅人是很困难的
00:59:04:13 00:59:06:05 有什么困难呢？
00:59:06:12 00:59:08:14 只要说原谅人就可以了
00:59:16:20 00:59:21:09 现在把右手放在后枕
00:59:21:15 00:59:24:23 把头尽量
00:59:25:07 00:59:28:05 往后移
00:59:29:07 00:59:32:10 你再次真心的说︰
00:59:32:16 00:59:37:13 啊！上天的力量，若我犯了任何错
00:59:37:21 00:59:39:17 请原谅我
00:59:40:00 00:59:42:24 若我无意的犯了任何错
00:59:42:24 00:59:44:19 请原谅我
00:59:46:05 00:59:49:06 要真心的说
01:00:01:18 01:00:03:01 现在尽量伸展你的手
01:00:08:22 01:00:12:19 用手心按在
01:00:13:02 01:00:16:22 头顶的脑囟骨区
01:00:17:03 01:00:19:08 即你孩童时软骨的位置
01:00:19:19 01:00:23:16 它被称为taloo，梵文是talavyam 
01:00:24:23 01:00:29:03 现在垂下头
01:00:29:17 01:00:30:22 垂下头
01:00:32:04 01:00:37:23 手心用力移动你的头皮
01:00:39:07 01:00:44:01 尽量伸展你的手指
01:00:44:15 01:00:46:08 请伸展你的手指
01:00:46:16 01:00:48:04 用一点力
01:00:48:10 01:00:53:02 顺时针方向移动头皮七次
01:00:53:16 01:00:59:00 再次，我不能强迫把自觉给你
01:00:59:08 01:01:00:19 你必须自己请求
01:01:01:02 01:01:02:19 在移动你的手的同时
01:01:03:00 01:01:04:03 说七次︰
01:01:04:09 01:01:08:22 母亲，请给我自觉
01:01:09:03 01:01:12:00 母亲，请给我自觉
01:01:12:06 01:01:14:24 我不能强把自觉给任何人
01:02:28:21 01:02:31:04 请放下双手
01:02:31:12 01:02:34:03 慢慢张开眼睛
01:02:35:06 01:02:36:13 现在
01:02:40:21 01:02:45:15 请把右手像这样向着我
01:02:45:22 01:02:47:08 垂下头
01:02:47:14 01:02:50:19 看看有没有凉风
01:02:50:19 01:02:53:05 从头顶走出来
01:02:58:12 01:02:59:23 在脑囟骨区
01:03:00:06 01:03:03:14 有些人在接近头顶位置感到有凉风，不是在头顶
01:03:03:20 01:03:05:00 离开一点点
01:03:05:06 01:03:07:00 有些人凉风像喷射一样
01:03:07:00 01:03:08:15 很远的
01:03:08:23 01:03:12:02 或许是热的，热的也有可能
01:03:12:13 01:03:16:12 若你不原谅人，它肯定是热的
01:03:17:19 01:03:21:18 现在请把左手向着我
01:03:23:02 01:03:27:13 再次垂下头，看看是
01:03:27:19 01:03:30:21 凉风还是热风从
01:03:31:03 01:03:32:08 头顶走出来
01:03:32:16 01:03:34:16 你要证明自己
01:03:34:16 01:03:37:20 是霎哈嘉瑜伽，是会变成某些东西的
01:03:38:01 01:03:40:15 就如我告诉你，这是没有证书的
01:03:43:06 01:03:46:20 有些人或许有热风，不要紧
01:03:51:09 01:03:56:01 现在再次把右手向着我
01:03:56:10 01:04:01:10 垂下头，再次感觉自己
01:04:10:19 01:04:14:14 现在，不要把手放头顶 
01:04:14:14 01:04:17:14 离开一点你便能感觉到它，离开一点
01:04:17:20 01:04:21:09 现在请把双手像这样向着我
01:04:21:22 01:04:25:21 看着我，不要想，你能做到
01:04:33:15 01:04:40:21 那些感到指尖、或双手
01:04:40:21 01:04:43:07 或脑囟骨区
01:04:44:07 01:04:50:02 有凉风，或热风
01:04:50:14 01:04:56:03 或全都有这些感觉的人
01:04:56:19 01:05:00:06 请举起双手
01:05:00:14 01:05:02:15 请举起双手
01:05:11:18 01:05:16:10 天啊！愿神祝福你们
01:05:16:24 01:05:19:08 你们大部分人
01:05:19:16 01:05:22:05 都已得到
01:05:22:13 01:05:25:05 现在不要讨论它
01:05:25:14 01:05:29:03 因为若你在思维层次，便会失去它
01:05:29:14 01:05:31:14 只享受它吧
01:05:31:23 01:05:37:17 我希望你们今晚都可以安睡
01:05:38:15 01:05:42:04 明天请你打电话给你的朋友
01:05:42:10 01:05:44:12 因为你不能付钱购买它
01:05:44:20 01:05:46:06 什么也不需要做
01:05:46:06 01:05:50:16 这是你的，就像大地之母不懂
01:05:50:23 01:05:54:16 怎样向种子收取费用令它发芽生长
01:05:55:02 01:05:58:18 这也是你的purva功德
01:05:59:05 01:06:02:02 那些仍未得到它的人明天会得到
01:06:02:22 01:06:05:02 所以请你们明天要来
01:06:05:10 01:06:07:16 也请你叫朋友来
01:06:07:23 01:06:11:06 这是你能给别人最佳的东西
01:06:11:14 01:06:13:14 这是我们期待着的
01:06:13:23 01:06:14:20 愿神祝福你们
01:06:24:07 01:06:25:12 请你们明天来
01:06:25:20 01:06:29:12 我会向你们解释灵的本质
01:06:29:18 01:06:31:02 什么是灵
01:06:56:17 01:06:58:10 看看现在我做了些什么…
01:07:01:10 01:07:05:04 他想你们都来拿取darshan(神的形相)
01:07:05:10 01:07:08:09 现在我坐在你们面前，这是神的真身(darshan)
01:07:09:19 01:07:13:01 不需要触摸我的双脚，没有这个需要
01:07:17:10 01:07:21:17 明天你们会看到…你们都很想这样做
01:07:22:06 01:07:25:16 不需要这样做，有政治家想这样！
01:07:29:15 01:07:31:11 明天请提问
01:07:31:20 01:07:33:04 请你们提问
01:07:33:11 01:07:35:09 我很乐意解答
