00:06:15:15 00:06:23:11 我们今天聚集在这里作克里希纳崇拜
00:40:44:06 00:40:47:07 他们有能耐说一些话
00:40:47:17 00:40:51:23 以掩饰自己犯的错事
00:40:52:08 00:40:54:14 但他们从不意识到 
00:40:55:01 00:40:59:17 他们作出的任何伤害都是不会被原谅
00:41:00:23 00:41:04:11 即使这样说也不会减少不被原谅的程度
00:41:04:24 00:41:07:21 因为克里希纳会了结一切
00:41:08:10 00:41:13:19 若你开始辩解，合理化你所犯的错事
00:41:14:10 00:41:19:08 你便会受惩罚，在很多方面都会重重的被惩罚
00:41:19:19 00:41:24:10 你也不懂怎能脱身
00:41:24:22 00:41:29:11 肉身上，精神上，情绪上，各方面都会受罚
00:41:30:01 00:41:37:08 我们的右喉轮要有克里希纳般的
00:41:37:19 00:41:42:06 个性品格、文化
00:41:42:17 00:41:45:12 风格、言行举止
00:41:45:22 00:41:51:02 那是被称为madhurya，指悦耳动听，悦耳动听
00:41:51:12 00:41:56:01 我们说话的方式要是悦耳动听的
00:41:56:13 00:41:59:14 聆听你的人
00:42:00:01 00:42:07:15 就如他在听克里希纳的笛子
00:42:08:02 00:42:12:09 霎哈嘉瑜伽士的声音就是要像这样甜美
00:42:12:20 00:42:18:04 你与人交谈要悦耳动听
00:42:18:18 00:42:20:17 不但毫无侵略性
00:42:21:03 00:42:24:02 还要很悦耳动听
00:42:24:14 00:42:28:11 不应讽刺挖苦，不应伤害任何人
00:42:28:23 00:42:33:13 任何伤害人的话都不应是来自
00:42:33:22 00:42:36:12 妥当的喉轮
00:42:36:22 00:42:40:16 所以任何情况下都不应作出任何伤害
00:42:41:05 00:42:45:21 我希望所有霎哈嘉瑜伽士都能发展这种克里希纳悦耳动听的声音
00:42:46:04 00:42:49:20 因为你们的喉轮已经被唤醒
00:42:50:04 00:42:56:10 Madhurya，在他的言行举止，madhurya是，你要明白
00:42:56:19 00:43:01:10 与人交谈时，你有很多身体语言
00:43:01:20 00:43:05:15 可以表达你的madhurya(亲切友善)
00:43:06:03 00:43:11:06 例如，特别在意大利和其他地方
00:43:11:16 00:43:13:11 我发觉人们过度运用双手
00:43:13:21 00:43:15:13 这也是克里希纳的风格
00:43:15:24 00:43:17:18 他们运用他们的双手的方式
00:43:18:03 00:43:21:20 有时你也不懂他们想表达什么
00:43:22:06 00:43:24:12 有时他们运用他们的双手的方式
00:43:24:22 00:43:26:12 也是颇富侵略性。
00:43:26:22 00:43:29:20 现在，双手也要用来
00:43:30:06 00:43:33:06 创造 madhurya
00:43:33:17 00:43:38:20 我曾经见过在俄罗斯，特别在东欧阵营
00:43:39:05 00:43:42:15 人们要表达他们的爱
00:43:43:00 00:43:47:18 (这样放吧，很冷)，若他们要说namaste(问候)
00:43:48:04 00:43:50:17 他们表达得很亲切友善
00:43:51:03 00:43:57:09 当他们看到我时，心里充满热诚
00:43:57:19 00:43:59:20 他们也不懂怎样表达
00:44:00:05 00:44:04:13 所以他们的手只像这样放
00:44:04:24 00:44:07:04 又或他们害羞，便像这样放
00:44:07:17 00:44:11:19 透过双手，透过双眼，他们在表达很甜美的事情
00:44:12:02 00:44:17:14 是眼泪，你要明白
00:44:17:24 00:44:25:15 这真的创造了这种祥云，我要说
00:44:25:23 00:44:28:16 当我看到他们双眼表达对我的爱
00:44:29:02 00:44:33:15 我内心便感受到这种慈悲的祥云
00:44:34:02 00:44:39:08 一切一切，他们的眼泪，一切，他们的脸
00:44:39:18 00:44:44:22 眼睛，双手，全都属于克里希纳
00:44:45:09 00:44:48:13 借着他们的言行，他们的说话
00:44:49:00 00:44:52:16 他们怎样表达自己
00:44:53:04 00:44:54:21 同一双眼睛
00:44:55:07 00:44:57:08 你可以用来表达你的脾气，你在生气
00:44:57:19 00:45:00:14 很多人用双眼来控制人
00:45:00:24 00:45:04:11 他们的双眼会像这样，盯着人，想去控制人
00:45:04:23 00:45:11:04 他们或许用双眼去责备人
00:45:11:16 00:45:15:24 有时，他们会向人吐某种…
00:45:16:12 00:45:22:15 或向人展示他们的舌头，以羞辱人
00:45:23:02 00:45:29:22 所以我们的言行举止也要显示甜美亲切
00:45:30:08 00:45:33:12 就像我初次到英国
00:45:33:24 00:45:36:20 我曾经是，你要明白，我以我自己的方式学习英语
00:45:37:05 00:45:39:07 当我刚到英国，他们说︰
00:45:39:15 00:45:41:17 「现在，若你要说像"thought”这种字
00:45:42:00 00:45:44:17 你要说”thought”我说︰「什么？」
00:45:45:02 00:45:48:10 你要吐舌来说”thought”
00:45:48:19 00:45:52:06 我说︰「这是荒谬的，为何要吐舌？」
00:45:52:16 00:45:55:19 他说︰「除非你像这样吐舌
00:45:56:03 00:46:00:14 不然就不能正确发音
00:46:01:00 00:46:03:00 我说：「这就是英语。你们发展了
00:46:03:09 00:46:06:11 一些荒谬的东西，向每一个人伸出舌头
00:46:06:21 00:46:08:19 即使是小孩，当他生气
00:46:09:03 00:46:10:11 就会自动伸出舌头
00:46:10:20 00:46:16:22 你要明白这一切的表情，做鬼脸
00:46:17:07 00:46:20:11 就如他们所说的「板起脸孔」
00:46:20:19 00:46:24:00 你一定听说过，鼻子那样子，你看
00:46:24:08 00:46:27:11 高傲自大的鼻子，或做鬼脸
00:46:27:22 00:46:34:02 扭曲你的脸孔去取笑人
00:46:34:13 00:46:39:05 或用鼻子做些表情
00:46:39:14 00:46:41:00 人们也会像这样做，你看
00:46:41:09 00:46:44:07 彷佛你在轻视人
00:46:44:19 00:46:47:08 这些事情，这些表情都是拜
00:46:47:20 00:46:54:11 克里希纳的恩赐，这是甜美(madhurya)的力量
00:46:54:24 00:46:58:06 是甜美、是美妙的旋律
00:46:58:18 00:47:04:17 这种和谐的关系要甜美得能创造
00:47:05:04 00:47:08:08 极大的喜乐和欢欣
00:47:08:18 00:47:13:04 你们在我的眼睛听到巴巴妈妈﹝Baba Mama﹞的歌：
00:47:13:14 00:47:17:16 我只要看着他，以这个眼神 
00:47:18:00 00:47:21:03 就能令他产生美妙的音乐
00:47:21:14 00:47:25:13 所以，尽量
00:47:25:23 00:47:29:11 把眼睛放在绿色的植物上，那是最好的
00:47:29:23 00:47:34:09 它便凉化下来，你也发展出
00:47:34:20 00:47:37:13 青绿植物那种使人慰藉宽心的素质
00:47:37:24 00:47:40:15 我时常叫人们：「最好看看四周的绿色植物
00:47:41:01 00:47:42:07 它慰藉你们的眼睛
00:47:42:19 00:47:46:07 同样，你们与别人谈话
00:47:47:02 00:47:49:13 要使人平静宽心
00:47:49:22 00:47:51:12 使人软化
00:47:51:21 00:47:55:19 相反，若你与人争辩争吵
00:47:56:05 00:47:57:09 他永远不会软化
00:47:57:17 00:48:01:20 反而为那人增添怒气怒火
00:48:02:08 00:48:06:04 克里希纳的素质，是甜美(madhurya)
00:48:06:15 00:48:11:10 这种甜美在他一生中显示在他
00:48:11:20 00:48:15:21 怎样美妙地说
00:48:16:06 00:48:22:12 甜美的话，尤其是在他的童年时
00:48:23:07 00:48:26:20 另一种克里希纳的素质
00:48:27:04 00:48:33:08 我们能借着右喉轮表达出来的就是圆滑
00:48:33:16 00:48:35:16 圆滑有两种：
00:48:36:01 00:48:38:13 一是真诚由衷；一是虚假表面
00:48:38:24 00:48:43:16 就真诚的圆滑而言，你不用采纳
00:48:44:01 00:48:48:01 某些标准或阅读一些书籍
00:48:48:13 00:48:51:18 才能知道什么是圆滑
00:48:52:04 00:48:55:08 它真诚地来到你身上
00:48:55:18 00:48:59:00 事情甜美地
00:48:59:11 00:49:02:11 真诚地发生运作
00:49:02:22 00:49:05:16 我使用了它很多遍
00:49:06:01 00:49:08:12 你们亦可以在很多时候使用它
00:49:08:21 00:49:11:22 这只能在你没有生气的时候才能起作用
00:49:12:08 00:49:15:01 生气是不行的
00:49:15:13 00:49:19:12 我曾告诉你们有关
00:49:19:23 00:49:21:07 Gagangiri Maharaj(一位隐士)的故事
00:49:21:15 00:49:24:17 我去与他会面，他为了
00:49:25:03 00:49:26:20 不能把雨弄停而很生气
00:49:27:08 00:49:28:15 他应该能把雨弄停
00:49:28:24 00:49:30:14 我全身湿透
00:49:30:23 00:49:32:16 他生气的说：
00:49:32:24 00:49:35:06 你是否想控制我的自我？
00:49:35:14 00:49:38:04 他开始稍稍跟我争吵
00:49:38:09 00:49:40:11 我说：「不，不是为了这个原因。」
00:49:40:23 00:49:44:04 他说：「为什么？为什么你不准许我把雨弄停？
00:49:44:12 00:49:45:08 你全身都湿透了
00:49:45:16 00:49:48:05 我说：「因为你是隐士(sanyasi)
00:49:48:13 00:49:49:20 而你买了一件纱丽给我
00:49:50:03 00:49:51:24 我不能接受隐士给我的纱丽
00:49:52:09 00:49:54:11 因此为了你，我必须把自己弄湿
00:49:54:23 00:49:59:10 事情就是这样完满解决
00:50:00:00 00:50:03:05 所有愤怒，所有脾气都消失无迹
00:50:03:18 00:50:06:13 我们就是要这样把人软化
00:50:07:00 00:50:12:05 圆滑并不是用智力
00:50:12:14 00:50:16:09 脾气或任何东西去说服人
00:50:16:19 00:50:22:17 而是用你的善良
00:50:23:05 00:50:25:13 美好的说话、甜美的言词
00:50:25:23 00:50:27:19 宽大的本质去软化人
00:50:28:05 00:50:32:21 他拥有这些素质，他在很多人身上作出这样的尝试
00:50:33:06 00:50:35:24 对一些人这是有作用；对另一些人却没有作用
00:50:36:11 00:50:38:00 他并不感到这是个失败
00:50:38:12 00:50:40:12 最重要的是看到
00:50:40:22 00:50:43:00 另一个人的反应
00:50:43:09 00:50:46:22 你们要拥有右喉轮的素质
00:50:47:07 00:50:52:02 与别人说话时要把他们软化
00:50:52:10 00:50:56:13 我希望美国人能发展这种素质
00:50:57:00 00:51:00:21 尝试改善彼此的关系
00:51:01:05 00:51:04:05 我要说事实上，跟他们说话是很令人愉快的
00:51:04:16 00:51:06:06 他们对你很友善
00:51:06:15 00:51:08:06 你送他们礼物
00:51:08:15 00:51:11:07 他们都很高兴；但他们从不送你们礼物
00:51:11:17 00:51:13:16 你叫他们来吃晚饭，诸如此类
00:51:14:02 00:51:16:20 他们每次都会来
00:51:17:06 00:51:19:04 但他们从不邀请你吃晚饭
00:51:19:15 00:51:22:01 你要明白，只要你为他们
00:51:22:10 00:51:23:23 做任何事，他们都会很友善
00:51:24:09 00:51:27:22 一说到回馈，他们却很难做到
00:51:28:08 00:51:31:22 他们也不会做。你看这是
00:51:32:05 00:51:35:13 对别人的甜美的一种利用剥削
00:51:36:01 00:51:38:23 我们要明白，不要透过甜蜜友善
00:51:39:09 00:51:42:18 来利用剥削人
00:51:43:03 00:51:47:00 而是要用甜美溶化人，把他带到
00:51:47:10 00:51:52:20 他能明白什么是美善的层次
00:51:53:12 00:51:56:07 有关南美，我曾告诉你
00:51:56:19 00:52:01:09 他们都是十分单纯简朴的人
00:52:01:19 00:52:04:16 他们很贫穷、简单、纯真
00:52:05:03 00:52:08:03 但是巫术却入侵了他们
00:52:08:15 00:52:12:10 幸好他们现在意识到
00:52:12:20 00:52:15:15 巫术在骚扰他们
00:52:16:02 00:52:18:13 但某程度上，他们太依靠它
00:52:18:23 00:52:20:01 偏向左脉
00:52:20:09 00:52:22:16 他们为此感到十分内疚，感觉很差
00:52:22:24 00:52:25:09 你发觉他们经常十分内疚
00:52:25:20 00:52:27:08 他们整个表现
00:52:27:19 00:52:29:21 就如他们做错事
00:52:30:07 00:52:33:04 却不知道该怎样纠正自己
00:52:33:15 00:52:38:05 对我们来说，不为任何事情感到内疚是很重要的
00:52:38:16 00:52:41:06 我们是霎哈嘉瑜伽士
00:52:41:16 00:52:44:08 我们是灵，怎能有内疚感？
00:52:44:17 00:52:46:11 灵不能有内疚感
00:52:46:21 00:52:48:17 所以内疚要离开消失
00:52:49:02 00:52:54:05 有内疚感会怎么样？ 我们失去静观的能力
00:52:54:16 00:52:57:18 因为当内疚感出现，我们把它放在这里，内疚感在这里
00:52:58:04 00:53:00:16 但我们见不到它
00:53:01:01 00:53:04:09 我们不能静观什么是错的
00:53:04:20 00:53:06:19 我们不想面对困难
00:53:07:02 00:53:10:24 面对错误，面对困难
00:53:11:10 00:53:13:12 只把它以内疚放在这里，事情就完结了
00:53:13:20 00:53:15:20 内疚感好好地储存在那儿
00:53:16:06 00:53:17:22 我们不想面对它
00:53:18:07 00:53:22:10 例如一个男人或一个女人本性很残忍
00:53:22:19 00:53:26:08 突然间她发觉自己是残忍的
00:53:26:18 00:53:28:17 或是什么。因此她把它放在那儿：
00:53:29:01 00:53:30:22 噢，我曾经很坏，曾经很残忍
00:53:31:06 00:53:35:02 诸如此类。」她却不面对它
00:53:35:11 00:53:37:21 面对的意思是她应该知道：「为什么我这么残忍？
00:53:38:04 00:53:40:08 我需要什么？我不应该残忍
00:53:40:18 00:53:44:04 从此以后我也不会残忍。」这就能了结一切
00:53:44:14 00:53:48:03 可是她却说：「我对此感到很内疚，我对此感到很内疚。」
00:53:48:15 00:53:50:14 这是于事无补的。相反，你们都知道
00:53:50:21 00:53:52:12 内疚带来的问题
00:53:52:21 00:53:57:05 南美洲正面对同样的问题
00:53:57:18 00:54:00:14 当我去那里，我很惊讶巴西
00:54:01:00 00:54:06:09 地位最高的男人跟我这样说：
00:54:06:19 00:54:09:05 噢，我们，我们知道自己有很多缺点 
00:54:09:16 00:54:11:17 我们知道自己不好。」等等
00:54:12:04 00:54:15:08 我刚说什么，为什么他不改正
00:54:18:15 00:54:20:22 如果他知道这是错的，知道问题所在
00:54:21:07 00:54:23:11 为什么他不改正？接着他跟我说：
00:54:23:21 00:54:26:09 你把你发现的所有我们的问题写给我吧
00:54:26:20 00:54:28:14 他这样做真的很甜美友善
00:54:29:01 00:54:32:15 之后，有一个记者来了，我们就告诉他
00:54:32:23 00:54:35:02 我想现在他们在为此下功夫
00:54:35:10 00:54:38:00 他们尝试改善它，而事情一定会改善
00:54:38:12 00:54:43:00 相反，我发现俄罗斯却与别不同
00:54:43:08 00:54:46:14 在俄罗斯，他们从不说：「我们感到内疚。」或类似的说话
00:54:46:24 00:54:49:13 没有这种东西。他们从不如此说
00:54:49:24 00:54:51:20 他们说：「那时候已经过去
00:54:52:04 00:54:55:10 我们现在在神的国度，就是这样
00:54:55:19 00:54:59:19 那已经过去。我们现在在神的国度
00:55:00:03 00:55:03:20 我们要享受生命。」一切都是正面的
00:55:04:04 00:55:06:10 他们从不提及过去，他们的政府
00:55:06:19 00:55:11:08 或发生什么，斯大林或列宁等人
00:55:11:19 00:55:14:21 他们不关心，他们超越了它
00:55:15:07 00:55:17:14 「为什么我们要忧心？」他们说：「为什么要忧心？
00:55:17:22 00:55:19:10 让他们争斗，让他们做他们想做的事情。」
00:55:19:20 00:55:22:11 他们不想知道政治
00:55:22:21 00:55:25:19 不想知道他们的问题等等
00:55:26:05 00:55:28:00 他们想：「我们的问题解决了
00:55:28:10 00:55:30:04 我们现在是觉醒的灵魂
00:55:30:14 00:55:33:09 我们在享受自己。让大家享受吧
00:55:33:19 00:55:37:00 这是了解霎哈嘉瑜伽最直接的方式
00:55:37:12 00:55:39:11 我曾见过一些人，他们给我写
00:55:39:20 00:55:42:06 十页纸的信来忏悔，当我是神父
00:55:42:16 00:55:46:00 天主教神父。你看，写的全是关于他们所做的一切
00:55:46:09 00:55:48:11 他们做了这些事；我不想读下去
00:55:48:21 00:55:51:14 我不是把信丢弃就是烧掉
00:55:52:01 00:55:54:13 他们尝试忏悔，实在没有这个需要
00:55:55:00 00:55:58:17 没什么好说。不要再想着
00:55:59:00 00:56:02:06 你曾做过什么错事，现在只享受你所拥有的
00:56:02:15 00:56:06:05 就像这样：假设让一个乞丐成为国王，好吧？
00:56:06:15 00:56:09:24 他应该享受他的王国，应该有像国王的言行
00:56:10:09 00:56:12:08 但他却仍然回味着过去
00:56:12:18 00:56:14:07 任何人经过他时，他都会说：
00:56:14:15 00:56:18:15 「给我五卢比或五镑。」就是那样子
00:56:19:00 00:56:20:24 一旦你在神的国度
00:56:21:09 00:56:23:11 你要知道自己是在神的国度。
00:56:23:22 00:56:28:18 这种巫术是非常非常危险的
00:56:29:04 00:56:30:20 它能透过任何人作出行动
00:56:31:04 00:56:34:04 它可以透过你的亲戚，你的朋友
00:56:34:13 00:56:35:21 透过任何人作出行动
00:56:36:04 00:56:39:11 因此我们要十分小心
00:56:39:20 00:56:42:17 不要因为内疚或是什么
00:56:43:04 00:56:46:19 而令自己容易受巫术的伤害
00:56:47:06 00:56:49:21 它能摧毁你，摧毁你的家庭
00:56:50:07 00:56:53:05 即使你是霎哈嘉瑜伽士，它也能毁灭你
00:56:53:18 00:56:57:07 因此要完全丢弃你们的内疚感
00:56:57:17 00:57:00:05 你们不应有内疚感，内疚感是别人加在你身上的
00:57:00:15 00:57:02:07 有人会说：「噢！你太差劲了
00:57:02:17 00:57:05:14 你不为我做这事，你不为我做那事
00:57:05:22 00:57:07:20 诸如此类。他们把一些想法加在你身上
00:57:08:05 00:57:10:12 让你开始感到：「噢！我应该为他们做这事
00:57:10:19 00:57:13:18 我应该要这样做，都是我不好，」诸如此类
00:57:14:01 00:57:15:00 内疚感便悠然而生
00:57:15:09 00:57:17:04 他们继续郁闷地想着这些事，而不是要为那人做某些事情
00:57:17:15 00:57:20:11 或了解明白这是荒谬的
00:57:20:22 00:57:23:24 他们郁闷地想，接着便会突然
00:57:24:08 00:57:30:06 发现自己被亡灵附着
00:57:30:16 00:57:33:10 或受巫术影响
00:57:33:21 00:57:37:14 我们要忘记它，并且要进入
00:57:37:24 00:57:43:00 明白自己已经进入神的国度的氛围里
00:57:43:13 00:57:47:02 对克里希纳而言，我时常感到
00:57:47:12 00:57:49:14 要说的话通常是比他所说的少
00:57:50:00 00:57:57:00 他主要是通过我们的脑袋工作
00:57:57:12 00:58:01:13 那是宇宙大我。他通过我们的脑袋工作
00:58:02:01 00:58:04:07 就如湿婆神通过我们的心工作
00:58:04:16 00:58:06:12 他则通过我们的脑袋工作
00:58:06:24 00:58:12:14 来到霎哈嘉瑜伽，得到开悟后
00:58:12:24 00:58:16:14 脑袋的一切精微，一切知识
00:58:17:02 00:58:20:17 开始显现，开始表达出来
00:58:21:02 00:58:22:23 最重要的是
00:58:23:07 00:58:25:04 整合在你们的脑袋里发生
00:58:25:14 00:58:27:11 不是你的心要一
00:58:27:22 00:58:29:19 你的脑要二
00:58:30:05 00:58:31:15 而是整合在发生
00:58:31:23 00:58:33:13 当整合发生
00:58:33:23 00:58:37:05 你便能轻易过正道的生活
00:58:37:16 00:58:41:24 即使没有想过它，没有读过有关它的资料
00:58:42:08 00:58:44:07 你也能变成合乎正道的人
00:58:44:16 00:58:46:15 不用别人告诉你要行正道
00:58:47:00 00:58:50:05 你内在变成正道的人。因为那个
00:58:50:16 00:58:54:20 你平常用来分析事情
00:58:55:07 00:58:57:04 把所有错失合理化的脑袋
00:58:57:15 00:59:01:22 变得正道、变得神圣
00:59:02:07 00:59:05:19 克里希纳为你们做的最伟大的事情
00:59:06:05 00:59:11:02 是令你们的脑袋变得正道
00:59:11:13 00:59:20:15 它变成明白正道
00:59:21:11 00:59:30:20 过正道的生活、坚守正道的工具
00:59:31:07 00:59:37:21 是脑袋；实际上
00:59:38:09 00:59:44:09 除了巫术之外，通常是脑袋把你们带离正道
00:59:44:23 00:59:49:16 一旦你们的顶轮打开
00:59:50:04 00:59:55:16 宇宙大我就表现出来
00:59:56:02 00:59:58:06 你们会很惊讶
00:59:58:15 01:00:01:00 那个曾沉迷于一切，想着：
01:00:01:08 01:00:04:00 这是享乐，这是我的权利，我应该这样做
01:00:04:11 01:00:06:02 谁可以告诉我？」等的人
01:00:06:10 01:00:09:09 突然变成先知
01:00:09:19 01:00:12:23 这是克里希纳的最大祝福
01:00:13:07 01:00:18:12 他是宇宙大我，而宇宙大我是你的脑袋
01:00:18:24 01:00:23:02 全能的神的脑袋是宇宙大我
01:00:23:13 01:00:26:03 我们要意识到
01:00:26:12 01:00:29:24 人一旦有了自觉，便时常都能取得
01:00:30:08 01:00:33:23 有建设性的主意想法
01:00:34:05 01:00:35:23 否则你还不是个霎哈嘉瑜伽士
01:00:36:10 01:00:40:17 既有建设性又正道
01:00:41:02 01:00:45:23 我们很需要了解，脑袋在想什么？
01:00:46:10 01:00:53:06 它是否在反驳，在说一些不是本来要说的话？
01:00:53:22 01:00:58:10 我们只要留心，你会很惊叹
01:00:58:19 01:01:02:19 你的脑袋的变化
01:01:03:07 01:01:06:21 倒转的脑袋变得正常
01:01:07:07 01:01:13:24 如果你每天静坐
01:01:14:11 01:01:20:11 自己去看
01:01:20:22 01:01:26:02 顶轮是怎样渗透你的存在体，
01:01:26:13 01:01:29:13 怎样在你生命中运作，这是很容易做到
01:01:29:23 01:01:33:18 霎哈嘉瑜伽士的一切力量都会显现出来
01:01:34:05 01:01:38:05 你不再怀疑自己
01:01:38:14 01:01:40:22 别人也不会怀疑你
01:01:41:05 01:01:43:12 愿神祝福你们
