00:01:24:22 00:01:27:23 你們一些人可以坐在這裏，好…
00:32:59:08 00:33:00:19 若不是這樣，他是不會順服的
00:33:01:00 00:33:02:24 他發覺很難順服
00:33:03:08 00:33:09:19 向導師順服的動力
00:33:09:22 00:33:12:14 是來自哈奴曼
00:33:14:08 00:33:16:11 所以不單祂自己順服
00:33:16:16 00:33:19:10 祂也令別人順服
00:33:19:14 00:33:22:13 因為…因為自我令你不能順服
00:33:22:24 00:33:25:19 祂抗衡自我
00:33:26:03 00:33:30:22 把自我降低，令你順服
00:33:31:08 00:33:34:05 祂的表達方式
00:33:34:10 00:33:40:24 我可以說，祂顯示有
00:33:41:17 00:33:46:11 一處非常漂亮的右邊地帶
00:33:46:17 00:33:50:22 若你想完美地享受這地帶
00:33:51:03 00:33:55:05 你要像是這位導師的僕人
00:33:56:06 00:33:59:00 向他完全的順服
00:33:59:04 00:34:04:01 無論你的導師有甚麽需要
00:34:04:05 00:34:05:05 你也必須要為他做
00:34:05:10 00:34:07:05 當然，你必定知道，你的導師
00:34:07:10 00:34:09:18 必須給予你自覺，這是最低限度的
00:34:09:23 00:34:11:23 不然，他就不是一位導師
00:34:12:05 00:34:15:04 任何人給予你自覺
00:34:15:12 00:34:17:12 你也要向他順服
00:34:17:18 00:34:19:24 你必須像僕人一樣
00:34:20:04 00:34:21:23 不要感到害羞
00:34:22:04 00:34:23:13 就像我有時
00:34:23:18 00:34:25:15 去些地方
00:34:25:20 00:34:28:16 要坐飛機
00:34:29:04 00:34:33:09 不能穿上鞋子
00:34:33:13 00:34:35:18 因為雙腳很腫脹
00:34:36:04 00:34:38:15 所以我走路時通常把鞋子
00:34:38:20 00:34:40:05 拿在手上
00:34:40:09 00:34:41:24 我曾經看過，有霎哈嘉瑜伽士
00:34:42:04 00:34:44:04 拿著我的鞋子走
00:34:44:13 00:34:46:13 他們不感到害羞
00:34:46:16 00:34:49:23 反而因為拿著我的鞋子而感到自豪
00:34:50:12 00:34:51:21 所以我們必須
00:34:52:01 00:34:55:10 因為有機會為自己的導師
00:34:55:15 00:34:59:04 做點事而感到自豪
00:34:59:10 00:35:02:18 你對這位導師絕對的順服
00:35:02:21 00:35:05:16 你只關心怎能
00:35:05:21 00:35:07:23 服侍你的導師
00:35:08:02 00:35:09:16 怎能取悅你的導師
00:35:09:24 00:35:13:21 怎能更加接近你的導師
00:35:14:05 00:35:16:18 不是肉身上的接近
00:35:16:23 00:35:21:04 而是一種和睦，理解的關係
00:35:21:10 00:35:25:01 就算遠離我，他們心中也有我
00:35:25:09 00:35:27:05 我們必須從
00:35:27:12 00:35:33:24 錫呂‧哈奴曼取得這種力量
00:35:34:12 00:35:38:23 現在，祂也保護所有神祇
00:35:39:04 00:35:41:09 現在，祂也保護所有神祇
00:35:41:16 00:35:44:15 祂與格涅沙是有分別的
00:35:44:21 00:35:49:19 格涅沙賜予能量---力量(shakti)
00:35:50:04 00:35:52:24 但保護我們的卻是錫呂‧哈奴曼
00:35:53:07 00:35:55:23 所以你發現，當錫呂‧克理希納做
00:35:56:02 00:35:59:10 阿周那的車夫時
00:36:00:10 00:36:03:21 在戰車頂部坐著的卻是哈奴曼
00:36:04:01 00:36:05:15 不是錫呂‧格涅沙
00:36:05:23 00:36:09:07 哈奴曼就是坐在哪裏去照顧祂
00:36:10:15 00:36:15:02 一方面，錫呂‧羅摩變成錫呂‧毗濕奴
00:36:15:07 00:36:17:18 所以祂必須照顧祂
00:36:19:07 00:36:21:01 在基督教，你們都知道
00:36:21:07 00:36:25:13 祂是一位天使，我必須說，按照聖經
00:36:25:23 00:36:29:02 祂是一位稱為加百利(Gabriel)的天使
00:36:31:07 00:36:35:01 加百利是帶信息的
00:36:35:07 00:36:39:13 因為祂是瑪利亞的信差
00:36:39:21 00:36:43:04 很驚訝，祂用的字句是
00:36:43:09 00:36:48:05 「完美無瑕的薩爾維」(Immaculate Salve) 。這是我的名字
00:36:48:12 00:36:49:21 我的名字是Nirmala 
00:36:50:02 00:36:52:09 意思是完美無瑕，我的姓是薩爾維(Salve)
00:36:52:18 00:36:54:12 祂向她說這些字句
00:36:54:21 00:36:57:13 今天當他們送禮物給我
00:36:58:01 00:37:01:12 我感到很驚訝
00:37:01:19 00:37:05:13 他們找到一套名為
00:37:05:21 00:37:07:18 「瑪利亞」的茶具和餐具
00:37:08:01 00:37:12:18 瑪利亞的一生都與哈奴曼有關連
00:37:13:01 00:37:15:15 這代表瑪利亞是摩訶拉希什米
00:37:15:21 00:37:20:15 摩訶拉希什米是悉旦，悉旦跟著是羅陀(Radha)
00:37:21:04 00:37:24:01 哈奴曼必須為她們服務
00:37:24:09 00:37:27:19 這就是為甚麽
00:37:28:05 00:37:31:10 人們有時會說︰「母親，你怎會知道？
00:37:31:16 00:37:33:18 母親，你怎會知道？
00:37:34:04 00:37:37:16 母親，你怎去傳達這信息？
00:37:37:24 00:37:40:16 母親，你怎樣能成就到？」你可以想像嗎？
00:37:40:23 00:37:45:05 這都是哈奴曼需要頭痛的事情，是他去做的
00:37:45:13 00:37:47:15 任何經過我腦袋的事情
00:37:47:19 00:37:49:10 祂都會把它肩負在身上，並且完成它
00:37:49:16 00:37:52:21 因為正如我告訴你，祂整個系統
00:37:53:02 00:37:54:18 是計劃得很完美
00:37:54:24 00:37:57:02 所有這些信息，它們從何而來？
00:37:57:07 00:37:59:07 很多人說︰「母親，我只向你禱告。」
00:37:59:23 00:38:01:15 有一個男士的
00:38:01:21 00:38:03:07 母親病得很重
00:38:03:15 00:38:04:24 他探望她
00:38:05:07 00:38:09:01 她將會因癌症而死
00:38:09:09 00:38:10:23 他說︰「我不知道該怎樣做
00:38:11:02 00:38:12:01 所以我只有向你禱告
00:38:12:05 00:38:14:01 母親，請救救我的母親
00:38:14:07 00:38:16:24 作為霎哈嘉瑜伽士，他的誠意
00:38:17:09 00:38:21:04 他的深度，哈奴曼是知道的
00:38:21:12 00:38:24:09 祂知道他的份量
00:38:25:07 00:38:27:07 立即，你會感到很驚訝
00:38:27:12 00:38:30:23 三天之內，這個將要死的女士活過來
00:38:31:04 00:38:32:02 她再沒有不妥
00:38:32:07 00:38:34:16 他把她帶到孟買，醫生說︰
00:38:34:20 00:38:36:18 她沒有癌症
00:38:38:01 00:38:39:21 很多奇蹟
00:38:40:04 00:38:42:10 都是錫呂‧哈奴曼所作的
00:38:42:23 00:38:46:10 祂是奇蹟的作事者
00:38:46:16 00:38:51:23 祂創造奇蹟是要顯示
00:38:53:16 00:38:54:20 你們是多麽愚蠢
00:38:55:02 00:38:57:24 因為祂是在右邊
00:38:58:04 00:38:59:24 看，祂走到自我的那一邊
00:39:00:07 00:39:02:20 擁有自我令人類
00:39:02:24 00:39:06:24 時常變得愚蠢，是不能避免的
00:39:07:07 00:39:10:12 擁有自我令他們變得愚蠢，︰「啊！哪裡出錯？」
00:39:10:23 00:39:12:16 所以你發覺很多人在
00:39:12:23 00:39:14:12 做著愚蠢的事情
00:39:14:18 00:39:16:01 我們就是不明白為甚麽他們會這樣做
00:39:16:09 00:39:18:06 他們說︰「錯在哪裡？」
00:39:18:12 00:39:22:16 錯在哈奴曼不喜歡，這就是重點
00:39:22:23 00:39:26:01 跟著它退縮
00:39:26:13 00:39:28:23 當他們做蠢事時，它退縮
00:39:29:02 00:39:32:23 他們便知道自己犯了大錯
00:39:33:04 00:39:34:24 是那麽愚蠢的
00:39:35:07 00:39:39:06 但有時要回頭卻是極之 
00:39:40:04 00:39:43:07 極之困難
00:39:43:13 00:39:47:23 就像疾病一樣，我稱為「雅皮士(yuppie)的疾病」
00:39:48:04 00:39:49:10 不可能再回頭
00:39:49:15 00:39:51:10 因為哈奴曼已經把
00:39:51:15 00:39:52:20 那些人的電磁力拿走
00:39:52:24 00:39:55:01 不能再運作了
00:39:55:07 00:39:56:23 它不能與你有意識的腦袋有任何聯繫
00:39:57:04 00:39:59:20 因為你有意識的腦袋不能運作，它不能運作了
00:40:00:06 00:40:02:23 只有以同樣虔敬
00:40:03:06 00:40:07:13 去敬拜哈奴曼的人，他們才能得到拯救
00:40:07:21 00:40:10:13 說服愚蠢的雅皮士並不容易
00:40:10:20 00:40:11:24 任何事情也是
00:40:12:05 00:40:14:10 他們說︰「我們不相信，那又怎樣？」
00:40:14:15 00:40:16:04 那又怎樣，你會死，還可以怎樣？
00:40:16:10 00:40:21:12 這是唯一的界限，你唯一剩下的只有這樣？ 
00:40:21:16 00:40:23:10 你真的要這樣做嗎?
00:40:24:16 00:40:27:01 我可以告訴你哈奴曼的
00:40:27:07 00:40:30:01 很多不同的面向
00:40:30:09 00:40:34:02 例如，祂的身體
00:40:34:09 00:40:37:15 像濕婆神一樣，被gheru所遮蓋
00:40:37:20 00:40:40:09 我們稱為gheru是一種…
00:40:41:01 00:40:43:06 你知道甚麽是gheru，是一種
00:40:43:12 00:40:49:01 红色的石頭，很熱很熱的
00:40:49:07 00:40:52:02 若你感染風寒
00:40:52:09 00:40:55:24 而出疹
00:40:56:06 00:40:58:23 用gheru便可以把疹治好
00:40:59:04 00:41:01:12 又或你染上
00:41:01:18 00:41:04:23 某種皮膚病，也可以用gheru來醫治
00:41:05:04 00:41:07:15 因為它很熱
00:41:07:22 00:41:09:05 令你感到舒緩
00:41:09:11 00:41:11:19 相反，格涅沙是被
00:41:12:00 00:41:14:22 氧化鉛(lead-oxide) 所遮蓋
00:41:15:03 00:41:18:10 红色的氧化鉛
00:41:18:16 00:41:22:06 是極之冷的
00:41:22:13 00:41:25:06 氧化鉛是非常冷的
00:41:25:11 00:41:28:00 若你接觸鉛，那是一種非常冷的東西
00:41:28:05 00:41:32:05 這種氧化鉛把祂的身體完全遮蓋
00:41:33:11 00:41:38:14 用作平衡祂的熱力
00:41:38:21 00:41:40:22 或熱力所產生的影響
00:41:41:03 00:41:45:17 梵文稱為sindhura 
00:41:46:02 00:41:48:17 馬拉塔語或印地語同樣稱為Sindhura 
00:41:48:24 00:41:52:06 這些東西通常都是這種顏色
00:41:52:11 00:41:58:11 我很幸運，在維也納找到這件紗麗
00:41:58:17 00:42:03:06 在這個塲合穿著是非常合適
00:42:03:13 00:42:06:19 這種顏色常常遮蓋著祂
00:42:07:02 00:42:09:24 這是你們稱為Sindhura的顏色
00:42:10:19 00:42:15:19 雖然他們說氧化鉛可以致癌
00:42:16:03 00:42:18:22 人們說氧化鉛致癌
00:42:19:05 00:42:22:11 但氧化鉛是非常冷的
00:42:22:17 00:42:24:06 若它把你過度的冷卻
00:42:24:13 00:42:26:08 你便會偏向左邊
00:42:26:14 00:42:28:17 癌症是身心病
00:42:29:00 00:42:31:19 這可能是生癌的原因
00:42:32:00 00:42:34:05 我們可以很牽強的說
00:42:34:11 00:42:36:16 這是致癌的原因
00:42:36:21 00:42:39:05 因為它太冷
00:42:39:16 00:42:41:11 那麽你便會走到左邊
00:42:41:19 00:42:44:10 在左邊，你可能會感染病毒
00:42:44:17 00:42:47:06 那麽你便有麻煩了
00:42:47:15 00:42:51:16 可是，同樣的氧化鉛對
00:42:51:23 00:42:55:07 偏右脈的人是好的
00:42:55:13 00:42:59:12 對他們來說，若放它在額輪 
00:42:59:18 00:43:00:23 可以冷卻額輪
00:43:01:05 00:43:04:09 把它放在額輪是非常好的
00:43:04:15 00:43:05:21 他們因此得到冷卻
00:43:06:02 00:43:08:19 他們的憤怒會消失，脾氣降低
00:43:09:02 00:43:10:24 那是一種好東西
00:43:11:16 00:43:13:24 是祂把我們的憤怒醫治
00:43:14:05 00:43:19:16 是祂把我們的匆忙
00:43:20:02 00:43:23:01 我們的速度
00:43:24:01 00:43:25:19 我們的野心醫治
00:43:26:04 00:43:27:23 這些都是祂做的
00:43:28:04 00:43:30:15 他作弄希特勒，怎樣？
00:43:30:21 00:43:35:18 希特勒想用錫呂‧格涅沙作為標記
00:43:35:24 00:43:40:18 swastika是順時針方向的
00:43:41:04 00:43:43:05 哈奴曼向他玩了一個把戲
00:43:43:16 00:43:45:18 祂怎樣做？祂令他們用來
00:43:47:20 00:43:52:18 製造swastika的模版 
00:43:54:13 00:43:57:20 不知是甚麽原因
00:43:58:04 00:44:02:17 處於某一境況
00:44:02:21 00:44:05:10 令他們說︰
00:44:05:13 00:44:06:20 我們應該用另一面
00:44:07:01 00:44:10:24 他們因此用了另一面，這是哈奴曼的戲法
00:44:11:10 00:44:14:07 是我向祂提議這樣做的，我的意思是他在玩把戲
00:44:14:17 00:44:18:24 他們用格涅沙的另一面
00:44:19:04 00:44:21:17 同一位錫呂‧哈奴曼所
00:44:23:10 00:44:26:04 擔憂的格涅沙
00:44:26:13 00:44:28:15 祂怎可超越錫呂‧格涅沙？
00:44:28:21 00:44:32:15 因為格涅沙是最年長的，祂怎可以超越祂？
00:44:33:07 00:44:36:19 格涅沙是神祇而哈奴曼則只是天使
00:44:37:02 00:44:40:10 所以，這樣的把戲， 
00:44:40:16 00:44:45:15 是祂們兩位一起阻止希特勒取得勝利
00:44:45:21 00:44:48:05 這戲法就是這樣
00:44:48:11 00:44:52:00 所以，你看，就是這些小小的戲法
00:44:52:08 00:44:56:04 我記得有一次在德國的崇拜
00:44:56:13 00:45:00:16 哈奴曼在德國
00:45:01:00 00:45:02:13 玩了很多把戲
00:45:02:19 00:45:05:10 因為我曾經告訴你
00:45:05:16 00:45:06:24 德國是最需要哈努曼的
00:45:07:10 00:45:10:01 所以，在這裏，在德國，有一個崇拜
00:45:10:05 00:45:13:22 在崇拜裏，他們錯把swastika 
00:45:14:07 00:45:15:15 的方向反轉了
00:45:16:04 00:45:19:04 我看不到，通常我都非常小心
00:45:19:10 00:45:21:13 我不知道為甚麽我看不到，必定是
00:45:21:19 00:45:23:15 哈奴曼又在玩把戲
00:45:23:21 00:45:25:18 當我看到，我說︰
00:45:25:24 00:45:28:22 天啊！現在哪裡會受傷害？
00:45:29:05 00:45:30:24 哪裡會發生事情？
00:45:31:08 00:45:33:07 那一個國家會受襲擊？
00:45:33:13 00:45:39:16 德國沒有受襲擊，但英國卻有
00:45:39:22 00:45:42:24 因為我在英國辛勤地工作
00:45:43:04 00:45:45:16 而他們卻那麽忽視霎哈嘉瑜伽
00:45:45:21 00:45:49:16 那麽怠倦，所以英國受到襲擊
00:45:49:24 00:45:55:05 祂便跑得像季節風
00:45:55:12 00:45:58:00 速度極快
00:45:59:18 00:46:02:07 極富毀滅力
00:46:02:12 00:46:04:07 祂藉由祂的電磁力量
00:46:04:13 00:46:06:15 成就這些事情
00:46:06:21 00:46:11:18 祂控制着
00:46:12:23 00:46:14:07 所有事物
00:46:14:13 00:46:16:18 是祂控制着所有事物
00:46:17:01 00:46:20:10 還有，是祂創造雨水
00:46:20:16 00:46:22:08 創造太陽
00:46:22:15 00:46:24:09 創造微風
00:46:24:15 00:46:27:01 為我們創造這些
00:46:27:08 00:46:30:01 只為能有一個恰當的崇拜
00:46:30:07 00:46:32:02 恰當的集會
00:46:32:12 00:46:34:24 每事每物祂都漂亮地成就
00:46:35:05 00:46:38:05 沒有人知道是錫呂‧哈奴曼
00:46:38:09 00:46:39:02 所做的
00:46:39:07 00:46:42:23 所以，我們要常常感謝錫呂‧哈奴曼
00:46:43:14 00:46:45:11 至於今天，我的意思是若要談論祂
00:46:45:19 00:46:49:00 要花很多時間
00:46:49:11 00:46:53:21 唯一我必須說的是
00:46:54:02 00:46:58:05 能在這宮殿中敬拜錫呂‧哈奴曼
00:46:58:14 00:47:00:21 是一種福份
00:47:01:00 00:47:11:22 因為祂是非常尊貴的神祇或天使
00:47:12:08 00:47:17:07 在這樣尊貴和
00:47:17:14 00:47:19:22 漂亮的地方敬拜祂，萬事俱備
00:47:20:07 00:47:21:21 祂必定喜歡
00:47:22:02 00:47:26:07 祂不像出家人(sanyasi)，
00:47:26:11 00:47:27:10 也並非苦行者
00:47:27:15 00:47:29:20 通常偏右脈的人都是苦行者
00:47:29:24 00:47:33:21 這些都是偏右脈的人
00:47:34:04 00:47:36:24 他們想一切事情都很簡單
00:47:37:09 00:47:39:17 若可能的話，他們想把鼻子
00:47:40:00 00:47:41:22 從臉上刮掉
00:47:43:02 00:47:46:14 相反，哈奴曼不是這樣 
00:47:46:21 00:47:51:03 哈奴曼喜歡美麗，喜歡裝扮
00:47:51:14 00:47:55:06 不行苦行
00:47:55:13 00:47:59:08 哈奴曼給予你這類東西
00:47:59:16 00:48:02:06 但很多哈努曼的敬拜者通常說
00:48:02:14 00:48:06:00 女士不要向哈奴曼
00:48:06:05 00:48:08:14 要求Darshan(顯現神聖的形相)
00:48:08:24 00:48:11:08 因為哈奴曼是brahmachari(遵行禁慾者)
00:48:11:21 00:48:15:22 是那位…祂不想女士看到祂
00:48:16:10 00:48:18:16 因為祂沒有完全穿上衣服
00:48:19:00 00:48:21:14 祂穿得很少
00:48:21:22 00:48:23:16 所以祂不想婦女看到祂
00:48:24:00 00:48:26:13 若婦女視祂為小孩子
00:48:26:17 00:48:28:00 穿不穿衣就沒有甚麽分別了
00:48:28:08 00:48:31:19 這種念頭，我想人們沒有這種
00:48:31:24 00:48:33:00 祂是孩子的念頭
00:48:33:10 00:48:35:14 對孩子來說，有沒有穿上衣服
00:48:35:19 00:48:36:11 又有甚麽關係？
00:48:36:14 00:48:37:14 祂是猴子
00:48:37:19 00:48:39:06 猴子理應不用穿衣
00:48:39:13 00:48:41:13 因此無論祂穿上甚麽，都會是很多的
00:48:41:17 00:48:44:06 你不會感到
00:48:44:11 00:48:46:11 祂是赤裸的
00:48:46:16 00:48:49:03 你只看到祂甜美的形相 
00:48:49:10 00:48:50:17 這麽甜美的形相
00:48:51:21 00:48:54:15 我希望你有們祂的相片
00:48:54:24 00:48:59:19 就如你們有錫呂‧格涅沙的相片一樣
00:49:00:01 00:49:02:02 你會真的愛上祂
00:49:02:09 00:49:03:04 祂是那麽甜美
00:49:03:10 00:49:05:23 雖然祂是那麽巨大，那麽大
00:49:06:09 00:49:09:04 雖然祂有指甲
00:49:09:10 00:49:12:21 但當祂撫摸我的雙腳時，祂把祂的指甲縮入
00:49:13:02 00:49:16:07 祂是那麽溫柔，極之溫柔
00:49:16:13 00:49:19:12 非常漂亮地撫摸我的雙腳
00:49:19:18 00:49:22:21 我看到祂處理所有事情
00:49:23:02 00:49:25:02 都是極之溫柔
00:49:25:09 00:49:26:13 這令我感到
00:49:26:20 00:49:28:18 現在德國在處理事情
00:49:28:23 00:49:31:23 處理人時，都變得非常溫和
00:49:32:05 00:49:34:13 這種改變已經出現，我視這些
00:49:34:18 00:49:36:24 都是哈努曼賜予他們的祝福
00:49:37:07 00:49:40:09 願神祝福你們
00:49:45:11 00:49:51:00 現在，今天我們不用做格涅沙崇拜
00:49:51:08 00:49:56:06 雖然…你可唱著歌來清洗我的雙腳
00:49:56:15 00:49:58:09 因為通常在崇拜前
00:49:58:15 00:50:02:23 我們都做格涅沙崇拜，不需要這樣複雜
00:50:37:21 00:50:39:21 只是…巴巴拉在哪裏？
00:50:40:01 00:50:41:24 叫她拿些熱水瓶來
00:50:42:04 00:50:44:04 因為格涅沙在冷卻我
00:50:44:09 00:50:47:10 哈奴曼完全冷卻我
00:50:49:09 00:50:50:09 是哈奴曼，你明白
00:50:50:13 00:50:52:18 從背部開始完全冷卻我
00:50:53:02 00:50:56:04 看看現在這裏變得那麽清涼，整個地方
00:50:56:15 00:50:58:24 談論祂
02:08:07:11 02:08:11:21 這是俄羅斯的禮物
02:08:12:08 02:08:16:05 這裏，看看，哈奴曼的顏色
02:08:16:11 02:08:18:08 正正像我的紗麗
02:08:19:05 02:08:22:05 這是哈奴曼，右天使長加百利，試想像
02:08:22:11 02:08:25:03 這是俄羅斯的民族故事
02:08:25:10 02:08:30:19 所以俄羅斯人知道祂通常都穿著這種顏色的衣服
02:08:31:02 02:08:32:11 試想想
02:08:32:21 02:08:37:06 祂坐在馬上
02:08:37:22 02:08:42:05 也有說祂是加百利
02:08:42:10 02:08:48:16 祂告訴穆罕默德有關七…
02:08:52:21 02:08:56:16 祂給了穆罕默德一匹馬
02:08:56:21 02:09:02:07 去看七個天堂，是祂給的
02:09:03:06 02:09:06:23 是，去看大能的神的偉大
02:09:07:06 02:09:08:14 就是七個輪穴
02:09:08:22 02:09:10:16 是哈奴曼給祂的
02:09:11:14 02:09:13:03 正確
02:09:13:12 02:09:15:20 因為穆罕默德是在左邊
02:09:16:01 02:09:20:00 祂有chandra ma，所以祂給祂
02:09:21:03 02:09:23:12 這一塊很美麗
02:09:24:05 02:09:26:14 我們要把它保留在這裏…
02:09:27:00 02:09:31:11 這是德國製造，德國製造

