00:02:15:13 00:02:22:01 今天我們聚集在一個合適的場合
00:40:16:08 00:40:19:07 常常說些美好的事情
00:40:19:08 00:40:25:00 常常想令你感到快樂，這是喜樂的泉源
00:40:29:02 00:40:33:07 這就是你怎樣成為快樂的泉源
00:40:33:08 00:40:39:07 喜樂的泉源，滿足感的泉源
00:40:43:13 00:40:47:11 常常都充滿笑聲和快樂
00:40:47:12 00:40:55:01 充滿美麗的東西。小孩子是怎樣逗你高興
00:40:55:01 00:40:57:03 你只要靜觀
00:40:57:03 00:41:01:11 他們的小手怎樣走在你附近
00:41:01:12 00:41:03:13 他們是怎能做到
00:41:07:05 00:41:10:08 他們是怎樣知道甚麽是對
00:41:10:08 00:41:14:04 一位已得自覺的孩子比成年人更加敏銳
00:41:14:04 00:41:16:09 我曾經見過這樣。
00:41:19:00 00:41:22:09 就像我最小的外孫女
00:41:22:09 00:41:28:08 在她約三歲時，女傭在摺疊我的紗麗
00:41:28:08 00:41:32:00 但她錯把紗麗放在地上
00:41:32:00 00:41:37:01 這孩子就是不能忍受，她把紗麗拿起
00:41:37:01 00:41:41:05 放在她的頭上，再放在沙發上
00:41:41:05 00:41:44:04 她說︰「你為甚麽把紗麗放在地上
00:41:44:05 00:41:46:03 你知不知道我的外祖母是誰？
00:41:46:04 00:41:48:13 她是女神中的女神
00:41:48:14 00:41:51:08 你竟然把她的紗麗放在地上
00:41:52:14 00:41:59:05 狗隻會咬你。」她再說︰「你要小心。」
00:41:59:06 00:42:03:08 她再把紗麗拿起，吻它，再吻它
00:42:03:08 00:42:07:04 說︰「母親，請原諒她，祖母
00:42:07:05 00:42:11:02 請原諒這個婦人，她不知道對你做了些甚麽？
00:42:16:06 00:42:25:06 這種感性來自你深層的貞操
00:42:32:05 00:42:34:11 當聆聽孩子的說話，你會驚訝
00:42:34:11 00:42:38:10 他們是怎樣的說話，說了些甚麽，有怎樣的言行
00:42:38:11 00:42:42:01 他們是怎樣逗你歡喜，我的意思
00:42:42:01 00:42:44:04 我的意思是在西方的孩子是被過分寵愛，我必須要說，
00:42:44:04 00:42:46:14 他們不大逗你歡喜，但卻常常令你感到煩擾
00:42:48:10 00:42:53:00 同樣的原因
00:42:54:07 00:42:57:01 若父親和母親沒有貞操
00:42:57:02 00:43:02:07 孩子便會感到不妥當，他們不會感到平和
00:43:02:08 00:43:05:03 他們變得不安寧
00:43:05:04 00:43:07:09 他們的內在同樣發展了這種不安寧
00:43:07:10 00:43:12:11 一位貞潔的人永遠不會被鬼附，就像我
00:43:12:11 00:43:21:00 永遠不會被鬼附。你可能非常聰明
00:43:21:00 00:43:23:11 你可能是甚麽，你可能是一位偉大的作家
00:43:23:12 00:43:26:12 但你卻會被鬼附。但一位貞潔的人
00:43:26:13 00:43:29:07 一位普通但有貞潔的人，永遠不會被鬼附
00:43:29:07 00:43:31:05 亡靈害怕貞潔的人
00:43:31:05 00:43:35:02 若一位貞潔的人走在路上，所有的亡靈都會走開
00:43:39:05 00:43:44:08 他們只會跑開。最少我知道很多這樣的例子
00:43:44:08 00:43:48:00 我可以告訴你一些
00:43:48:00 00:43:54:02 有三個人
00:43:54:03 00:44:03:11 常常坐電單車在晚上
00:44:03:12 00:44:05:12 約十二時走在路上
00:44:08:06 00:44:14:08 有一些被鬼附的人寫信給我
00:44:14:08 00:44:21:03 說︰「請不要容許他們在晚上走在路上
00:44:21:03 00:44:23:09 不然我們可以往那裏去和留在那裏？」
00:44:23:10 00:44:28:13 我感到很驚訝，這些人都是
00:44:28:13 00:44:31:05 被可怕的亡靈所依附的
00:44:31:05 00:44:34:10 他們晚上常常都在這些樹上休息
00:44:34:10 00:44:37:14 就是那三個人常常坐電單車經過的樹
00:44:38:00 00:44:40:08 他們寫信給我
00:44:40:08 00:44:43:05 那些被鬼附的人，我知道他們，信上說︰
00:44:43:05 00:44:47:10 「叫他們不要走這條路，不然我們可以住在那裏？」
00:44:49:01 00:44:52:13 他們像瘋子一樣，一群瘋癲的人
00:44:52:14 00:44:54:13 我說︰「為甚麽你要這樣寫？
00:44:54:14 00:44:58:13 他們說︰「這些人走在這裏，他們令我們感到煩擾。」
00:45:06:06 00:45:13:11 我們內在的負面能量消失
00:45:13:12 00:45:16:10 因著錫呂‧格涅沙的光
00:45:21:00 00:45:24:05 你可以在另人一個人身上清楚看到
00:45:25:14 00:45:29:01 若你沒有貞操，你永遠也看不到
00:45:29:01 00:45:32:01 誰人有貞潔而誰人沒有，你不能
00:45:32:01 00:45:35:03 每一個人都是「非常好，非常好
00:45:35:03 00:45:37:00 非常好的人，非常好的人
00:45:40:02 00:45:45:14 我的意思是真正被鬼附的人會被証明是非常好的人
00:45:46:00 00:45:50:03 在霎哈嘉瑜伽有時也一樣，我開始覺得奇怪
00:45:50:03 00:45:55:02 「甚麽事發生了？這是甚麽？
00:45:55:03 00:46:02:05 為甚麽這些人被証明是這樣？他們感覺不到它嗎？」沒有光，
00:46:03:14 00:46:05:14 就算你已經得到自覺
00:46:06:00 00:46:12:12 就算你的靈已經把你帶到集體意識
00:46:12:13 00:46:15:11 就算你給予別人自覺
00:46:15:12 00:46:19:09 若你沒有貞操，你甚麽也成就不了
00:46:24:12 00:46:28:08 就像一片破的玻璃想反映某些物品
00:46:28:09 00:46:30:13 它永遠也不能反映該物品的正確影像
00:46:32:07 00:46:37:00 這是非常重要的，我必須現在告訴你
00:46:37:01 00:46:41:12 現在是告訴你們的時候，這是我們生命中的障礙
00:46:44:10 00:46:48:12 首先人們會問︰「我將與誰人結婚？」
00:46:48:12 00:46:55:09 為甚麽這樣匆忙？當然，我稱婚姻
00:46:55:09 00:46:58:02 為吉祥的事，婚姻必須存在
00:46:58:02 00:47:01:01 必須有集體的認同，所有，但為甚麽要這樣？
00:47:02:10 00:47:07:09 就是去敬拜我們內在的貞操。因此，他們結婚
00:47:07:10 00:47:10:02 有孩子，跟著他們想有自己的房子
00:47:10:03 00:47:11:14 他們想擁有這些
00:47:12:00 00:47:16:07 這樣超然的事情在繼續，繼續不停
00:47:16:07 00:47:20:03 你生命中的光得不到傳播
00:47:25:02 00:47:28:07 我知道有些在地獄的人
00:47:28:08 00:47:31:00 他們走出來，傳播光
00:47:31:01 00:47:39:01 他們到達短暫而輝煌美麗的高度，
00:47:39:01 00:47:40:14 我曾經見過這樣的人
00:47:45:00 00:47:49:00 今天你們是敬拜你內在的錫呂‧格涅沙
00:47:49:00 00:47:52:12 我就是不明白為甚麽敬拜我為格涅沙
00:47:56:08 00:48:02:06 因為我就是這樣。當你敬拜我
00:48:02:07 00:48:05:09 你希望你內在的格涅沙得到喚醒
00:48:09:03 00:48:11:13 就讓祂在你內在被喚醒
00:48:11:13 00:48:17:00 就讓我所說的話變成喚醒你內在的祂的口訣
00:48:17:01 00:48:24:00 因此，作為我的孩子，你享受貞操的祝福
00:48:24:01 00:48:29:03 就如我享受我的人類生活以及我的神聖生活
00:48:31:06 00:48:34:12 你同樣享受這質量，這是我所希望的
00:48:34:13 00:48:37:08 對此你最少能有所體驗
00:48:42:10 00:48:44:08 我要告訴你一些
00:48:44:08 00:48:46:08 你可能不曾聽過的事情
00:48:46:08 00:48:49:02 你從來沒有聽過靈量
00:48:49:03 00:48:53:04 從來也沒有聽過自覺
00:48:54:08 00:48:59:12 今天很偶然地，完全以霎哈嘉的方式
00:48:59:12 00:49:04:12 這個崇拜被安排在這裏，我本想這個崇拜在孟買舉行
00:49:04:13 00:49:09:11 已經安排好了，但人們卻樂意來到這裏
00:49:09:11 00:49:15:11 作這個崇拜，我的意思是一個在英國
00:49:15:11 00:49:21:00 或在西方國家舉行的，是非常重要的，所以我想還是
00:49:21:01 00:49:26:04 有一個在這裏舉行，羅馬沒有合適的時間
00:49:26:05 00:49:31:10 那是其中一個基本的原因
00:49:31:10 00:49:34:06 破壞人類的貞操
00:49:38:00 00:49:42:00 首先是羅馬人開始，其他人跟隨
00:49:43:00 00:49:56:01 但必須在布賴頓，在至高顯婆神的蓮足作這個崇拜
00:49:56:02 00:49:59:11 但英國人必須知道
00:50:01:00 00:50:06:03 你們擁有這黃金土地
00:50:06:04 00:50:12:13 他們不值得擁有它，他們必須令自己值得擁有它
00:50:14:11 00:50:19:10 試想像，你們是住在至高顯婆神的土地上
00:50:21:14 00:50:26:05 那裏甚至水珠，還有雪
00:50:26:06 00:50:29:10 也像蒸餾水般清潔，清澈，潔白
00:50:32:09 00:50:35:03 在這裏，錫呂‧格涅沙為
00:50:36:14 00:50:40:01 為祂父親洗腳
00:50:42:12 00:50:48:00 而貞操則以你的母親的形相住在這裏
00:50:50:09 00:50:55:14 你必須值得處於這個令人垂涎的位置
00:50:58:09 00:51:01:11 英國的霎哈嘉瑜伽士必須盡力追上來
00:51:02:13 00:51:06:00 是跟英國人的相反方向
00:51:09:06 00:51:14:09 來自至高顯婆神土地的卻是相反
00:51:14:09 00:51:25:05 他們有極大的傲慢，傲慢是很可怕
00:51:25:06 00:51:28:11 在顯婆神的地方是不能想像有這傲慢
00:51:35:09 00:51:39:06 所有沒有貞潔的人都是傲慢的
00:51:40:08 00:51:43:07 否則，他們怎能寛恕自己？
00:51:46:03 00:51:49:10 你與任何妓女交談，兩分鐘內
00:51:49:10 00:51:51:14 你會發現她是一位妓女，因為她極之傲慢
00:51:51:14 00:51:55:04 有甚麽不妥？我是妓女，那又怎樣？
00:52:05:11 00:52:10:11 傲慢是不貞潔品格的徵兆
00:52:13:08 00:52:16:02 這個人變得超然物外
00:52:16:03 00:52:22:00 因為他感到羞愧，愧於面對其他人
00:52:26:11 00:52:29:08 但一位擁有貞操品格的人是坦率的
00:52:29:09 00:52:32:02 他為甚麽要害怕任何人？
00:52:34:09 00:52:37:03 他與每一個人友善地交談
00:52:37:03 00:52:42:03 以純真和直率的態度對待人
00:52:42:04 00:52:45:11 不會愛上任何他接觸到的第三者
00:52:57:00 00:53:04:14 因此，你們必須知道，給你這個國家
00:53:04:14 00:53:10:07 是有目的的，若你不能到達這水平
00:53:10:07 00:53:12:09 你將會被丟棄
00:53:21:08 00:53:28:00 尊重你的貞操才是真正的尊重我
00:53:28:01 00:53:32:05 因為我以貞操住在你的內裏
00:53:36:01 00:53:39:14 若錫呂‧格涅沙就是吉祥
00:53:39:14 00:53:43:07 我就是你內在的貞操
00:53:47:11 00:53:49:13 貞操永遠不富侵略性
00:53:49:14 00:53:55:01 永遠不會苛刻，因為沒有這個需要
00:53:58:04 00:54:01:12 你知道沒有這個需要，你是那麽有力量
00:54:01:13 00:54:04:05 沒有需要侵略任何人
00:54:04:06 00:54:06:12 為甚麽你要富侵略性，你並不懼怕任何人
00:54:06:13 00:54:13:10 是那麽慷慨，那麽仁慈，那麽漂亮
00:54:16:00 00:54:23:08 常常保持清新和年青，而又那麽崇高和有尊嚴
00:54:28:10 00:54:31:07 我首次到達這裏已經過了十二年
00:54:31:07 00:54:36:11 再多二年，需要非常熱切地工作
00:54:36:12 00:54:42:00 在內和在外。在內，我們必須非常勤奮地工作
00:54:42:00 00:54:44:06 這二年，非常勤奮
00:54:44:06 00:54:47:06 我們必須行真正的苦行
00:54:50:12 00:54:55:03 全部人，不分男女
00:55:00:14 00:55:03:13 那麽我們便會見到
00:55:06:02 00:55:13:08 我可以這樣說，我們已經做得非常好
00:55:15:01 00:55:22:04 藉由小小的跳躍，勇氣和信心，我們可以成就很多
00:55:23:00 00:55:25:02 對自己要有信任
00:55:28:07 00:55:37:00 不是思維上的信任而是來自真正貞潔的信任
00:55:41:00 00:55:44:14 貞潔鞏固你的信心
00:55:49:07 00:55:52:08 當你對神有信心，你便有貞操
00:55:52:09 00:55:55:11 當你對自己有信心，你便有貞操
00:55:55:11 00:55:58:06 當你對妻子有信心，你便有貞操
00:55:58:06 00:56:00:01 為甚麽你對妻子有信心？
00:56:00:01 00:56:04:03 因為你是一位擁有貞操的人，她又怎能沒有貞操？
00:56:04:04 00:56:09:11 你對你的孩子有信心，是貞操，因為你是貞操
00:56:09:12 00:56:12:10 你的孩子又怎會是其他任何東西？
00:56:17:00 00:56:21:02 貞操是信心的結晶
00:56:22:08 00:56:27:11 你甚至在未得自覺前已可擁有它，很多人也是這樣
00:56:28:10 00:56:35:12 像樟腦，
00:56:37:01 00:56:41:00 具揮發性，消失在香氣中
00:56:41:01 00:56:48:07 同樣，你也可以說，貞操運作成信心
00:56:49:00 00:56:51:11 若你沒有貞操，你對任何事
00:56:51:12 00:56:54:01 也沒有信心
00:56:55:08 00:56:58:10 因為你一是情感上
00:56:58:11 00:57:00:09 依附於我
00:57:00:09 00:57:02:14 又或是思維上依附於我
00:57:03:06 00:57:08:09 但若你有貞操的意識，信心便很明顯
00:57:08:10 00:57:11:08 在你內裏，你不需要有信心
00:57:11:09 00:57:15:01 「母親，我將會有信心。」你不能
00:57:19:02 00:57:23:12 信心的性質是，富揮發性的
00:57:26:09 00:57:32:05 而富揮發性的芬芳，是從貞操而來
00:57:35:02 00:57:40:00 所以從今天開始，我們不看星星或月亮
00:57:40:00 00:57:42:14 只看母親大地
00:57:45:06 00:57:51:10 在宇宙中，她代表靈量
00:57:51:10 00:58:00:05 她甚麽也不是只是貞操，她只是貞操
00:58:01:00 00:58:08:04 你相信嗎？有怎樣的力量
00:58:14:03 00:58:19:04 母性，每事每物都是貞操
00:58:22:04 00:58:26:03 父性，任何關係都是貞操
00:58:30:00 00:58:34:04 純真也是貞操的芬芳
00:58:35:07 00:58:40:00 善良的，慈悲的，每事每物都來自貞操
00:58:40:00 00:58:42:13 貞操的意識，那不是思維而來的
00:58:42:13 00:58:45:04 若你只是思維上有貞操，你可以很可怕
00:58:46:09 00:58:50:05 像一些尼姑或類似的人
00:58:50:06 00:58:52:03 一些禁慾的人，不是這樣
00:58:52:04 00:58:58:04 貞操是天生的，是內置靈量在我們內裏
00:59:01:12 00:59:09:05 它能運作是因為它明白我
00:59:09:05 00:59:12:00 她明白我，她知道我
00:59:12:01 00:59:14:12 她是我的一部分，她是我的反映
00:59:17:02 00:59:21:03 所以她藉由貞操來令你的靈量強壯
00:59:23:09 00:59:27:10 人們嘗試做一些事情令自己看來很吸引
00:59:27:10 00:59:30:00 不要這樣浪費你的精力
00:59:30:01 00:59:32:03 你是聖人，要活得像聖人
00:59:36:07 00:59:42:06 從傳統而來的生活，我們必須像這樣的生活
00:59:42:06 00:59:46:09 從傳統中進化，不要做些新的
00:59:46:10 00:59:49:14 可笑的和荒謬的事情
00:59:50:11 00:59:52:12 我們不需要吸引任何人
00:59:52:12 00:59:57:05 貞操就像花朵裏的香氣
00:59:58:08 01:00:01:06 吸引蜜蜂的
01:00:03:01 01:00:05:11 是花朵裏的花蜜
01:00:05:12 01:00:09:05 也是我們存在的精粹
01:00:19:06 01:00:23:08 所以這一次，你們全都來到印度
01:00:24:08 01:00:31:06 我請求你們尊重我，不要言行不當
01:00:32:06 01:00:37:13 不要作出幼稚和荒謬的言行
01:00:37:14 01:00:39:14 像在電影中看到的
01:00:39:14 01:00:42:01 你們全都高於這些
01:00:47:11 01:00:58:11 你的注意力和成就可從
01:01:01:00 01:01:05:02 你貞操的位置看到
01:01:07:02 01:01:09:07 我們不能離開我們的座位
01:01:10:01 01:01:13:03 無論我們有否被讚賞是毫無分別的
01:01:13:04 01:01:14:10 我們不能離開我們的座位
01:01:14:11 01:01:18:09 就像這些avadhootas，他們說︰
01:01:18:10 01:01:21:11 「takiya soda sana」，意思是我們不會離開我們的座位
01:01:21:12 01:01:32:02 我們在我們的座位裏，這是我們的座位，在蓮花裏
01:01:34:03 01:01:41:14 我們不能離開蓮花，我們是坐在蓮花裏
01:01:43:00 01:01:48:13 這是我們的座位。跟著你會放棄所有
01:01:48:14 01:01:51:01 荒謬的事物
01:01:51:01 01:01:52:14 你會看到自己變成漂亮的存有
01:01:57:06 01:02:01:10 所有亡靈會跑掉，所有阻塞會跑掉
01:02:05:09 01:02:09:06 不是過著禁慾的生活，我要再次告訴你
01:02:11:03 01:02:18:13 這是對你的存有的尊重。當你外在的尊重我
01:02:18:14 01:02:26:09 你也要內在的尊重我，就是這樣簡單
01:02:26:10 01:02:33:14 今天是一個偉大的日子，我們敬拜錫呂‧格涅沙
01:02:36:09 01:02:39:14 祂是首先亦是最先被敬拜的
01:02:46:03 01:02:50:00 當你敬拜祂，你必須知道
01:02:51:02 01:02:54:01 你也是敬拜祂所顯示的
01:02:54:02 01:02:59:00 就是基督。任何人對基督說些低下的說話
01:03:00:01 01:03:02:04 你必須厭惡這些人
01:03:03:12 01:03:07:06 你不能把基督理性化，任何這樣做的人，
01:03:07:07 01:03:09:10 也與你毫不相干
01:03:14:12 01:03:20:02 基督是純真
01:03:23:04 01:03:26:06 若你沒有深層的貞操
01:03:26:07 01:03:30:07 你是不能理解祂，不能敬拜祂
01:03:37:04 01:03:40:11 他們可以做的也只是令你的貞操完蛋
01:03:40:11 01:03:42:13 因此你永遠也不能把基督認出
01:03:52:02 01:03:56:09 所有這些成果都是藉由靜坐而來
01:03:56:09 01:04:01:09 你必須靜坐才得到成果
01:04:01:10 01:04:06:13 就是這樣。要恆常靜坐
01:04:06:14 01:04:09:02 嘗試保持靜坐的狀態，看事物
01:04:09:02 01:04:12:07 靜觀狀態就是你處於靜坐的狀態
01:04:16:07 01:04:24:09 我決定與布賴頓的人見面
01:04:24:09 01:04:32:12 在明天早上，我會與全英國的人見面
01:04:32:12 01:04:36:07 有可能的，在後天見面
01:04:38:08 01:04:45:11 告訴他們達致純真的狀態
01:04:47:01 01:05:00:04 是何等重要，我想已經開始有成效了
01:05:00:04 01:05:02:11 我真的很幸勤地工作
01:05:02:12 01:05:05:08 你不會知道我工作得多勤奮
01:05:05:09 01:05:10:05 這也是他們說的，人們視別人
01:05:10:05 01:05:12:13 必須做所有的工作
01:05:13:13 01:05:17:02 就像挽救英鎊，挽救這些，挽救那些
01:05:17:03 01:05:22:11 也挽救勞工，讓母親為我們做所有的工作
01:05:22:12 01:05:25:10 母親照顧我們，她必須早上起床
01:05:25:11 01:05:27:05 她必須靜坐
01:05:33:02 01:05:35:11 拯救不是這樣的
01:05:36:14 01:05:41:08 你可以拯救任何事物，只要你知道
01:05:41:09 01:05:48:02 怎樣拯救你的靈，只有你的昇進是最重要的
01:05:48:02 01:05:51:04 當你昇進了，每事每物便會得到拯救
01:05:52:09 01:05:54:12 但首先要拯救自己
01:05:56:13 01:06:01:04 為此你必須盡力，必須幸勤地工作
01:06:02:10 01:06:06:13 必須深入自己，進化自己
01:06:06:14 01:06:12:10 你有足夠能力這樣做，不要責怪任何人
01:06:12:10 01:06:16:03 不要責怪你的妻子，你的母親，你的父親，你的國家，或任何事物。
01:06:16:03 01:06:18:13 每一個人都可以成就到
01:06:18:13 01:06:22:00 不要看著其他人，只看著自己︰
01:06:22:00 01:06:24:13 我走了多遠？我有甚麽貢獻？
01:06:26:06 01:06:29:09 讓我走在前面吧。」你們每一個人
01:06:32:02 01:06:34:04 我很感謝你們所有人
01:06:34:05 01:06:37:06 你們都是來自英國各地
01:06:38:07 01:06:40:11 這是正確的事情應該這樣做
01:06:42:03 01:06:46:14 這個國家必須被創造成這個層次
01:06:47:09 01:06:51:03 變成每個人到來朝聖的地方
01:06:55:05 01:06:57:01 相反地，不應是
01:06:57:02 01:06:58:10 當他們來到英國之後
01:06:58:11 01:07:00:10 他們永遠也不再來霎哈嘉瑜伽
01:07:01:08 01:07:09:13 這是可能發生的，這是可能的若人們都是傲慢
01:07:09:13 01:07:13:08 若人們都是傲慢的，這是可以發生
01:07:13:14 01:07:15:13 當他們來到這裏，他們會說
01:07:15:14 01:07:18:03 「不再要霎哈嘉瑜伽，已經夠了。」
01:07:20:14 01:07:24:12 在印度卻相反，當他們來到印度，他們黏貼著印度
01:07:26:02 01:07:29:13 我知道當有些人來到英國
01:07:29:13 01:07:32:11 他們看到一些霎哈嘉瑜伽士的言行
01:07:32:12 01:07:36:07 一些集體靜室是怎樣被管理，他們因此跑掉。
01:07:36:08 01:07:37:10 「母親沒有做些甚麽
01:07:37:11 01:07:40:03 當看到一些已發展的英國霎哈嘉瑜伽士的言行
01:07:40:03 01:07:44:01 一處你已工作了十二年的國家
01:07:44:02 01:07:46:03 我們不再來霎哈嘉瑜伽了
01:07:49:08 01:07:57:02 今天我們坐在這漂亮的英國土地上
01:07:58:09 01:08:03:10 在這個國家出生
01:08:04:13 01:08:07:11 我們需要還債
01:08:09:02 01:08:14:11 要還的債是我們必須成為偉大的霎哈嘉瑜伽士
01:08:17:12 01:08:21:09 你可以看到，非常容易，誰是偉大的霎哈嘉瑜伽士
01:08:21:09 01:08:26:04 當你說︰「把窗關掉吧。
01:08:27:02 01:08:30:04 你會看到大部分人都是坐著看著其他人
01:08:30:05 01:08:33:14 我不是說他們全是英國人，但可能是
01:08:39:11 01:08:44:11 不是要其他人做
01:08:44:11 01:08:47:07 你必須是非常委身
01:08:47:08 01:08:51:02 你仍未到達這程度，相信我，你仍未到這達程度
01:08:51:02 01:08:54:07 不要只看著坐在這裏的其他人
01:08:54:07 01:08:57:04 你是非常不同種類的人，你是特別的人
01:09:00:00 01:09:07:13 嘗試有警覺性，尊重自己，因為你是英國人
01:09:07:13 01:09:11:04 你肩負一個特別的任務
01:09:14:03 01:09:18:12 願神祝福你
01:10:08:12 01:10:13:05 他把流經納西克(Nasik)的河流的
01:10:13:05 01:10:19:01 河水帶來
01:10:20:00 01:10:23:12 你們都知道錫呂‧羅摩，錫呂‧悉旦以及
01:10:23:12 01:10:26:06 拉斯曼都是住在納西克
01:10:28:02 01:10:32:15 這河流被稱為南方的恆河，Godhavari
01:10:35:10 01:10:42:00 他從Godhavari取水，看看生命能量在流通
01:10:44:01 01:10:47:09 在一處甚至河流是口訣
01:10:47:09 01:10:53:13 他們的名字也是口訣的國家，榮譽歸於聖人
01:10:56:12 01:11:06:11 歸於人民，他們活得很虔誠，充滿著純真
01:11:06:11 01:11:10:05 就算是河流，若你說出它們的名字，生命能量也會到來
01:11:15:11 01:11:21:09 你看？為甚麽泰晤士河有天不可以變成這樣？
01:11:21:10 01:11:29:06 藉由你的功德，這是可以的
01:11:30:04 01:11:45:12 這個地球的每一個微粒必須得到生命能量
01:11:47:04 01:11:49:11 只能藉由你的功德
01:11:57:07 01:12:04:02 現在，讓我們看看錫呂‧格涅沙的狀態，，
01:12:05:04 01:12:09:06 我們所敬拜的，讓我們看看
01:12:09:06 01:12:12:01 誰人可以敬拜
01:12:15:05 01:12:17:06 這是非常困難的處境
01:12:52:08 01:12:56:09 讓小孩子吧，他們是最好的
01:12:57:14 01:13:00:05 來吧，Nira，來吧
01:13:04:10 01:13:10:03 是，你們兩位來吧
01:13:12:00 01:13:21:11 非常好，十歲以下，好吧，坐下
01:13:41:05 01:13:44:07 他們全都必須十歲以下
01:13:57:05 01:14:00:07 不是兩歲以下而是十歲以下
01:14:00:07 01:14:03:07 好吧，來吧，來吧，你們全部人
01:14:15:08 01:14:28:04 非常好的孩子，我必須要說
01:14:28:04 01:14:30:06 他們很棒，是嗎？
01:14:30:06 01:14:37:02 我們要做的是為母親清洗蓮足
01:14:37:02 01:14:40:06 好嗎？該怎樣洗，她把水澆在我的雙腳
01:14:40:06 01:14:42:12 你只要去按摩
01:14:42:12 01:14:45:02 來吧，每一次四位
01:14:45:02 01:14:46:11 現在那四位？
01:14:46:12 01:14:50:04 她會放些水
01:14:50:04 01:14:53:07 而你則按摩，現在你去按摩
01:14:53:07 01:14:56:04 去按摩我的腳








































































































































